SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,RBIRTH2021,RBIRTH2022,RBIRTH2023,RDEATH2021,RDEATH2022,RDEATH2023,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RNETMIG2021,RNETMIG2022,RNETMIG2023
050,3,6,01,001,Alabama,Autauga County,58809,58915,59203,59726,60342,106,288,523,616,162,686,706,714,176,696,687,621,-14,-10,19,93,0,15,22,34,100,242,507,491,100,257,529,525,20,41,-25,-2,484,484,484,484,484,11.615503141,11.872629888,11.893260486,11.784825344,11.55311152,10.344138322,-0.169322203,0.3195183681,1.5491221641,0.2539833048,0.3699686367,0.5663457374,4.0975973179,8.5260954015,8.1786987374,4.3515806228,8.8960640382,8.7450444748
050,3,6,01,003,Alabama,Baldwin County,231768,233227,239439,246531,253507,1459,6212,7092,6976,560,2337,2511,2531,602,2948,3022,2640,-42,-611,-511,-109,11,105,250,291,1613,6972,7036,6804,1624,7077,7286,7095,-123,-254,317,-10,3549,3448,3351,3468,3493,9.8885894056,10.333971233,10.123230634,12.473924505,12.436981707,10.559197501,-2.585335099,-2.103010474,-0.435966867,0.4442883558,1.0288700949,1.1639115427,29.500746828,28.95651995,27.213931741,29.945035183,29.985390045,28.377843284
050,3,6,01,005,Alabama,Barbour County,25229,24969,24533,24700,24585,-260,-436,167,-115,60,270,278,267,92,390,363,350,-32,-120,-85,-83,0,0,2,13,-186,-313,237,-45,-186,-313,239,-32,-42,-3,13,0,2721,2482,2248,2702,2702,10.908650156,11.293238275,10.834939637,15.756939114,14.746206813,14.203104393,-4.848288958,-3.452968537,-3.368164756,0,0.0812463185,0.5275438774,-12.6459537,9.6276887454,-1.826113422,-12.6459537,9.7089350639,-1.298569544
050,3,6,01,007,Alabama,Bibb County,22301,22188,22359,21986,21868,-113,171,-373,-118,56,240,236,240,55,325,314,290,1,-85,-78,-50,0,1,1,1,-101,254,-303,-69,-101,255,-302,-68,-13,1,7,0,2141,2060,1994,2025,1894,10.775136373,10.643815537,10.945409769,14.591330505,14.161686774,13.225703471,-3.816194132,-3.517871237,-2.280293702,0.0448964016,0.0451009133,0.045605874,11.403685995,-13.66557673,-3.146805309,11.448582396,-13.62047581,-3.101199434
050,3,6,01,009,Alabama,Blount County,59130,59107,59079,59516,59816,-23,-28,437,300,137,654,693,698,199,875,846,776,-62,-221,-153,-78,1,9,8,24,21,141,589,358,22,150,597,382,17,43,-7,-4,616,616,616,616,616,11.067300696,11.68683334,11.698454731,14.807168362,14.267043299,13.005731908,-3.739867666,-2.580209958,-1.307277176,0.1523023031,0.134912939,0.4022391312,2.386069416,9.9329651334,6.0000670399,2.5383717192,10.067878072,6.402306171
050,3,6,01,011,Alabama,Bullock County,10360,10229,10143,10143,9897,-131,-86,0,-246,24,111,103,102,41,160,138,133,-17,-49,-35,-31,0,1,5,6,-94,-42,32,-219,-94,-41,37,-213,-20,4,-2,-2,1705,1631,1578,1648,1615,10.897310033,10.154786552,10.179640719,15.707834282,13.605442177,13.273453094,-4.810524249,-3.450655625,-3.093812375,0.0981739643,0.4929508035,0.5988023952,-4.123306499,3.1548851425,-21.85628743,-4.025132535,3.647835946,-21.25748503
050,3,6,01,013,Alabama,Butler County,19046,19025,18890,18668,18382,-21,-135,-222,-286,47,227,207,212,88,297,312,299,-41,-70,-105,-87,0,5,6,8,15,-75,-117,-207,15,-70,-111,-199,5,5,-6,0,285,285,285,285,285,11.97415271,11.022951169,11.443994602,15.666622709,16.614303211,16.140350877,-3.692469999,-5.591352042,-4.696356275,0.263747857,0.319505831,0.4318488529,-3.956217856,-6.230363704,-11.17408907,-3.692469999,-5.910857873,-10.74224022
050,3,6,01,015,Alabama,Calhoun County,116441,116243,115678,115780,116429,-198,-565,102,649,305,1250,1334,1346,397,1843,1852,1649,-92,-593,-518,-303,0,12,22,29,-115,-70,635,923,-115,-58,657,952,9,86,-37,0,5632,5554,5407,5749,5936,10.779532686,11.526929292,11.593004578,15.893342992,16.002903335,14.202722547,-5.113810306,-4.475974043,-2.60971797,0.1034835138,0.1900992837,0.2497749872,-0.60365383,5.4869565969,7.9497349371,-0.500170317,5.6770558805,8.1995099242
050,3,6,01,017,Alabama,Chambers County,34772,34651,34488,34164,34079,-121,-163,-324,-85,87,392,401,398,167,592,558,511,-80,-200,-157,-113,2,22,49,55,-51,-6,-208,-26,-49,16,-159,29,8,21,-8,-1,860,860,856,860,860,11.339475549,11.682106858,11.664199991,17.124922258,16.255899318,14.975894964,-5.785446709,-4.573792461,-3.311694972,0.636399138,1.4274893667,1.6118869335,-0.173563401,-6.059546699,-0.761982914,0.4628357367,-4.632057333,0.8499040195
050,3,6,01,019,Alabama,Cherokee County,24973,24969,25074,25353,25666,-4,105,279,313,62,254,238,230,122,442,456,409,-60,-188,-218,-179,0,7,14,14,59,284,476,482,59,291,490,496,-3,2,7,-4,278,278,278,278,278,10.151269908,9.4393876296,9.0162488485,17.664808265,18.085549408,16.033242517,-7.513538357,-8.646161778,-7.016993669,0.2797594069,0.5552580959,0.5488151473,11.350238795,18.878775259,18.8949215,11.629998202,19.434033355,19.443736647
050,3,6,01,021,Alabama,Chilton County,45011,45057,45259,45848,46431,46,202,589,583,147,534,540,548,143,659,643,588,4,-125,-103,-40,1,20,26,49,26,289,656,577,27,309,682,626,15,18,10,-3,388,388,388,388,388,11.825147261,11.854193421,11.877025109,14.593206076,14.115271055,12.743961248,-2.768058816,-2.261077634,-0.866936139,0.4428894105,0.570757461,1.0619967707,6.3997519819,14.400649785,12.50555381,6.8426413924,14.971407246,13.56755058
050,3,6,01,023,Alabama,Choctaw County,12669,12626,12548,12431,12252,-43,-78,-117,-179,33,131,141,108,53,205,213,200,-20,-74,-72,-92,0,1,2,2,-22,-12,-41,-88,-22,-11,-39,-86,-1,7,-6,-1,66,66,66,66,66,10.407563359,11.289483166,8.7509622007,16.286644951,17.054325634,16.205485557,-5.879081592,-5.764842468,-7.454523356,0.0794470485,0.160134513,0.1620548556,-0.953364583,-3.282757516,-7.130413645,-0.873917534,-3.122623003,-6.968358789
050,3,6,01,025,Alabama,Clarke County,23091,22987,22740,22574,22337,-104,-247,-166,-237,57,300,289,293,101,435,390,366,-44,-135,-101,-73,0,0,0,0,-56,-120,-58,-165,-56,-120,-58,-165,-4,8,-7,1,372,372,372,372,372,13.121350624,12.75543982,13.048028323,19.025958405,17.213223286,16.298902273,-5.904607781,-4.457783466,-3.250873951,0,0,0,-5.24854025,-2.559915258,-7.347865779,-5.24854025,-2.559915258,-7.347865779
050,3,6,01,027,Alabama,Clay County,14237,14212,14170,14183,14111,-25,-42,13,-72,33,142,154,159,39,268,235,230,-6,-126,-81,-71,0,-1,-3,-3,-20,78,103,2,-20,77,100,-1,1,7,-6,0,258,258,258,258,258,10.006342048,10.863048002,11.239131971,18.885208935,16.576729094,16.257863858,-8.878866887,-5.713681092,-5.018731887,-0.070467198,-0.211617818,-0.212059094,5.4964414065,7.2655450922,0.1413727292,5.425974209,7.053927274,-0.070686365
050,3,6,01,029,Alabama,Cleburne County,15057,15064,15156,15372,15639,7,92,216,267,37,176,183,177,48,261,242,229,-11,-85,-59,-52,0,0,-1,-1,14,175,267,322,14,175,266,321,4,2,9,-2,174,174,174,174,174,11.647915288,11.988993711000001,11.415304247,17.273328921,15.854297694,14.768952952,-5.625413633,-3.865303983,-3.353648705,0,-0.065513627,-0.064493244,11.581733951,17.492138365,20.766824675,11.581733951,17.426624738,20.702331431
050,3,6,01,031,Alabama,Coffee County,53459,53549,54199,54840,55643,90,650,641,803,159,726,673,676,174,733,691,630,-15,-7,-18,46,1,26,57,68,91,618,602,695,92,644,659,763,13,13,0,-6,764,706,673,702,761,13.475888184,12.344207119,12.23717676,13.60582099,12.674364218,11.404469466,-0.129932806,-0.3301571,0.8327072943,0.4826075658,1.0454974826,1.230958609,11.471210603,11.041920781,12.581121077,11.953818168,12.087418263,13.812079686
050,3,6,01,033,Alabama,Colbert County,57232,57304,57644,57993,58361,72,340,349,368,166,656,633,636,176,880,891,801,-10,-224,-258,-165,2,10,11,47,68,542,590,489,70,552,601,536,12,12,6,-3,407,407,407,407,407,11.4138567,10.948052959,10.932155319,15.311271183,15.410292553,13.76832769,-3.897414483,-4.462239595,-2.836172371,0.173991718,0.1902505254,0.8078794025,9.4303511153,10.20434636,8.4053835708,9.6043428333,10.394596885,9.2132629733
050,3,6,01,035,Alabama,Conecuh County,11597,11554,11320,11224,11174,-43,-234,-96,-50,29,114,134,134,45,226,221,205,-16,-112,-87,-71,0,0,0,0,-27,-123,-4,20,-27,-123,-4,20,0,1,-5,1,128,128,128,128,128,9.967648859,11.887863733,11.965354049,19.760426685,19.60610362,18.305205822,-9.792777826,-7.718239886,-6.339851772,0,0,0,-10.75456851,-0.354861604,1.7858737387,-10.75456851,-0.354861604,1.7858737387
050,3,6,01,037,Alabama,Coosa County,10378,10335,10314,10307,10268,-43,-21,-7,-39,27,82,86,89,29,180,183,174,-2,-98,-97,-85,0,-1,-2,-1,-33,77,90,49,-33,76,88,48,-8,1,2,-2,312,262,186,286,310,7.9422732336,8.3410115901,8.6512758202,17.434258318,17.748896756,16.913730255,-9.491985084,-9.407885166,-8.262454435,-0.096856991,-0.193977014,-0.097205346,7.4579882803,8.7289656176,4.7630619684,7.3611312897,8.5349886039,4.6658566221
