SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,NPOPCHG2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
050,4,9,02,013,Alaska,Aleutians East Borough,3419,3425,3416,3418,3443,3464,3479,6,-9,2,25,21,15,6,8,18,13,11,11,2,12,7,22,14,14,4,-4,11,-9,-3,-3,0,16,77,81,78,73,0,-24,-87,-50,-55,-57,0,-8,-10,31,23,16,2,3,1,3,1,2,2215,2215,2216,2216,2218,2213,2220,2.338839351,5.267778753,3.789535053,3.185174461,3.168659081,3.508259027,2.048580626,6.413059321,4.053858405,4.032838831,-1.169419675,3.219198127,-2.623524268,-0.868683944,-0.864179749,4.677678702,22.53438689,23.61171841,22.58578254,21.0283739,-7.016518053,-25.46093064,-14.57513482,-15.9258723,-16.41941524,-2.338839351,-2.926543752,9.036583588,6.659910236,4.608958663
050,4,9,02,016,Alaska,Aleutians West Census Area,5232,5177,5106,5026,5101,5173,5240,-55,-71,-80,75,72,67,11,27,22,20,18,17,4,18,19,20,20,19,7,9,3,0,-2,-2,0,65,132,126,124,118,-53,-138,-223,-52,-51,-52,-53,-73,-91,74,73,66,-9,-7,8,1,1,3,2934,2888,2883,2892,2915,2921,2918,5.251385782,4.342676668,3.949837069,3.503990656,3.265149333,3.500923855,3.750493486,3.949837069,3.893322951,3.649284548,1.750461928,0.592183182,0,-0.389332295,-0.384135216,12.64222503,26.05606001,24.88397354,24.1386023,22.66397772,-26.84041622,-44.01894986,-10.26957638,-9.927973525,-9.987515605,-14.19819119,-17.96288985,14.61439716,14.21062877,12.67646212
050,4,9,02,020,Alaska,Anchorage Municipality,291242,290877,288923,286992,286771,287369,287155,-365,-1954,-1931,-221,598,-214,968,3687,3596,3582,3552,3572,488,2154,2561,2215,2265,2207,480,1533,1035,1367,1287,1365,45,525,1112,1424,1451,1136,-886,-3977,-4072,-3022,-2153,-2717,-841,-3452,-2960,-1598,-702,-1581,-4,-35,-6,10,13,2,9075,9061,9133,9190,9682,9887,9884,12.71817868,12.48795395,12.4859916,12.37328875,12.43464155,7.430148327,8.893673546,7.720957957,7.890061657,7.682881829,5.288030355,3.594280406,4.765033646,4.483227088,4.751759718,1.8109693,3.861680977,4.963721955,5.05451632,3.954578051,-13.71852363,-14.14097566,-10.53396611,-7.499912913,-9.458264581,-11.90755433,-10.27929469,-5.57024416,-2.445396593,-5.50368653
050,4,9,02,050,Alaska,Bethel Census Area,18665,18672,18589,18255,18248,18365,18391,7,-83,-334,-7,117,26,109,392,379,425,395,377,29,167,149,160,134,130,80,225,230,265,261,247,0,2,7,65,71,8,-71,-299,-592,-344,-219,-229,-71,-297,-585,-279,-148,-221,-2,-11,21,7,4,0,460,460,470,479,423,401,400,21.04076649,20.57322766,23.28575734,21.57703548,20.51365763,8.963795926,8.088155466,8.766402761,7.319804441,7.073675046,12.07697056,12.4850722,14.51935457,14.25723104,13.43998259,0.107350849,0.379980458,3.561351122,3.878403846,0.43530308,-16.04895199,-32.13549017,-18.84776594,-11.96296397,-12.460550659999999,-15.94160114,-31.75550972,-15.28641482,-8.084560129,-12.02524758
050,4,9,02,060,Alaska,Bristol Bay Borough,841,827,841,878,847,865,847,-14,14,37,-31,18,-18,2,6,17,5,8,8,2,7,8,6,12,12,0,-1,9,-1,-4,-4,0,3,6,7,17,17,-12,11,19,-38,5,-29,-12,14,25,-31,22,-12,-2,1,3,1,0,-2,25,25,25,25,25,25,25,7.194244604,19.77894125,5.797101449,9.345794393,9.345794393,8.393285372,9.307737056,6.956521739,14.01869159,14.01869159,-1.199040767,10.47120419,-1.15942029,-4.672897196,-4.672897196,3.597122302,6.980802792,8.115942029,19.85981308,19.85981308,13.18944844,22.10587551,-44.05797101,5.841121495,-33.87850467,16.78657074,29.0866783,-35.94202899,25.70093458,-14.01869159
050,4,9,02,063,Alaska,Chugach Census Area,7107,7082,6963,6880,6715,6584,6553,-25,-119,-83,-165,-131,-31,17,80,76,70,62,44,10,44,64,53,50,36,7,36,12,17,12,8,0,8,15,3,4,1,-28,-157,-114,-188,-150,-41,-28,-149,-99,-185,-146,-40,-4,-6,4,3,3,1,275,275,275,275,275,275,275,11.39195443,10.98027884,10.29790364,9.324009324,6.698637436,6.265574938,9.246550603,7.796984185,7.519362358,5.480703357,5.126379495,1.733728238,2.500919456,1.804646966,1.217934079,1.139195443,2.167160298,0.441338728,0.601548989,0.15224176,-22.35671057,-16.47041826,-27.65722692,-22.55808707,-6.241912157,-21.21751513,-14.30325796,-27.21588819,-21.95653809,-6.089670397
050,4,9,02,066,Alaska,Copper River Census Area,2614,2616,2635,2644,2694,2683,2666,2,19,9,50,-11,-17,4,23,24,22,36,34,2,16,18,20,29,34,2,7,6,2,7,0,0,-1,-1,0,1,1,0,11,4,48,-19,-17,0,10,3,48,-18,-16,0,2,0,0,0,-1,24,24,24,24,24,24,24,8.760236146,9.09263118,8.242787561,13.39036638,12.71265657,6.094077319,6.819473385,7.493443237,10.78668403,12.71265657,2.666158827,2.273157795,0.749344324,2.603682351,0,-0.380879832,-0.378859633,0,0.371954622,0.373901664,4.189678157,1.51543853,17.98426377,-7.067137809,-6.356328286,3.808798324,1.136578898,17.98426377,-6.695183188,-5.982426622
050,4,9,02,068,Alaska,Denali Borough,1623,1612,1599,1581,1579,1590,1616,-11,-13,-18,-2,11,26,3,21,23,14,15,14,0,8,6,10,8,8,3,13,17,4,7,6,0,9,6,7,0,0,-12,-33,-43,-14,5,20,-12,-24,-37,-7,5,20,-2,-2,2,1,-1,0,23,23,23,23,23,23,23,13.08003737,14.46540881,8.860759494,9.466708741,8.733624454,4.98287138,3.773584906,6.329113924,5.048911329,4.990642545,8.097165992,10.6918239,2.53164557,4.417797412,3.742981909,5.6057303020000004,3.773584906,4.430379747,0,0,-20.55434444,-27.04402516,-8.860759494,3.15556958,12.47660636,-14.94861414,-23.27044025,-4.430379747,3.15556958,12.47660636
050,4,9,02,070,Alaska,Dillingham Census Area,4857,4839,4791,4706,4603,4589,4483,-18,-48,-85,-103,-14,-106,19,88,86,61,66,65,8,43,76,40,48,49,11,45,10,21,18,16,0,2,12,12,11,10,-26,-92,-110,-137,-43,-130,-26,-90,-98,-125,-32,-120,-3,-3,3,1,0,-2,63,63,58,35,59,59,59,18.27622015,18.11098242,13.10559673,14.36031332,14.329806,8.930425753,16.00505423,8.593833924,10.44386423,10.80246914,9.345794393,2.105928188,4.51176281,3.916449086,3.527336861,0.41536864,2.527113825,2.578150177,2.393385553,2.204585538,-19.10695742,-23.16521007,-29.43388119,-9.355961706,-28.65961199,-18.69158879,-20.63809624,-26.85573101,-6.962576153,-26.45502646
050,4,9,02,090,Alaska,Fairbanks North Star Borough,95665,95333,95778,95954,95718,94624,93972,-332,445,176,-236,-1094,-652,335,1396,1444,1355,1267,1252,121,599,687,640,623,632,214,797,757,715,644,620,9,15,172,234,313,186,-522,-425,-679,-1186,-2062,-1447,-513,-410,-507,-952,-1749,-1261,-33,58,-74,1,11,-11,3991,3986,3876,4097,4332,4160,4154,14.60931082,15.06269167,14.13873701,13.31287892,13.27705784,6.268608296,7.166252895,6.678075045,6.546111736,6.702156992,8.340702524,7.896438779,7.460661964,6.766767188,6.574900846,0.156976836,1.79417103,2.441671188,3.288816972,1.972470254,-4.447677004,-7.082803079,-12.37530782,-21.66626388,-15.3449702,-4.290700169,-5.288632049,-9.933636629,-18.37744691,-13.37249995
