SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,NPOPCHG2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
050,4,8,04,001,Arizona,Apache County,66045,65913,65339,65361,65055,64695,64445,-132,-574,22,-306,-360,-250,229,742,701,795,752,771,342,1221,1126,904,900,909,-113,-479,-425,-109,-148,-138,0,23,56,97,99,88,-36,-165,414,-288,-306,-204,-36,-142,470,-191,-207,-116,17,47,-23,-6,-5,4,1199,1200,1126,1184,1197,1206,1131,11.30649438,10.72685539,12.19175561,11.59152216,11.94052966,18.60543077,17.23029839,13.86332965,13.87283237,14.07774508,-7.298936397,-6.503442999,-1.67157404,-2.281310212,-2.137215425,0.35047085,0.856924254,1.48754754,1.526011561,1.36286201,-2.514247402,6.335118592,-4.416635996,-4.716763006,-3.159361933,-2.163776552,7.192042846,-2.929088455,-3.190751445,-1.796499923
050,4,8,04,003,Arizona,Cochise County,125440,125527,126215,125418,124716,125199,126332,87,688,-797,-702,483,1133,319,1229,1230,1252,1228,1244,358,1764,1838,1561,1552,1560,-39,-535,-608,-309,-324,-316,8,122,229,311,240,68,102,1081,-407,-713,557,1385,110,1203,-178,-402,797,1453,16,20,-11,9,10,-4,5077,5076,5173,4097,3420,3481,4346,9.763964694,9.776142239,10.0106343,9.827341296,9.891424914,14.01434802,14.60857678,12.48131002,12.42022288,12.40403767,-4.250383329,-4.832434538,-2.470675718,-2.59288158,-2.512612759,0.969246292,1.820111035,2.486667146,1.920653022,0.540688822,8.588157717,-3.23486983,-5.700944294,4.457515555,11.01255909,9.557404009,-1.414758796,-3.214277147,6.378168577,11.55324791
050,4,8,04,005,Arizona,Coconino County,145111,145182,142851,144078,144554,144658,144368,71,-2331,1227,476,104,-290,335,1325,1280,1324,1288,1321,298,1173,1155,1045,1060,1076,37,152,125,279,228,245,-4,99,299,348,582,326,-21,-2460,771,-143,-725,-879,-25,-2361,1070,205,-143,-553,59,-122,32,-8,19,18,12050,12109,9634,10709,11921,12398,12396,9.200334684,8.922067829,9.174311927,8.906960984,9.141046134,8.144900064,8.050772142,7.241054353,7.330262921,7.445696927,1.05543462,0.871295686,1.933257574,1.576698062,1.695349207,0.687421233,2.084139282,2.411375038,4.024729264,2.255852415,-17.08137609,5.374151794,-0.990881122,-5.013623224,-6.082497768,-16.39395486,7.458291076,1.420493916,-0.98889396,-3.826645354
050,4,8,04,007,Arizona,Gila County,53268,53338,53522,53902,54040,54126,53801,70,184,380,138,86,-325,110,446,493,443,453,452,218,1006,1043,892,862,886,-108,-560,-550,-449,-409,-434,1,9,-3,6,38,-23,200,764,892,572,464,136,201,773,889,578,502,113,-23,-29,41,9,-7,-4,841,834,741,802,839,855,834,8.347370391,9.178582067,8.208111764,8.376014644,8.376031948,18.82837357,19.41837951,16.52739434,15.93846495,16.4185051,-10.48100318,-10.23979744,-8.319282578,-7.562450308,-8.042473153,0.168444694,-0.055853441,0.111170814,0.702623745,-0.426214015,14.29908291,16.60708966,10.59828426,8.579405728,2.520222002,14.46752761,16.55123622,10.70945508,9.282029473,2.094007987
050,4,8,04,009,Arizona,Graham County,38538,38626,38906,38784,39552,40239,40157,88,280,-122,768,687,-82,107,486,495,462,457,464,78,424,459,365,334,348,29,62,36,97,123,116,0,-1,0,55,54,33,46,194,-178,602,504,-228,46,193,-178,657,558,-195,13,25,20,14,6,-3,2664,2664,2534,1997,2437,2846,2478,12.53675902,12.74295276,11.79534314,11.45492599,11.54286283,10.93741939,11.81619256,9.318831699,8.371871514,8.657147122,1.599339628,0.926760201,2.476511438,3.08305448,2.885715707,-0.0257958,0,1.404207516,1.353536113,0.820936365,5.004385286,-4.582314326,15.36968954,12.63300372,-5.671923976,4.978589486,-4.582314326,16.77389706,13.98653984,-4.850987611
050,4,8,04,011,Arizona,Greenlee County,9564,9531,9398,9311,9356,9334,9312,-33,-133,-87,45,-22,-22,32,124,115,100,100,103,19,82,109,80,79,79,13,42,6,20,21,24,0,6,31,34,41,31,-43,-170,-125,-9,-87,-78,-43,-164,-94,25,-46,-47,-3,-11,1,0,3,1,20,20,19,19,4,20,4,13.10159015,12.29354856,10.71409439,10.70090958,11.04794594,8.663954778,11.65214603,8.571275513,8.453718566,8.473667275,4.437635374,0.641402534,2.142818878,2.247191011,2.574278666,0.633947911,3.31391309,3.642792093,4.387372927,3.325109943,-17.961857470000002,-13.36255278,-0.964268495,-9.309791332,-8.366405663,-17.32790956,-10.04863969,2.678523598,-4.922418406,-5.04129572
050,4,8,04,012,Arizona,La Paz County,16554,16562,16358,16460,16615,16670,16711,8,-204,102,155,55,41,38,155,160,156,156,160,81,410,413,379,373,376,-43,-255,-253,-223,-217,-216,1,12,79,111,120,70,59,30,265,254,141,182,60,42,344,365,261,252,-9,9,11,13,11,5,181,181,181,181,181,181,181,9.416767922,9.750746542,9.433106576,9.373591708,9.586291603,24.90886999,25.16911451,22.91761149,22.41249812,22.52778527,-15.49210207,-15.41836797,-13.48450491,-13.03890641,-12.94149366,0.729040097,4.814431105,6.712018141,7.21045516,4.194002576,1.822600243,16.14967396,15.3590325,8.472284813,10.9044067,2.55164034,20.96410506,22.07105064,15.68273997,15.09840928
050,4,8,04,013,Arizona,Maricopa County,4425302,4445025,4500059,4559561,4601077,4654147,4689558,19723,55034,59502,41516,53070,35411,11596,48674,51105,50680,50481,50787,9679,43854,43219,38560,37674,38883,1917,4820,7886,12120,12807,11904,134,5515,19134,28220,42778,22132,18483,43570,32346,2183,-2049,941,18617,49085,51480,30403,40729,23073,-811,1129,136,-1007,-466,434,74813,74637,68518,77400,77992,78758,79065,10.88284917,11.28193015,11.06473152,10.90865008,10.87084834,9.805162255,9.541018277,8.418627611,8.14113197,8.322822692,1.077686917,1.740911871,2.646103907,2.767518107,2.548025649,1.233079533,4.224018226,6.161142925,9.244076643,4.737307096,9.741663689,7.14069685,0.476604359,-0.442776966,0.20141903,10.97474322,11.36471508,6.637747284,8.801299677,4.938726126
050,4,8,04,015,Arizona,Mohave County,213261,214167,217232,220791,223586,226262,228102,906,3065,3559,2795,2676,1840,402,1739,1760,1743,1690,1685,1020,4293,4538,4041,3835,3932,-618,-2554,-2778,-2298,-2145,-2247,2,33,123,148,195,-79,1738,5925,5837,4802,4522,4175,1740,5958,5960,4950,4717,4096,-216,-339,377,143,104,-9,4308,4311,3704,4161,4553,4561,4545,8.062142008,8.036107693,7.844690432,7.513649055,7.416960851,19.90268869,20.72037313,18.18725992,17.05020362,17.30770924,-11.84054669,-12.68426544,-10.34256948,-9.53655457,-9.890748387,0.152990619,0.561614345,0.666101081,0.866959506,-0.347738817,27.46877021,26.65156853,21.61227966,20.10456865,18.37733623,27.62176083,27.21318287,22.27838074,20.97152816,18.02959742
050,4,8,04,017,Arizona,Navajo County,106712,106748,107679,108671,109197,109563,109946,36,931,992,526,366,383,318,1264,1257,1196,1243,1260,453,1783,1821,1447,1356,1370,-135,-519,-564,-251,-113,-110,0,11,41,84,164,96,164,1462,1480,699,327,396,164,1473,1521,783,491,492,7,-23,35,-6,-12,1,2042,2041,1871,1738,1553,1600,1516,11.78956008,11.62006009,10.97912498,11.36405193,11.4801671,16.63036838,16.83383407,13.28327244,12.39714756,12.48240391,-4.840808294,-5.213773977,-2.304147465,-1.03309563,-1.00223681,0.10259902,0.379015484,0.771109112,1.499360029,0.874679398,13.63634244,13.68153455,6.416729396,2.989577619,3.608052517,13.73894146,14.06055004,7.187838508,4.488937649,4.482731915
050,4,8,04,019,Arizona,Pima County,1043431,1045245,1049271,1058224,1065239,1073456,1074685,1814,4026,8953,7015,8217,1229,2357,9804,10231,9992,9900,9984,2939,12832,12617,11450,11352,11705,-582,-3028,-2386,-1458,-1452,-1721,64,1162,3393,4746,5716,3239,2312,5280,7890,3804,3965,-350,2376,6442,11283,8550,9681,2889,20,612,56,-77,-12,61,27484,26776,23569,27194,27180,27903,27199,9.361589981,9.70915708,9.411042246,9.257982087,9.295479207,12.25295009,11.97345664,10.78427079,10.61581946,10.89779488,-2.891360104,-2.264299559,-1.373228542,-1.357837373,-1.602315677,1.109564214,3.219936465,4.470056695,5.345315718,3.015630724,5.041737566,7.487562248,3.582826732,3.707868583,-0.325863153,6.151301781,10.70749871,8.052883427,9.053184302,2.689767571
