SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,NPOPCHG2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
050,3,7,05,001,Arkansas,Arkansas County,17146,17106,16670,16464,16334,16092,15836,-40,-436,-206,-130,-242,-256,52,194,180,213,196,198,71,319,343,273,269,275,-19,-125,-163,-60,-73,-77,0,1,4,5,7,-3,-22,-302,-38,-74,-178,-176,-22,-301,-34,-69,-171,-179,1,-10,-9,-1,2,0,324,324,302,302,303,307,300,11.48744671,10.86497254,12.98859687,12.08906433,12.40290654,18.88915206,20.70380878,16.64735655,16.59162401,17.22625908,-7.401705353,-9.838836241,-3.65875968,-4.502559674,-4.823352543,0.059213643,0.241443834,0.30489664,0.431752298,-0.187922826,-17.88252013,-2.293716424,-4.512470273,-10.97884414,-11.02480581,-17.82330649,-2.05227259,-4.207573633,-10.54709184,-11.21272864
050,3,7,05,003,Arkansas,Ashley County,19060,18959,18642,18308,18254,18024,17831,-101,-317,-334,-54,-230,-193,40,214,198,181,168,164,62,328,348,270,252,258,-22,-114,-150,-89,-84,-94,0,-1,-2,0,10,4,-69,-201,-178,40,-155,-103,-69,-202,-180,40,-145,-99,-10,-1,-4,-5,-1,0,158,158,141,143,152,158,159,11.38267599,10.71718539,9.900990099,9.261811566,9.147957049,17.44634451,18.83626522,14.76943274,13.89271735,14.39129829,-6.063668519,-8.119079838,-4.868442645,-4.630905783,-5.243341236,-0.053190075,-0.108254398,0,0.551298308,0.223120904,-10.69120502,-9.634641407,2.18806411,-8.545123766,-5.745363269,-10.7443951,-9.742895805,2.18806411,-7.993825459,-5.522242365
050,3,7,05,005,Arkansas,Baxter County,41634,41692,42182,42384,42746,42859,42982,58,490,202,362,113,123,77,349,354,333,360,359,194,858,962,801,830,835,-117,-509,-608,-468,-470,-476,0,-1,-4,-4,-3,-26,197,1042,779,814,576,625,197,1041,775,810,573,599,-22,-42,35,20,10,0,521,521,456,455,464,467,480,8.32200682,8.372159024,7.823329026,8.410723673,8.364301441,20.45926032,22.7514604,18.81827793,19.39139069,19.45457299,-12.1372535,-14.37930137,-10.9949489,-10.98066702,-11.09027155,-0.023845292,-0.094600667,-0.093973922,-0.070089364,-0.605771135,24.846794,18.42347989,19.12369318,13.45715788,14.56180613,24.82294871,18.32887922,19.02971925,13.38706851,13.956035
050,3,7,05,007,Arkansas,Benton County,284333,286597,294169,303380,311656,322001,332554,2264,7572,9211,8276,10345,10553,916,3556,3963,3861,3871,3949,503,2468,2521,2352,2269,2277,413,1088,1442,1509,1602,1672,34,329,1508,1343,2906,1591,1947,6336,6001,5306,5749,7335,1981,6665,7509,6649,8655,8926,-130,-181,260,118,88,-45,3015,3015,2888,2877,3002,3205,3281,12.24589594,13.26418419,12.55536261,12.2179665,12.06621292,8.499120128,8.437801754,7.648332781,7.161603202,6.957398538,3.74677581,4.826382439,4.907029832,5.056363301,5.108814385,1.132986435,5.047284825,4.367224032,9.172154652,4.861317995,21.81945913,20.08538212,17.25427455,18.14546356,22.41217316,22.95244556,25.13266694,21.62149858,27.31761821,27.27349115
050,3,7,05,009,Arkansas,Boone County,37372,37386,37879,38234,38480,38531,38628,14,493,355,246,51,97,91,380,389,431,422,424,122,567,605,561,603,607,-31,-187,-216,-130,-181,-183,0,4,-3,9,13,-4,38,687,574,366,224,286,38,691,571,375,237,282,7,-11,0,1,-5,-2,446,446,423,443,451,449,462,10.09765495,10.22164413,11.23654092,10.95947332,10.99029277,15.0667641,15.89741569,14.6257528,15.66010051,15.73374461,-4.969109148,-5.67577155,-3.389211878,-4.700627183,-4.743451833,0.106291105,-0.07883016,0.234637745,0.337614107,-0.103682007,18.25549724,15.08283736,9.541934979,5.817350768,7.413263521,18.36178835,15.0040072,9.776572725,6.154964875,7.309581514
050,3,7,05,011,Arkansas,Bradley County,10552,10501,10338,10168,10142,9997,9828,-51,-163,-170,-26,-145,-169,28,110,126,104,114,116,45,177,161,148,140,142,-17,-67,-35,-44,-26,-26,0,-1,3,41,8,-9,-33,-96,-139,-21,-127,-132,-33,-97,-136,20,-119,-141,-1,1,1,-2,0,-2,218,218,205,186,202,207,203,10.55712846,12.28908612,10.24126046,11.32131685,11.70239597,16.98737943,15.70272116,14.57410143,13.90337157,14.32534678,-6.430250972,-3.413635034,-4.332840965,-2.58205472,-2.62295082,-0.095973895,0.292597289,4.03741999,0.794478375,-0.907944515,-9.21349393,-13.55700771,-2.067946824,-12.61234421,-13.31651955,-9.309467825,-13.26441042,1.969473166,-11.81786583,-14.22446406
050,3,7,05,013,Arkansas,Calhoun County,4743,4738,4728,4704,4648,4677,4632,-5,-10,-24,-56,29,-45,16,41,55,45,45,46,22,86,76,90,83,83,-6,-45,-21,-45,-38,-37,0,0,0,-1,0,0,0,36,1,-9,66,-8,0,36,1,-10,66,-8,1,-1,-4,-1,1,0,153,153,150,153,153,153,153,8.662581872,11.66242579,9.623609923,9.651474531,9.882909013,18.17029368,16.11535199,19.24721985,17.80160858,17.83220539,-9.507711811,-4.452926209,-9.623609923,-8.150134048,-7.94929638,0,0,-0.213857998,0,0,7.606169449,0.212044105,-1.924721985,14.15549598,-1.718766785,7.606169449,0.212044105,-2.138579983,14.15549598,-1.718766785
050,3,7,05,015,Arkansas,Carroll County,28261,28245,28533,28695,28806,29089,29263,-16,288,162,111,283,174,81,343,310,320,330,329,80,367,443,350,367,371,1,-24,-133,-30,-37,-42,0,41,72,33,102,4,-22,271,211,109,220,214,-22,312,283,142,322,218,5,0,12,-1,-2,-2,233,233,199,198,209,210,259,12.08214449,10.83385755,11.13024121,11.39994818,11.27639156,12.92754236,15.48193192,12.17370133,12.67812419,12.7159309,-0.845397865,-4.648074369,-1.043460114,-1.278176008,-1.439539347,1.444221353,2.516250786,1.147806125,3.523620347,0.137098986,9.545950897,7.374012721,3.791238413,7.599965455,7.334795723,10.99017225,9.890263507,4.939044538,11.1235858,7.471894708
050,3,7,05,017,Arkansas,Chicot County,10208,10154,10038,9826,9508,9322,9107,-54,-116,-212,-318,-186,-215,28,99,91,85,83,85,37,187,180,193,168,172,-9,-88,-89,-108,-85,-87,0,0,-1,-1,-2,-6,-42,-36,-122,-212,-99,-120,-42,-36,-123,-213,-101,-126,-3,8,0,3,0,-2,678,678,672,680,683,694,705,9.805863708,9.162303665,8.792800248,8.815719596,9.224591676,18.52218701,18.12323802,19.9648288,17.84386617,18.66623257,-8.716323296,-8.960934354,-11.17202855,-9.028146575,-9.441640892,0,-0.100684656,-0.103444709,-0.212426978,-0.651147648,-3.565768621,-12.28352799,-21.93027827,-10.51513542,-13.02295295,-3.565768621,-12.38421265,-22.03372298,-10.7275624,-13.6741006
050,3,7,05,019,Arkansas,Clark County,21459,21404,21246,21113,20891,20952,20938,-55,-158,-133,-222,61,-14,60,240,243,229,226,226,65,292,304,288,271,278,-5,-52,-61,-59,-45,-52,0,4,8,-6,-2,-12,-50,-113,-77,-161,109,48,-50,-109,-69,-167,107,36,0,3,-3,4,-1,2,2857,2856,2700,2565,2375,2438,2430,11.25439625,11.47335867,10.90372346,10.80228473,10.79016472,13.69284877,14.35350221,13.71297972,12.95318213,13.27285748,-2.438452521,-2.880143535,-2.809256261,-2.150897402,-2.482692767,0.187573271,0.377723742,-0.285687077,-0.09559544,-0.5729291,-5.2989449,-3.63559102,-7.665936577,5.209951485,2.2917164,-5.11137163,-3.257867277,-7.951623655,5.114356045,1.7187873
050,3,7,05,021,Arkansas,Clay County,14553,14535,14344,14230,14172,14078,14052,-18,-191,-114,-58,-94,-26,40,172,145,157,130,139,46,288,257,245,244,246,-6,-116,-112,-88,-114,-107,0,0,-2,3,6,3,-13,-75,7,28,17,78,-13,-75,5,31,23,81,1,0,-7,-1,-3,0,154,154,121,115,129,128,115,11.9117698,10.14908658,11.05555947,9.203539823,9.882687522,19.94528896,17.98838105,17.25230618,17.27433628,17.49022396,-8.033519166,-7.839294463,-6.196746708,-8.07079646,-7.607536438,0,-0.139987401,0.211252729,0.424778761,0.213295414,-5.194085668,0.489955904,1.971692134,1.203539823,5.545680768,-5.194085668,0.349968503,2.182944863,1.628318584,5.758976182
050,3,7,05,023,Arkansas,Cleburne County,24717,24712,25012,25256,25478,25641,25672,-5,300,244,222,163,31,48,211,228,227,229,231,88,473,462,405,419,426,-40,-262,-234,-178,-190,-195,0,-1,-3,-3,15,1,33,581,456,399,336,223,33,580,453,396,351,224,2,-18,25,4,2,2,258,258,229,244,261,264,277,8.486847398,9.071377417,8.948634052,8.959486688,9.003566348,19.0250181,18.38147529,15.96562463,16.39312193,16.6039795,-10.5381707,-9.310097875,-7.016990578,-7.433635243,-7.600413151,-0.040222026,-0.119360229,-0.118263886,0.58686594,0.038976478,23.36899686,18.14275483,15.72909686,13.14579706,8.691754526,23.32877484,18.02339461,15.61083297,13.732663,8.730731004
050,3,7,05,025,Arkansas,Cleveland County,7549,7551,7487,7468,7388,7375,7224,2,-64,-19,-80,-13,-151,16,74,69,80,71,73,28,135,125,122,124,125,-12,-61,-56,-42,-53,-52,0,0,1,1,3,3,13,-10,39,-37,38,-102,13,-10,40,-36,41,-99,1,7,-3,-2,-1,0,72,72,71,75,80,79,80,9.841734273,9.227683049,10.77005924,9.618641198,10.00068498,17.95451523,16.71681712,16.42434033,16.79875364,17.12446058,-8.112780955,-7.489134069,-5.654281099,-7.180112443,-7.123775601,0,0.133734537,0.13462574,0.406421459,0.410987054,-1.329964091,5.215646941,-4.981152396,5.148005148,-13.97355983,-1.329964091,5.349381478,-4.846526656,5.554426607,-13.56257278
050,3,7,05,027,Arkansas,Columbia County,22800,22747,22471,22313,22192,22014,21894,-53,-276,-158,-121,-178,-120,57,270,269,225,243,232,79,369,305,314,286,291,-22,-99,-36,-89,-43,-59,0,6,27,16,14,2,-33,-180,-140,-42,-150,-64,-33,-174,-113,-26,-136,-62,2,-3,-9,-6,1,1,2008,2005,1791,1894,1968,1911,1910,11.94214693,12.01321901,10.11122346,10.99398272,10.56755033,16.32093414,13.62093605,14.11077407,12.93941999,13.2549877,-4.378787209,-1.607717042,-3.999550612,-1.945437271,-2.687437369,0.265381043,1.205787781,0.719020335,0.633398181,0.091099572,-7.961431288,-6.25223294,-1.887428379,-6.786409085,-2.915186299,-7.696050245,-5.046445159,-1.168408044,-6.153010903,-2.824086727
050,3,7,05,029,Arkansas,Conway County,20710,20733,20909,21088,21087,21388,21393,23,176,179,-1,301,5,45,204,245,201,216,220,58,303,303,329,314,321,-13,-99,-58,-128,-98,-101,0,11,28,17,16,1,34,261,210,111,384,105,34,272,238,128,400,106,2,3,-1,-1,-1,0,167,167,164,191,209,204,203,9.797800298,11.66750006,9.5317131,10.17068864,10.28493958,14.55261515,14.42960211,15.60165975,14.78516775,15.00666184,-4.75481485,-2.762102055,-6.069946651,-4.614479105,-4.72172226,0.528312761,1.333428578,0.80616479,0.753384344,0.046749725,12.53542097,10.00071434,5.263781861,18.081224250000002,4.908721161,13.06373373,11.33414292,6.069946651,18.83460859,4.955470887
050,3,7,05,031,Arkansas,Craighead County,111242,111624,111720,112808,114216,116378,116957,382,96,1088,1408,2162,579,356,1511,1545,1483,1544,1575,262,1239,1184,1149,1111,1111,94,272,361,334,433,464,4,35,85,64,382,167,275,-261,686,1002,1344,-64,279,-226,771,1066,1726,103,9,50,-44,8,3,12,3943,3939,3148,3046,3474,3671,3717,13.53069704,13.76220338,13.06469801,13.39150195,13.49990357,11.09499248,10.5465688,10.12227782,9.63598359,9.522789123,2.435704563,3.215634576,2.942420185,3.755518357,3.977114449,0.313417867,0.757143875,0.563817041,3.313182477,1.431418347,-2.337201805,6.110596451,8.827260554,11.65685144,-0.54856751,-2.023783939,6.867740326,9.391077595,14.97003391,0.882850837
050,3,7,05,033,Arkansas,Crawford County,60140,60164,60410,61068,61765,62256,62657,24,246,658,697,491,401,171,725,711,674,678,673,167,853,856,797,772,775,4,-128,-145,-123,-94,-102,2,63,174,82,139,90,3,268,643,735,444,412,5,331,817,817,583,502,15,43,-14,3,2,1,679,679,618,618,624,652,661,12.02580988,11.70582328,10.97424959,10.93363221,10.77549975,14.14898734,14.09308681,12.97696873,12.44950452,12.40863641,-2.123177468,-2.387263537,-2.002719139,-1.515872312,-1.633136663,1.04500141,2.864716245,1.335146093,2.241555866,1.441002938,4.445402823,10.586279,11.96746803,7.160077729,6.596591228,5.490404233,13.45099524,13.30261412,9.401633594,8.037594166
