SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,NPOPCHG2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
050,4,9,06,001,California,Alameda County,1682246,1680489,1644275,1633138,1633055,1636624,1636630,-1757,-36214,-11137,-83,3569,6,4374,16770,16981,16585,16179,16073,2660,11645,11038,10868,10477,10480,1714,5125,5943,5717,5702,5593,160,4233,15793,20121,19919,10373,-3826,-43102,-33560,-26253,-22233,-15960,-3666,-38869,-17767,-6132,-2314,-5587,195,-2470,687,332,181,0,53909,53682,44443,50906,50181,49839,50793,10.08793406,10.36244135,10.15555419,9.896384324,9.820808284,7.005008476,6.735800462,6.654842503,6.40858017,6.403413851,3.082925585,3.62664089,3.500711685,3.487804155,3.417394434,2.546346147,9.637479317,12.3207661,12.18407067,6.338035484,-25.92785533,-20.47956727,-16.07559627,-13.59950013,-9.751763841,-23.38150918,-10.84208795,-3.754830165,-1.415429466,-3.413728357
050,4,9,06,003,California,Alpine County,1178,1180,1194,1149,1105,1086,1043,2,14,-45,-44,-19,-43,2,7,10,4,3,3,3,36,21,15,14,14,-1,-29,-11,-11,-11,-11,0,0,1,2,5,1,3,48,-35,-37,-14,-33,3,48,-34,-35,-9,-32,0,-5,0,2,1,0,29,29,29,29,29,29,29,5.897219882,8.536064874,3.549245785,2.738475582,2.818224519,30.32855939,17.92573624,13.3096717,12.77955272,13.15171442,-24.43133951,-9.389671362,-9.760425909,-10.04107713,-10.3334899,0,0.853606487,1.774622893,4.56412597,0.939408173,40.43807919,-29.87622706,-32.83052351,-12.77955272,-31.0004697,40.43807919,-29.02262057,-31.05590062,-8.215426746,-30.06106153
050,4,9,06,005,California,Amador County,40487,40567,41225,41465,41783,41974,41876,80,658,240,318,191,-98,53,314,324,317,303,303,116,504,580,540,506,505,-63,-190,-256,-223,-203,-202,0,8,37,41,32,24,157,888,442,498,358,81,157,896,479,539,390,105,-14,-48,17,2,4,-1,4319,4314,4170,4145,4195,4308,4207,7.67801252,7.836497763,7.615798578,7.235216161,7.227191413,12.32394366,14.02829846,12.97328464,12.0825722,12.04531902,-4.645931142,-6.191800701,-5.357486066,-4.847356042,-4.818127609,0.195618153,0.894908695,0.985008649,0.764115238,0.572450805,21.71361502,10.6905309,11.96425139,8.548539227,1.932021467,21.90923318,11.58543959,12.94926004,9.312654465,2.504472272
050,4,9,06,007,California,Butte County,211629,210204,206353,207312,207286,208586,209211,-1425,-3851,959,-26,1300,625,484,2009,2044,1904,2036,1985,519,2492,2599,2303,2222,2217,-35,-483,-555,-399,-186,-232,1,64,272,386,625,329,-1249,-3265,1214,38,866,504,-1248,-3201,1486,424,1491,833,-142,-167,28,-51,-5,24,4957,4939,2764,4769,4552,4376,4516,9.645738758,9.882392757,9.184800699,9.7914743,9.502222371,11.96474912,12.56572347,11.10955673,10.6859803,10.61280957,-2.319010364,-2.683330714,-1.924756029,-0.894506002,-1.110587199,0.307280876,1.315073792,1.862044679,3.005732533,1.574927537,-15.67612596,5.869483761,0.183310098,4.164742998,2.41265495,-15.36884508,7.184557553,2.045354777,7.170475531,3.987582486
050,4,9,06,009,California,Calaveras County,45285,45349,46259,46545,46563,46496,46605,64,910,286,18,-67,109,84,361,383,372,373,366,126,588,624,592,548,542,-42,-227,-241,-220,-175,-176,0,8,22,45,23,4,123,1182,481,190,88,287,123,1190,503,235,111,291,-17,-53,24,3,-3,-6,442,442,410,377,371,391,414,7.881407737,8.253954571,7.990720454,8.016419691,7.862428975,12.83730679,13.44769622,12.71641535,11.77747451,11.64326914,-4.955899048,-5.193741649,-4.725694892,-3.761054815,-3.780840163,0.174657235,0.474117495,0.96661941,0.494310061,0.085928186,25.8056065,10.3659325,4.081281952,1.891273278,6.165347311,25.98026373,10.84005,5.047901362,2.38558334,6.251275497
050,4,9,06,011,California,Colusa County,21835,21858,21949,21927,22052,22016,21836,23,91,-22,125,-36,-180,64,293,273,276,245,247,39,196,193,200,197,196,25,97,80,76,48,51,0,6,34,63,87,-46,-7,-32,-138,-10,-169,-187,-7,-26,-104,53,-82,-233,5,20,2,-4,-2,2,159,151,162,146,159,153,148,13.37685758,12.44416082,12.55144501,11.11917945,11.26516465,8.948341589,8.797520284,9.095250006,8.940727966,8.939158989,4.428515991,3.646640532,3.456195002,2.178451484,2.326005655,0.273928824,1.549822226,2.865003752,3.948443315,-2.097965885,-1.460953729,-6.290454918,-0.4547625,-7.6699646,-8.528687403,-1.187024905,-4.740632692,2.410241252,-3.721521285,-10.62665329
050,4,9,06,013,California,Contra Costa County,1166035,1166249,1164370,1160163,1161953,1169534,1170070,214,-1879,-4207,1790,7581,536,2937,11724,11753,11521,11229,11195,2048,9040,8997,8814,8337,8327,889,2684,2756,2707,2892,2868,130,1676,7368,9735,9415,4331,-1011,-6777,-14620,-10761,-4729,-6721,-881,-5101,-7252,-1026,4686,-2390,206,538,289,109,3,58,11259,11115,10605,10837,10954,11067,10885,10.0608465,10.11213865,9.922846232,9.632479186,9.569995606,7.757595729,7.74090968,7.591352026,7.151659006,7.118298652,2.303250767,2.371228974,2.331494206,2.48082018,2.451696954,1.438244518,6.339337837,8.384594051,8.076390733,3.702335951,-5.815622373,-12.57887068,-9.268270836,-4.056638532,-5.745416746,-4.377377855,-6.239532844,-0.883676784,4.019752201,-2.043080795
050,4,9,06,015,California,Del Norte County,27749,27619,27549,26694,26520,26959,26410,-130,-70,-855,-174,439,-549,72,264,263,272,256,232,77,362,396,374,389,389,-5,-98,-133,-102,-133,-157,0,11,3,-3,-3,-20,-108,-2,-782,-61,568,-370,-108,9,-779,-64,565,-390,-17,19,57,-8,7,-2,3061,2913,2481,2037,1982,2596,2423,9.570765661,9.697103774,10.22287368,9.573851418,8.694185763,13.12354988,14.60096234,14.05645131,14.54776641,14.57775113,-3.552784223,-4.903858562,-3.83357763,-4.973914995,-5.883565366,0.398781903,0.110613351,-0.112752283,-0.112193571,-0.749498773,-0.0725058,-28.8332135,-2.292629759,21.24198283,-13.86572729,0.326276102,-28.72260015,-2.405382042,21.12978926,-14.61522607
050,4,9,06,017,California,El Dorado County,191189,191237,193631,192914,192090,192371,192323,48,2394,-717,-824,281,-48,391,1499,1633,1429,1421,1400,412,1885,1922,1827,1767,1756,-21,-386,-289,-398,-346,-356,0,86,259,337,400,167,29,2739,-599,-752,264,140,29,2825,-340,-415,664,307,40,-45,-88,-11,-37,1,1260,1235,1116,1293,1176,1229,1232,7.789683736,8.449210312,7.423299498,7.392167216,7.278512272,9.795566272,9.944508401,9.490810485,9.192089705,9.129333964,-2.005882536,-1.495298089,-2.067510987,-1.799922489,-1.850821692,0.446906472,1.340076835,1.750631162,2.080835247,0.868222535,14.23345147,-3.099251057,-3.90645292,1.373351263,0.727851227,14.68035794,-1.759174223,-2.155821758,3.454186511,1.596073763
050,4,9,06,019,California,Fresno County,1008661,1009563,1012952,1017870,1025304,1033698,1035456,902,3389,4918,7434,8394,1758,3320,13675,14052,13648,13106,13109,1915,9603,9195,8022,7732,7725,1405,4072,4857,5626,5374,5384,4,559,4450,8354,9987,861,-794,-2044,-3874,-6502,-6965,-4548,-790,-1485,576,1852,3022,-3687,287,802,-515,-44,-2,61,18423,18330,16642,18065,18506,17305,18164,13.52276745,13.83873131,13.35960618,12.73043931,12.67087902,9.49609768,9.055446514,7.852488334,7.510434667,7.466819773,4.026669765,4.783284798,5.507117847,5.220004643,5.204059244,0.552777112,4.38246188,8.177472893,9.700816221,0.832224184,-2.021245825,-3.815203893,-6.364607224,-6.765413535,-4.395999524,-1.468468713,0.567257987,1.812865669,2.935402685,-3.56377534
