SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,NPOPCHG2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
050,4,8,08,001,Colorado,Adams County,519580,520411,523159,528035,537158,549257,554668,831,2748,4876,9123,12099,5411,1510,6059,6302,6293,6455,6730,919,3713,4057,3375,3366,3374,591,2346,2245,2918,3089,3356,36,480,2508,4586,8050,1593,52,-502,302,1610,951,383,88,-22,2810,6196,9001,1976,152,424,-179,9,9,79,4476,4476,4471,4514,4544,4603,4591,11.61206244,11.99017498,11.81569913,11.88312017,12.19285731,7.115957722,7.718841622,6.336879796,6.19652711,6.112734108,4.496104718,4.27133336,5.478819331,5.686593061,6.080123197,0.919919124,4.771716734,8.610646146,14.81938302,2.88606563,-0.962082084,0.57458471,3.022926362,1.750712205,0.693887719,-0.04216296,5.346301444,11.63357251,16.57009522,3.579953348
050,4,8,08,003,Colorado,Alamosa County,16378,16377,16584,16630,16695,16691,16688,-1,207,46,65,-4,-3,56,197,202,180,174,175,42,165,211,172,177,177,14,32,-9,8,-3,-2,0,10,67,26,37,15,-18,157,-2,35,-38,-15,-18,167,65,61,-1,0,3,8,-10,-4,0,-1,960,959,988,965,961,968,934,11.95352083,12.16354549,10.80270068,10.42353082,10.48563468,10.01183217,12.70548564,10.32258065,10.60324687,10.60547051,1.941688662,-0.541940146,0.48012003,-0.179716049,-0.11983582500000001,0.606777707,4.034443307,1.560390098,2.216497933,0.898768687,9.52641,-0.120431143,2.100525131,-2.276403283,-0.898768687,10.13318771,3.914012164,3.660915229,-0.05990535,0
050,4,8,08,005,Colorado,Arapahoe County,655085,655269,657020,659472,665778,675760,673820,184,1751,2452,6306,9982,-1940,1861,7518,7606,7668,7637,8005,1448,4624,4954,4699,4655,4673,413,2894,2652,2969,2982,3332,87,970,5746,9801,13716,4621,-538,-2600,-5690,-6490,-6781,-9859,-451,-1630,56,3311,6935,-5238,222,487,-256,26,65,-34,5407,5404,5311,5417,5514,5693,5686,11.45784199,11.55495058,11.5721562,11.3854397,11.86294996,7.047228164,7.526061685,7.091492171,6.939795966,6.925117444,4.410613821,4.028888896,4.480664026,4.445643731,4.937832511,1.478332898,8.729259274,14.79117148,20.44817217,6.848056432,-3.962541788,-8.644184697,-9.794378419,-10.10929247,-14.61047141,-2.48420889,0.085074577,4.996793058,10.3388797,-7.762414974
050,4,8,08,007,Colorado,Archuleta County,13356,13426,13808,13975,14156,14134,14306,70,382,167,181,-22,172,28,121,106,101,110,111,23,123,154,152,143,144,5,-2,-48,-51,-33,-33,0,2,8,8,25,11,72,407,193,217,-19,198,72,409,201,225,6,209,-7,-25,14,7,5,-4,97,97,97,97,97,97,97,8.885951384,7.630565454,7.180690342,7.776599505,7.805907173,9.032826614,11.08591585,10.80658348,10.10957936,10.12658228,-0.146875229,-3.455350394,-3.625893143,-2.332979852,-2.320675105,0.14687523,0.575891732,0.568767552,1.767408978,0.773558369,29.8891092,13.89338804,15.42781984,-1.343230824,13.92405063,30.03598443,14.46927978,15.9965874,0.424178155,14.697609
050,4,8,08,009,Colorado,Baca County,3506,3478,3491,3430,3375,3386,3347,-28,13,-61,-55,11,-39,5,35,34,42,34,37,20,70,79,51,56,55,-15,-35,-45,-9,-22,-18,0,1,7,10,12,12,-13,45,-20,-58,20,-33,-13,46,-13,-48,32,-21,0,2,-3,2,1,0,54,54,50,50,41,42,48,10.04448271,9.825169773,12.34386481,10.05768378,10.9906431,20.08896542,22.82907094,14.98897869,16.56559681,16.33744245,-10.04448271,-13.00390117,-2.645113887,-6.507913031,-5.346799347,0.28698522,2.022829071,2.93901543,3.549770744,3.564532898,12.914334909999999,-5.779511631,-17.04628949,5.916284573,-9.802465469,13.20132013,-3.75668256,-14.10727406,9.466055317,-6.237932571
050,4,8,08,011,Colorado,Bent County,5643,5472,5336,5428,5711,5745,5716,-171,-136,92,283,34,-29,7,36,42,46,38,39,21,77,84,68,73,74,-14,-41,-42,-22,-35,-35,0,0,0,-1,-1,-2,-130,-84,123,295,70,8,-130,-84,123,294,69,6,-27,-11,11,11,0,0,1553,1402,1162,1308,1511,1598,1611,6.66173205,7.803790413,8.259269234,6.634078212,6.805688858,14.24870466,15.60758083,12.20935452,12.74441341,12.91335835,-7.586972613,-7.803790412,-3.950085286,-6.110335196,-6.107669488,0,0,-0.179549331,-0.174581006,-0.349009685,-15.54404145,22.85395764,52.967052700000004,12.22067039,1.39603874,-15.54404145,22.85395764,52.78750337,12.04608939,1.047029055
050,4,8,08,013,Colorado,Boulder County,330761,330982,327325,327914,327945,329485,328560,221,-3657,589,31,1540,-925,629,2499,2446,2410,2326,2388,558,2126,2185,2162,2144,2144,71,373,261,248,182,244,23,334,1225,1789,2415,1064,-2,-4247,-624,-1976,-1053,-2248,21,-3913,601,-187,1362,-1184,129,-117,-273,-30,-4,15,15318,15309,12154,14517,15222,15626,15372,7.592202422,7.465978063,7.3491405930000004,7.076038514,7.257862304,6.458992537,6.669322186,6.592880482,6.5223674,6.516271684,1.133209885,0.796655877,0.756260111,0.553671113,0.741590621,1.014724133,3.739093674,5.45544088,7.346789772,3.233821395,-12.90279459,-1.904648533,-6.025685399,-3.20338287,-6.832359489,-11.88807046,1.834445141,-0.570244519,4.143406903,-3.598538094
050,4,8,08,014,Colorado,Broomfield County,74103,74482,75413,76133,76972,78403,79174,379,931,720,839,1431,771,146,643,613,654,674,685,152,458,521,473,518,511,-6,185,92,181,156,174,1,58,173,339,545,302,410,663,465,326,720,286,411,721,638,665,1265,588,-26,25,-10,-7,10,9,482,482,433,452,474,476,479,8.579338871,8.089952886,8.543156657,8.675784393,8.694162219,6.110944328,6.875800087,6.178766206,6.66773934,6.485718093,2.468394543,1.214152799,2.364390451,2.008045052,2.208444126,0.773875046,2.283135154,4.428333497,7.015285599,3.833046701,8.846192335,6.136750558,4.258515398,9.267900241,3.629971379,9.620067381,8.419885711,8.686848895,16.28318584,7.46301808
050,4,8,08,015,Colorado,Chaffee County,19475,19486,19731,20252,20596,20796,20831,11,245,521,344,200,35,34,150,150,175,163,173,66,171,187,212,191,195,-32,-21,-37,-37,-28,-22,0,4,11,24,17,1,45,273,494,343,204,55,45,277,505,367,221,56,-2,-11,53,14,7,1,1312,1241,931,1214,1236,1129,1146,7.649743734,7.503188855,8.56835096,7.875918052,8.311912941,8.720707856,9.35397544,10.37994516,9.22883649,9.368919211,-1.070964123,-1.850786584,-1.811594203,-1.352918438,-1.05700627,0.203993166,0.550233849,1.175088132,0.821414766,0.04804574,13.9225336,24.71050196,16.79396788,9.856977194,2.642515675,14.12652676,25.26073581,17.96905601,10.67839196,2.690561415
050,4,8,08,017,Colorado,Cheyenne County,1749,1746,1718,1729,1718,1692,1713,-3,-28,11,-11,-26,21,8,21,14,13,19,19,5,24,29,28,21,21,3,-3,-15,-15,-2,-2,0,4,10,12,2,-1,-6,-27,17,-8,-27,25,-6,-23,27,4,-25,24,0,-2,-1,0,1,-1,23,23,24,24,17,20,27,12.12471132,8.123005512,7.542790833,11.14369502,11.16005874,13.85681293,16.8262257,16.24601102,12.31671554,12.33480176,-1.732101617,-8.703220191,-8.703220191,-1.173020528,-1.174743025,2.309468822,5.802146794,6.962576153,1.173020528,-0.587371512,-15.58891455,9.86364955,-4.641717435,-15.83577713,14.68428781,-13.27944573,15.66579635,2.320858718,-14.6627566,14.0969163
