SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,NPOPCHG2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
050,3,5,12,001,Florida,Alachua County,278478,279767,281889,284908,287873,289446,290028,1289,2122,3019,2965,1573,582,600,2524,2627,2599,2549,2617,544,2342,2489,2319,2318,2296,56,182,138,280,231,321,15,429,1887,2306,2157,1464,1312,1301,1180,421,-826,-1213,1327,1730,3067,2727,1331,251,-94,210,-186,-42,11,10,17634,18576,19682,19456,19989,20309,20410,8.987707778,9.26963269,9.075021692,8.830473274,9.032329319,8.339624254,8.782685865,8.097335631,8.030222459,7.924428016,0.648083524,0.486946826,0.977686062,0.800250815,1.107901304,1.527625451,6.658468552,8.051943064,7.472471892,5.052858282,4.63272893,4.1637482200000004,1.470020828,-2.861502913,-4.186555393,6.160354381,10.82221677,9.521963892,4.610968979,0.866302889
050,3,5,12,003,Florida,Baker County,28259,28114,28674,27840,28695,29511,29737,-145,560,-834,855,816,226,104,344,342,400,368,387,72,321,374,331,328,330,32,23,-32,69,40,57,0,4,68,97,75,13,-149,548,-972,671,695,155,-149,552,-904,768,770,168,-28,-15,102,18,6,1,3068,2833,2985,1548,1700,1894,1886,12.11523561,12.10319567,14.15052622,12.64474453,13.06373211,11.30520533,13.23565842,11.70956045,11.27031578,11.13961653,0.810030288,-1.132462753,2.440965773,1.374428753,1.924115582,0.140874833,2.406483349,3.431502609,2.577053912,0.438833378,19.29985208,-34.39855611,23.73750774,23.88069958,5.232244126,19.44072691,-31.99207276,27.16901035,26.4577535,5.671077505
050,3,5,12,005,Florida,Bay County,175226,174551,179552,186079,192941,200142,204479,-675,5001,6527,6862,7201,4337,426,2015,2088,2118,2173,2227,477,2402,2485,2009,1984,1967,-51,-387,-397,109,189,260,4,181,1400,1895,2004,1075,-605,5443,5210,4761,4957,3010,-601,5624,6610,6656,6961,4085,-23,-236,314,97,51,-8,3072,3044,3146,3185,3158,3138,3141,11.38086941,11.42135103,11.17619123,11.05618915,11.00783202,13.5666741,13.59293933,10.60102369,10.09456018,9.722678754,-2.185804695,-2.171588295,0.575167537,0.961628969,1.285153267,1.022301421,7.657993989,9.9994723230000009,10.19631986,5.313614469,30.74246759,28.49867763,25.12268482,25.2211365,14.87812051,31.76476901,36.15667162,35.12215714,35.41745636,20.19173498
050,3,5,12,007,Florida,Bradford County,28300,28235,28065,27279,27789,28154,28307,-65,-170,-786,510,365,153,77,294,286,320,324,330,80,372,400,363,335,337,-3,-78,-114,-43,-11,-7,0,0,-7,5,32,22,-56,-96,-729,543,342,138,-56,-96,-736,548,374,160,-6,4,64,5,2,0,4293,4144,3771,2630,2561,2546,2563,10.44404973,10.33535704,11.62199463,11.58321863,11.68948478,13.21492007,14.45504481,13.18370015,11.97647606,11.93744355,-2.770870337,-4.119687771,-1.561705528,-0.393257423,-0.247958768,0,-0.252963284,0.181593666,1.144021593,0.779298985,-3.410301954,-26.34431917,19.72107213,12.22673078,4.888329998,-3.410301954,-26.59728245,19.9026658,13.37075237,5.667628983
050,3,5,12,009,Florida,Brevard County,606616,608765,618088,631833,646015,656254,663982,2149,9323,13745,14182,10239,7728,1164,4869,5189,5308,5271,5398,1906,8761,9357,8350,8303,8205,-742,-3892,-4168,-3042,-3032,-2807,15,376,1991,2514,2425,1227,3130,13323,15171,14419,10792,9403,3145,13699,17162,16933,13217,10630,-254,-484,751,291,54,-95,8013,8232,8445,8547,8649,8675,8646,7.937381251,8.302924745,8.30771735,8.095101703,8.177325872,14.28206965,14.97214624,13.068847,12.75158973,12.42959592,-6.344688402,-6.669221495,-4.761129649,-4.656488022,-4.252270049,0.61295037,3.185801343,3.934740282,3.724268949,1.858758586,21.71898345,24.27513419,22.56762933,16.57414866,14.24442297,22.33193382,27.46093553,26.50236961,20.29841761,16.10318155
050,3,5,12,011,Florida,Broward County,1944376,1943437,1936178,1966353,2000041,2013689,2013317,-939,-7259,30175,33688,13648,-372,4898,19407,21147,20800,20017,20395,4297,18414,18753,16424,16092,15973,601,993,2394,4376,3925,4422,383,6714,36340,44436,36211,24944,-2337,-15670,-7298,-14943,-26634,-29517,-1954,-8956,29042,29493,9577,-4573,414,704,-1261,-181,146,-221,14944,15281,15678,15878,15886,15908,15944,10.00460097,10.83758207,10.48811591,9.974263341,10.12911329,9.492694507,9.610685988,8.281577675,8.018476579,7.932940751,0.511906465,1.226896084,2.206538231,1.955786762,2.196172541,3.461168183,18.62381106,22.40624608,18.04356546,12.38835999,-8.078121154,-3.74013685,-7.534803653,-13.27144576,-14.65952621,-4.616952971,14.88367421,14.87144242,4.772119699,-2.271166221
050,3,5,12,013,Florida,Calhoun County,13641,13703,13511,13427,13462,13220,13289,62,-192,-84,35,-242,69,28,143,122,113,105,106,53,230,239,218,207,208,-25,-87,-117,-105,-102,-102,0,5,10,15,14,5,98,-105,28,123,-157,165,98,-100,38,138,-143,170,-11,-5,-5,2,3,1,1824,1912,1680,1549,1592,1385,1387,10.50929669,9.057836514,8.404923947,7.870474477,7.997283941,16.9030646,17.74445022,16.21480903,15.51607826,15.69278358,-6.393767914,-8.686613706,-7.809885083,-7.645603778,-7.695499642,0.367457926,0.742445616,1.115697869,1.049396597,0.377230375,-7.716616447,2.078847724,9.148722526,-11.76823327,12.44860236,-7.349158521,2.82129334,10.2644204,-10.71883667,12.82583274
050,3,5,12,015,Florida,Charlotte County,186823,188023,195048,203116,206814,211456,217212,1200,7025,8068,3698,4642,5756,258,1049,1106,1008,1025,1065,773,3258,3419,3246,3127,3107,-515,-2209,-2313,-2238,-2102,-2042,1,114,691,882,868,516,1987,9864,9024,4962,5831,7400,1988,9978,9715,5844,6699,7916,-273,-744,666,92,45,-118,3901,3874,3614,3760,3823,3948,3921,5.476791509,5.555499744,4.917912814,4.901140412,4.968880346,17.00990156,17.17382787,15.83685019,14.95206446,14.49606689,-11.53311005,-11.61832813,-10.91893738,-10.05092404,-9.527186541,0.595189926,3.470931576,4.303173713,4.150429149,2.40745752,51.49959146,45.32805578,24.2090113,27.88151194,34.52555358,52.09478139,48.79898735,28.51218501,32.03194109,36.9330111
050,3,5,12,017,Florida,Citrus County,153843,154563,158202,162495,166667,169821,171666,720,3639,4293,4172,3154,1845,261,1022,998,1041,1065,1108,761,3366,3572,3118,3104,3079,-500,-2344,-2574,-2077,-2039,-1971,0,20,130,171,131,40,1395,6390,6302,5894,4997,3810,1395,6410,6432,6065,5128,3850,-175,-427,435,184,65,-34,2839,2837,2836,2836,2844,2849,2843,6.535258101,6.223943473,6.325152964,6.330092009,6.489266063,21.52414752,22.27647904,18.94507872,18.44939493,18.0328973,-14.98888942,-16.05253557,-12.61992575,-12.11930292,-11.54363124,0.127891548,0.81073412,1.039002072,0.778631036,0.234269533,40.86134958,39.30189556,35.81215329,29.70091058,22.31417301,40.98924112,40.11262968,36.85115536,30.47954162,22.54844255
050,3,5,12,019,Florida,Clay County,218249,218949,222715,226986,233262,237278,239593,700,3766,4271,6276,4016,2315,513,2131,2245,2346,2249,2321,535,2422,2753,2189,2207,2191,-22,-291,-508,157,42,130,7,109,625,637,561,225,683,3981,4067,5423,3426,1977,690,4090,4692,6060,3987,2202,32,-33,87,59,-13,-17,2459,2457,2455,2455,2464,2472,2464,9.649869584,9.984411865,10.19450383,9.559229821,9.734288728,10.96761339,12.24369081,9.512262954,9.380711523,9.189067903,-1.317743805,-2.259278943,0.682240879,0.178518298,0.545220825,0.493587886,2.779624684,2.768072865,2.384494411,0.943651428,18.02727866,18.08757374,23.56555596,14.5619926,8.291550545,18.52086654,20.86719843,26.33362883,16.94648702,9.235201973
