SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,NPOPCHG2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
050,3,5,13,001,Georgia,Appling County,18447,18376,18419,18466,18532,18785,19100,-71,43,47,66,253,315,39,192,208,206,205,206,72,262,271,200,193,195,-33,-70,-63,6,12,11,0,2,43,58,140,52,-40,99,76,6,100,255,-40,101,119,64,240,307,2,12,-9,-4,1,-3,395,364,363,386,373,434,434,10.43620057,11.27829741,11.13573707,10.98694965,10.8750165,14.24106536,14.69432018,10.81139521,10.34381113,10.29431173,-3.804864791,-3.416022773,0.324341856,0.643138516,0.580704764,0.108710423,2.331571099,3.135304611,7.503282686,2.745149795,5.381165919,4.120916362,0.324341856,5.359487633,13.46179227,5.489876342,6.452487461,3.459646467,12.86277032,16.20694206
050,3,5,13,003,Georgia,Atkinson County,8283,8307,8357,8220,8333,8489,8454,24,50,-137,113,156,-35,31,130,130,141,145,145,22,124,131,103,91,91,9,6,-1,38,54,54,0,18,96,41,102,27,14,20,-236,35,-1,-114,14,38,-140,76,101,-87,1,6,4,-1,1,-2,10,10,11,13,18,64,73,15.6024964,15.68438198,17.03618679,17.23932945,17.11621319,14.88238118,15.80503107,12.44487404,10.81916538,10.74189931,0.720115218,-0.120649092,4.591312753,6.420164071,6.374313876,2.160345655,11.58231284,4.953784812,12.12697658,3.187156938,2.400384061,-28.47318574,4.228840694,-0.118891927,-13.45688485,4.560729717,-16.8908729,9.182625506,12.00808465,-10.26972791
050,3,5,13,005,Georgia,Bacon County,11143,11113,11055,11155,11141,11053,11070,-30,-58,100,-14,-88,17,34,151,123,147,150,154,47,182,175,132,152,154,-13,-31,-52,15,-2,0,0,2,2,1,2,-2,-18,-35,144,-27,-87,19,-18,-33,146,-26,-85,17,1,6,6,-3,-1,0,264,264,253,335,389,287,332,13.62324071,11.07609185,13.18622174,13.5171668,13.92216246,16.42006496,15.75866727,11.84068891,13.69739569,13.92216246,-2.796824251,-4.682575416,1.345532831,-0.180228891,0,0.180440274,0.180099055,0.089702189,0.180228891,-0.180807305,-3.1577048,12.96713192,-2.421959096,-7.839956745,1.717669394,-2.977264525,13.14723098,-2.332256907,-7.659727854,1.536862089
050,3,5,13,007,Georgia,Baker County,2874,2848,2817,2780,2721,2719,2725,-26,-31,-37,-59,-2,6,5,14,21,24,25,25,14,37,49,54,47,47,-9,-23,-28,-30,-22,-22,0,0,5,11,22,19,-15,-8,-15,-39,-1,9,-15,-8,-10,-28,21,28,-2,0,1,-1,-1,0,0,0,0,0,0,0,0,4.942630185,7.504020011,8.725686239,9.191176471,9.184423218,13.06266549,17.50938003,19.63279404,17.27941177,17.26671565,-8.120035305,-10.00536001,-10.9071078,-8.088235294,-8.082292432,0,1.786671431,3.99927286,8.088235294,6.980161646,-2.824360106,-5.360014293,-14.17924014,-0.367647059,3.306392359,-2.824360106,-3.573342862,-10.17996728,7.720588235,10.286554
050,3,5,13,009,Georgia,Baldwin County,43795,43786,43702,43654,43427,43853,44029,-9,-84,-48,-227,426,176,93,425,368,395,386,385,148,604,583,516,508,511,-55,-179,-215,-121,-122,-126,0,10,27,34,173,70,32,40,153,-135,364,227,32,50,180,-101,537,297,14,45,-13,-5,11,5,5261,5243,5112,5187,4897,5227,5457,9.715618142,8.425294199,9.072013413,8.845096242,8.761748709,13.8076079,13.34768076,11.85103524,11.640696610000001,11.6292301,-4.091989759,-4.922386556,-2.77902183,-2.795600367,-2.867481396,0.22860278,0.618160172,0.780882167,3.964252979,1.59304522,0.914411119,3.502907642,-3.100561546,8.340971586,5.16601807,1.143013899,4.121067815,-2.319679379,12.30522457,6.759063289
050,3,5,13,011,Georgia,Banks County,18083,18129,18607,19419,19949,20512,21273,46,478,812,530,563,761,52,219,247,255,264,267,45,238,263,211,200,206,7,-19,-16,44,64,61,0,0,4,39,66,-13,42,519,771,438,428,722,42,519,775,477,494,709,-3,-22,53,9,5,-9,0,0,0,22,15,20,26,11.92290941,12.99111135,12.95468401,13.04960332,12.77970564,12.95731707,13.83264083,10.71936598,9.886063123,9.859997607,-1.034407666,-0.84152948,2.235318025,3.163540199,2.919708029,0,0.21038237,1.981304613,3.26240083,-0.622232859,28.25566202,40.55120181,22.25157488,21.15617508,34.55785569,28.25566202,40.76158418,24.2328795,24.41857591,33.93562283
050,3,5,13,013,Georgia,Barrow County,83575,84066,86864,89551,93390,96969,99773,491,2798,2687,3839,3579,2804,258,1143,1179,1287,1321,1328,182,822,877,803,818,824,76,321,302,484,503,504,0,49,221,290,463,147,435,2537,2045,2999,2591,2167,435,2586,2266,3289,3054,2314,-20,-109,119,66,22,-14,454,454,458,454,436,506,510,13.37389575,13.36621036,14.07011004,13.87903908,13.49991359,9.617972269,9.94246521,8.778786603,8.594287636,8.37645241,3.755923477,3.423745146,5.291323432,5.284751443,5.123461183,0.573334113,2.505455885,3.170421065,4.864492879,1.494342845,29.68466624,23.18396962,32.7865268,27.22224849,22.02884997,30.25800035,25.6894255,35.95694787,32.08674137,23.52319281
050,3,5,13,015,Georgia,Bartow County,108872,109283,110900,112751,115098,117924,120800,411,1617,1851,2347,2826,2876,307,1289,1299,1398,1392,1392,320,1281,1299,1115,1143,1136,-13,8,0,283,249,256,1,43,143,142,394,101,435,1572,1656,1887,2153,2538,436,1615,1799,2029,2547,2639,-12,-6,52,35,30,-19,1030,1030,1011,1018,1020,1020,1015,11.70844252,11.61631292,12.27128493,11.94736978,11.66200298,11.6357757,11.61631292,9.787183617,9.81023251,9.517266802,0.072666827,0,2.484101313,2.137137266,2.144736181,0.390584196,1.278778096,1.246439528,3.381654951,0.846165446,14.27903153,14.80878691,16.56360133,18.4789419,21.26304854,14.66961573,16.087565,17.81004086,21.86059685,22.10921399
050,3,5,13,017,Georgia,Ben Hill County,17192,17166,17133,17063,17160,17033,17099,-26,-33,-70,97,-127,66,52,206,197,213,208,211,66,327,279,252,219,222,-14,-121,-82,-39,-11,-11,0,4,5,19,36,17,-15,69,19,114,-148,58,-15,73,24,133,-112,75,3,15,-12,3,-4,2,278,278,280,275,323,298,283,12.01201201,11.52181542,12.44776904,12.16623286,12.36376421,19.0676113,16.31769798,14.72693802,12.8096394,13.00832064,-7.055599289,-4.795882559,-2.27916898,-0.643406545,-0.644556428,0.233242952,0.292431863,1.110364375,2.105694148,0.996132661,4.023440917,1.111241081,6.662186249,-8.656742608,3.398570257,4.256683868,1.403672944,7.772550624,-6.55104846,4.394702918
050,3,5,13,019,Georgia,Berrien County,18155,18143,18128,18261,18630,18783,18932,-12,-15,133,369,153,149,54,208,239,234,238,239,59,289,273,245,229,232,-5,-81,-34,-11,9,7,0,0,1,-1,27,-5,-11,49,162,376,118,148,-11,49,163,375,145,143,4,17,4,5,-1,-1,148,125,129,134,135,135,141,11.46921783,13.13583775,12.68602098,12.72285035,12.67400239,15.93559593,15.00453434,13.28237239,12.24173416,12.3027973,-4.466378098,-1.868696584,-0.596351414,0.48111619,0.371205091,0,0.054961664,-0.054213765,1.443348569,-0.265146493,2.701883047,8.903789607,20.38437559,6.307967819,7.848336206,2.701883047,8.958751271,20.33016183,7.751316387,7.583189712
050,3,5,13,021,Georgia,Bibb County,157358,157054,156161,156302,156869,157360,157556,-304,-893,141,567,491,196,528,2067,2083,2032,1942,1952,491,2279,2288,1945,1895,1883,37,-212,-205,87,47,69,0,49,155,347,609,232,-368,-818,318,171,-157,-115,-368,-769,473,518,452,117,27,88,-127,-38,-8,10,6180,5946,5398,5301,5258,5561,5575,13.1986016,13.3327786,12.97693592,12.36041231,12.39695665,14.55230433,14.64493396,12.42132892,12.06126742,11.95874455,-1.353702728,-1.312155359,0.555607001,0.299144891,0.438212095,0.312884121,0.992117467,2.216041715,3.876154015,1.473408782,-5.223249206,2.035440996,1.092055139,-0.999271232,-0.730353491,-4.910365085,3.027558463,3.308096854,2.876882783,0.743055291
