SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,NPOPCHG2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
050,4,8,16,001,Idaho,Ada County,494966,498263,513092,520365,526352,535225,546141,3297,14829,7273,5987,8873,10916,1235,4993,5016,4987,5270,5549,884,3991,4274,3821,3900,3920,351,1002,742,1166,1370,1629,16,175,1711,1994,2284,779,3135,14277,4831,2820,5109,8528,3151,14452,6542,4814,7393,9307,-205,-625,-11,7,110,-20,13484,13444,13482,13648,13735,13749,13733,9.873882069,9.707225361,9.528841129,9.928625055,10.2629452,7.892382002,8.271268181,7.30092279,7.347559339,7.250089239,1.981500067,1.435957181,2.227918339,2.581065716,3.012855962,0.346070371,3.311216625,3.810007863,4.303032187,1.440770285,28.23340963,9.349203692,5.388275914,9.625302734,15.77264312,28.57948001,12.66042032,9.198283777,13.92833492,17.21341341
050,4,8,16,003,Idaho,Adams County,4378,4423,4619,4778,4895,5010,5013,45,196,159,117,115,3,13,31,27,39,49,51,14,48,62,60,53,54,-1,-17,-35,-21,-4,-3,0,2,1,5,4,4,53,227,181,134,114,2,53,229,182,139,118,6,-7,-16,12,-1,1,0,29,29,29,29,29,29,29,6.856890069,5.746514845,8.063682415,9.893992933,10.17659383,10.61712011,13.19570076,12.40566525,10.70166583,10.775217,-3.760230038,-7.44918591,-4.341982839,-0.807672892,-0.598623167,0.442380004,0.212833883,1.033805438,0.807672893,0.798164222,50.2101305,38.52293285,27.70598573,23.01867744,0.399082111,50.65251051,38.73576673,28.73979117,23.82635033,1.197246333
050,4,8,16,005,Idaho,Bannock County,87023,87294,88605,89855,90538,90969,91591,271,1311,1250,683,431,622,284,1081,1058,1051,1081,1108,183,856,962,904,838,838,101,225,96,147,243,270,1,31,243,184,213,96,152,1045,918,365,-20,248,153,1076,1161,549,193,344,17,10,-7,-13,-5,8,2254,2255,2388,2321,2346,2340,2333,12.29114435,11.85699877,11.65233684,11.91138634,12.13847502,9.732858061,10.78112742,10.02256185,9.2338036550000009,9.180543383,2.558286289,1.075871344,1.629774991,2.677582683,2.957931639,0.352475,2.723299339,2.039990465,2.34701692,1.051709027,11.88181854,10.28801972,4.046720216,-0.220377176,2.716914987,12.23429354,13.01131906,6.086710682,2.126639744,3.768624014
050,4,8,16,007,Idaho,Bear Lake County,6367,6365,6567,6742,6755,6703,6727,-2,202,175,13,-52,24,23,86,83,58,57,58,26,69,78,62,78,77,-3,17,5,-4,-21,-19,0,2,17,11,8,0,0,192,147,6,-38,44,0,194,164,17,-30,44,1,-9,6,0,-1,-1,57,57,57,57,57,57,57,13.30034024,12.47276279,8.594502482,8.470798038,8.637379002,10.67120322,11.72139154,9.187226791,11.59161837,11.46686523,2.629137024,0.751371253,-0.592724309,-3.12082033,-2.829486225,0.309310238,2.554662259,1.62999185,1.188883935,0,29.69378286,22.09031483,0.889086464,-5.647198692,6.552494416,30.0030931,24.64497708,2.519078314,-4.458314757,6.552494416
050,4,8,16,009,Idaho,Benewah County,9535,9580,9896,10293,10391,10486,10508,45,316,397,98,95,22,25,86,103,106,99,104,22,149,158,128,138,139,3,-63,-55,-22,-39,-35,0,0,1,0,9,8,46,401,427,120,126,50,46,401,428,120,135,58,-4,-22,24,0,-1,-1,67,67,67,67,67,67,67,8.831382214,10.20357621,10.24946819,9.484121282,9.907592646,15.30088314,15.65208777,12.3767163,13.22029027,13.24187863,-6.469500924,-5.448511566,-2.127248114,-3.73616899,-3.334285986,0,0.099063847,0,0.862192844,0.762122511,41.17888684,42.30026252,11.60317153,12.07069981,4.763265695,41.17888684,42.39932637,11.60317153,12.93289266,5.525388206
050,4,8,16,011,Idaho,Bingham County,47987,48097,48932,49979,50386,50966,51153,110,835,1047,407,580,187,153,667,650,625,671,692,112,489,503,473,434,437,41,178,147,152,237,255,1,9,20,50,45,-27,55,643,856,211,304,-44,56,652,876,261,349,-71,13,5,24,-6,-6,3,510,510,510,510,510,511,510,13.74846695,13.14312867,12.45454093,13.24098192,13.55281583,10.07946078,10.17075957,9.425596573,8.564211856,8.558642368,3.669006173,2.9723691,3.028944353,4.676770069,4.994173464,0.185511548,0.404403959,0.996363274,0.887994317,-0.528794837,13.25376949,17.30848945,4.204653017,5.99889494,-0.861739735,13.43928104,17.71289341,5.201016291,6.886889257,-1.390534572
050,4,8,16,013,Idaho,Blaine County,24271,24341,24784,25200,25392,25701,25517,70,443,416,192,309,-184,38,185,206,189,196,200,43,146,148,151,159,162,-5,39,58,38,37,38,6,46,399,337,416,92,71,364,-24,-181,-145,-314,77,410,375,156,271,-222,-2,-6,-17,-2,1,0,380,380,380,380,381,381,381,7.531806616,8.242637644,7.471537002,7.672283875,7.809754383,5.944020356,5.921895006,5.969323213,6.223944572,6.32590105,1.58778626,2.320742638,1.502213789,1.448339303,1.483853333,1.872773537,15.96510884,13.32226439,16.28403108,3.592487016,14.81933842,-0.960307298,-7.155281467,-5.675924295,-12.26131438,16.69211196,15.00480154,6.166982922,10.60810679,-8.668827365
050,4,8,16,015,Idaho,Boise County,7612,7662,8146,8419,8536,8506,8545,50,484,273,117,-30,39,12,58,61,55,47,49,7,83,83,67,73,73,5,-25,-22,-12,-26,-24,1,11,66,24,10,10,50,531,214,105,-16,54,51,542,280,129,-6,64,-6,-33,15,0,2,-1,18,18,18,18,18,18,18,7.33805668,7.364926049,6.487761722,5.515784532,5.747463492,10.50101215,10.02112889,7.903273371,8.567069593,8.562547651,-3.162955466,-2.656202837,-1.415511648,-3.05128506,-2.815084159,1.391700405,7.968608512,2.831023297,1.173571177,1.172951733,67.18117409,25.83760942,12.38572692,-1.877713883,6.333939358,68.57287449,33.80621793,15.21675022,-0.704142706,7.506891091
050,4,8,16,017,Idaho,Bonner County,47114,47411,49639,51437,52542,53650,54420,297,2228,1798,1105,1108,770,96,430,462,445,467,491,99,506,664,538,547,556,-3,-76,-202,-93,-80,-65,0,11,111,88,53,30,332,2441,1780,1097,1136,814,332,2452,1891,1185,1189,844,-32,-148,109,13,-1,-9,521,521,521,521,521,521,521,8.861411644,9.141635997,8.559420652,8.795389483,9.086703063,10.42761463,13.13862836,10.3482434,10.30209432,10.28962709,-1.566202988,-3.996992362,-1.788822743,-1.506704837,-1.202924031,0.226687275,2.19636709,1.692649477,0.998191954,0.555195707,50.30396703,35.22102181,21.10041451,21.39520868,15.06431017,50.5306543,37.4173889,22.79306398,22.39340063,15.61950588
050,4,8,16,019,Idaho,Bonneville County,123959,124730,128072,129654,131513,133793,135771,771,3342,1582,1859,2280,1978,449,1794,1788,1817,1762,1796,228,1139,1098,1001,1038,1032,221,655,690,816,724,764,2,14,111,136,362,10,552,2739,801,909,1195,1207,554,2753,912,1045,1557,1217,-4,-66,-20,-2,-1,-3,1671,1673,1671,1670,1674,1678,1676,14.19292569,13.8752008,13.91446852,13.28277536,13.32522147,9.01100466,8.520676998,7.665593279,7.824926688,7.656808773,5.181921029,5.354523797,6.248875241,5.457848673,5.668412696,0.110758617,0.861379915,1.041479207,2.728924336,0.074193884,21.66913236,6.215903712,6.961063228,9.008465696,8.9552017330000009,21.77989098,7.077283627,8.002542435,11.73739003,9.029395617
050,4,8,16,021,Idaho,Boundary County,12059,12141,12621,13324,13596,13856,13997,82,480,703,272,260,141,35,138,172,157,159,162,29,138,184,163,162,164,6,0,-12,-6,-3,-2,0,19,73,70,9,-3,82,487,613,206,254,149,82,506,686,276,263,146,-6,-26,29,2,0,-3,121,121,121,121,121,121,121,11.14611098,13.25881673,11.66419019,11.58385546,11.63249919,11.14611098,14.18385045,12.10995542,11.80241877,11.77611029,0,-0.925033725,-0.44576523,-0.218563311,-0.143611101,1.534609482,5.627288495,5.200594354,0.655689932,-0.215416652,39.3344641,47.25380613,15.30460624,18.50502696,10.69902704,40.86907358,52.88109462,20.50520059,19.16071689,10.48361038
050,4,8,16,023,Idaho,Butte County,2573,2581,2664,2690,2745,2726,2783,8,83,26,55,-19,57,9,39,33,24,23,24,10,32,52,33,36,36,-1,7,-19,-9,-13,-12,0,0,0,-1,2,0,10,81,44,64,-8,70,10,81,44,63,-6,70,-1,-5,1,1,0,-1,3,3,3,3,3,3,3,14.87130601,12.32723198,8.831646734,8.407969293,8.713015066,12.20209724,19.42472917,12.14351426,13.16029976,13.0695226,2.66920877,-7.097497198,-3.311867525,-4.75233047,-4.356507533,0,0,-0.367985281,0.731127765,0,30.88655863,16.4363093,23.55105796,-2.924511058,25.41296061,30.88655863,16.4363093,23.18307268,-2.193383294,25.41296061
050,4,8,16,025,Idaho,Camas County,1072,1081,1135,1163,1266,1287,1316,9,54,28,103,21,29,3,9,13,13,17,19,5,7,9,2,5,5,-2,2,4,11,12,14,0,1,0,37,2,2,13,55,22,55,7,15,13,56,22,92,9,17,-2,-4,2,0,0,-2,0,0,0,0,0,0,0,8.122743682,11.31418625,10.70399341,13.31766549,14.59854015,6.317689531,7.832898172,1.646768217,3.916960439,3.841721091,1.805054152,3.481288077,9.057225196,9.400705053,10.75681906,0.902527076,0,30.46521202,1.566784176,1.536688436,49.63898917,19.14708442,45.28612598,5.483744614,11.52516327,50.54151625,19.14708442,75.751338,7.05052879,13.06185171
050,4,8,16,027,Idaho,Canyon County,231107,233001,243711,251397,258839,267444,275123,1894,10710,7686,7442,8605,7679,834,3185,3263,3421,3480,3597,406,1994,2272,2023,1999,1986,428,1191,991,1398,1481,1611,10,55,840,1295,1766,423,1571,10033,5551,4662,5298,5684,1581,10088,6391,5957,7064,6107,-115,-569,304,87,60,-39,3227,3226,3217,3228,3234,3232,3234,13.36236554,13.18096254,13.4094811,13.22482391,13.25919195,8.365637953,9.177795552,7.92966392,7.596673273,7.320754856,4.996727584,4.003166986,5.479817183,5.628150634,5.938437096,0.230747286,3.39319906,5.07608244,6.711218109,1.559254433,42.09250029,22.42339045,18.27389679,20.13365433,20.95225106,42.32324758,25.81658951,23.34997923,26.84487244,22.51150549
050,4,8,16,029,Idaho,Caribou County,7027,7013,7113,7201,7212,7222,7252,-14,100,88,11,10,30,17,92,92,90,91,97,19,88,75,86,93,92,-2,4,17,4,-2,5,0,6,4,0,30,15,-13,89,67,8,-19,9,-13,95,71,8,11,24,1,1,0,-1,1,1,77,77,77,77,77,77,77,13.0256265,12.854548,12.48872546,12.60911736,13.40334393,12.45929492,10.47925108,11.93367099,12.88624082,12.71244991,0.566331587,2.375296912,0.555054465,-0.277123459,0.690894017,0.849497381,0.558893391,0,4.156851878,2.072682051,12.60087781,9.361464301,1.110108929,-2.632672856,1.24360923,13.4503752,9.920357692,1.110108929,1.524179022,3.316291281
050,4,8,16,031,Idaho,Cassia County,24688,24753,25235,25657,25948,26210,26397,65,482,422,291,262,187,94,383,374,356,405,419,45,246,240,245,238,237,49,137,134,111,167,182,1,41,132,332,322,93,6,295,174,-151,-225,-89,7,336,306,181,97,4,9,9,-18,-1,-2,1,366,366,366,366,367,368,367,15.32367768,14.6977914,13.79711268,15.52973657,15.92943905,9.842362167,9.431737798,9.495203953,9.126116799,9.010207767,5.4813155160000004,5.266053604,4.30190873,6.403619771,6.919231281,1.640393695,5.187455789,12.86697026,12.3470992,3.535651149,11.80283268,6.838009903,-5.85214611,-8.627631428,-3.383580132,13.44322637,12.02546569,7.014824145,3.719467771,0.152071017
050,4,8,16,033,Idaho,Clark County,788,791,794,811,798,782,783,3,3,17,-13,-16,1,3,10,21,12,8,8,0,7,10,7,8,8,3,3,11,5,0,0,0,2,-1,5,3,0,0,-4,7,-22,-19,1,0,-2,6,-17,-16,1,0,2,0,-1,0,0,1,1,1,1,1,1,1,12.61829653,26.1682243,14.91609696,10.12658228,10.22364217,8.832807571,12.46105919,8.701056557,10.12658228,10.22364217,3.785488959,13.70716511,6.215040398,0,0,2.523659306,-1.246105919,6.215040398,3.797468354,0,-5.047318612,8.722741433,-27.34617775,-24.05063291,1.277955272,-2.523659306,7.476635514,-21.13113735,-20.25316456,1.277955272
050,4,8,16,035,Idaho,Clearwater County,8735,8758,8934,9032,9189,9149,9118,23,176,98,157,-40,-31,20,64,65,68,72,77,30,117,143,155,151,151,-10,-53,-78,-87,-79,-74,0,2,7,2,1,0,35,238,168,238,38,46,35,240,175,240,39,46,-2,-11,1,4,0,-3,685,685,694,702,726,730,731,7.234908433,7.235890015,7.463915263,7.852546625,8.430503093,13.22631698,15.91895803,17.01333626,16.46853528,16.53254503,-5.991408546,-8.683068017,-9.549420998,-8.615988657,-8.102041934,0.226090889,0.779249694,0.21952692,0.109063148,0,26.90481574,18.70199265,26.12370342,4.144399607,5.036404445,27.13090662,19.48124235,26.34323034,4.253462755,5.036404445
050,4,8,16,037,Idaho,Custer County,4277,4269,4445,4503,4531,4582,4636,-8,176,58,28,51,54,9,36,28,34,27,27,14,52,72,47,45,45,-5,-16,-44,-13,-18,-18,0,3,0,5,5,2,-1,202,96,35,65,72,-1,205,96,40,70,74,-2,-13,6,1,-1,-2,120,120,120,120,120,120,120,8.262565986,6.258381761,7.52711977,5.92560079,5.85810371,11.93481754,16.09298167,10.40513615,9.876001317,9.763506184,-3.672251549,-9.834599911,-2.878016383,-3.950400527,-3.905402473,0.688547166,0,1.106929378,1.09733348,0.433933608,46.36217581,21.4573089,7.748505645,14.26533524,15.62160989,47.05072298,21.4573089,8.855435023,15.36266872,16.0555435
050,4,8,16,039,Idaho,Elmore County,28665,28670,28985,29425,29615,29575,29465,5,315,440,190,-40,-110,86,457,423,437,401,421,57,230,286,239,238,240,29,227,137,198,163,181,6,41,185,127,129,48,-40,37,124,-131,-329,-334,-34,78,309,-4,-200,-286,10,10,-6,-4,-3,-5,1087,1087,1171,1121,1043,1099,1100,15.85291822,14.48382126,14.80352304,13.54958608,14.26151762,7.978492759,9.792843691,8.096205962,8.041898969,8.130081301,7.874425462,4.690977572,6.707317073,5.507687109,6.131436314,1.422253057,6.334531758,4.302168022,4.358844399,1.62601626,1.283496661,4.245848314,-4.437669377,-11.11674269,-11.31436314,2.705749718,10.58038007,-0.135501355,-6.757898294,-9.688346883
