SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,NPOPCHG2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
050,2,3,17,001,Illinois,Adams County,65745,65637,65149,64557,64508,64216,64267,-108,-488,-592,-49,-292,51,168,740,671,726,703,694,176,924,928,809,753,761,-8,-184,-257,-83,-50,-67,0,2,11,23,34,-1,-104,-345,-324,24,-273,117,-104,-343,-313,47,-239,116,4,39,-22,-13,-3,2,1631,1630,1656,1639,1660,1669,1668,11.31619592,10.34647588,11.25014528,10.92259408,10.80298561,14.12995275,14.30928407,12.53631891,11.69944999,11.84592514,-2.813756824,-3.962808197,-1.286173633,-0.776855909,-1.042939533,0.030584313,0.169614359,0.356409561,0.52826201800000006,-0.015566262,-5.275794045,-4.995913836,0.371905629,-4.241633262,1.821252617,-5.245209732,-4.826299477,0.72831519,-3.713371244,1.805686355
050,2,3,17,003,Illinois,Alexander County,5239,5172,5026,4857,4727,4611,4570,-67,-146,-169,-130,-116,-41,10,55,49,37,32,30,23,118,102,89,72,74,-13,-63,-53,-52,-40,-44,0,0,0,0,0,0,-49,-77,-120,-81,-76,2,-49,-77,-120,-81,-76,2,-5,-6,4,3,0,1,82,82,82,82,82,82,82,10.78642871,9.916017404,7.721202003,6.853715999,6.535235813,23.14179251,20.64150562,18.57262104,15.420861,16.12024834,-12.3553638,-10.72548821,-10.85141903,-8.567144999,-9.585012526,0,0,0,0,0,-15.1010002,-24.28412425,-16.90317195,-16.2775755,0.435682388,-15.1010002,-24.28412425,-16.90317195,-16.2775755,0.435682388
050,2,3,17,005,Illinois,Bond County,16899,16859,16804,16700,16641,16600,16959,-40,-55,-104,-59,-41,359,44,150,132,130,146,143,47,207,209,193,182,184,-3,-57,-77,-63,-36,-41,0,3,8,13,5,3,-36,-16,-28,-5,-10,401,-36,-13,-20,8,-5,404,-1,15,-7,-4,0,-4,2531,2529,2518,2521,2541,2536,2902,8.911861688,7.879656161,7.798206413,8.784332601,8.522304002,12.29836913,12.47612225,11.57733721,10.95033242,10.96576179,-3.386507441,-4.596466094,-3.7791308,-2.16599982,-2.443457791,0.178237234,0.477554919,0.779820641,0.300833308,0.178789594,-0.95059858,-1.671442216,-0.299931016,-0.601666617,23.89820912,-0.772361346,-1.193887297,0.479889625,-0.300833308,24.07699872
050,2,3,17,007,Illinois,Boone County,53446,53344,53188,53096,53352,53526,53568,-102,-156,-92,256,174,42,137,507,524,533,519,520,116,495,533,450,467,469,21,12,-9,83,52,51,0,-3,15,80,185,-4,-115,-184,-80,106,-57,-3,-115,-187,-65,186,128,-7,-8,19,-18,-13,-6,-2,265,265,265,265,265,265,265,9.518266812,9.860374092,10.01427927,9.712008084,9.711094926,9.29298239,10.02973166,8.454832406,8.738935983,8.758660616,0.225284422,-0.16935757,1.559446866,0.973072101,0.95243431,-0.056321105,0.282262617,1.503081317,3.461891128,-0.07470073,-3.454361131,-1.505400625,1.991582745,-1.066636726,-0.056025548,-3.510682236,-1.223138008,3.494664061,2.395254402,-0.130726278
050,2,3,17,009,Illinois,Brown County,6245,6232,6437,6429,6484,6438,6401,-13,205,-8,55,-46,-37,12,53,59,51,48,48,8,70,76,41,54,55,4,-17,-17,10,-6,-7,0,2,0,0,0,-1,-16,232,13,44,-39,-27,-16,234,13,44,-39,-28,-1,-12,-4,1,-1,-2,1722,1722,1722,1835,1898,1864,1833,8.366879785,9.171459661,7.899016495,7.429190528,7.477217852,11.05059594,11.81408363,6.350189731,8.357839344,8.567645455,-2.683716158,-2.64262397,1.548826764,-0.928648816,-1.090427603,0.315731313,0,0,0,-0.155775372,36.62483227,2.020830095,6.81483776,-6.036217304,-4.205935042,36.94056358,2.020830095,6.81483776,-6.036217304,-4.361710414
050,2,3,17,011,Illinois,Bureau County,33269,33215,32986,32855,32748,32519,32510,-54,-229,-131,-107,-229,-9,83,333,309,310,301,302,90,501,453,440,412,414,-7,-168,-144,-130,-111,-112,0,4,34,40,65,1,-44,-91,0,-9,-182,101,-44,-87,34,31,-117,102,-3,26,-21,-8,-1,1,436,436,436,436,436,436,436,10.06027099,9.38624869,9.450787312,9.223650543,9.288163742,15.13572303,13.76042284,13.4140207,12.6250632,12.73278076,-5.075452032,-4.374174147,-3.963233389,-3.401412659,-3.444617017,0.120844096,1.032791118,1.219456427,1.991818224,0.030755509,-2.749203184,0,-0.274377696,-5.577091026,3.106306417,-2.628359088,1.032791118,0.945078731,-3.585272802,3.137061926
050,2,3,17,013,Illinois,Calhoun County,4430,4399,4389,4330,4329,4310,4300,-31,-10,-59,-1,-19,-10,6,47,40,44,51,49,17,62,93,62,46,47,-11,-15,-53,-18,5,2,0,0,0,0,0,0,-18,1,-2,16,-23,-13,-18,1,-2,16,-23,-13,-2,4,-4,1,-1,1,85,85,85,85,85,85,85,10.69640419,9.175364147,10.16283636,11.8069221,11.38211382,14.11015021,21.33272164,14.32036032,10.64938072,10.91753775,-3.413746017,-12.1573575,-4.157523964,1.157541382,0.464576074,0,0,0,0,0,0.227583068,-0.458768207,3.695576856,-5.324690358,-3.019744483,0.227583068,-0.458768207,3.695576856,-5.324690358,-3.019744483
050,2,3,17,015,Illinois,Carroll County,15720,15686,15723,15563,15540,15468,15419,-34,37,-160,-23,-72,-49,36,117,138,116,131,137,68,211,272,187,206,209,-32,-94,-134,-71,-75,-72,0,2,3,7,2,-2,-3,126,-19,48,1,26,-3,128,-16,55,3,24,1,3,-10,-7,0,-1,1248,1248,1248,1252,1254,1256,1257,7.450093922,8.821837244,7.459087548,8.449432405,8.871046071,13.43563947,17.38796906,12.02456355,13.28689371,13.53320167,-5.985545544,-8.566131816,-4.565475999,-4.8374613,-4.662155599,0.127352033,0.191779071,0.450117352,0.128998968,-0.129504322,8.02317807,-1.21460078,3.086518985,0.064499484,1.683556189,8.150530103,-1.022821709,3.536636337,0.193498452,1.554051867
050,2,3,17,017,Illinois,Cass County,13037,12978,12782,12657,12716,12530,12463,-59,-196,-125,59,-186,-67,38,154,170,155,138,138,30,161,143,131,154,157,8,-7,27,24,-16,-19,0,26,83,168,169,98,-61,-206,-241,-134,-342,-146,-61,-180,-158,34,-173,-48,-6,-9,6,1,3,0,126,126,126,126,126,126,126,11.95652174,13.36530524,12.21771174,10.93242494,11.04309207,12.5,11.24258029,10.32593702,12.19995247,12.56351779,-0.543478261,2.12272495,1.891774721,-1.267527529,-1.520425719,2.01863354,6.525413735,13.24242305,13.38825953,7.842195815,-15.99378882,-18.94728566,-10.56240886,-27.09340093,-11.68327132,-13.97515528,-12.42187193,2.680014188,-13.70514141,-3.841075501
050,2,3,17,019,Illinois,Champaign County,206445,206222,206921,208056,208570,209178,209972,-223,699,1135,514,608,794,521,2090,2084,1957,1928,1925,347,1626,1601,1509,1461,1455,174,464,483,448,467,470,30,708,2273,3250,3549,2578,-428,-644,-1556,-3230,-3446,-2247,-398,64,717,20,103,331,1,171,-65,46,38,-7,15640,15643,15505,16438,16577,16596,16590,10.1175622,10.04393015,9.394516905,9.230445149,9.185255875,7.871366573,7.716090289,7.243907005,6.994647491,6.942621973,2.246195627,2.327839856,2.1506099,2.235797658,2.242633902,3.427384707,10.954824,15.60152271,16.99110469,12.30108553,-3.11756462,-7.4992108,-15.50551334,-16.49798443,-10.72169868,0.309820087,3.455613203,0.096009371,0.493120254,1.579386854
