SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,NPOPCHG2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
050,2,3,18,001,Indiana,Adams County,35808,35852,35991,36162,36438,36542,36650,44,139,171,276,104,108,168,661,673,685,645,624,86,385,368,310,332,337,82,276,305,375,313,287,0,3,4,35,39,17,-45,-160,-124,-134,-246,-195,-45,-157,-120,-99,-207,-178,7,20,-14,0,-2,-1,487,487,477,463,460,488,488,18.40123603,18.65480299,18.87052342,17.67607564,17.05104383,10.71781524,10.20054606,8.539944904,9.098383119,9.208656684,7.683420793,8.454256926,10.33057851,8.577692519,7.842387146,0.083515443,0.110875501,0.964187328,1.068785969,0.464531643,-4.454156981,-3.437140521,-3.691460055,-6.741573034,-5.328451197,-4.370641538,-3.32626502,-2.727272727,-5.672787065,-4.863919554
050,2,3,18,003,Indiana,Allen County,385417,386107,389023,391751,394845,399094,402329,690,2916,2728,3094,4249,3235,1276,5186,5208,5178,5150,5156,973,4065,4042,3724,3605,3646,303,1121,1166,1454,1545,1510,8,339,1326,1611,2110,890,256,1119,499,115,623,806,264,1458,1825,1726,2733,1696,123,337,-263,-86,-29,29,6299,6296,6056,6100,6132,6172,6185,13.38098126,13.34060817,13.16558945,12.97328888,12.86711262,10.48856321,10.35382838,9.468647184,9.081302216,9.098815482,2.892418046,2.986779785,3.696942268,3.891986664,3.768297142,0.874691987,3.396629498,4.096130669,5.315269813,2.221049309,2.887257621,1.278218793,0.292399148,1.569390092,2.011422183,3.761949609,4.674848292,4.388529817,6.884659905,4.232471491
050,2,3,18,005,Indiana,Bartholomew County,82210,82213,82699,83542,84071,84942,85729,3,486,843,529,871,787,253,1041,1001,963,992,993,225,874,907,844,805,817,28,167,94,119,187,176,19,248,796,702,1063,619,-63,1,-12,-286,-385,-19,-44,249,784,416,678,600,19,70,-35,-6,6,11,1245,1240,1196,1191,1201,1256,1276,12.62491511,12.0427572,11.49075549,11.73874199,11.63642329,10.59959251,10.91186891,10.0708179,9.525894458,9.573975661,2.025322596,1.130888289,1.419937594,2.212847532,2.062447633,3.007664694,9.576458274,8.376438582,12.57891405,7.253722074,0.01212768,-0.144368718,-3.412623126,-4.555862567,-0.222650597,3.019792374,9.432089557,4.963815456,8.023051481,7.031071477
050,2,3,18,007,Indiana,Benton County,8712,8708,8684,8674,8774,8881,8883,-4,-24,-10,100,107,2,28,93,106,116,107,107,24,118,113,99,92,93,4,-25,-7,17,15,14,0,0,13,17,34,20,-9,-4,-11,67,58,-34,-9,-4,2,84,92,-14,1,5,-5,-1,0,2,102,102,104,96,99,99,100,10.69457222,12.21338864,13.29665291,12.12121212,12.0468363,13.56945722,13.01993317,11.3480055,10.42197678,10.47061473,-2.874885005,-0.806544533,1.948647409,1.699235344,1.576221572,0,1.497868418,1.948647409,3.851600113,2.251745103,-0.459981601,-1.267427123,7.67996332,6.570376664,-3.827966674,-0.459981601,0.230441295,9.628610729,10.42197678,-1.576221572
050,2,3,18,009,Indiana,Blackford County,12110,12108,12047,11902,11881,11822,11730,-2,-61,-145,-21,-59,-92,33,99,128,118,125,124,46,192,228,175,183,187,-13,-93,-100,-57,-58,-63,0,3,6,3,16,8,8,21,-47,36,-17,-36,8,24,-41,39,-1,-28,3,8,-4,-3,0,-1,134,134,133,133,130,119,132,8.19706065,10.6893816,9.923054283,10.54718812,10.5298913,15.89732975,19.04046098,14.71639406,15.44108341,15.87975544,-7.700269095,-8.351079377,-4.793339781,-4.893895288,-5.34986413,0.248395777,0.501064763,0.252281041,1.350040079,0.679347826,1.738770441,-3.925007307,3.027372493,-1.434417584,-3.057065217,1.987166218,-3.423942545,3.279653534,-0.084377505,-2.377717391
050,2,3,18,011,Indiana,Boone County,70786,71113,72993,74377,76137,78640,80689,327,1880,1384,1760,2503,2049,189,769,897,849,831,839,185,597,656,648,649,644,4,172,241,201,182,195,0,45,144,133,152,30,326,1714,1013,1405,2140,1837,326,1759,1157,1538,2292,1867,-3,-51,-14,21,29,-13,831,832,760,829,825,823,838,10.67269926,12.173441,11.2813426,10.73802955,10.53166718,8.285567568,8.902761756,8.610494705,8.38625894,8.083901863,2.387131695,3.270679243,2.670847895,2.351770612,2.447765316,0.624540269,1.954264776,1.767277463,1.964116115,0.376579279,23.78804491,13.74770985,18.66935966,27.65268742,23.05920454,24.41258518,15.70197462,20.43663712,29.61680353,23.43578382
050,2,3,18,013,Indiana,Brown County,15472,15481,15578,15586,15643,15621,15777,9,97,8,57,-22,156,23,101,102,83,100,100,47,204,189,199,182,190,-24,-103,-87,-116,-82,-90,0,0,5,8,2,1,37,198,89,167,61,249,37,198,94,175,63,250,-4,2,1,-2,-3,-4,135,135,135,132,135,130,135,6.503750926,6.546014632,5.315572064,6.397134084,6.369832473,13.136289,12.12938005,12.74456435,11.64278403,12.1026817,-6.632538073,-5.583365422,-7.428992283,-5.245649949,-5.732849226,0,0.32088307,0.512344295,0.127942682,0.063698325,12.74992756,5.71171865,10.69518717,3.902251791,15.86088286,12.74992756,6.03260172,11.20753146,4.030194473,15.92458118
050,2,3,18,015,Indiana,Carroll County,20309,20339,20515,20482,20556,20710,20655,30,176,-33,74,154,-55,55,208,214,223,204,205,40,186,268,206,200,202,15,22,-54,17,4,3,1,8,13,21,16,2,10,137,17,42,135,-59,11,145,30,63,151,-57,4,9,-9,-6,-1,-1,101,101,98,98,101,101,101,10.18260146,10.43978828,10.86797602,9.887074105,9.911761151,9.105595535,13.07412738,10.03947561,9.693209907,9.766710988,1.077005924,-2.634339098,0.828500414,0.193864198,0.145050163,0.391638518,0.634192746,1.023441688,0.775456793,0.096700109,6.706809615,0.829328975,2.046883376,6.542916687,-2.852653209,7.098448132,1.463521721,3.070325065,7.318373479,-2.7559531
050,2,3,18,017,Indiana,Cass County,37869,37794,37572,37750,38024,37929,37836,-75,-222,178,274,-95,-93,94,453,518,484,516,514,115,531,489,449,446,442,-21,-78,29,35,70,72,2,43,237,251,245,64,-56,-196,-75,-4,-411,-229,-54,-153,162,247,-166,-165,0,9,-13,-8,1,0,717,717,714,736,741,737,734,12.02133588,13.75428162,12.77483042,13.58735007,13.56827031,14.09123477,12.98425427,11.8510307,11.74410491,11.66765657,-2.069898893,0.770027349,0.92379972,1.843245165,1.90061374,1.141098108,6.29298213,6.624963708,6.451358077,1.689434435,-5.201284399,-1.991450041,-0.105577111,-10.82248232,-6.045007589,-4.060186291,4.301532089,6.519386597,-4.371124248,-4.355573154
050,2,3,18,019,Indiana,Clark County,121110,121374,122860,124254,125691,127763,130451,264,1486,1394,1437,2072,2688,343,1399,1455,1435,1390,1364,357,1473,1621,1417,1433,1458,-14,-74,-166,18,-43,-94,0,43,211,223,413,154,273,1511,1304,1182,1680,2651,273,1554,1515,1405,2093,2805,5,6,45,14,22,-23,1674,1674,1593,1595,1593,1649,1653,11.45622641,11.77594147,11.48252616,10.96845976,10.56488029,12.06220264,13.11945094,11.33849447,11.30777182,11.29295855,-0.605976236,-1.343509473,0.144031687,-0.339312065,-0.728078261,0.352121326,1.707713849,1.784392566,3.258974015,1.192809065,12.37337963,10.55383345,9.458080778,13.25684345,20.53335605,12.72550095,12.2615473,11.24247334,16.515817469999998,21.72616512
