SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,NPOPCHG2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
050,2,4,19,001,Iowa,Adair County,7502,7498,7529,7466,7418,7465,7403,-4,31,-63,-48,47,-62,23,84,87,87,84,85,17,127,135,109,103,103,6,-43,-48,-22,-19,-18,0,4,9,13,13,1,-10,71,-19,-38,54,-46,-10,75,-10,-25,67,-45,0,-1,-5,-1,-1,1,157,157,157,157,161,167,168,11.17987622,11.60386796,11.69040581,11.28804677,11.43395211,16.9029081,18.006002,14.64660038,13.84129544,13.85525962,-5.723031876,-6.402134045,-2.956194571,-2.553248673,-2.421307506,0.532375058,1.200400133,1.746842247,1.746959618,0.134517084,9.449657284,-2.534178059,-5.10615426,7.256601492,-6.187785849,9.982032342,-1.333777926,-3.359312013,9.00356111,-6.053268765
050,2,4,19,003,Iowa,Adams County,3708,3710,3639,3600,3559,3600,3617,2,-71,-39,-41,41,17,13,43,45,37,35,34,9,53,66,37,45,46,4,-10,-21,0,-10,-12,0,0,1,1,1,1,-1,-59,-19,-41,51,28,-1,-59,-18,-40,52,29,-1,-2,0,-1,-1,0,73,73,73,73,74,74,74,11.70227242,12.43265644,10.3366392,9.777901942,9.422197589,14.42373112,18.23456279,10.3366392,12.57158821,12.74767909,-2.721458702,-5.801906341,0,-2.793686269,-3.325481502,0,0.276281254,0.279368627,0.279368627,0.277123459,-16.05660634,-5.249343832,-11.4541137,14.24779997,7.759456838,-16.05660634,-4.973062578,-11.17474508,14.5271686,8.036580297
050,2,4,19,005,Iowa,Allamakee County,14062,14072,13977,14095,14163,14206,14238,10,-95,118,68,43,32,63,189,201,165,160,156,47,203,140,158,161,164,16,-14,61,7,-1,-8,0,11,95,98,145,30,-9,-96,-31,-35,-102,9,-9,-85,64,63,43,39,3,4,-7,-2,1,1,223,223,223,226,194,200,199,13.47641627,14.32031918,11.67810885,11.27991822,10.96892139,14.47466933,9.974351667,11.18267393,11.35041771,11.53143018,-0.998253057,4.345967512,0.495434921,-0.070499489,-0.562508789,0.784341688,6.76831006,6.936088895,10.22242589,2.10940796,-6.84516382,-2.208606441,-2.477174605,-7.190947866,0.632822388,-6.060822133,4.559703619,4.45891429,3.031478022,2.742230347
050,2,4,19,007,Iowa,Appanoose County,12312,12283,12267,12134,12122,12102,12077,-29,-16,-133,-12,-20,-25,23,130,126,123,126,127,37,216,205,178,179,187,-14,-86,-79,-55,-53,-60,0,3,3,12,14,12,-15,64,-48,36,18,23,-15,67,-45,48,32,35,0,3,-9,-5,1,0,200,200,200,247,238,241,236,10.59063137,10.3274456,10.14182058,10.40290621,10.50498366,17.59674134,16.80259006,14.676781,14.77873184,15.46796807,-7.00610998,-6.475144461,-4.534960422,-4.375825627,-4.962984408,0.244399185,0.245891562,0.98944591,1.155878468,0.992596882,5.213849287,-3.934264989,2.968337731,1.486129458,1.902477356,5.458248473,-3.688373427,3.957783641,2.642007926,2.895074238
050,2,4,19,009,Iowa,Audubon County,5674,5680,5642,5567,5527,5548,5509,6,-38,-75,-40,21,-39,18,53,61,65,66,66,14,91,93,88,89,93,4,-38,-32,-23,-23,-27,0,1,7,10,2,0,2,-6,-51,-26,42,-12,2,-5,-44,-16,44,-12,0,5,1,-1,0,0,102,102,102,106,102,104,116,9.36230348,10.88411098,11.71804579,11.91873589,11.93813874,16.07489843,16.59380855,15.86443122,16.07223476,16.82192276,-6.712594948,-5.709697564,-4.146385434,-4.153498871,-4.883784028,0.176647236,1.248996342,1.802776276,0.361173815,0,-1.059883413,-9.099830493,-4.687218316,7.584650113,-2.170570679,-0.883236177,-7.850834151,-2.884442041,7.945823928,-2.170570679
050,2,4,19,011,Iowa,Benton County,25586,25552,25747,25748,25773,25845,26004,-34,195,1,25,72,159,50,267,270,251,283,289,54,293,259,252,252,258,-4,-26,11,-1,31,31,0,5,13,9,3,-1,-34,205,-6,25,42,131,-34,210,7,34,45,130,4,11,-17,-8,-4,-2,321,321,321,324,329,334,334,10.40955964,10.486455,9.743599697,10.96516719,11.14775598,11.42322462,10.05922905,9.78241882,9.764035802,9.95197593,-1.013664984,0.427225944,-0.038819122,1.201131388,1.195780054,0.194935574,0.504903389,0.349372101,0.116238521,-0.03857355,7.992358526,-0.233032333,0.970478058,1.6273393,5.053135065,8.187294099,0.271871055,1.319850158,1.743577822,5.014561515
050,2,4,19,013,Iowa,Black Hawk County,131146,131037,130571,129963,130812,131473,131532,-109,-466,-608,849,661,59,438,1608,1617,1569,1569,1610,375,1526,1503,1395,1395,1415,63,82,114,174,174,195,7,208,430,714,649,390,-199,-830,-1115,-9,-144,-526,-192,-622,-685,705,505,-136,20,74,-37,-30,-18,0,4482,4479,4455,4356,4584,4660,4658,12.29320204,12.41296721,12.03336209,11.96408487,12.24311325,11.6663099,11.53784151,10.69887834,10.63728387,10.76025171,0.626892144,0.875125703,1.33448375,1.326800999,1.482861543,1.590165438,3.300912741,5.475985045,4.94881522,2.965723085,-6.345371701,-8.559343502,-0.069025022,-1.098042206,-3.999923956,-4.755206263,-5.258430761,5.406960023,3.850773014,-1.034200871
050,2,4,19,015,Iowa,Boone County,26715,26705,26776,26574,26581,26727,26799,-10,71,-202,7,146,72,59,263,262,262,251,253,76,345,358,336,316,327,-17,-82,-96,-74,-65,-74,0,2,0,-1,6,-1,-1,138,-92,89,207,147,-1,140,-92,88,213,146,8,13,-14,-7,-2,0,738,738,737,738,760,752,755,9.8352686,9.821930647,9.857962562,9.416973062,9.453349774,12.9017782,13.420806,12.6422726,11.85563143,12.21836117,-3.066509602,-3.5988753509999998,-2.784310037,-2.438658363,-2.765011396,0.074792917,0,-0.037625811,0.225106926,-0.037365019,5.160711281,-3.448922212,3.348697206,7.76618894,5.492657774,5.235504198,-3.448922212,3.311071395,7.991295866,5.455292755
050,2,4,19,017,Iowa,Bremer County,24992,25014,25134,25261,25337,25363,25296,22,120,127,76,26,-67,63,237,247,257,260,262,67,293,250,246,264,271,-4,-56,-3,11,-4,-9,0,21,24,28,12,8,20,139,126,42,21,-67,20,160,150,70,33,-59,6,16,-20,-5,-3,1,1567,1566,1558,1569,1578,1575,1579,9.452022015,9.802559778,10.15850429,10.256410259999999,10.34367042,11.68541118,9.921619208,9.723704494,10.41420118,10.69898735,-2.233389168,-0.11905943,0.434799795,-0.157790927,-0.355316923,0.837520938,0.952475444,1.106763113,0.473372781,0.315837265,5.543590971,5.000496081,1.66014467,0.828402367,-2.645137093,6.381111909,5.952971525,2.766907783,1.301775148,-2.329299828
050,2,4,19,019,Iowa,Buchanan County,20562,20608,20718,20705,20725,20711,20883,46,110,-13,20,-14,172,67,274,255,269,286,285,44,230,235,230,231,243,23,44,20,39,55,42,0,14,29,40,22,16,17,37,-58,-54,-91,116,17,51,-29,-14,-69,132,6,15,-4,-5,0,-2,145,145,145,145,118,131,129,13.26041717,12.31200058,12.98575911,13.80442128,13.7038996,11.13100711,11.34635348,11.10306541,11.14972488,11.68437755,2.129410057,0.965647104,1.8826937,2.654696399,2.019522046,0.677539564,1.400188301,1.930967898,1.06187856,0.769341732,1.790640275,-2.800376602,-2.606806662,-4.392315861,5.577727557,2.468179838,-1.400188301,-0.675838764,-3.330437301,6.347069289
