SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,NPOPCHG2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
050,2,4,20,001,Kansas,Allen County,12521,12533,12501,12469,12454,12361,12302,12,-32,-32,-15,-93,-59,37,126,129,145,119,123,30,171,227,171,186,190,7,-45,-98,-26,-67,-67,0,4,2,22,44,38,2,-3,74,-10,-71,-30,2,1,76,12,-27,8,3,12,-10,-1,1,0,384,384,381,384,384,384,384,10.06630982,10.33239888,11.63583838,9.590973202,9.974455662,13.66142047,18.18181818,13.72226458,14.9909329,15.40769574,-3.59511065,-7.849419303,-2.086426193,-5.399959702,-5.433240076,0.319565391,0.160192231,1.765437548,3.546242192,3.081539148,-0.239674043,5.927112535,-0.802471613,-5.722345356,-2.432794064,0.079891348,6.087304766,0.962965935,-2.176103163,0.648745084
050,2,4,20,003,Kansas,Anderson County,7836,7841,7812,7788,7840,7933,8018,5,-29,-24,52,93,85,16,102,89,113,104,106,28,111,113,103,112,114,-12,-9,-24,10,-8,-8,0,0,0,3,10,10,16,-24,1,41,92,85,16,-24,1,44,102,95,1,4,-1,-2,-1,-2,89,89,89,89,89,88,89,13.0326455,11.41025641,14.46122345,13.18709187,13.29070278,14.18258481,14.48717949,13.18146916,14.20148355,14.29377469,-1.149939309,-3.076923077,1.279754287,-1.014391682,-1.003071908,0,0,0.383926286,1.267989603,1.253839885,-3.066504823,0.128205128,5.246992577,11.66550434,10.65763902,-3.066504823,0.128205128,5.630918864,12.93349395,11.9114789
050,2,4,20,005,Kansas,Atchison County,16345,16325,16242,16089,16099,16169,16172,-20,-83,-153,10,70,3,38,158,191,166,157,158,34,195,205,184,191,194,4,-37,-14,-18,-34,-36,0,-1,1,23,43,37,-25,-56,-142,8,63,1,-25,-57,-141,31,106,38,1,11,2,-3,-2,1,1688,1688,1683,1691,1694,1694,1695,9.703073664,11.81528564,10.31440288,9.731002851,9.77087907,11.97531243,12.68132752,11.43283211,11.83835379,11.99715531,-2.272238769,-0.866041879,-1.118429228,-2.107350936,-2.226276244,-0.061411859,0.061860134,1.429104014,2.665179125,2.288117251,-3.439064083,-8.784139062,0.497079657,3.904797322,0.061841007,-3.500475942,-8.722278927,1.926183671,6.569976447,2.349958257
050,2,4,20,007,Kansas,Barber County,4234,4204,4109,4125,4092,4085,4083,-30,-95,16,-33,-7,-2,10,41,42,50,41,42,17,75,77,55,51,51,-7,-34,-35,-5,-10,-9,0,1,0,0,2,2,-20,-58,52,-28,1,6,-20,-57,52,-28,3,8,-3,-4,-1,0,0,-1,43,43,43,43,43,43,43,9.864068327,10.20160311,12.16989169,10.02812768,10.28403526,18.04402743,18.70293903,13.38688086,12.47401247,12.4877571,-8.1799591,-8.501335924,-1.216989169,-2.445884799,-2.203721841,0.240587032,0,0,0.48917696,0.489715965,-13.95404788,12.63055623,-6.815139345,0.24458848,1.469147894,-13.71346084,12.63055623,-6.815139345,0.73376544,1.958863859
050,2,4,20,009,Kansas,Barton County,25511,25437,25276,25052,24935,24913,24790,-74,-161,-224,-117,-22,-123,71,313,300,297,297,301,80,367,386,282,290,296,-9,-54,-86,15,7,5,1,19,13,10,50,9,-61,-132,-142,-142,-75,-137,-60,-113,-129,-132,-25,-128,-5,6,-9,0,-4,0,537,537,537,537,537,538,537,12.34397492,11.92179304,11.8830896,11.91622533,12.11194495,14.47360637,15.33937371,11.28293356,11.63537153,11.91074985,-2.129631455,-3.417580671,0.600156041,0.280853796,0.201195099,0.749314771,0.516611032,0.400104027,2.00609854,0.362151178,-5.20576578,-5.642982038,-5.681477184,-3.009147809,-5.51274571,-4.456451009,-5.126371006,-5.281373157,-1.00304927,-5.150594532
050,2,4,20,011,Kansas,Bourbon County,14365,14339,14334,14457,14434,14440,14319,-26,-5,123,-23,6,-121,50,221,186,197,167,173,55,224,206,196,175,178,-5,-3,-20,1,-8,-5,0,0,-1,-1,-1,-3,-20,-10,146,-20,15,-113,-20,-10,145,-21,14,-116,-1,8,-2,-3,0,0,388,388,384,388,388,388,388,15.41519897,12.92070439,13.63746495,11.56750017,12.03101638,15.62445506,14.31002744,13.56823924,12.12163192,12.37873361,-0.209256095,-1.389323052,0.06922571,-0.554131745,-0.347717236,0,-0.069466153,-0.06922571,-0.069266468,-0.208630342,-0.697520315,10.14205828,-1.384514209,1.038997022,-7.858409541,-0.697520315,10.07259213,-1.453739919,0.969730553,-8.067039883
050,2,4,20,013,Kansas,Brown County,9509,9480,9458,9375,9282,9133,9104,-29,-22,-83,-93,-149,-29,20,121,102,111,95,98,34,181,153,137,142,146,-14,-60,-51,-26,-47,-48,0,0,2,16,12,2,-16,31,-32,-81,-113,18,-16,31,-30,-65,-101,20,1,7,-2,-2,-1,-1,123,123,123,123,123,123,123,12.7785405,10.83205013,11.89901914,10.31767581,10.7473817,19.11500687,16.24807519,14.68617677,15.42221016,16.01140539,-6.336466364,-5.416025062,-2.787157635,-5.104534347,-5.264023688,0,0.21239314,1.715173929,1.303285365,0.21933432,3.273840955,-3.398290235,-8.683068017,-12.27260386,1.974008883,3.273840955,-3.185897096,-6.967894088,-10.96931849,2.193343203
050,2,4,20,015,Kansas,Butler County,67371,67388,67983,68236,68571,69126,69484,17,595,253,335,555,358,149,686,686,682,683,692,174,786,824,736,669,680,-25,-100,-138,-54,14,12,0,35,91,161,259,208,27,631,349,240,291,136,27,666,440,401,550,344,15,29,-49,-12,-9,2,2613,2613,2606,2611,2613,2610,2610,10.13511018,10.07201639,9.97025006,9.920332324,9.984849578,11.61253149,12.09816545,10.75968335,9.716987298,9.811701897,-1.477421309,-2.026149069,-0.789433289,0.203345026,0.173147681,0.517097458,1.336083806,2.353680733,3.761882975,3.001226463,9.322528459,5.124101631,3.508592397,4.226671605,1.96234038,9.839625917,6.460185437,5.862273129,7.98855458,4.963566842
050,2,4,20,017,Kansas,Chase County,2576,2574,2607,2575,2596,2593,2572,-2,33,-32,21,-3,-21,7,19,34,22,19,19,8,20,43,39,38,39,-1,-1,-9,-17,-19,-20,0,1,14,32,56,6,0,33,-37,6,-41,-6,0,34,-23,38,15,0,-1,0,0,0,1,-1,178,178,178,180,180,181,181,7.334491411,13.12234658,8.508992458,7.323183658,7.357212004,7.720517275,16.59590892,15.08412299,14.64636732,15.10164569,-0.386025864,-3.473562331,-6.575130536,-7.323183658,-7.744433688,0.386025864,5.403319182,12.3767163,21.58412025,2.323330107,12.7388535,-14.28020069,2.320634307,-15.80265947,-2.323330106,13.12487937,-8.876881513,14.69735061,5.781460782,0
050,2,4,20,019,Kansas,Chautauqua County,3383,3385,3391,3395,3374,3373,3321,2,6,4,-21,-1,-52,8,27,27,37,36,35,20,47,63,58,51,53,-12,-20,-36,-21,-15,-18,0,0,0,0,1,1,15,28,43,1,13,-35,15,28,43,1,14,-34,-1,-2,-3,-1,0,0,80,80,80,80,80,80,80,7.969303424,7.957559682,10.93219087,10.67140952,10.45712578,13.87249115,18.56763926,17.13694785,15.11783015,15.83507619,-5.903187721,-10.61007958,-6.20475698,-4.446420631,-5.377950403,0,0,0,0.296428042,0.298775022,8.26446281,12.6731506,0.295464618,3.853564547,-10.45712578,8.26446281,12.6731506,0.295464618,4.149992589,-10.15835076
