SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,NPOPCHG2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
050,3,6,21,001,Kentucky,Adair County,18901,18885,18927,19082,19281,19235,19423,-16,42,155,199,-46,188,50,189,206,194,200,200,93,273,285,248,243,245,-43,-84,-79,-54,-43,-45,0,4,20,46,77,57,21,115,217,208,-80,176,21,119,237,254,-3,233,6,7,-3,-1,0,0,1143,1145,1103,1129,1127,911,869,9.996826404,10.839538,10.11391184,10.38529442,10.34714677,14.43986036,14.99644821,12.92912442,12.61813272,12.6752548,-4.443033957,-4.156910205,-2.815212575,-2.232838301,-2.328108024,0.211573046,1.052382331,2.398144045,3.998338353,2.948936831,6.082725061,11.41834829,10.84378177,-4.154117769,9.105489161,6.294298106,12.47073062,13.24192581,-0.155779416,12.05442599
050,3,6,21,003,Kentucky,Allen County,20579,20573,20833,21249,21821,22095,22536,-6,260,416,572,274,441,57,259,251,297,279,288,70,269,313,249,251,253,-13,-10,-62,48,28,35,0,-1,-5,11,20,12,1,274,463,505,223,397,1,273,458,516,243,409,6,-3,20,8,3,-3,170,170,158,162,162,171,171,12.51026421,11.92909082,13.79150221,12.70607524,12.90582779,12.993286,14.87571884,11.56257256,11.43091356,11.33741122,-0.483021784,-2.946628012,2.228929649,1.275161672,1.568416571,-0.048302178,-0.237631291,0.510796378,0.910829766,0.537742825,13.23479689,22.00465757,23.45019735,10.15575189,17.79032511,13.18649471,21.76702628,23.96099373,11.06658166,18.32806794
050,3,6,21,005,Kentucky,Anderson County,23880,23902,24106,24298,24636,24958,25225,22,204,192,338,322,267,57,265,244,276,301,305,69,281,297,272,279,280,-12,-16,-53,4,22,25,0,1,14,24,79,48,30,206,232,309,219,194,30,207,246,333,298,242,4,13,-1,1,2,0,91,91,84,91,58,84,82,11.0398267,10.08181142,11.28050027,12.13856515,12.15551083,11.70638227,12.27171308,11.11701476,11.25136105,11.15915748,-0.666555574,-2.189901661,0.163485511,0.887204097,0.996353347,0.041659723,0.57846459,0.980913067,3.185869258,1.912998426,8.581903016,9.585984629,12.62925573,8.831713514,7.731701971,8.62356274,10.16444922,13.6101688,12.01758277,9.644700397
050,3,6,21,007,Kentucky,Ballard County,7730,7712,7687,7629,7605,7608,7594,-18,-25,-58,-24,3,-14,8,75,58,77,80,80,25,122,144,122,130,130,-17,-47,-86,-45,-50,-50,0,0,-1,10,11,11,-3,14,33,12,43,24,-3,14,32,22,54,35,2,8,-4,-1,-1,1,112,112,111,111,113,116,117,9.740892266,7.573779055,10.10896679,10.51732071,10.52493093,15.84518475,18.80386524,16.01680452,17.09064616,17.10301276,-6.104292487,-11.23008618,-5.907837731,-6.573325445,-6.578081831,0,-0.130582397,1.312852829,1.446131598,1.447178003,1.81829989,4.309219117,1.575423395,5.653059883,3.157479279,1.81829989,4.17863672,2.888276224,7.099191481,4.604657282
050,3,6,21,009,Kentucky,Barren County,44483,44508,44604,44854,45067,45412,45641,25,96,250,213,345,229,109,474,559,572,527,550,128,621,693,612,640,640,-19,-147,-134,-40,-113,-90,0,8,31,112,180,120,33,197,364,147,282,196,33,205,395,259,462,316,11,38,-11,-6,-4,3,636,636,615,568,563,560,577,10.63829787,12.49748485,12.72227844,11.64911195,12.08087597,13.93751683,15.49330412,13.61194827,14.14692912,14.05774659,-3.29921896,-2.995819267,-0.889669821,-2.497817173,-1.976870614,0.179549331,0.693062666,2.4910755,3.978823816,2.635827485,4.42140228,8.137897114,3.269536593,6.233490644,4.305184892,4.600951612,8.83095978,5.760612093,10.21231446,6.941012377
050,3,6,21,011,Kentucky,Bath County,12745,12715,12799,12818,12984,12970,13176,-30,84,19,166,-14,206,39,173,168,172,176,176,55,186,231,188,179,182,-16,-13,-63,-16,-3,-6,0,0,0,0,5,-2,-16,92,90,178,-16,216,-16,92,90,178,-11,214,2,5,-8,4,0,-2,88,88,87,86,87,88,87,13.5611821,13.11628996,13.33229982,13.56245665,13.46286239,14.58023046,18.0348987,14.57251376,13.79363489,13.92182361,-1.019048366,-4.918608736,-1.240213937,-0.231178238,-0.458961218,0,0,0,0.385297064,-0.152987073,7.211726895,7.026583909,13.79738005,-1.232950605,16.52260384,7.211726895,7.026583909,13.79738005,-0.847653541,16.36961677
050,3,6,21,013,Kentucky,Bell County,24096,23981,23799,23527,23260,23005,22829,-115,-182,-272,-267,-255,-176,62,313,266,263,233,234,85,465,588,403,446,447,-23,-152,-322,-140,-213,-213,0,0,-2,-2,-3,-5,-88,-41,63,-126,-37,43,-88,-41,61,-128,-40,38,-4,11,-11,1,-2,-1,709,709,563,712,713,695,703,13.1017162,11.24117821,11.24243914,10.07240895,10.21076057,19.46421097,24.84892026,17.2270075,19.28023344,19.50517083,-6.362494768,-13.60774204,-5.984568363,-9.207824489,-9.294410263,0,-0.084520137,-0.085493834,-0.129687669,-0.218178645,-1.716199247,2.662384313,-5.386111527,-1.599481249,1.876336344,-1.716199247,2.577864176,-5.47160536,-1.729168918,1.6581577
050,3,6,21,015,Kentucky,Boone County,135988,136472,137720,139429,141388,143490,145316,484,1248,1709,1959,2102,1826,413,1640,1780,1712,1685,1736,260,1095,1245,1134,1059,1045,153,545,535,578,626,691,6,88,612,965,801,348,291,485,656,438,671,774,297,573,1268,1403,1472,1122,34,130,-94,-22,4,13,1333,1333,1269,1303,1333,1343,1339,11.96242049,12.84507611,12.19299401,11.82962531,12.0219109,7.987103927,8.984336945,8.076434119,7.434761547,7.236691759,3.975316567,3.860739169,4.116559895,4.394863766,4.785219144,0.641885978,4.416396956,6.872803285,5.623459867,2.409922232,3.537667036,4.733915692,3.119469263,4.710788478,5.359999446,4.179553014,9.150312648,9.992272548,10.33424835,7.769921678
050,3,6,21,017,Kentucky,Bourbon County,20254,20299,20248,20153,20223,20337,20243,45,-51,-95,70,114,-94,43,184,233,193,206,211,52,278,314,257,250,256,-9,-94,-81,-64,-44,-45,0,4,21,57,47,2,51,19,-24,82,114,-50,51,23,-3,139,161,-48,3,20,-11,-5,-3,-1,100,100,99,90,90,84,83,9.075887242,11.53436796,9.560134734,10.157790930000001,10.39921143,13.71248181,15.5441697,12.73033485,12.32741617,12.61705274,-4.636594569,-4.009801738,-3.170200119,-2.169625247,-2.217841301,0.197301897,1.039578228,2.823459481,2.317554241,0.098570725,0.937184009,-1.188089404,4.061818902,5.621301775,-2.464268112,1.134485905,-0.148511175,6.885278383,7.938856016,-2.365697388
050,3,6,21,019,Kentucky,Boyd County,48260,48209,47756,48062,47880,47948,47751,-51,-453,306,-182,68,-197,108,524,516,526,490,468,178,792,836,744,731,728,-70,-268,-320,-218,-241,-260,0,-1,5,17,38,4,9,-210,604,30,276,55,9,-211,609,47,314,59,10,26,17,-11,-5,4,2272,2272,2102,2441,2455,2500,2533,10.92064815,10.77041892,10.964958,10.22665609,9.780666465,16.50601782,17.44974848,15.50937025,15.25650123,15.21437006,-5.585369666,-6.679329562,-4.544412249,-5.029845139,-5.4337035910000004,-0.020840932,0.104364524,0.354380772,0.793087615,0.08359544,-4.376595634,12.60723455,0.625377832,5.760320574,1.149437298,-4.397436565,12.71159907,0.979758604,6.55340819,1.233032738
