SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,NPOPCHG2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
050,3,7,22,001,Louisiana,Acadia Parish,57571,57484,57254,56961,56928,57103,57032,-87,-230,-293,-33,175,-71,181,819,915,841,827,806,203,941,874,715,711,705,-22,-122,41,126,116,101,0,-2,100,110,194,-5,-73,-154,-424,-265,-129,-169,-73,-156,-324,-155,65,-174,8,48,-10,-4,-6,2,699,698,698,698,698,697,698,14.27600272,16.02241387,14.76876608,14.50482764,14.12362553,16.40258676,15.30446964,12.55608531,12.47029317,12.35379156,-2.126584044,0.717944228,2.212680768,2.034534469,1.769833969,-0.034862034,1.751083483,1.931705433,3.402583508,-0.087615543,-2.68437658,-7.424593968,-4.653653996,-2.262542642,-2.961405353,-2.719238613,-5.673510485,-2.721948564,1.140040866,-3.049020896
050,3,7,22,003,Louisiana,Allen Parish,22734,22671,22588,22425,22522,22734,22672,-63,-83,-163,97,212,-62,53,270,260,293,266,250,80,366,351,262,267,269,-27,-96,-91,31,-1,-19,0,15,128,184,171,93,-40,-22,-194,-114,44,-134,-40,-7,-66,70,215,-41,4,20,-6,-4,-2,-2,2817,2817,2827,2870,2872,2878,2880,11.93132858,11.55221825,13.03757759,11.75534736,11.01176056,16.17357874,15.59549464,11.65817518,11.79954039,11.84865436,-4.24225016,-4.043276387,1.379402407,-0.044193035,-0.836893803,0.662851588,5.687245907,8.18742074,7.557009015,4.096374928,-0.972182328,-8.619732077,-5.072641111,1.944493548,-5.90230366,-0.309330741,-2.932486171,3.114779629,9.501502563,-1.805928732
050,3,7,22,005,Louisiana,Ascension Parish,126499,126975,128600,130638,132202,134027,135105,476,1625,2038,1564,1825,1078,403,1684,1688,1698,1622,1549,269,992,1107,998,988,974,134,692,581,700,634,575,5,28,253,552,800,425,310,823,1236,337,405,69,315,851,1489,889,1205,494,27,82,-32,-25,-14,9,619,619,619,619,619,619,619,13.17812775,13.02278215,12.92040785,12.18499863,11.51108007,7.762887606,8.5404146,7.59397352,7.422181656,7.238083914,5.415240145,4.482367554,5.326434333,4.762816973,4.272996151,0.219113763,1.951874339,4.200273931,6.009863689,3.158301503,6.440379536,9.535639065,2.564297672,3.042493492,0.512759538,6.659493299,11.48751341,6.764571603,9.052357181,3.671061041
050,3,7,22,007,Louisiana,Assumption Parish,21043,20962,20703,20481,20217,20020,19720,-81,-259,-222,-264,-197,-300,68,208,199,176,176,176,84,268,301,248,246,248,-16,-60,-102,-72,-70,-72,0,3,1,18,4,-1,-62,-207,-109,-210,-131,-226,-62,-204,-108,-192,-127,-227,-3,5,-12,0,0,-1,158,158,158,158,158,158,158,9.984399376,9.663947164,8.649073665,8.74816711,8.857574233,12.86451458,14.61732712,12.18733107,12.22755176,12.48112733,-2.880115205,-4.953379953,-3.538257408,-3.479384646,-3.623553095,0.14400576,0.048562549000000003,0.884564352,0.19882198,-0.050327126,-9.936397456,-5.293317793,-10.31991744,-6.511419837,-11.37393055,-9.792391696,-5.244755245,-9.435353089,-6.312597858,-11.42425767
050,3,7,22,009,Louisiana,Avoyelles Parish,39689,39645,39282,38772,38551,38333,37941,-44,-363,-510,-221,-218,-392,131,479,474,500,444,429,141,619,636,532,550,547,-10,-140,-162,-32,-106,-118,0,2,33,24,46,35,-39,-249,-373,-211,-156,-304,-39,-247,-340,-187,-110,-269,5,24,-8,-2,-2,-5,2809,2809,2810,2835,2832,2839,2843,12.13779822,12.14543777,12.93276257,11.54986733,11.24891837,15.68538016,16.29641018,13.76045937,14.30726809,14.34302646,-3.547581943,-4.150972404,-0.827696804,-2.75740076,-3.094108084,0.050679742,0.845568453,0.620772603,1.196607877,0.917743923,-6.309627884,-9.557485843,-5.457625803,-4.058061495,-7.971261505,-6.258948142,-8.711917391,-4.8368532,-2.861453618,-7.053517581
050,3,7,22,011,Louisiana,Beauregard Parish,36554,36605,36686,36600,36814,36638,36673,51,81,-86,214,-176,35,109,534,462,483,458,447,105,481,476,388,404,403,4,53,-14,95,54,44,0,7,15,11,19,-3,37,-10,-68,116,-249,-7,37,-3,-53,127,-230,-10,10,31,-19,-8,0,1,1063,1063,1063,1063,1063,1063,1063,14.57204841,12.60813798,13.15825319,12.47072918,12.19462291,13.12575896,12.99020277,10.57019097,11.0003812,10.99425734,1.446289449,-0.382064787,2.588062223,1.470347982,1.200365566,0.191019361,0.409355129,0.299670363,0.517344661,-0.081843107,-0.272884802,-1.855743252,3.160160187,-6.779937919,-0.190967249,-0.081865441,-1.446388123,3.45983055,-6.262593258,-0.272810356
050,3,7,22,013,Louisiana,Bienville Parish,12985,12916,12788,12623,12439,12369,12269,-69,-128,-165,-184,-70,-100,44,151,156,150,152,150,68,267,247,197,204,203,-24,-116,-91,-47,-52,-53,0,6,5,28,6,5,-42,-24,-76,-165,-25,-51,-42,-18,-71,-137,-19,-46,-3,6,-3,0,1,-1,311,311,311,311,311,311,311,11.7491441,12.27814726,11.97031362,12.25411158,12.17631301,20.77497666,19.44039983,15.72101189,16.44630764,16.47861028,-9.025832555,-7.162252568,-3.750698268,-4.192196066,-4.302297264,0.466853408,0.393530361,2.234458543,0.483714931,0.4058771,-1.867413632,-5.981661485,-13.16734498,-2.015478878,-4.139946424,-1.400560224,-5.588131124,-10.93288644,-1.531763947,-3.734069324
050,3,7,22,015,Louisiana,Bossier Parish,128655,128647,129279,129355,130413,131168,131867,-8,632,76,1058,755,699,388,1578,1617,1703,1543,1510,292,1389,1407,1253,1266,1235,96,189,210,450,277,275,6,83,561,678,881,440,-135,232,-666,-53,-402,-30,-129,315,-105,625,479,410,25,128,-29,-17,-1,14,2183,2183,2156,2128,2102,2131,2133,12.23606771,12.50415645,13.11169967,11.79749294,11.4813618,10.77053108,10.88024003,9.647069693,9.679602112,9.39038531,1.465536627,1.623916422,3.464629978,2.117890825,2.090976486,0.64359545,4.338176729,5.2200425,6.735963239,3.345562378,1.798965595,-5.15013494,-0.40805642,-3.073617732,-0.228106526,2.442561045,-0.811958211,4.81198608,3.662345507,3.117455852
050,3,7,22,017,Louisiana,Caddo Parish,237944,237024,232812,229272,226605,225317,224226,-920,-4212,-3540,-2667,-1288,-1091,693,2816,2802,2763,2738,2666,932,3559,3309,3015,2874,2810,-239,-743,-507,-252,-136,-144,0,37,236,270,401,132,-662,-3446,-3305,-2688,-1544,-1083,-662,-3409,-3069,-2418,-1143,-951,-19,-60,36,3,-9,4,4055,4054,4055,4053,4051,4050,4054,11.98716148,12.1276651,12.12169072,12.11713526,11.86093433,15.14996722,14.32207131,13.22725209,12.71900903,12.50158494,-3.162805745,-2.194406212,-1.105561369,-0.60187377500000006,-0.640650616,0.157501767,1.021459302,1.184530038,1.774642527,0.587263065,-14.66894831,-14.30475844,-11.7926546,-6.83303756,-4.81822651,-14.51144655,-13.28329914,-10.60812456,-5.058395033,-4.230963445
050,3,7,22,019,Louisiana,Calcasieu Parish,216778,216474,205009,202821,204628,207027,208466,-304,-11465,-2188,1807,2399,1439,654,2481,2589,2579,2440,2328,603,2665,2322,2021,2047,2008,51,-184,267,558,393,320,6,139,679,683,903,489,-386,-10671,-3183,625,1124,621,-380,-10532,-2504,1308,2027,1110,25,-749,49,-59,-21,9,2593,2593,2591,2589,2589,2588,2585,11.77271681,12.69646667,12.65925306,11.85458697,11.20596496,12.64582439,11.38709757,9.920259959,9.94522112,9.665626136,-0.873107575,1.3093691,2.738993101,1.909365853,1.540338826,0.659575831,3.329818797,3.352566824,4.387168867,2.353830269,-50.6354942,-15.60944511,3.067868617,5.460883507,2.989220035,-49.97591836,-12.27962631,6.420435441,9.848052374,5.343050304
