SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,NPOPCHG2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
050,1,1,23,001,Maine,Androscoggin County,111145,111181,112760,113437,114587,115600,116487,36,1579,677,1150,1013,887,294,1035,1204,1188,1122,1146,294,1294,1569,1366,1365,1369,0,-259,-365,-178,-243,-223,1,110,454,727,1064,716,1,1795,610,603,204,387,2,1905,1064,1330,1268,1103,34,-67,-22,-2,-12,7,4366,4363,5788,5975,6125,6158,6146,9.243506102,10.6455877,10.41995579,9.748595707,9.875606992,11.55661536,13.87286304,11.98119496,11.85992259,11.79730015,-2.313109256,-3.22727534,-1.561239168,-2.111326878,-1.921693158,0.982401615,4.014200012,6.37652177,9.244657605,6.170100006,16.03100817,5.39352865,5.288916956,1.772471947,3.334956288,17.01340978,9.407728661,11.66543873,11.01712955,9.505056294
050,1,1,23,003,Maine,Aroostook County,67091,67051,67075,67295,67330,66925,66609,-40,24,220,35,-405,-316,150,633,580,570,570,575,204,1036,1177,1096,1079,1079,-54,-403,-597,-526,-509,-504,0,28,92,162,43,19,0,352,716,412,67,167,0,380,808,574,110,186,14,47,9,-13,-6,2,1532,1531,1519,1605,1595,1478,1597,9.438885824,8.632879363,8.467966574,8.491303862,8.612038882,15.44816069,17.5187914,16.28226555,16.07388924,16.16067818,-6.009274861,-8.885912034,-7.814298979,-7.582585379,-7.548639298,0.417517856,1.369353278,2.406685237,0.640572046,0.28457172,5.248795908,10.65714073,6.120705664,0.998100629,2.50123564,5.666313765,12.02649401,8.527390901,1.638672675,2.78580736
050,1,1,23,005,Maine,Cumberland County,303076,303588,306150,309532,311645,314665,317222,512,2562,3382,2113,3020,2557,738,2755,2877,2851,2797,2886,773,2992,3223,3108,3167,3165,-35,-237,-346,-257,-370,-279,45,521,1747,2174,3205,2010,457,2157,2009,251,203,805,502,2678,3756,2425,3408,2815,45,121,-28,-55,-18,21,9031,9033,8938,10548,10441,10419,11225,9.036668208,9.345733674,9.179348237,8.9316792,9.134544626,9.814051281,10.46969052,10.00680965,10.11320273,10.01761391,-0.777383073,-1.123956848,-0.827461416,-1.181523527,-0.883069283,1.708930721,5.675007553,6.999615247,10.23454839,6.361896985,7.075169991,6.526096264,0.808143251,0.648241286,2.547923917,8.784100712,12.20110382,7.807758497,10.88278967,8.909820902
050,1,1,23,007,Maine,Franklin County,29447,29463,30256,30574,30773,30875,30824,16,793,318,199,102,-51,55,227,218,215,224,227,62,378,416,389,389,393,-7,-151,-198,-174,-165,-166,0,7,22,28,42,30,19,982,477,341,229,84,19,989,499,369,271,114,4,-45,17,4,-4,1,1175,1174,1658,1814,1770,1678,1662,7.602270634,7.167516028,7.009307709,7.267064625,7.358304024,12.65928766,13.67746178,12.68195674,12.62003634,12.73926644,-5.05701703,-6.50994575,-5.672649029,-5.35297171,-5.380962414,0.234431253,0.723327306,0.912840074,1.362574617,0.972463087,32.88735578,15.68305113,11.11708804,7.429275889,2.722896643,33.12178704,16.40637843,12.02992811,8.791850506,3.69535973
050,1,1,23,009,Maine,Hancock County,55485,55512,56349,56636,56865,57130,57171,27,837,287,229,265,41,115,381,401,381,382,390,158,737,716,684,659,656,-43,-356,-315,-303,-277,-266,0,31,50,251,247,136,66,1209,549,289,295,174,66,1240,599,540,542,310,4,-47,3,-8,0,-3,1360,1359,1364,1347,1339,1281,1227,6.812025639,7.098287383,6.713597237,6.702048336,6.824087278,13.17706797,12.67424879,12.05275724,11.56191061,11.47846476,-6.3650423290000004,-5.575961411,-5.339160007,-4.859862275,-4.654377477,0.554259304,0.88507324,4.422868521,4.3335234,2.379681718,21.61611285,9.718104173,5.092466146,5.175665599,3.044592786,22.17037216,10.60317741,9.515334667,9.509189,5.424274503
050,1,1,23,011,Maine,Kennebec County,124515,124732,125803,127182,128254,128672,129067,217,1071,1379,1072,418,395,282,1096,1101,1066,1038,1061,369,1481,1684,1573,1607,1600,-87,-385,-583,-507,-569,-539,2,49,215,439,381,215,298,1389,1672,1139,614,718,300,1438,1887,1578,995,933,4,18,75,1,-8,1,4239,4245,4219,4849,4945,4958,5185,8.749276548,8.704073364,8.346513412,8.080147591,8.233135071,11.82269942,13.31304228,12.31619662,12.50943852,12.4156608,-3.073422875,-4.608968911,-3.969683208,-4.429290924,-4.182525733,0.391162911,1.699705516,3.437260214,2.96583452,1.668354421,11.0882711,13.21817499,8.918085156,4.77958634,5.571527786,11.47943401,14.91788051,12.35534537,7.745420861,7.239882206
050,1,1,23,013,Maine,Knox County,40608,40663,41089,41291,41077,40964,41117,55,426,202,-214,-113,153,67,269,286,283,284,287,104,496,532,557,578,578,-37,-227,-246,-274,-294,-291,0,10,69,38,42,23,92,657,385,30,143,426,92,667,454,68,185,449,0,-14,-6,-8,-4,-5,1514,1514,1378,1437,1431,1528,1602,6.580878755,6.943432872,6.871600622,6.923367585,6.993092189,12.13425971,12.91575625,13.52466978,14.09051572,14.08364908,-5.553380957,-5.972323379,-6.653069153,-7.167148133,-7.090556889,0.244642333,1.675163875,0.922688423,1.023878305,0.560422022,16.07300127,9.346928866,0.728438228,3.486061847,10.3799905,16.31764361,11.02209274,1.651126651,4.509940152,10.94041252
050,1,1,23,015,Maine,Lincoln County,35228,35244,36015,36248,36418,36524,36595,16,771,233,170,106,71,61,234,268,243,287,288,112,423,512,514,479,486,-51,-189,-244,-271,-192,-198,0,2,8,24,47,39,68,1009,452,415,256,232,68,1011,460,439,303,271,-1,-51,17,2,-5,-2,572,572,575,589,613,622,643,6.567591462,7.417350511,6.688134754,7.869265992,7.877569442,11.87218457,14.17046068,14.14691878,13.13372268,13.29339843,-5.304593104,-6.753110167,-7.458784026,-5.264456692,-5.415828991,0.05613326,0.221413448,0.660556519,1.288695128,1.066754195,28.31922985,12.50985982,11.42212314,7.019275589,6.345819828,28.37536311,12.73127327,12.08267966,8.307970717,7.412574023
050,1,1,23,017,Maine,Oxford County,57761,57894,58699,59534,60076,59970,60346,133,805,835,542,-106,376,130,467,490,525,492,498,151,785,853,825,825,824,-21,-318,-363,-300,-333,-326,0,7,11,9,10,-9,152,1145,1137,832,218,715,152,1152,1148,841,228,706,2,-29,50,1,-1,-4,837,837,770,841,863,765,863,8.010772516,8.28871804,8.778530223,8.196857871,8.278200738,13.46564545,14.42913569,13.79483321,13.74473119,13.69726387,-5.454872934,-6.14041765,-5.016302985,-5.547873315,-5.419063134,0.120075819,0.186073262,0.15048909,0.166602802,-0.149606037,19.6409733,19.233209,13.91188028,3.631941089,11.88536853,19.76104912,19.41928227,14.06236937,3.798543892,11.73576249
050,1,1,23,019,Maine,Penobscot County,152198,152174,153367,154948,156839,157283,157967,-24,1193,1581,1891,444,684,305,1251,1299,1301,1196,1204,406,1890,2110,1989,1921,1927,-101,-639,-811,-688,-725,-723,5,88,436,870,647,413,21,1706,1906,1693,523,993,26,1794,2342,2563,1170,1406,51,38,50,16,-1,1,6215,6209,6251,6804,7529,7599,7780,8.188753719,8.426446978,8.345440958,7.614875749,7.638382236,12.37149842,13.68730033,12.75871027,12.23091665,12.22521808,-4.182744705,-5.260853348,-4.413269315,-4.616040901,-4.586835845,0.57602744,2.828276276,5.580733,4.11941857,2.620142744,11.16707741,12.3639784,10.85997813,3.329916402,6.299762094,11.74310485,15.19225468,16.44071113,7.449334972,8.919904837
