SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,RBIRTH2021,RBIRTH2022,RBIRTH2023,RDEATH2021,RDEATH2022,RDEATH2023,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RNETMIG2021,RNETMIG2022,RNETMIG2023
050,3,5,24,001,Maryland,Allegany County,68108,67960,67687,67266,67273,-148,-273,-421,7,148,625,579,553,260,1158,1062,1001,-112,-533,-483,-448,0,0,19,33,-48,217,91,427,-48,217,110,460,12,43,-48,-5,6191,6187,6172,6172,6178,9.2150950629,8.5807651553,8.22066464,17.073728133,15.738812772,14.880443589,-7.85863307,-7.158047617,-6.659778949,0,0.2815795129,0.4905640744,3.1994810058,1.3486176669,6.3476018106,3.1994810058,1.6301971798,6.8381658850000004
050,3,5,24,003,Maryland,Anne Arundel County,588270,589106,592085,593347,594582,836,2979,1262,1235,1727,6737,7027,6971,1327,5026,4925,4570,400,1711,2102,2401,-17,399,1005,1525,251,456,-1583,-2732,234,855,-578,-1207,202,413,-262,41,9657,9657,9616,9588,9584,11.4071306,11.855593573,11.736391653,8.5100546821,8.3092071076,7.6940625239,2.8970759174,3.546386465,4.0423291291,0.6755892993,1.6955843945,2.5674935118,0.7721020563,-2.670756315,-4.599601491,1.4476913556,-0.97517192,-2.03210798
050,3,5,24,005,Maryland,Baltimore County,854554,853387,850691,845986,844703,-1167,-2696,-4705,-1283,2364,9290,9412,9375,2751,9831,9316,8577,-387,-541,96,798,64,1109,2649,3663,-959,-3694,-7354,-5765,-895,-2585,-4705,-2102,115,430,-96,21,22359,22352,22321,22350,22361,10.903256776,11.094627911,11.090153186,11.538204237,10.981465535,10.146159347,-0.634947461,0.1131623756,0.9439938392,1.301583613,3.1225743026,4.3331446529,-4.335482296,-8.668709483,-6.819704866,-3.033898683,-5.546135181,-2.486560213
050,3,5,24,009,Maryland,Calvert County,92789,92915,94233,94559,94728,126,1318,326,169,232,949,979,957,232,853,866,834,0,96,113,123,0,12,57,78,100,1188,218,-28,100,1200,275,50,26,22,-62,-4,582,582,582,582,582,10.141706029,10.37120217,10.11162943,9.1157800244,9.1741175474,8.8120156165,1.0259260051,1.1970846222,1.2996138139,0.1282407506,0.6038391457,0.8241453454,12.695834313,2.3094198907,-0.295847047,12.824075064,2.9132590364,0.5282982984
050,3,5,24,011,Maryland,Caroline County,33292,33270,33429,33427,33593,-22,159,-2,166,89,424,430,423,97,424,441,430,-8,0,-11,-7,0,30,76,103,-22,110,-48,68,-22,140,28,171,8,19,-19,2,563,563,563,563,563,12.713833791,12.863467752,12.623097583,12.713833791,13.192533206,12.831990451,0,-0.329065454,-0.208892868,0.8995637116,2.2735431375,3.0737093405,3.2984002759,-1.435921982,2.0292450015,4.1979639875,0.8376211559,5.102954342
050,3,5,24,013,Maryland,Carroll County,172895,172941,174313,175472,176639,46,1372,1159,1167,450,1719,1810,1795,541,1814,1877,1758,-91,-95,-67,37,0,63,140,215,104,1314,1206,944,104,1377,1346,1159,33,90,-120,-29,3739,3739,3734,3744,3745,9.9005339031,10.349214517,10.195648531,10.447683828,10.732306989,9.9854875309,-0.547149925,-0.383092471,0.2101610004,0.3628467923,0.8004917306,1.2212058129,7.5679473815,6.8956644796,5.3619455229,7.9307941737,7.6961562102,6.5831513358
050,3,5,24,015,Maryland,Cecil County,103724,103800,104056,104870,105672,76,256,814,802,277,1097,1157,1124,309,1258,1262,1194,-32,-161,-105,-70,1,37,99,142,79,311,854,733,80,348,953,875,28,69,-34,-3,1344,1344,1379,1383,1384,10.555384497,11.075691872,10.677204548,12.104533908,12.080832448,11.342155009,-1.549149411,-1.005140576,-0.664950461,0.3560157032,0.9477039717,1.348899507,2.9924563159,8.1751433522,6.9629812579,3.3484720191,9.1228473239,8.3118807649
050,3,5,24,017,Maryland,Charles County,166621,166741,168927,170111,171973,120,2186,1184,1862,433,1819,1831,1724,406,1433,1479,1421,27,386,352,303,0,99,280,395,48,1633,676,1174,48,1732,956,1569,45,68,-124,-10,1440,1440,1440,1440,1440,10.838090018,10.801149134,10.079395704,8.538198458,8.7246857284,8.3079009834,2.2998915595,2.0764634053,1.7714947206,0.5898685606,1.6517322542,2.3093743057,9.7298521158,3.9877535851,6.8638112277,10.319720676,5.6394858393,9.1731855334
050,3,5,24,019,Maryland,Dorchester County,32529,32530,32594,32583,32879,1,64,-11,296,95,345,337,336,110,451,495,489,-15,-106,-158,-153,0,13,21,32,12,141,134,413,12,154,155,445,4,16,-8,4,380,380,380,380,380,10.595172287,10.341071237,10.265497541,13.850500584,15.189407306,14.939965171,-3.255328297,-4.848336069,-4.67446763,0.399238376,0.6443990978,0.9776664324,4.3302008476,4.1118799577,12.618007394,4.7294392236,4.7562790555,13.595673826
050,3,5,24,021,Maryland,Frederick County,271710,272786,280647,287540,293391,1076,7861,6893,5851,771,3075,3225,3172,646,2126,2212,2066,125,949,1013,1106,5,315,840,1215,920,6769,4997,3551,925,7084,5837,4766,26,-172,43,-21,5190,5191,5174,5183,5186,11.11245625,11.351896471,10.920401907,7.6829534921,7.7861689901,7.1127207878,3.4295027582,3.5657274806,3.8076811188,1.1383491769,2.9567730342,4.1829408312,24.461858978,17.589279586,12.225204026,25.600208155,20.54605262,16.408144857
