SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,NPOPCHG2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
050,2,3,26,001,Michigan,Alcona County,10161,10184,10290,10382,10502,10551,10556,23,106,92,120,49,5,24,63,67,76,67,67,41,206,236,199,214,224,-17,-143,-169,-123,-147,-157,0,1,9,9,5,5,49,267,234,230,189,159,49,268,243,239,194,164,-9,-19,18,4,2,-2,78,78,78,78,78,78,78,6.154146723,6.482198142,7.278299176,6.364888614,6.348604728,20.12308293,22.83281734,19.05765179,20.32964423,21.22518596,-13.96893621,-16.3506192,-11.77935261,-13.96475562,-14.87658123,0.097684869,0.870743034,0.86190385,0.474991688,0.473776472,26.08185992,22.63931889,22.02643172,17.95468579,15.06609182,26.17954479,23.51006192,22.88833557,18.42967748,15.53986829
050,2,3,26,003,Michigan,Alger County,8839,8845,8777,8782,8753,8707,8641,6,-68,5,-29,-46,-66,21,61,64,53,65,65,23,110,110,108,118,121,-2,-49,-46,-55,-53,-56,0,2,1,1,3,3,7,-27,45,25,3,-13,7,-25,46,26,6,-10,1,6,5,0,1,0,988,988,891,925,923,902,880,6.923164227,7.289708981,6.045052752,7.44558992,7.493659211,12.48439451,12.52918731,12.3182207,13.51660939,13.94973484,-5.56123028,-5.23947833,-6.27316795,-6.071019473,-6.456075628,0.226988991,0.11390170300000001,0.114057599,0.343642612,0.345861194,-3.064351379,5.125576627,2.851439977,0.343642612,-1.498731842,-2.837362388,5.23947833,2.965497576,0.687285223,-1.152870648
050,2,3,26,005,Michigan,Allegan County,120511,120666,121082,121299,121935,122567,123188,155,416,217,636,632,621,280,1183,1236,1202,1183,1177,281,1247,1300,1158,1124,1143,-1,-64,-64,44,59,34,2,51,150,142,263,56,122,328,222,468,323,532,124,379,372,610,586,588,32,101,-91,-18,-13,-1,927,927,926,927,927,927,927,9.787050979,10.19881921,9.883486684,9.67681246,9.578645399,10.31652796,10.72691341,9.521695158,9.194198821,9.301947061,-0.529476976,-0.528094199,0.361791526,0.482613639,0.276698338,0.421926965,1.237720778,1.167599924,2.151311646,0.455738439,2.713569502,1.831826752,3.84814623,2.642105177,4.329515168,3.135496467,3.069547531,5.015746154,4.793416823,4.785253606
050,2,3,26,007,Michigan,Alpena County,28916,28891,28953,28827,28868,28883,28853,-25,62,-126,41,15,-30,61,272,249,241,248,248,88,429,473,438,430,436,-27,-157,-224,-197,-182,-188,0,0,4,3,-2,-6,-3,200,111,240,200,165,-3,200,115,243,198,159,5,19,-17,-5,-1,-1,579,579,579,579,581,582,581,9.404605491,8.618899273,8.3542768,8.588595869,8.590827214,14.8329991,16.37244721,15.18329145,14.89151703,15.10322849,-5.42839361,-7.75354794,-6.829014646,-6.302921162,-6.512401275,0,0.138456213,0.103995147,-0.06926287,-0.207842594,6.915151096,3.842159917,8.319611752,6.926286991,5.715671332,6.915151096,3.98061613,8.423606898,6.857024121,5.507828738
050,2,3,26,009,Michigan,Antrim County,23422,23457,23879,24285,24416,24441,24698,35,422,406,131,25,257,37,179,202,183,190,191,59,331,317,326,344,352,-22,-152,-115,-143,-154,-161,0,0,18,18,31,13,64,601,474,254,153,412,64,601,492,272,184,425,-7,-27,29,2,-5,-7,203,203,202,202,205,205,204,7.5629542,8.388007641,7.515246094,7.77780052,7.773865972,13.9851276,13.16335853,13.38781545,14.08191252,14.32670588,-6.422173399,-4.775350884,-5.872569352,-6.304112,-6.552839903,0,0.747446225,0.739204534,1.269009559,0.529111297,25.39293561,19.6827506,10.43099731,6.263176208,16.76875801,25.39293561,20.43019683,11.17020184,7.532185767,17.29786931
050,2,3,26,011,Michigan,Arenac County,14999,14998,15012,15100,15131,15059,15068,-1,14,88,31,-72,9,28,135,142,118,95,97,56,242,265,219,203,209,-28,-107,-123,-101,-108,-112,0,0,0,0,4,3,26,115,211,132,34,121,26,115,211,132,38,124,1,6,0,0,-2,-3,171,171,171,171,172,172,172,8.997001,9.431455898,7.806556184,6.293474661,6.439406512,16.12795735,17.60095643,14.48843902,13.44816164,13.87459754,-7.130956348,-8.169500531,-6.681882835,-7.154686982,-7.435191025,0,0,0,0.264988407,0.199156902,7.664111963,14.01434644,8.732757765,2.252401457,8.032661732,7.664111963,14.01434644,8.732757765,2.517389864,8.231818634
050,2,3,26,013,Michigan,Baraga County,8153,8143,8229,8184,8219,8222,8169,-10,86,-45,35,3,-53,18,74,82,79,80,80,24,134,110,119,84,86,-6,-60,-28,-40,-4,-6,0,0,0,1,1,1,-5,148,-12,74,8,-47,-5,148,-12,75,9,-46,1,-2,-5,0,-2,-1,882,882,840,796,800,762,703,9.03982409,9.992079449,9.63238432,9.731768141,9.761454457,16.36941119,13.40400902,14.50954094,10.21835655,10.49356354,-7.3295871,-3.411929568,-4.877156618,-0.486588407,-0.732109084,0,0,0.121928915,0.12164710199999999,0.122018181,18.07964818,-1.462255529,9.022739743,0.973176814,-5.734854493,18.07964818,-1.462255529,9.144668658,1.094823916,-5.612836313
050,2,3,26,015,Michigan,Barry County,62428,62599,63133,63366,63849,64009,63991,171,534,233,483,160,-18,161,595,585,566,560,555,151,688,767,607,596,606,10,-93,-182,-41,-36,-51,0,5,11,44,115,74,158,599,420,491,88,-43,158,604,431,535,203,31,3,23,-16,-11,-7,2,465,465,465,465,465,465,465,9.464575446,9.249084973,8.898321739,8.759717812,8.671875,10.94391245,12.12657808,9.542899815,9.322842528,9.46875,-1.479337003,-2.877493103,-0.64457807600000006,-0.563124716,-0.796875,0.079534247,0.173914418,0.691742326,1.798870622,1.15625,9.528202844,6.640368699,7.719215501,1.376527085,-0.671875,9.607737092,6.814283117,8.410957827,3.175397707,0.484375
050,2,3,26,017,Michigan,Bay County,103863,103739,103115,102736,102693,102432,102123,-124,-624,-379,-43,-261,-309,253,898,938,920,854,860,346,1654,1498,1365,1321,1325,-93,-756,-560,-445,-467,-465,0,0,17,34,55,40,-51,26,238,386,165,112,-51,26,255,420,220,152,20,106,-74,-18,-14,4,1170,1169,1169,1169,1176,1179,1174,8.682452358,9.113387839,8.956865876,8.326630104,8.408496492,15.99195568,14.5542164,13.28926296,12.87995125,12.95495099,-7.309503321,-5.44082856,-4.332397081,-4.553321146,-4.546454499,0,0.16516801,0.331014609,0.536258379,0.39109286,0.251385035,2.312352138,3.757989378,1.608775137,1.095060008,0.251385035,2.477520148,4.089003987,2.145033516,1.486152868
050,2,3,26,019,Michigan,Benzie County,17977,18002,18245,18340,18452,18492,18568,25,243,95,112,40,76,33,130,152,128,141,143,58,253,255,224,232,239,-25,-123,-103,-96,-91,-96,0,1,15,21,20,11,55,379,175,187,113,164,55,380,190,208,133,175,-5,-14,8,0,-2,-3,197,197,197,197,197,197,197,7.173007421,8.309416428,6.958034355,7.633174534,7.717215327,13.95977598,13.9401394,12.17656012,12.55954959,12.89800324,-6.78676856,-5.630722974,-5.218525766,-4.926375054,-5.180787911,0.05517698,0.8200082,1.141552511,1.082719792,0.593631948,20.91207548,9.566762334,10.16525332,6.117366826,8.850512682,20.96725246,10.38677053,11.30680583,7.200086618,9.44414463
