SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,NPOPCHG2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
050,2,4,27,001,Minnesota,Aitkin County,15689,15708,15954,16148,16131,16283,16252,19,246,194,-17,152,-31,33,105,104,130,120,122,52,259,254,241,260,265,-19,-154,-150,-111,-140,-143,0,1,9,3,4,4,45,424,298,86,290,111,45,425,307,89,294,115,-7,-25,37,5,-2,-3,322,322,322,322,322,322,322,6.632556377,6.479347081,8.054772453,7.404208058,7.499615798,16.36030573,15.82455922,14.93230893,16.04245079,16.29014907,-9.727749353,-9.345212136,-6.877536479,-8.638242735,-8.790533272,0.063167204,0.560712728,0.185879364,0.246806935,0.245889043,26.78289432,18.56582144,5.328541776,17.89350281,6.823420931,26.84606153,19.12653417,5.514421141,18.14030974,7.069309974
050,2,4,27,003,Minnesota,Anoka County,363885,364474,367557,369468,373182,377855,381605,589,3083,1911,3714,4673,3750,1031,4072,4168,4037,3975,4007,680,2760,2866,2606,2595,2628,351,1312,1302,1431,1380,1379,4,361,1239,1631,2682,876,107,1079,-441,755,647,1497,111,1440,798,2386,3329,2373,127,331,-189,-103,-36,-2,3458,3458,3158,3207,3199,3275,3264,11.12521191,11.31033547,10.87187774,10.58536397,10.55223448,7.540664262,7.777212442,7.018110819,6.910445158,6.920706818,3.584547649,3.533123028,3.853766916,3.674918812,3.631527664,0.986297028,3.362165463,4.392378644,7.142124822,2.306902273,2.947962586,-1.196702961,2.033259274,1.722951066,3.942274774,3.934259615,2.165462501,6.425637918,8.865075888,6.249177047
050,2,4,27,005,Minnesota,Becker County,35165,35184,35322,35355,35282,35385,35497,19,138,33,-73,103,112,103,371,348,338,341,360,90,442,420,388,395,401,13,-71,-72,-50,-54,-41,0,6,19,14,16,13,-5,179,108,-30,145,143,-5,185,127,-16,161,156,11,24,-22,-7,-4,-3,470,471,470,470,470,470,470,10.52392704,9.847616622,9.570055353,9.650897873,10.15772693,12.53794003,11.88505454,10.98574402,11.17919255,11.31457916,-2.014012992,-2.037437922,-1.415688662,-1.528294678,-1.156852233,0.170198281,0.537657229,0.396392825,0.452828053,0.366806806,5.07758205,3.056156883,-0.849413197,4.103754228,4.034874862,5.247780331,3.593814112,-0.453020372,4.55658228,4.401681668
050,2,4,27,007,Minnesota,Beltrami County,46220,46232,46473,46687,46570,46779,47055,12,241,214,-117,209,276,130,604,538,510,502,506,128,512,572,495,445,450,2,92,-34,15,57,56,0,14,23,23,37,13,-7,98,233,-141,119,206,-7,112,256,-118,156,219,17,37,-8,-14,-4,1,2141,2139,2143,2426,2426,2490,2487,13.03058088,11.55002147,10.93751676,10.7553375,10.7850033,11.04579041,12.27994848,10.61582509,9.534113917,9.5914061,1.984790464,-0.729927007,0.321691669,1.22122358,1.193597204,0.302033332,0.493774152,0.49326056,0.792724079,0.277085065,2.114233321,5.002146844,-3.023901691,2.549572036,4.39073257,2.416266652,5.495920996,-2.530641131,3.342296115,4.667817635
050,2,4,27,009,Minnesota,Benton County,41377,41355,41545,41533,41580,41769,41744,-22,190,-12,47,189,-25,121,482,504,478,442,455,107,425,459,358,345,350,14,57,45,120,97,105,2,46,135,46,48,30,-42,51,-175,-116,48,-162,-40,97,-40,-70,96,-132,4,36,-17,-3,-4,2,723,723,723,723,723,725,723,11.62846803,12.13317605,11.50241238,10.60600607,10.89650713,10.25331725,11.04985676,8.614777472,8.278443653,8.381928562,1.375150784,1.08331929,2.887634907,2.327562418,2.514578569,1.109770808,3.249957871,1.106926714,1.151783465,0.71845102,1.23039807,-4.212908351,-2.79138041,1.151783465,-3.879635506,2.340168878,-0.96295048,-1.684453696,2.303566929,-3.161184486
050,2,4,27,011,Minnesota,Big Stone County,5168,5158,5167,5144,5098,5079,5054,-10,9,-23,-46,-19,-25,14,66,57,63,42,51,15,82,86,87,71,73,-1,-16,-29,-24,-29,-22,0,0,4,3,11,0,-7,21,3,-23,-3,-2,-7,21,7,-20,8,-2,-2,4,-1,-2,2,-1,243,243,242,243,243,243,243,12.78450363,11.05615362,12.30228471,8.253905866,10.0661206,15.88377724,16.68121424,16.98886936,13.95303135,14.4083687,-3.099273608,-5.625060615,-4.686584651,-5.699125479,-4.3422481,0,0.77587043,0.585823081,2.161737251,0,4.06779661,0.581902822,-4.491310291,-0.589564705,-0.394749827,4.06779661,1.357773252,-3.90548721,1.572172546,-0.394749827
050,2,4,27,013,Minnesota,Blue Earth County,69117,69202,69387,70108,70328,70200,70634,85,185,721,220,-128,434,191,707,648,694,667,672,146,555,572,550,598,615,45,152,76,144,69,57,3,86,253,293,244,199,13,-108,391,-215,-441,175,16,-22,644,78,-197,374,24,55,1,-2,0,3,4344,4339,4327,4873,5140,5077,5072,10.20282995,9.290655579,9.883505654,9.492770124,9.543150092,8.009293667,8.201010789,7.832749438,8.510759422,8.733686468,2.193536284,1.08964479,2.050756216,0.982010703,0.809463624,1.241079739,3.627370157,4.172719246,3.472617557,2.826022125,-1.558565254,5.605935697,-3.061892962,-6.276329272,2.485195336,-0.317485515,9.233305853,1.110826284,-2.803711716,5.311217462
050,2,4,27,015,Minnesota,Brown County,25915,25908,25904,25703,25628,25571,25517,-7,-4,-201,-75,-57,-54,73,260,268,247,238,237,71,319,353,290,301,306,2,-59,-85,-43,-63,-69,0,6,32,28,31,16,-10,27,-147,-57,-22,0,-10,33,-115,-29,9,16,1,22,-1,-3,-3,-1,1077,1078,1071,1002,969,972,973,10.03628503,10.38618792,9.62381407,9.297056583,9.278108362,12.31374971,13.68031469,11.2992149,11.75804215,11.97932978,-2.27746468,-3.294126766,-1.67540083,-2.460985566,-2.701221422,0.231606578,1.240141841,1.09095868,1.210961152,0.626370185,1.042229599,-5.696901583,-2.22088017,-0.859391785,0,1.273836177,-4.456759742,-1.12992149,0.351569367,0.626370185
050,2,4,27,017,Minnesota,Carlton County,36200,36190,36455,36738,36694,36725,36711,-10,265,283,-44,31,-14,94,351,350,323,328,330,86,445,491,471,441,449,8,-94,-141,-148,-113,-119,0,7,15,19,20,14,-23,334,406,95,129,90,-23,341,421,114,149,104,5,18,3,-10,-5,1,2263,2263,2260,2489,2474,2457,2450,9.663431757,9.563756097,8.797254603,8.935016821,8.987417615,12.25135935,13.41658355,12.82819479,12.01323908,12.22833488,-2.587927593,-3.852827456,-4.03094019,-3.078222259,-3.240917261,0.192718012,0.409875261,0.517485565,0.544818099,0.381284384,9.195402299,11.09395707,2.587427824,3.514076738,2.451113895,9.388120311,11.50383233,3.104913389,4.058894837,2.832398279
050,2,4,27,019,Minnesota,Carver County,106919,107308,108911,110174,111076,112595,114379,389,1603,1263,902,1519,1784,254,1138,1218,1200,1204,1219,138,635,693,699,681,694,116,503,525,501,523,525,0,57,191,239,233,122,241,997,623,162,761,1139,241,1054,814,401,994,1261,32,46,-76,0,2,-2,920,920,927,905,857,995,994,10.52636447,11.11897209,10.84745763,10.76581229,10.74131839,5.873674376,6.326311706,6.318644068,6.089300803,6.115237869,4.652690097,4.792660383,4.528813559,4.676511483,4.62608052,0.527243212,1.743615492,2.160451977,2.083417162,1.075012997,9.222131265,5.687290321,1.46440678,6.804637168,10.03639183,9.749374477,7.430905813,3.624858757,8.88805433,11.11140483
