SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,NPOPCHG2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
050,3,6,28,001,Mississippi,Adams County,29542,29426,28483,28383,28717,29776,30061,-116,-943,-100,334,1059,285,78,314,256,271,263,259,126,469,481,448,432,433,-48,-155,-225,-177,-169,-174,0,57,486,646,1905,671,-64,-791,-364,-129,-686,-212,-64,-734,122,517,1219,459,-4,-54,3,-6,9,0,1293,1293,921,923,928,525,525,10.84460101,9.003622551,9.492119089,8.992529021,8.656851112,16.19782763,16.91696268,15.691768829999999,14.77099824,14.4726507,-5.353226614,-7.913340133,-6.199649737,-5.778469219,-5.815799589,1.968605916,17.09281469,22.62697023,65.13599918,22.42759497,-27.31872421,-12.80202582,-4.518388792,-23.45579813,-7.08591674,-25.35011829,4.290788872,18.10858144,41.68020105,15.34167823
050,3,6,28,003,Mississippi,Alcorn County,34742,34732,34351,34095,34109,34616,34569,-10,-381,-256,14,507,-47,103,389,375,404,393,382,111,579,552,449,447,447,-8,-190,-177,-45,-54,-65,0,4,26,10,289,143,-11,-213,-92,52,273,-125,-11,-209,-66,62,562,18,9,18,-13,-3,-1,0,671,671,613,614,614,566,566,11.2618155,10.95754317,11.8468125,11.43688614,11.04285611,16.76244518,16.12950355,13.1663832,13.00836668,12.92187613,-5.500629677,-5.171960378,-1.3195707,-1.571480538,-1.879020019,0.11580273,0.759722993,0.293237933,8.41033103,4.133844041,-6.166495375,-2.688250592,1.524837253,7.944707166,-3.613500036,-6.050692645,-1.928527598,1.818075186,16.3550382,0.520344005
050,3,6,28,005,Mississippi,Amite County,12723,12703,12626,12564,12483,12500,12487,-20,-77,-62,-81,17,-13,30,120,112,119,130,130,43,222,221,187,183,183,-13,-102,-109,-68,-53,-53,0,1,2,3,16,8,-7,16,54,-14,55,33,-7,17,56,-11,71,41,0,8,-9,-2,-1,-1,72,72,70,69,69,62,62,9.475304986,8.892417626,9.502135984,10.40707681,10.40541081,17.52931423,17.54664549,14.93192798,14.64996197,14.64761676,-8.054009238,-8.654227868,-5.429791991,-4.242885162,-4.242205947,0.078960875,0.158793172,0.239549647,1.280870992,0.640332973,1.263373998,4.287415641,-1.117898351,4.402994036,2.641373514,1.342334873,4.446208813,-0.878348704,5.683865028,3.281706487
050,3,6,28,007,Mississippi,Attala County,17887,17822,17721,17535,17350,17243,17100,-65,-101,-186,-185,-107,-143,44,212,224,216,232,222,84,319,306,293,309,307,-40,-107,-82,-77,-77,-85,0,0,-1,-1,7,1,-26,-9,-97,-107,-35,-59,-26,-9,-98,-108,-28,-58,1,15,-6,0,-2,0,253,253,253,253,253,253,253,11.9292125,12.70705696,12.38354594,13.41311826,12.9283988,17.95008863,17.35874745,16.79805074,17.86488596,17.8784614,-6.020876122,-4.651690492,-4.414504801,-4.451767699,-4.950062604,0,-0.056727933,-0.057331231,0.404706154,0.058236031,-0.506428833,-5.502609485,-6.134441737,-2.023530772,-3.435925807,-0.506428833,-5.559337418,-6.191772968,-1.618824618,-3.377689777
050,3,6,28,009,Mississippi,Benton County,7650,7667,7641,7576,7505,7560,7502,17,-26,-65,-71,55,-58,19,83,83,93,80,77,26,146,130,98,125,128,-7,-63,-47,-5,-45,-51,0,2,2,1,15,8,25,29,-16,-67,86,-16,25,31,-14,-66,101,-8,-1,6,-4,0,-1,1,65,65,64,65,65,62,62,10.84400314,10.90885194,12.33339964,10.62064388,10.22440579,19.07499347,17.08615364,12.99648564,16.59475606,16.99641482,-8.230990332,-6.177301702,-0.663086002,-5.974112181,-6.772009029,0.26130128,0.262863902,0.132617201,1.991370727,1.062275926,3.788868566,-2.102911218,-8.88535243,11.41719217,-2.124551852,4.050169846,-1.840047316,-8.75273523,13.40856289,-1.062275926
050,3,6,28,011,Mississippi,Bolivar County,30983,30838,30140,29429,28829,28523,28262,-145,-698,-711,-600,-306,-261,99,408,352,347,353,336,121,579,471,452,418,418,-22,-171,-119,-105,-65,-82,0,-1,61,18,80,32,-115,-512,-677,-517,-323,-210,-115,-513,-616,-499,-243,-178,-8,-14,24,4,2,-1,1500,1497,1414,1424,1426,1336,1335,13.38187543,11.8182276,11.91252704,12.3099456,11.83411112,18.99045557,15.81359432,15.51718219,14.57664946,14.72219776,-5.608580144,-3.995366718,-3.604655155,-2.266703864,-2.888086643,-0.032798714,2.048045124,0.617940884,2.789789371,1.127058202,-16.79294172,-22.72994343,-17.74863538,-11.26377459,-7.396319451,-16.82574043,-20.6818983,-17.1306945,-8.473985214,-6.269261249
050,3,6,28,013,Mississippi,Calhoun County,13266,13223,12975,12915,12739,12715,12643,-43,-248,-60,-176,-24,-72,32,154,170,147,151,148,56,242,207,201,204,205,-24,-88,-37,-54,-53,-57,0,1,29,16,23,8,-21,-158,-45,-135,6,-22,-21,-157,-16,-119,29,-14,2,-3,-7,-3,0,-1,318,318,318,318,318,318,318,11.75662264,13.13248358,11.46020114,11.86453995,11.67284486,18.47469273,15.99073001,15.67007094,16.02891491,16.16846755,-6.718070082,-2.858246427,-4.209869806,-4.164374951,-4.495622683,0.076341706,2.2402472,1.247368831,1.807181583,0.630964587,-12.06198946,-3.476245655,-10.52467451,0.471438674,-1.735152615,-11.98564776,-1.235998455,-9.277305683,2.278620256,-1.104188027
050,3,6,28,015,Mississippi,Carroll County,10003,9937,9829,9744,9518,9385,9226,-66,-108,-85,-226,-133,-159,10,76,85,66,75,75,40,165,167,163,151,146,-30,-89,-82,-97,-76,-71,0,0,0,-1,-2,-2,-33,-28,4,-127,-56,-86,-33,-28,4,-128,-58,-88,-3,9,-7,-1,1,0,600,600,600,600,602,609,609,7.68997268,8.685434016,6.852870938,7.935248373,8.05974961,16.69533542,17.0643233,16.92451459,15.97630006,15.68964591,-9.005362744,-8.378889286,-10.07164365,-8.041051685,-7.629896298,0,0,-0.103831378,-0.211606623,-0.214926656,-2.83314783,0.408726307,-13.18658499,-5.924985452,-9.24184622,-2.83314783,0.408726307,-13.29041636,-6.136592075,-9.456772876
050,3,6,28,017,Mississippi,Chickasaw County,17106,17081,17011,16867,16813,16794,16730,-25,-70,-144,-54,-19,-64,52,224,240,194,201,198,62,240,256,257,240,242,-10,-16,-16,-63,-39,-44,0,0,2,6,18,5,-17,-62,-128,6,4,-25,-17,-62,-126,12,22,-20,2,8,-2,-3,-2,0,489,489,489,485,486,484,484,13.14091282,14.16848692,11.52019002,11.96179367,11.81243288,14.07954945,15.11305272,15.261282660000001,14.28273872,14.43741797,-0.93863663,-0.944565795,-3.741092637,-2.320945041,-2.624985085,0,0.118070724,0.356294537,1.071205404,0.29829376,-3.637216942,-7.556526359,0.356294537,0.238045645,-1.491468798,-3.637216942,-7.438455635,0.712589074,1.309251049,-1.193175039
050,3,6,28,019,Mississippi,Choctaw County,8242,8204,8131,8083,8073,8091,8048,-38,-73,-48,-10,18,-43,15,78,95,90,86,84,33,125,129,114,128,129,-18,-47,-34,-24,-42,-45,0,0,-2,-1,16,15,-19,-31,-7,17,46,-14,-19,-31,-9,16,62,1,-1,5,-5,-2,-2,1,191,191,190,190,192,191,189,9.550045914,11.71826816,11.14137163,10.64093046,10.40956689,15.30456076,15.91217466,14.11240406,15.83766395,15.98612058,-5.754514845,-4.193906501,-2.971032434,-5.196733482,-5.57655369,0,-0.246700382,-0.123793018,1.979707993,1.85885123,-3.795531068,-0.863451338,2.104481307,5.69166048,-1.734927815,-3.795531068,-1.110151721,1.980688289,7.671368473,0.123923415
