SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,NPOPCHG2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
050,2,4,29,001,Missouri,Adair County,25314,25276,25187,25124,25168,25617,25684,-38,-89,-63,44,449,67,63,290,260,286,291,292,51,278,279,223,216,220,12,12,-19,63,75,72,4,54,102,129,251,204,-56,-167,-134,-149,126,-209,-52,-113,-32,-20,377,-5,2,12,-12,1,-3,0,2635,2637,2619,2640,2644,2645,2646,11.49356955,10.33571187,11.3735783,11.46007679,11.38379369,11.01797357,11.09101389,8.868209656,8.506448755,8.576830861,0.475595981,-0.755302021,2.505368647,2.95362804,2.806962827,2.140181916,4.054779273,5.130040563,9.884808506,7.953061344,-6.618710739,-5.326866888,-5.925395689,4.962095107,-8.147989318,-4.478528823,-1.272087615,-0.795355126,14.84690361,-0.194927974
050,2,4,29,003,Missouri,Andrew County,18136,18109,18029,18026,18137,18115,18241,-27,-80,-3,111,-22,126,37,161,175,158,155,158,37,200,207,180,169,169,0,-39,-32,-22,-14,-11,0,0,6,11,5,0,-28,-54,36,126,-11,138,-28,-54,42,137,-6,138,1,13,-13,-4,-2,-1,127,127,127,127,127,127,127,8.910288339,9.707391485,8.738213091,8.551252345,8.691825283,11.06868117,11.48245736,9.954926306,9.323623524,9.29695236,-2.158392827,-1.775065872,-1.216713215,-0.77237118,-0.605127077,0,0.332824851,0.608356608,0.27584685,0,-2.988543915,1.996949106,6.968448414,-0.60686307,7.591594235,-2.988543915,2.329773957,7.576805022,-0.33101622000000003,7.591594235
050,2,4,29,005,Missouri,Atchison County,5306,5307,5215,5168,5133,5167,5175,1,-92,-47,-35,34,8,14,42,50,56,58,68,21,105,99,82,84,86,-7,-63,-49,-26,-26,-18,0,0,0,0,5,4,8,-31,7,-8,55,23,8,-31,7,-8,60,27,0,2,-5,-1,0,-1,85,85,85,85,85,85,85,7.983273142,9.631127805,10.8727308,11.26213592,13.150261070000001,19.95818286,19.06963305,15.92078439,16.31067961,16.63121253,-11.97490971,-9.438505249,-5.048053587,-5.048543689,-3.48095146,0,0,0,0.970873786,0.773544769,-5.892415891,1.348357893,-1.553247258,10.67961165,4.447882421,-5.892415891,1.348357893,-1.553247258,11.65048544,5.22142719
050,2,4,29,007,Missouri,Audrain County,24963,24778,24852,24468,24412,24344,24528,-185,74,-384,-56,-68,184,60,305,283,292,310,314,89,354,361,308,322,329,-29,-49,-78,-16,-12,-15,0,4,0,2,12,-2,-131,110,-331,-40,-68,201,-131,114,-331,-38,-56,199,-25,9,25,-2,0,0,1908,1744,1717,1292,1313,1256,1382,12.29095305,11.47607462,11.94762684,12.71638363,12.8498936,14.26556518,14.63909165,12.60229133,13.20863073,13.46374202,-1.97461213,-3.163017032,-0.654664484,-0.492247108,-0.61384842,0.161192827,0,0.081833061,0.492247108,-0.081846456,4.43280274,-13.42254663,-1.636661211,-2.789400279,8.225568833,4.593995567,-13.42254663,-1.554828151,-2.297153171,8.143722377
050,2,4,29,009,Missouri,Barry County,34536,34549,34778,34968,35373,35730,36200,13,229,190,405,357,470,91,423,384,432,422,443,104,535,516,483,468,476,-13,-112,-132,-51,-46,-33,0,0,28,65,100,17,17,332,292,388,309,495,17,332,320,453,409,512,9,9,2,3,-6,-9,234,234,234,234,234,234,234,12.20303778,11.01138417,12.28302128,11.87010393,12.31753093,15.43410215,14.79654747,13.73310018,13.16400152,13.23508967,-3.231064376,-3.785163307,-1.450078901,-1.293897585,-0.917558738,0,0.802913429,1.848139776,2.812820837,0.472681774,9.577797972,8.373240042,11.03197282,8.691616388,13.76338107,9.577797972,9.176153471,12.88011259,11.50443723,14.23606284
050,2,4,29,011,Missouri,Barton County,11641,11624,11671,11693,11756,11750,11795,-17,47,22,63,-6,45,40,136,131,153,163,164,43,158,178,155,147,153,-3,-22,-47,-2,16,11,0,0,-1,-2,-2,-3,-14,60,71,71,-18,36,-14,60,70,69,-20,33,0,9,-1,-4,-2,1,23,23,23,23,23,23,23,11.67632539,11.21383325,13.049597,13.86879946,13.93077086,13.56514273,15.23711693,13.22017997,12.50744491,12.99638989,-1.888817343,-4.023283684,-0.170582967,1.361354548,0.934380973,0,-0.085601781,-0.170582967,-0.17016931800000001,-0.254831174,5.151320026,6.077726417,6.055695339,-1.531523866,3.057974092,5.151320026,5.992124636,5.885112372,-1.701693185,2.803142918
050,2,4,29,013,Missouri,Bates County,16039,16052,16094,16147,16259,16448,16512,13,42,53,112,189,64,50,180,180,185,221,227,56,229,276,199,212,218,-6,-49,-96,-14,9,9,0,1,5,2,-1,-2,14,82,148,126,180,55,14,83,153,128,179,53,5,8,-4,-2,1,2,347,347,347,347,347,347,347,11.198905,11.16590677,11.41763871,13.51392668,13.77427185,14.2474958,17.12105704,12.28167623,12.96358578,13.22815534,-3.048590804,-5.955150274,-0.864037524,0.550340906,0.546116505,0.062216139,0.310164077,0.123433932,-0.06114899,-0.121359223,5.101723387,9.180856673,7.776337715,11.00681811,3.337378641,5.163939526,9.49102075,7.899771647,10.94566912,3.216019418
050,2,4,29,015,Missouri,Benton County,19397,19431,19963,20239,20568,20536,20536,34,532,276,329,-32,0,45,148,162,168,161,163,91,351,403,365,391,406,-46,-203,-241,-197,-230,-243,0,-1,-5,1,4,3,89,782,490,514,192,244,89,781,485,515,196,247,-9,-46,32,11,2,-4,274,274,274,274,275,275,275,7.513834594,8.059300532,8.233881442,7.833787466,7.937280873,17.81997259,20.04875379,17.88908766,19.02491242,19.77015972,-10.30613799,-11.98945326,-9.655206215,-11.19112495,-11.83287885,-0.050769153,-0.248743844,0.049011199,0.19462826,0.146084924,39.70147738,24.37689667,25.19175632,9.342156481,11.88157382,39.65070823,24.12815283,25.24076752,9.536784741,12.02765875
050,2,4,29,017,Missouri,Bollinger County,10568,10556,10581,10508,10524,10570,10646,-12,25,-73,16,46,76,30,135,128,141,143,140,38,176,179,162,171,177,-8,-41,-51,-21,-28,-37,0,0,0,0,-1,-1,-6,59,-17,39,75,115,-6,59,-17,39,74,114,2,7,-5,-2,0,-1,222,222,222,222,223,223,222,12.77380896,12.13902983,13.40813998,13.55835783,13.19758673,16.65326205,16.97567452,15.405097,16.21314118,16.68552036,-3.879453092,-4.836644696,-1.996957018,-2.654783351,-3.487933635,0,0,0,-0.094813691,-0.094268477,5.58262762,-1.612214899,3.708634462,7.111026832,10.84087481,5.58262762,-1.612214899,3.708634462,7.016213141,10.74660634
050,2,4,29,019,Missouri,Boone County,183614,184060,186113,187514,189530,190897,191746,446,2053,1401,2016,1367,849,514,1919,1904,1969,1824,1829,311,1399,1480,1360,1284,1304,203,520,424,609,540,525,22,327,751,1011,1180,771,152,1085,354,420,-356,-465,174,1412,1105,1431,824,306,69,121,-128,-24,3,18,10734,10723,10646,10740,10758,10754,10757,10.36812517,10.19198291,10.44440437,9.58922474,9.559824693,7.558627993,7.92233966,7.214012158,6.750309521,6.815752542,2.809497181,2.269643254,3.230392209,2.838915219,2.744072151,1.766741497,4.020052084,5.362769332,6.203555478,4.029865959,5.862123926,1.894938,2.227856696,-1.871581144,-2.430463905,7.628865422,5.914990084,7.590626028,4.331974334,1.599402054
050,2,4,29,021,Missouri,Buchanan County,84800,84471,83641,83011,83251,83598,83540,-329,-830,-630,240,347,-58,283,1051,955,1004,1011,1023,222,1206,1087,1067,1071,1090,61,-155,-132,-63,-60,-67,3,49,270,369,513,270,-345,-753,-767,-45,-95,-260,-342,-704,-497,324,418,10,-48,29,-1,-21,-11,-1,3954,3681,3660,3499,3630,3541,3717,12.50356905,11.46100857,12.07732374,12.1187421,12.24138137,14.34757781,13.04514797,12.83516378,12.83795528,13.04311407,-1.844008756,-1.584139404,-0.757840036,-0.719213181,-0.8017327,0.582944704,3.240285145,4.438777351,6.149272696,3.230863119,-8.958313505,-9.204810023,-0.541314311,-1.138754203,-3.111201522,-8.375368802,-5.964524878,3.89746304,5.010518493,0.119661597
050,2,4,29,023,Missouri,Butler County,42132,42064,42167,42133,41925,41899,41904,-68,103,-34,-208,-26,5,126,554,487,496,485,485,130,718,715,634,601,615,-4,-164,-228,-138,-116,-130,0,3,1,10,28,21,-69,232,206,-69,64,112,-69,235,207,-59,92,133,5,32,-13,-11,-2,2,951,951,945,948,952,956,959,13.15430186,11.5539739,11.80137524,11.57186486,11.57476463,17.04835512,16.96322657,15.08482239,14.33956862,14.67727886,-3.894053258,-5.409252669,-3.283447144,-2.76770376,-3.10251423,0.071232682,0.023724792,0.237930952,0.668066425,0.501175376,5.508660707,4.887307236,-1.641723572,1.527008971,2.672935336,5.579893388,4.911032029,-1.403792619,2.195075396,3.174110712
050,2,4,29,025,Missouri,Caldwell County,8815,8826,8911,8945,8962,8971,9012,11,85,34,17,9,41,25,97,100,102,89,90,21,124,131,126,123,127,4,-27,-31,-24,-34,-37,0,1,3,4,8,8,5,111,67,38,36,70,5,112,70,42,44,78,2,0,-5,-1,-1,0,215,215,215,215,215,215,215,10.93758809,11.20071685,11.392193,9.925835053,10.00945337,13.98207138,14.67293907,14.072709,13.7177271,14.12445087,-3.044483284,-3.472222222,-2.680515999,-3.791892043,-4.114997498,0.11275864,0.336021505,0.446752667,0.892209892,0.889729189,12.51620906,7.504480287,4.244150332,4.014944516,7.785130401,12.6289677,7.840501792,4.690902999,4.907154408,8.67485959
050,2,4,29,027,Missouri,Callaway County,44284,44339,44644,44742,44789,45239,45765,55,305,98,47,450,526,142,443,469,453,467,469,119,534,494,450,426,430,23,-91,-25,3,41,39,0,6,1,22,59,38,15,371,152,33,350,452,15,377,153,55,409,490,17,19,-30,-11,0,-3,3354,3351,3335,3370,3058,3144,3243,9.956958071,10.49381335,10.11939998,10.37455014,10.30723924,12.00229257,11.05318506,10.05238409,9.463722398,9.45013406,-2.045334502,-0.559371714,0.067015894,0.910827743,0.857105182,0.13485722,0.022374869,0.491449889,1.310703337,0.835128126,8.338671432,3.400980019,0.737174833,7.775358777,9.933629291,8.473528652,3.423354888,1.228624722,9.086062114,10.76875742
