SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,NPOPCHG2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
050,4,8,30,001,Montana,Beaverhead County,9368,9375,9550,9738,9882,9990,10043,7,175,188,144,108,53,17,90,74,96,96,96,18,120,127,117,115,117,-1,-30,-53,-21,-19,-21,0,0,2,5,-3,-7,7,210,229,160,130,81,7,210,231,165,127,74,1,-5,10,0,0,0,410,410,410,410,410,411,410,9.511228534,7.673164662,9.785932722,9.661835749,9.584186093,12.68163805,13.16880962,11.92660551,11.57407407,11.6807268,-3.170409511,-5.495644961,-2.140672783,-1.912238325,-2.096540708,0,0.207382829,0.509683996,-0.301932367,-0.698846903,22.19286658,23.74533389,16.30988787,13.08373591,8.086657016,22.19286658,23.95271672,16.81957187,12.78180354,7.387810113
050,4,8,30,003,Montana,Big Horn County,13122,13079,12893,12873,12860,12847,12752,-43,-186,-20,-13,-13,-95,57,173,182,185,186,190,41,233,186,142,135,136,16,-60,-4,43,51,54,0,-1,35,16,0,-3,-56,-129,-44,-70,-64,-147,-56,-130,-9,-54,-64,-150,-3,4,-7,-2,0,1,293,293,293,293,293,293,293,13.32203912,14.1271443,14.37842459,14.47076672,14.84432986,17.94239951,14.43763099,11.03641239,10.50297584,10.62541506,-4.620360388,-0.310486688,3.342012202,3.967790874,4.218914801,-0.077006006,2.716758519,1.243539424,0,-0.234384156,-9.933774834,-3.415353567,-5.44048498,-4.979188548,-11.48482363,-10.01078084,-0.698595048,-4.196945556,-4.979188548,-11.71920778
050,4,8,30,005,Montana,Blaine County,7046,7009,7000,6948,6874,6876,6860,-37,-9,-52,-74,2,-16,24,95,70,79,80,81,19,85,83,63,82,80,5,10,-13,16,-2,1,0,0,0,-1,2,2,-40,-20,-34,-89,3,-19,-40,-20,-34,-90,5,-17,-2,1,-5,0,-1,0,230,230,230,230,230,230,230,13.56270969,10.03728133,11.43105195,11.63636364,11.79382644,12.13505604,11.90134786,9.115902185,11.92727273,11.64822365,1.427653651,-1.864066533,2.315149761,-0.290909091,0.145602796,0,0,-0.14469686,0.290909091,0.291205591,-2.855307302,-4.875250932,-12.87802055,0.436363636,-2.766453116,-2.855307302,-4.875250932,-13.02271741,0.727272727,-2.475247525
050,4,8,30,007,Montana,Broadwater County,6775,6860,7329,7794,8061,8289,8493,85,469,465,267,228,204,25,69,88,72,76,73,8,64,86,66,77,76,17,5,2,6,-1,-3,0,1,2,0,-2,-3,77,496,433,256,232,214,77,497,435,256,230,211,-9,-33,28,5,-1,-4,63,63,63,63,63,63,63,9.725843964,11.63790253,9.08230842,9.296636086,8.699797402,9.021072662,11.37340475,8.325449385,9.418960245,9.057323323,0.704771302,0.264497785,0.756859035,-0.122324159,-0.357525921,0.14095426,0.264497785,0,-0.244648318,-0.357525921,69.91331313,57.26377042,32.29265216,28.37920489,25.50351567,70.05426739,57.5282682,32.29265216,28.13455658,25.14598975
050,4,8,30,009,Montana,Carbon County,10476,10511,10901,11237,11420,11504,11466,35,390,336,183,84,-38,12,82,82,95,104,113,36,109,105,106,97,97,-24,-27,-23,-11,7,16,0,11,12,-1,2,-6,67,431,333,189,75,-47,67,442,345,188,77,-53,-8,-25,14,6,0,-1,76,76,76,76,76,76,76,7.659256492,7.40807661,8.385929293,9.073460129,9.838920331,10.1812068,9.485951757,9.356931633,8.462746467,8.445798868,-2.521950308,-2.077875147,-0.971002339,0.610713663,1.393121463,1.027461237,1.084108772,-0.08827294,0.174489618,-0.522420549,40.25779937,30.08401843,16.68358565,6.54336067,-4.092294297,41.2852606,31.1681272,16.59531271,6.717850288,-4.614714845
050,4,8,30,011,Montana,Carter County,1413,1406,1415,1400,1409,1422,1383,-7,9,-15,9,13,-39,1,9,18,14,19,14,4,15,19,19,16,16,-3,-6,-1,-5,3,-2,0,0,0,0,0,0,-5,15,-13,14,10,-37,-5,15,-13,14,10,-37,1,0,-1,0,0,0,19,19,19,19,19,19,19,6.380716058,12.78863233,9.967960128,13.422818790000001,9.982174688,10.63452676,13.4991119,13.52794589,11.30342635,11.40819964,-4.253810705,-0.710479574,-3.55998576,2.119392441,-1.426024955,0,0,0,0,0,10.63452676,-9.236234458,9.967960128,7.064641469,-26.38146168,10.63452676,-9.236234458,9.967960128,7.064641469,-26.38146168
050,4,8,30,013,Montana,Cascade County,84417,84410,84569,84908,84623,84668,85029,-7,159,339,-285,45,361,232,922,941,918,940,944,202,1062,1102,1018,1026,1015,30,-140,-161,-100,-86,-71,3,2,-9,7,147,87,-62,238,524,-171,-3,346,-59,240,515,-164,144,433,22,59,-15,-21,-13,-1,3126,3125,3128,3101,3107,3142,3130,10.91259861,11.10475168,10.82987772,11.10513849,11.1257123,12.56960924,13.0047145,12.00960296,12.12114052,11.96249786,-1.657010634,-1.899962827,-1.179725242,-1.016002032,-0.836785565,0.023671581,-0.106209102,0.082580767,1.736654636,1.02535696,2.816918079,6.183729946,-2.017330164,-0.035441931,4.077856415,2.840589659,6.077520844,-1.934749397,1.701212705,5.103213374
050,4,8,30,015,Montana,Chouteau County,5911,5911,5936,5913,5875,5853,5865,0,25,-23,-38,-22,12,12,38,32,45,43,44,23,66,72,52,65,68,-11,-28,-40,-7,-22,-24,0,1,3,2,1,1,11,48,18,-32,0,36,11,49,21,-30,1,37,0,4,-4,-1,-1,-1,61,61,61,61,61,61,61,6.415126192,5.401299688,7.634882932,7.332878581,7.509813961,11.14206128,12.1529243,8.822531388,11.0845839,11.606076120000001,-4.726935089,-6.75162461,-1.187648456,-3.751705321,-4.096262161,0.16881911,0.506371846,0.33932813,0.17053206,0.17067759,8.103317296,3.038231074,-5.429250085,0,6.144393241,8.272136406,3.54460292,-5.089921955,0.17053206,6.315070831
050,4,8,30,017,Montana,Custer County,11862,11860,11960,11997,12003,11977,12034,-2,100,37,6,-26,57,30,107,112,119,139,138,30,151,164,134,134,134,0,-44,-52,-15,5,4,0,1,-1,-1,8,4,-4,141,93,22,-38,49,-4,142,92,21,-30,53,2,2,-3,0,-1,0,475,475,475,473,472,475,475,8.984047019,9.35008557,9.916666667,11.59299416,11.49473158,12.6784215,13.69119673,11.16666667,11.17597998,11.16155096,-3.694374475,-4.341111157,-1.25,0.417014179,0.333180626,0.083963056,-0.083482907,-0.083333333,0.667222686,0.333180626,11.83879093,7.763910339,1.833333333,-3.169307756,4.081462663,11.92275399,7.680427433,1.75,-2.502085071,4.414643289
050,4,8,30,019,Montana,Daniels County,1653,1650,1667,1641,1633,1643,1612,-3,17,-26,-8,10,-31,2,11,9,18,18,18,5,27,15,18,20,21,-3,-16,-6,0,-2,-3,0,0,0,0,1,1,-1,34,-20,-10,13,-29,-1,34,-20,-10,14,-28,1,-1,0,2,-2,0,16,16,16,16,16,16,16,6.632499246,5.441354293,10.99572389,10.98901099,11.05990783,16.27977088,9.068923821,10.99572389,12.21001221,12.90322581,-9.647271631,-3.627569528,0,-1.221001221,-1.843317972,0,0,0,0.610500611,0.614439324,20.50045222,-12.09189843,-6.108735492,7.936507937,-17.8187404,20.50045222,-12.09189843,-6.108735492,8.547008547,-17.20430108
