SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,NPOPCHG2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
050,2,4,31,001,Nebraska,Adams County,31198,31176,30975,31016,30908,31203,31071,-22,-201,41,-108,295,-132,97,361,379,371,379,376,97,376,387,360,365,365,0,-15,-8,11,14,11,1,34,148,71,52,9,-25,-229,-90,-187,233,-153,-24,-195,58,-116,285,-144,2,9,-9,-3,-4,1,960,959,866,886,904,969,900,11.61686859,12.22758142,11.98243008,12.20395743,12.07566561,12.09956397,12.48568341,11.62715587,11.75315162,11.72238816,-0.482695371,-0.258101983,0.355274207,0.450805815,0.353277451,1.094109508,4.774886677,2.293133519,1.6744216,0.289045187,-7.36914933,-2.903647304,-6.039661521,7.502696785,-4.913768186,-6.275039822,1.871239374,-3.746528002,9.177118385,-4.624722998
050,2,4,31,003,Nebraska,Antelope County,6300,6287,6303,6300,6306,6370,6352,-13,16,-3,6,64,-18,27,85,75,92,90,89,22,85,82,65,70,71,5,0,-7,27,20,18,0,1,8,1,3,1,-15,10,1,-22,42,-37,-15,11,9,-21,45,-36,-3,5,-5,0,-1,0,59,59,58,58,57,57,55,13.50277998,11.90192811,14.59622402,14.20006311,13.99151077,13.50277998,13.01277474,10.31254958,11.04449353,11.16176702,0,-1.110846624,4.283674441,3.15556958,2.829743751,0.158856235,1.269538999,0.158654609,0.473335437,0.157207986,1.588562351,0.158692375,-3.490401396,6.626696119,-5.816695488,1.747418586,1.428231374,-3.331746787,7.100031556,-5.659487502
050,2,4,31,005,Nebraska,Arthur County,431,430,433,426,412,417,396,-1,3,-7,-14,5,-21,1,1,4,5,4,3,1,5,5,6,6,6,0,-4,-1,-1,-2,-3,0,0,0,0,0,0,-1,6,-5,-14,7,-18,-1,6,-5,-14,7,-18,0,1,-1,1,0,0,0,0,0,0,0,0,0,2.317497103,9.313154831,11.93317422,9.650180941,7.380073801,11.58748552,11.64144354,14.31980907,14.47527141,14.7601476,-9.269988413,-2.328288708,-2.386634845,-4.82509047,-7.380073801,0,0,0,0,0,13.90498262,-11.64144354,-33.41288783,16.88781665,-44.2804428,13.90498262,-11.64144354,-33.41288783,16.88781665,-44.2804428
050,2,4,31,007,Nebraska,Banner County,676,679,689,657,668,670,686,3,10,-32,11,2,16,2,9,7,5,8,8,3,6,8,10,13,13,-1,3,-1,-5,-5,-5,0,0,1,0,13,13,5,7,-33,14,-7,8,5,7,-32,14,6,21,-1,0,1,2,1,0,0,0,0,0,0,0,0,13.15789474,10.40118871,7.547169811,11.95814649,11.79941003,8.771929825,11.88707281,15.09433962,19.43198804,19.1740413,4.385964912,-1.485884101,-7.547169811,-7.473841555,-7.374631268,0,1.485884101,0,19.43198804,19.1740413,10.23391813,-49.03417533,21.13207547,-10.46337818,11.79941003,10.23391813,-47.54829123,21.13207547,8.968609866,30.97345133
050,2,4,31,009,Nebraska,Blaine County,430,429,465,448,437,459,458,-1,36,-17,-11,22,-1,0,7,4,8,7,6,2,6,11,6,4,4,-2,1,-7,2,3,2,0,0,0,0,0,0,2,36,-9,-14,21,-3,2,36,-9,-14,21,-3,-1,-1,-1,1,-2,0,0,0,0,0,0,0,0,15.65995526,8.762322015,18.07909605,15.625,13.08615049,13.422818790000001,24.09638554,13.55932203,8.928571429,8.724100327,2.237136465,-15.33406353,4.519774011,6.696428571,4.362050164,0,0,0,0,0,80.53691275,-19.71522453,-31.63841808,46.875,-6.543075245,80.53691275,-19.71522453,-31.63841808,46.875,-6.543075245
050,2,4,31,011,Nebraska,Boone County,5378,5361,5384,5370,5331,5390,5355,-17,23,-14,-39,59,-35,19,60,62,66,67,66,15,85,77,61,63,65,4,-25,-15,5,4,1,0,1,4,5,27,27,-20,50,-3,-51,28,-62,-20,51,1,-46,55,-35,-1,-3,0,2,0,-1,95,95,86,77,86,90,84,11.16798511,11.53059327,12.33529577,12.49883406,12.28478362,15.82131224,14.32025293,11.40080366,11.75263502,12.09865054,-4.653327129,-2.789659662,0.934492104,0.746199049,0.186133085,0.186133085,0.743909243,0.934492104,5.036843578,5.025593299,9.306654258,-0.557931932,-9.531819456,5.22339334,-11.54025128,9.492787343,0.185977311,-8.597327353,10.26023692,-6.51465798
050,2,4,31,013,Nebraska,Box Butte County,10835,10821,10663,10665,10705,10660,10494,-14,-158,2,40,-45,-166,36,120,96,138,118,118,29,125,141,115,122,122,7,-5,-45,23,-4,-4,0,18,45,31,13,4,-18,-165,12,-11,-54,-164,-18,-147,57,20,-41,-160,-3,-6,-10,-3,0,-2,127,127,127,125,120,129,134,11.17110408,9.002250563,12.91530183,11.04610344,11.1562825,11.63656675,13.22205551,10.76275152,11.42054763,11.53446157,-0.46546267,-4.219804951,2.152550304,-0.374444184,-0.378179068,1.675665612,4.219804951,2.901263453,1.216943599,0.378179068,-15.36026811,1.12528132,-1.02948058,-5.05499649,-15.50534178,-13.68460249,5.345086272,1.871782873,-3.83805289,-15.12716271
050,2,4,31,015,Nebraska,Boyd County,1819,1810,1783,1736,1747,1718,1674,-9,-27,-47,11,-29,-44,5,13,12,15,19,18,11,44,36,28,30,30,-6,-31,-24,-13,-11,-12,0,0,0,3,9,1,-2,5,-23,22,-29,-33,-2,5,-23,25,-20,-32,-1,-1,0,-1,2,0,25,25,22,23,27,27,26,7.236292792,6.820119352,8.613264427,10.96681097,10.61320755,24.49206791,20.46035806,16.0780936,17.31601732,17.68867925,-17.25577512,-13.6402387,-7.46482917,-6.349206349,-7.075471698,0,0,1.722652885,5.194805195,0.589622642,2.783189535,-13.07189542,12.63278783,-16.73881674,-19.45754717,2.783189535,-13.07189542,14.35544071,-11.54401154,-18.86792453
050,2,4,31,017,Nebraska,Brown County,2902,2902,2921,2892,2863,2838,2826,0,19,-29,-29,-25,-12,10,35,41,27,30,30,15,41,50,37,48,48,-5,-6,-9,-10,-18,-18,0,-1,4,12,16,14,7,24,-24,-29,-23,-9,7,23,-20,-17,-7,5,-2,2,0,-2,0,1,20,20,20,20,25,25,34,12.02129487,14.10631344,9.383145091,10.52446939,10.59322034,14.08208827,17.20282126,12.85838401,16.83915103,16.94915254,-2.060793405,-3.096507827,-3.475238923,-6.314681635,-6.355932203,-0.343465568,1.376225701,4.170286707,5.613050342,4.943502825,8.243173622,-8.257354206,-10.07819288,-8.068759867,-3.177966102,7.899708054,-6.881128505,-5.907906169,-2.455709525,1.765536723
050,2,4,31,019,Nebraska,Buffalo County,50082,50197,50337,50553,50745,51126,51172,115,140,216,192,381,46,173,625,578,624,579,572,88,447,471,462,469,470,85,178,107,162,110,102,0,17,86,103,119,42,15,-91,56,-67,156,-103,15,-74,142,36,275,-61,15,36,-33,-6,-4,5,2495,2494,2281,2388,2357,2471,2445,12.43360455,11.45802359,12.32008529,11.36731749,11.18301433,8.892513975,9.336901576,9.1216016110000009,9.207723493,9.188840447,3.541090576,2.121122014,3.198483682,2.159593996,1.994173884,0.338194044,1.704827039,2.033603822,2.336288051,0.821130423,-1.810332823,1.110119933,-1.322829671,3.06269694,-2.013724608,-1.472138779,2.814946972,0.710774152,5.398984991,-1.192594186
050,2,4,31,021,Nebraska,Burt County,6727,6721,6709,6776,6710,6726,6678,-6,-12,67,-66,16,-48,15,61,73,57,66,68,27,95,88,102,96,97,-12,-34,-15,-45,-30,-29,0,1,1,1,6,3,5,18,80,-21,42,-21,5,19,81,-20,48,-18,1,3,1,-1,-2,-1,84,84,79,78,80,82,76,9.084139985,10.82684464,8.453210737,9.824352486,10.14622501,14.14743112,13.05153875,15.12679816,14.28996725,14.47329156,-5.063291139,-2.224694105,-6.673587424,-4.465614766,-4.327066547,0.148920328,0.14831294,0.148301943,0.893122953,0.447627574,2.680565897,11.86503522,-3.114340798,6.251860673,-3.133393017,2.829486225,12.01334817,-2.966038855,7.144983626,-2.685765443
050,2,4,31,023,Nebraska,Butler County,8369,8355,8448,8433,8452,8467,8507,-14,93,-15,19,15,40,17,102,101,108,113,112,26,90,119,107,106,105,-9,12,-18,1,7,7,0,1,4,-2,-3,-11,-6,78,4,24,10,46,-6,79,8,22,7,35,1,2,-5,-4,1,-2,163,163,152,142,136,142,150,12.14068916,11.96611575,12.79241931,13.35776346,13.19665371,10.71237279,14.09869084,12.67397098,12.53029139,12.37186285,1.428316372,-2.132575084,0.118448327,0.827472073,0.824790857,0.119026364,0.473905574,-0.236896654,-0.354630888,-1.296099918,9.284056419,0.473905574,2.842759846,1.182102961,5.420054201,9.403082783,0.947811149,2.605863192,0.827472073,4.123954283
050,2,4,31,025,Nebraska,Cass County,26601,26610,27084,27177,27463,27501,27657,9,474,93,286,38,156,59,266,258,265,278,273,68,302,255,249,268,273,-9,-36,3,16,10,0,0,4,22,10,17,6,10,515,86,262,14,149,10,519,108,272,31,155,8,-9,-18,-2,-3,1,239,239,230,227,234,214,230,9.907997169,9.509592525,9.699853587,10.1157121,9.898836071,11.24892912,9.399015868,9.11420205,9.751837566,9.898836071,-1.340931948,0.110576657,0.58565153700000006,0.363874536,0,0.148992439,0.810895487,0.366032211,0.618586711,0.217556837,19.18277647,3.169864175,9.590043924,0.509424351,5.402661445,19.33176891,3.980759662,9.956076135,1.128011062,5.620218282
050,2,4,31,027,Nebraska,Cedar County,8380,8373,8323,8351,8258,8344,8373,-7,-50,28,-93,86,29,22,106,102,107,112,94,27,100,108,112,99,101,-5,6,-6,-5,13,-7,0,1,0,2,6,4,-2,-57,42,-91,70,34,-2,-56,42,-89,76,38,0,0,-8,1,-3,-2,103,103,79,97,86,93,97,12.69765213,12.23461677,12.88458065,13.49235032,11.24603697,11.97891711,12.95430011,13.48666386,11.92627394,12.08350781,0.718735026,-0.719683339,-0.602083208,1.566076376,-0.837470838,0.119789171,0,0.240833283,0.722804481,0.478554765,-6.82798275,5.037783375,-10.95791438,8.43271895,4.067715499,-6.708193579,5.037783375,-10.7170811,9.155523431,4.546270264
050,2,4,31,029,Nebraska,Chase County,3897,3891,3830,3770,3746,3716,3718,-6,-61,-60,-24,-30,2,20,42,48,49,46,46,11,56,63,63,64,62,9,-14,-15,-14,-18,-16,0,2,12,18,10,8,-15,-48,-61,-28,-22,10,-15,-46,-49,-10,-12,18,0,-1,4,0,0,0,103,103,99,100,102,104,104,10.87941976,12.63157895,13.03885045,12.32913428,12.3755717,14.50589302,16.57894737,16.7642363,17.15357813,16.68011838,-3.626473255,-3.947368421,-3.725385844,-4.824443849,-4.304546677,0.518067608,3.157894737,4.789781799,2.680246583,2.152273339,-12.43362259,-16.05263158,-7.450771687,-5.896542482,2.690341673,-11.91555498,-12.89473684,-2.660989888,-3.216295899,4.842615012
050,2,4,31,031,Nebraska,Cherry County,5458,5457,5448,5492,5522,5574,5561,-1,-9,44,30,52,-13,12,77,81,83,78,76,15,80,63,53,41,41,-3,-3,18,30,37,35,0,0,1,16,24,19,1,-8,29,-14,-8,-68,1,-8,30,2,16,-49,1,2,-4,-2,-1,1,40,40,31,10,10,10,10,14.1219624,14.80804388,15.07172689,14.0591204,13.6506511,14.67216873,11.517367459999999,9.624114763,7.390050469,7.364167041,-0.550206327,3.290676417,5.44761213,6.669069935,6.286484059,0,0.182815357,2.905393136,4.325883201,3.412662775,-1.467216873,5.301645338,-2.542218994,-1.441961067,-12.21374046,-1.467216873,5.484460695,0.363174142,2.883922134,-8.801077683
050,2,4,31,033,Nebraska,Cheyenne County,9468,9488,9497,9504,9521,9538,9528,20,9,7,17,17,-10,20,98,101,96,110,110,29,139,146,118,142,137,-9,-41,-45,-22,-32,-27,0,3,18,15,21,12,28,41,39,26,27,6,28,44,57,41,48,18,1,6,-5,-2,1,-1,88,88,80,77,80,82,82,10.32393995,10.63101942,10.09198423,11.543103,11.538865,14.64313932,15.36761223,12.40473062,14.9010966,14.37113186,-4.319199368,-4.736592811,-2.312746386,-3.357993599,-2.832266862,0.316038978,1.894637124,1.576872536,2.203683299,1.258785272,4.319199368,4.105047103,2.733245729,2.833307099,0.629392636,4.635238346,5.999684227,4.310118265,5.036990398,1.888177908
050,2,4,31,035,Nebraska,Clay County,6101,6101,6049,6050,6141,6114,6170,0,-52,1,91,-27,56,15,76,80,89,87,87,14,95,77,71,68,68,1,-19,3,18,19,19,0,1,9,6,8,5,-1,-32,-9,70,-55,33,-1,-31,0,76,-47,38,0,-2,-2,-3,1,-1,64,64,35,46,56,46,54,12.51028807,13.22423341,14.60093512,14.19828641,14.16476718,15.63786008,12.72832466,11.647937,11.09751122,11.07131228,-3.127572016,0.495908753,2.952998113,3.100775194,3.093454901,0.164609054,1.487726258,0.984332705,1.305589555,0.814067079,-5.267489712,-1.487726258,11.48388155,-8.975928193,5.372842722,-5.102880658,0,12.46821426,-7.670338637,6.186909801
050,2,4,31,037,Nebraska,Colfax County,10581,10559,10484,10624,10721,10914,10934,-22,-75,140,97,193,20,56,178,169,165,179,178,20,73,67,73,59,59,36,105,102,92,120,119,3,48,291,211,228,114,-58,-219,-259,-206,-156,-210,-55,-171,32,5,72,-96,-3,-9,6,0,1,-3,49,49,47,48,48,44,35,16.91773987,16.01288611,15.46029515,16.54726138,16.29439766,6.938174215,6.348303961,6.84000937,5.45412526,5.400952032,9.979565651,9.664582149,8.620285781,11.09313612,10.89344562,4.562087155,27.57248437,19.77043804,21.07695863,10.43573783,-20.81452264,-24.54045859,-19.30194425,-14.42107696,-19.22372757,-16.25243549,3.032025772,0.468493793,6.655881673,-8.787989747
