SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,NPOPCHG2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
050,4,8,32,001,Nevada,Churchill County,25517,25570,25663,25799,25852,25955,25851,53,93,136,53,103,-104,62,264,301,296,284,293,77,394,383,372,373,382,-15,-130,-82,-76,-89,-89,0,2,-8,28,33,0,72,211,224,105,156,-16,72,213,216,133,189,-16,-4,10,2,-4,3,1,426,426,426,377,381,399,398,10.30585755,11.69795189,11.46153995,10.96376938,11.31143111,15.38071165,14.88476934,14.40436778,14.39959851,14.74732656,-5.074854098,-3.186817458,-2.942827825,-3.435829135,-3.435895456,0.078074678,-0.31090902,1.084199725,1.273959118,0,8.236878574,8.705452567,4.065748969,6.022352192,-0.617689071,8.314953253,8.394543547,5.149948694,7.296311309,-0.617689071
050,4,8,32,003,Nevada,Clark County,2266446,2275833,2296793,2323145,2351008,2385746,2407226,9387,20960,26352,27863,34738,21480,6079,25076,25132,24501,23872,24294,4846,22553,22867,20087,20093,20315,1233,2523,2265,4414,3779,3979,132,3075,7960,18688,18957,8890,8282,14129,16202,5078,11931,8465,8414,17204,24162,23766,30888,17355,-260,1233,-75,-317,71,146,20947,20852,20428,20593,20565,20938,20927,10.9678771,10.87979969,10.48361061,10.07947637,10.13734276,9.864353656,9.899267046,8.594926182,8.483868911,8.476995067,1.103523446,0.980532639,1.888684431,1.595607456,1.660347692,1.344960205,3.44593369,7.996315054,8.004215545,3.709598137,6.179818774,7.01394694,2.172800077,5.037627033,3.532255144,7.524778978,10.45988063,10.16911513,13.04184258,7.24185328
050,4,8,32,005,Nevada,Douglas County,49482,49525,50014,49588,49407,49591,50111,43,489,-426,-181,184,520,83,349,303,324,314,344,139,647,711,657,632,628,-56,-298,-408,-333,-318,-284,0,5,1,6,55,-1,104,807,15,154,442,814,104,812,16,160,497,813,-5,-25,-34,-8,5,-9,223,223,223,223,225,225,225,7.012326827,6.084215176,6.545785141,6.343562496,6.90056368,12.99992968,14.27682175,13.27339765,12.76793471,12.59754067,-5.987602849,-8.192606574,-6.727612506,-6.42437221,-5.696976991,0.100463135,0.020079918,0.121218243,1.111133558,-0.020059778,16.21475,0.301198771,3.111268246,8.929473323,16.32865941,16.31521313,0.321278689,3.232486489,10.04060688,16.30859963
050,4,8,32,007,Nevada,Elko County,53706,53677,53879,54075,54566,54686,54815,-29,202,196,491,120,129,159,700,714,642,639,676,95,445,533,450,410,416,64,255,181,192,229,260,0,15,-9,62,100,32,-89,-110,55,239,-208,-169,-89,-95,46,301,-108,-137,-4,42,-31,-2,-1,6,651,594,539,447,618,586,586,13.01647514,13.22785631,11.81874246,11.69772636,12.34691921,8.274759195,9.874576208,8.284165278,7.505583422,7.598104127,4.741715943,3.353280101,3.534577185,4.192142936,4.748815079,0.278924467,-0.166737685,1.141373883,1.830630103,0.584469548,-2.045446093,1.018952517,4.399812226,-3.807710614,-3.086729802,-1.766521626,0.852214832,5.541186108,-1.977080511,-2.502260253
050,4,8,32,009,Nevada,Esmeralda County,730,735,744,751,737,739,729,5,9,7,-14,2,-10,1,4,5,2,5,6,0,10,19,12,10,10,1,-6,-14,-10,-5,-4,0,1,2,0,-2,-6,4,16,18,-3,8,1,4,17,20,-3,6,-5,0,-2,1,-1,1,-1,1,1,1,1,1,1,1,5.409060176,6.688963211,2.688172043,6.775067751,8.174386921,13.52265044,25.4180602,16.12903226,13.5501355,13.6239782,-8.113590264,-18.72909699,-13.44086022,-6.775067751,-5.449591281,1.352265044,2.675585284,0,-2.7100271,-8.174386921,21.6362407,24.08026756,-4.032258065,10.8401084,1.36239782,22.98850575,26.75585284,-4.032258065,8.130081301,-6.811989101
050,4,8,32,011,Nevada,Eureka County,1852,1852,1906,1858,1904,1917,1867,0,54,-48,46,13,-50,5,18,20,17,18,17,3,20,30,30,19,20,2,-2,-10,-13,-1,-3,0,2,6,2,6,6,-3,59,-44,55,6,-51,-3,61,-38,57,12,-45,1,-5,0,2,2,-2,0,0,0,0,0,0,0,9.579563598,10.62699256,9.03774588,9.421617378,8.985200846,10.64395955,15.94048884,15.94896332,9.945040565,10.57082452,-1.064395955,-5.313496281,-6.911217438,-0.523423188,-1.585623679,1.064395955,3.188097768,1.063264221,3.140539126,3.171247357,31.39968068,-23.37938363,29.23976608,3.140539126,-26.95560254,32.46407664,-20.19128587,30.3030303,6.281078252,-23.78435518
050,4,8,32,013,Nevada,Humboldt County,17287,17270,17631,17258,17176,17178,17267,-17,361,-373,-82,2,89,54,210,207,195,194,205,39,148,229,154,127,129,15,62,-22,41,67,76,0,6,9,39,49,18,-29,294,-374,-160,-115,-7,-29,300,-365,-121,-66,11,-3,-1,14,-2,1,2,184,158,159,106,75,76,74,12.03403914,11.86620425,11.32601499,11.29417244,11.90303382,8.481132346,13.12734673,8.944647732,7.393607731,7.490201771,3.552906794,-1.26114248,2.381367253,3.900564709,4.412832051,0.34382969,0.515921924,2.265202997,2.852651802,1.045144433,16.8476548,-21.43942217,-9.293140501,-6.694999127,-0.406445057,17.19148449,-20.92350024,-7.027937504,-3.842347325,0.638699376
050,4,8,32,015,Nevada,Lander County,5729,5723,5758,5765,5804,5775,5872,-6,35,7,39,-29,97,20,59,65,65,54,54,21,62,68,55,48,48,-1,-3,-3,10,6,6,0,-1,-1,8,5,2,-5,34,14,23,-39,89,-5,33,13,31,-34,91,0,5,-3,-2,-1,0,39,39,39,39,39,39,39,10.27785036,11.28178426,11.23692627,9.327230331,9.272774105,10.80045292,11.80248199,9.508168381,8.290871405,8.242465871,-0.522602561,-0.520697735,1.728757888,1.036358926,1.030308234,-0.174200854,-0.173565912,1.38300631,0.863632438,0.343436078,5.922829022,2.429922763,3.976143141,-6.736333017,15.28290547,5.748628168,2.256356852,5.359149451,-5.872700579,15.62634155
050,4,8,32,017,Nevada,Lincoln County,4501,4435,4397,4440,4441,4376,4320,-66,-38,43,1,-65,-56,15,48,56,51,41,45,16,62,85,79,84,84,-1,-14,-29,-28,-43,-39,0,0,0,0,0,-1,-53,-24,73,28,-20,-16,-53,-24,73,28,-20,-17,-12,0,-1,1,-2,0,342,268,199,177,194,166,167,10.86956522,12.67398438,11.48519311,9.300215493,10.34958602,14.03985507,19.23729773,17.79078933,19.05410003,19.31922723,-3.170289855,-6.563313342,-6.305596217,-9.753884541,-8.969641214,0,0,0,0,-0.2299908,-5.434782609,16.52144393,6.305596217,-4.536690484,-3.679852806,-5.434782609,16.52144393,6.305596217,-4.536690484,-3.909843606
050,4,8,32,019,Nevada,Lyon County,59238,59464,60961,61541,62658,63776,65088,226,1497,580,1117,1118,1312,153,619,617,616,595,601,181,855,927,703,689,681,-28,-236,-310,-87,-94,-80,0,-5,-27,41,98,36,278,1827,874,1148,1103,1370,278,1822,847,1189,1201,1406,-24,-89,43,15,11,-14,257,257,257,257,257,257,257,10.28025742,10.07330493,9.91956457,9.412025246,9.327663273,14.19970936,15.13444679,11.32054203,10.89896705,10.569282340000001,-3.919451941,-5.061141859,-1.400977464,-1.486941804,-1.241619071,-0.083039236,-0.44080913,0.660230759,1.550215923,0.558728582,30.34253685,14.26915479,18.48646124,17.4478384,21.2627266,30.25949761,13.82834566,19.146692,18.99805432,21.82145518
