SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,NPOPCHG2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
050,1,1,33,001,New Hampshire,Belknap County,63710,63779,64612,64643,65039,65169,65147,69,833,31,396,130,-22,123,465,451,458,429,426,201,815,866,806,853,844,-78,-350,-415,-348,-424,-418,0,19,-19,-1,5,-13,155,1201,467,738,553,415,155,1220,448,737,558,402,-8,-37,-2,7,-4,-6,974,973,913,895,955,946,943,7.243498376,6.978453445,7.063432088,6.589456869,6.537953897,12.69559393,13.39986848,12.43040669,13.10211354,12.95312932,-5.452095552,-6.421415032,-5.366974599,-6.512656672,-6.41517542,0.295970901,-0.293992495,-0.015422340999999999,0.076800197,-0.199515025,18.70847645,7.226026073,11.38168751,8.494101745,6.369133491,19.00444735,6.932033577,11.36626517,8.570901942,6.169618466
050,1,1,33,003,New Hampshire,Carroll County,50108,50251,51741,52093,52398,52566,52784,143,1490,352,305,168,218,79,296,329,316,331,328,128,572,695,659,660,660,-49,-276,-366,-343,-329,-332,0,15,13,27,20,1,211,1866,675,618,484,557,211,1881,688,645,504,558,-19,-115,30,3,-7,-8,549,549,593,574,586,529,530,5.804376814,6.337037964,6.048367802,6.306924279,6.226862838,11.21656601,13.38675193,12.61352652,12.57574025,12.52966303,-5.412189191,-7.049713967,-6.565158722,-6.268815975,-6.30280019,0.294140717,0.250399676,0.51679092,0.381083038,0.018984338,36.59110519,13.00152166,11.82876994,9.22220952,10.57427622,36.8852459,13.25192134,12.34556086,9.603292557,10.59326056
050,1,1,33,005,New Hampshire,Cheshire County,76446,76541,76858,77380,77680,78168,78269,95,317,522,300,488,101,152,677,690,657,633,624,182,827,906,837,893,888,-30,-150,-216,-180,-260,-264,0,31,8,54,99,57,112,368,725,430,651,304,112,399,733,484,750,361,13,68,5,-4,-2,4,4140,4138,3411,3542,3533,3594,3592,8.826654672,8.947211452,8.474139043,8.123299625,7.977652346,10.78233887,11.74807765,10.79582097,11.45988399,11.35281295,-1.955684196,-2.800866194,-2.32168193,-3.336584364,-3.375160608,0.404174734,0.103735785,0.696504579,1.270468662,0.728727859,4.797945228,9.401055512,5.546240165,8.354293927,3.886548579,5.202119962,9.504791297,6.242744744,9.624762589,4.615276437
050,1,1,33,007,New Hampshire,Coos County,31269,31235,31402,31444,31247,31377,31343,-34,167,42,-197,130,-34,68,205,243,230,204,211,97,524,630,528,523,526,-29,-319,-387,-298,-319,-315,0,9,7,22,29,11,-8,491,401,87,415,275,-8,500,408,109,444,286,3,-14,21,-8,5,-5,1322,1321,1382,1432,1285,1549,1551,6.545651931,7.733189065,7.337576367,6.515074093,6.728316327,16.73132494,20.04900869,16.84452314,16.70286152,16.77295918,-10.185673,-12.31581962,-9.506946771,-10.18778743,-10.04464286,0.287370085,0.222766763,0.701855131,0.926162494,0.350765306,15.67763463,12.76135315,2.775518017,13.25370465,8.769132653,15.96500471,12.98411991,3.477373148,14.17986714,9.119897959
050,1,1,33,009,New Hampshire,Grafton County,91124,91193,90518,92918,92764,92993,93225,69,-675,2400,-154,229,232,165,659,709,642,604,601,219,882,1003,1016,988,975,-54,-223,-294,-374,-384,-374,5,157,96,192,219,124,103,-577,2382,51,402,482,108,-420,2478,243,621,606,15,-32,216,-23,-8,0,7440,7443,5450,7585,7397,7601,7595,7.253275806,7.730216533,6.915048308,6.503119667,6.454800288,9.707722703,10.93569419,10.94344094,10.63755336,10.47159781,-2.454446896,-3.20547766,-4.028392628,-4.134433696,-4.016797517,1.728018667,1.046686583,2.068051831,2.357919217,1.331772439,-6.350743763,25.97091084,0.549326268,4.328235275,5.176728351,-4.622725096,27.01759742,2.617378098,6.686154492,6.508500789
050,1,1,33,011,New Hampshire,Hillsborough County,422944,422902,424484,426329,427475,430442,433415,-42,1582,1845,1146,2967,2973,1025,4097,4225,4190,4129,4185,1131,3905,4052,3906,3800,3755,-106,192,173,284,329,430,60,850,990,1841,2730,1731,-155,87,935,-876,-40,786,-95,937,1925,965,2690,2517,159,453,-253,-103,-52,26,8383,8384,7499,8463,8566,8616,8596,9.669737286,9.931677114,9.81489897,9.625639776,9.689103636,9.216578985,9.525007258,9.149640901,8.858665815,8.693568496,0.453158301,0.406669856,0.665258069,0.766973961,0.995535141,2.006169562,2.32718588,4.312465156,6.36425202,4.007607741,0.205337355,2.197897775,-2.051993198,-0.093249114,1.819745629,2.211506917,4.525083655,2.260471958,6.271002906,5.82735337
050,1,1,33,013,New Hampshire,Merrimack County,153816,154061,154660,156220,156883,157547,158078,245,599,1560,663,664,531,326,1315,1320,1296,1222,1209,368,1518,1639,1679,1643,1620,-42,-203,-319,-383,-421,-411,12,152,75,170,217,130,249,499,1787,881,858,810,261,651,1862,1051,1075,940,26,151,17,-5,10,2,8214,8219,7091,7637,7676,7692,7672,8.51901879,8.492022645,8.278425949,7.772795217,7.660990099,9.834122071,10.54426145,10.72490522,10.45065674,10.26534654,-1.315103281,-2.052238806,-2.446479274,-2.677861527,-2.604356436,0.984707875,0.482501287,1.085904638,1.380275419,0.823762376,3.232692302,11.49639732,5.627541097,5.457494514,5.132673267,4.217400177,11.97889861,6.713445735,6.837769933,5.956435644
050,1,1,33,015,New Hampshire,Rockingham County,314193,314633,318370,319262,320441,322001,324077,440,3737,892,1179,1560,2076,684,2799,2806,2838,2783,2868,762,2890,3066,3027,2998,2974,-78,-91,-260,-189,-215,-106,9,173,118,306,441,235,427,3588,1230,1122,1336,1939,436,3761,1348,1428,1777,2174,82,67,-196,-60,-2,8,2372,2370,2608,2730,2848,2912,2908,8.843559983,8.801314865,8.872867565,8.663817123,8.878184987,9.131078368,9.616832279,9.463766779,9.333138244,9.206318742,-0.287518385,-0.815517414,-0.590899214,-0.669321122,-0.328133755,0.546600885,0.370119442,0.956693966,1.37288658,0.727466343,11.33643916,3.858024691,3.507877875,4.159130318,6.002371231,11.88304005,4.228144133,4.46457184,5.532016898,6.729837574
050,1,1,33,017,New Hampshire,Strafford County,130898,131084,131643,132469,133595,134331,135043,186,559,826,1126,736,712,301,1200,1181,1103,1097,1104,303,1278,1304,1330,1307,1289,-2,-78,-123,-227,-210,-185,2,119,72,172,262,129,158,392,892,1172,668,754,160,511,964,1344,930,883,28,126,-15,9,16,14,8551,8557,7466,7892,8329,8474,8470,9.13495758,8.943175623,8.291238198,8.188828259,8.196782169,9.728729822,9.874598655,9.997594564,9.756425282,9.570337152,-0.593772243,-0.931423033,-1.706356365,-1.567597023,-1.373554983,0.905883293,0.545223239,1.292922004,1.955763905,0.957776177,2.984086143,6.754710123,8.809910398,4.986451483,5.598164634,3.889969436,7.299933362,10.1028324,6.942215388,6.555940811
050,1,1,33,019,New Hampshire,Sullivan County,43065,43073,43619,43889,44008,43924,43961,8,546,270,119,-84,37,70,354,374,368,362,355,101,518,551,546,549,547,-31,-164,-177,-178,-187,-192,0,17,35,64,6,-2,33,711,405,235,98,232,33,728,440,299,104,230,6,-18,7,-2,-1,-1,821,820,814,789,815,814,812,8.166843538,8.547789916,8.373437091,8.233635082,8.078739262,11.95035297,12.59313434,12.42363221,12.48692171,12.44808557,-3.783509436,-4.045344426,-4.050195115,-4.253286631,-4.369346305,0.392193051,0.799926864,1.456249929,0.13646909,-0.045514024,16.40289762,9.256296567,5.347167708,2.228995133,5.279626785,16.79509067,10.05622343,6.803417637,2.365464222,5.234112761
