SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,NPOPCHG2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
050,1,2,34,001,New Jersey,Atlantic County,274541,274192,274909,275872,276643,278467,278657,-349,717,963,771,1824,190,694,2718,2758,2707,2769,2773,956,3424,3203,3022,2915,2900,-262,-706,-445,-315,-146,-127,4,275,1279,1990,1921,824,-156,925,345,-851,73,-515,-152,1200,1624,1139,1994,309,65,223,-216,-53,-24,8,5679,5677,5522,5549,5692,5761,6036,9.899818066,10.01486979,9.798828991,9.976401074,9.954695903,12.47129399,11.63075705,10.93906953,10.50242294,10.41060877,-2.571475922,-1.615887258,-1.140240536,-0.52602187,-0.455912867,1.001637222,4.644314165,7.203424341,6.921150763,2.958048837,3.369143382,1.252766526,-3.080459354,0.263010935,-1.848780523,4.370780603,5.897080691,4.122964987,7.184161698,1.109268314
050,1,2,34,003,New Jersey,Bergen County,955728,953848,955376,956251,964156,973477,977026,-1880,1528,875,7905,9321,3549,2201,8857,9316,9053,8859,8787,3540,7536,7488,7188,6843,6765,-1339,1321,1828,1865,2016,2022,127,1358,6242,9125,9564,4739,-794,-1788,-7055,-3043,-2251,-3280,-667,-430,-813,6082,7313,1459,126,637,-140,-42,-8,68,10582,10715,10307,10623,10632,10669,10708,9.278115088,9.746671291,9.428209749,9.144146492,9.009983579,7.894306797,7.834164301,7.485913142,7.063257077,6.936672233,1.383808291,1.91250699,1.942296607,2.080889415,2.073311346,1.422567493,6.530562709,9.503193854,9.871838475,4.859259381,-1.873012281,-7.381147054,-3.169119879,-2.323453409,-3.363235022,-0.450444788,-0.850584345,6.334073975,7.548385066,1.496024359
050,1,2,34,005,New Jersey,Burlington County,461873,461700,464490,467822,472273,477522,481439,-173,2790,3332,4451,5249,3917,1064,4473,4749,4785,4676,4708,1490,4494,4629,4383,4310,4286,-426,-21,120,402,366,422,8,249,2315,2584,2787,934,94,2237,1279,1582,2151,2568,102,2486,3594,4166,4938,3502,151,325,-382,-117,-55,-7,11589,11579,11021,10903,11182,10818,11185,9.658925275,10.18757669,10.17982225,9.846335262,9.818960312,9.704272342,9.930152138,9.324589536,9.075642639,8.9388411,-0.045347067,0.257424553,0.855232716,0.770692623,0.880119212,0.537686652,4.966148671,5.497316761,5.868634811,1.947941574,4.830542329,2.743716696,3.365617305,4.529398449,5.355796534,5.368228981,7.709865367,8.862934065,10.39803326,7.303738108
050,1,2,34,007,New Jersey,Camden County,523500,523239,524366,525833,529977,533595,535799,-261,1127,1467,4144,3618,2204,1455,6061,6222,6073,5887,5934,1690,5747,5538,4957,4959,4932,-235,314,684,1116,928,1002,17,439,2002,3051,3368,1288,-206,-135,-858,89,-642,-146,-189,304,1144,3140,2726,1142,163,509,-361,-112,-36,60,6454,6512,6360,6357,6427,6444,6524,11.57115516,11.84918287,11.50396378,11.07024254,11.09787412,10.97169258,10.5465726,9.389947055,9.325179678,9.223915601,0.599462584,1.302610267,2.114016727,1.745062864,1.873958522,0.838102147,3.812610753,5.779448954,6.333374703,2.408840895,-0.257730729,-1.633976037,0.16859094,-1.207252541,-0.273051841,0.580371419,2.178634716,5.948039894,5.126122162,2.135789054
050,1,2,34,009,New Jersey,Cape May County,95254,95029,95667,95165,94577,94094,93390,-225,638,-502,-588,-483,-704,190,751,703,753,658,661,400,1477,1469,1321,1267,1259,-210,-726,-766,-568,-609,-598,3,15,60,128,148,21,-33,1387,253,-124,-8,-121,-30,1402,313,4,140,-100,15,-38,-49,-24,-14,-6,1460,1460,1436,1246,1160,1325,1373,7.876410622,7.367737067,7.937093527,6.975104812,7.051268375,15.49062382,15.39574076,13.92417072,13.43078693,13.4304794,-7.614213198,-8.028003689,-5.987077189,-6.455682113,-6.379211026,0.157318455,0.628825354,1.349200493,1.56886856,0.224019116,14.54671309,2.65154691,-1.307037978,-0.084803706,-1.290776813,14.70403155,3.280372265,0.042162515,1.484064854,-1.066757697
050,1,2,34,011,New Jersey,Cumberland County,154145,153733,152124,152025,154497,156407,157148,-412,-1609,-99,2472,1910,741,426,1797,1777,1808,1820,1833,553,1925,1855,1734,1655,1641,-127,-128,-78,74,165,192,3,93,880,1481,1478,387,-294,-1553,-870,918,289,148,-291,-1460,10,2399,1767,535,6,-21,-31,-1,-22,14,10722,10724,9286,8902,9921,9921,9839,11.75058933,11.68506226,11.79686939,11.70779405,11.69172872,12.58758178,12.19796876,11.31403292,10.64637316,10.4670632,-0.836992451,-0.512906503,0.482836469,1.061420889,1.224665529,0.608127328,5.786637471,9.663254187,9.507758022,2.468466457,-10.15507247,-5.720880226,5.989782136,1.859094769,0.944013012,-9.546945141,0.065757244,15.65303632,11.36685279,3.412479469
050,1,2,34,013,New Jersey,Essex County,862775,859934,854485,855294,871153,891241,896379,-2841,-5449,809,15859,20088,5138,2429,9399,10019,10159,9872,9826,3674,6814,6615,6203,6036,5996,-1245,2585,3404,3956,3836,3830,169,2218,12391,19298,22164,8386,-1845,-10208,-15315,-7412,-5942,-7109,-1676,-7990,-2924,11886,16222,1277,80,-44,329,17,30,31,25722,25751,24900,23847,26708,26994,27127,10.9646475,11.7196433,11.76867868,11.20294327,10.99338786,7.949048628,7.737842142,7.18585627,6.84977366,6.708360837,3.015598871,3.981801157,4.582822409,4.353169609,4.285027019,2.587465491,14.4942709,22.35573985,25.152151,9.382307202,-11.90840745,-17.91459598,-8.58642055,-6.743100578,-7.953591927,-9.320941963,-3.420325083,13.7693193,18.40905042,1.428715275
050,1,2,34,015,New Jersey,Gloucester County,302282,302564,304700,306718,308693,311263,312638,282,2136,2018,1975,2570,1375,675,2813,3092,3018,2974,2984,894,3235,3217,2833,2889,2872,-219,-422,-125,185,85,112,2,87,460,575,658,289,408,2267,1870,1290,1854,957,410,2354,2330,1865,2512,1246,91,204,-187,-75,-27,17,7755,7743,7723,7587,7616,7616,7602,9.2645044,10.11419356,9.808079479,9.594229268,9.565620187,10.65434473,10.52307914,9.206855256,9.320016259,9.206588866,-1.389840333,-0.408885574,0.601224223,0.274213009,0.359031321,0.286531064,1.504698913,1.868669881,2.122731291,0.926429033,7.466274964,6.11692819,4.192320254,5.981069624,3.06779441,7.752806028,7.621627103,6.060990135,8.103800915,3.994223443
050,1,2,34,017,New Jersey,Hudson County,724863,721800,703186,707743,719682,731028,735033,-3063,-18614,4557,11939,11346,4005,2377,9064,9050,8845,8530,8369,2545,4577,4183,3844,3677,3659,-168,4487,4867,5001,4853,4710,186,2980,12883,17888,19157,9887,-3085,-24622,-12992,-10895,-12716,-10518,-2899,-21642,-109,6993,6441,-631,4,-1459,-201,-55,52,-74,8195,8111,7777,7695,7831,7872,7967,12.72152849,12.82842723,12.39294534,11.75975902,11.41698742,6.423922761,5.92942664,5.385922203,5.069241957,4.991606761,6.297605731,6.899000588,7.007023136,6.690517057,6.425380663,4.182497232,18.26172685,25.06331331,26.41051623,13.48784259,-34.5575325,-18.41623498,-15.26525036,-17.53072633,-14.34865261,-30.37503526,-0.154508129,9.798062946,8.879789896,-0.860810021
050,1,2,34,019,New Jersey,Hunterdon County,128954,128773,129700,129859,130313,131097,131781,-181,927,159,454,784,684,264,958,1092,1088,1020,1018,389,963,1059,1055,1014,1005,-125,-5,33,33,6,13,0,73,271,404,467,215,-63,773,-89,41,329,459,-63,846,182,445,796,674,7,86,-56,-24,-18,-3,3590,3575,3094,3134,2972,2989,3001,7.412766517,8.4142719,8.363697861,7.803833059,7.745037622,7.451455278,8.159994452,8.110019526,7.757928159,7.646132426,-0.038688761,0.254277448,0.253678336,0.0459049,0.098905196,0.564855904,2.088157221,3.105637809,3.57293141,1.635739773,5.981282378,-0.685778571,0.315176114,2.517118702,3.492114213,6.546138281,1.40237865,3.420813923,6.090050113,5.127853986
