SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,NPOPCHG2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
050,4,8,35,001,New Mexico,Bernalillo County,676446,676867,675490,672636,671767,670181,667601,421,-1377,-2854,-869,-1586,-2580,1607,6389,6527,6504,6211,6108,1682,7352,7721,6928,6892,6791,-75,-963,-1194,-424,-681,-683,77,919,2012,2905,3810,1216,231,-1987,-3245,-3209,-4694,-3130,308,-1068,-1233,-304,-884,-1914,188,654,-427,-141,-21,17,11170,11156,11219,11209,11274,11299,11267,9.448688475,9.683071167,9.675670167,9.25669251,9.131532641,10.87286863,11.45441895,10.30643341,10.27163497,10.15262576,-1.424180154,-1.771347782,-0.630763246,-1.014942457,-1.021093123,1.359108579,2.984884202,4.321620824,5.678312423,1.817934462,-2.938573173,-4.814090078,-4.77386617,-6.995800135,-4.679387225,-1.579464594,-1.829205875,-0.452245346,-1.317487712,-2.861452763
050,4,8,35,003,New Mexico,Catron County,3579,3608,3714,3788,3821,3823,3827,29,106,74,33,2,4,1,14,19,25,29,29,8,58,84,61,72,72,-7,-44,-65,-36,-43,-43,0,7,15,-1,0,-2,42,154,111,68,46,48,42,161,126,67,46,46,-6,-11,13,2,-1,1,42,42,42,42,42,42,42,3.824091778,5.065315916,6.571165725,7.587650445,7.581699346,15.84266594,22.39402826,16.03364437,18.83830455,18.82352941,-12.01857416,-17.32871234,-9.462478644,-11.25065411,-11.24183007,1.912045889,3.998933618,-0.262846629,0,-0.522875817,42.06500956,29.59210877,17.87357077,12.03558346,12.54901961,43.97705545,33.59104239,17.61072414,12.03558346,12.02614379
050,4,8,35,005,New Mexico,Chaves County,65156,65154,64669,63873,63662,63746,63364,-2,-485,-796,-211,84,-382,177,780,727,746,706,686,187,866,833,742,776,788,-10,-86,-106,4,-70,-102,1,62,112,198,354,45,-11,-482,-812,-409,-199,-325,-10,-420,-700,-211,155,-280,18,21,10,-4,-1,0,2101,2101,2104,2106,2113,2117,2116,12.01636074,11.31147796,11.69874936,11.08250659,10.79380065,13.34124154,12.96074435,11.63602148,12.18133869,12.39870978,-1.324880799,-1.649266388,0.062727879,-1.098832098,-1.604909134,0.955146623,1.742621089,3.105029992,5.556950898,0.708048147,-7.425494712,-12.63400289,-6.413925589,-3.12382268,-5.113681064,-6.470348089,-10.89138181,-3.308895597,2.433128218,-4.405632916
050,4,8,35,006,New Mexico,Cibola County,27046,26963,27032,26761,26778,26755,26807,-83,69,-271,17,-23,52,73,278,212,249,265,263,77,403,340,329,344,342,-4,-125,-128,-80,-79,-79,0,10,56,78,67,3,-77,176,-198,26,-9,129,-77,186,-142,104,58,132,-2,8,-1,-7,-2,-1,2077,2076,2071,2087,2090,2097,2094,10.29724975,7.88206644,9.301630587,9.900435246,9.820395056,14.92730808,12.64104995,12.29010628,12.85188575,12.77024756,-4.630058339,-4.758983511,-2.988475691,-2.951450507,-2.949852507,0.370404667,2.082055286,2.913763798,2.503128911,0.112019716,6.519122141,-7.361552618,0.9712546,-0.336241197,4.816847765,6.889526808,-5.279497332,3.885018398,2.166887714,4.928867481
050,4,8,35,007,New Mexico,Colfax County,12385,12354,12356,12289,12333,12311,12184,-31,2,-67,44,-22,-127,23,88,91,94,91,93,28,194,184,154,155,158,-5,-106,-93,-60,-64,-65,0,-1,30,60,44,36,-25,115,4,48,-2,-98,-25,114,34,108,42,-62,-1,-6,-8,-4,0,0,626,626,626,625,626,628,626,7.12262242,7.384865084,7.635447973,7.385164746,7.593386405,15.70214488,14.9320349,12.50913817,12.57912677,12.90059196,-8.579522461,-7.547169811,-4.873690196,-5.193962019,-5.307205552,-0.080938891,2.434570907,4.873690196,3.570848888,2.939375383,9.307972481,0.324609454,3.898952157,-0.162311313,-8.001632986,9.22703359,2.759180361,8.772642352,3.408537575,-5.062257604
050,4,8,35,009,New Mexico,Curry County,48428,48372,47960,47422,47403,47377,46655,-56,-412,-538,-19,-26,-722,218,780,792,793,746,697,110,510,611,478,475,475,108,270,181,315,271,222,4,38,79,174,318,79,-168,-713,-801,-504,-616,-1010,-164,-675,-722,-330,-298,-931,0,-7,3,-4,1,-13,835,836,821,839,831,772,774,16.19399577,16.60690696,16.72554706,15.74171766,14.82474051,10.58838185,12.81164161,10.0817295,10.02321165,10.10294368,5.605613919,3.795265354,6.643817559,5.718506014,4.721796835,0.788938255,1.656497033,3.669918271,6.71027643,1.680279054,-14.80297305,-16.79562182,-10.63010809,-12.9985229,-21.48204866,-14.0140348,-15.13912478,-6.960189823,-6.288246465,-19.80176961
050,4,8,35,011,New Mexico,De Baca County,1701,1687,1686,1701,1671,1650,1647,-14,-1,15,-30,-21,-3,6,15,12,11,10,8,7,38,33,30,29,29,-1,-23,-21,-19,-19,-21,0,0,0,0,0,0,-12,23,36,-12,-2,19,-12,23,36,-12,-2,19,-1,-1,0,1,0,-1,3,3,3,3,3,3,3,8.894159502,7.085916741,6.524317912,6.022282445,4.852896573,22.53187074,19.48627104,17.79359431,17.46461909,17.59175008,-13.63771124,-12.4003543,-11.26927639,-11.44233665,-12.7388535,0,0,0,0,0,13.63771124,21.25775022,-7.117437722,-1.204456489,11.52562936,13.63771124,21.25775022,-7.117437722,-1.204456489,11.52562936
050,4,8,35,013,New Mexico,Doña Ana County,219563,220059,221734,223385,225966,228104,229091,496,1675,1651,2581,2138,987,561,2474,2671,2611,2457,2335,478,2390,2347,2093,2048,2048,83,84,324,518,409,287,36,303,403,1061,913,98,344,1151,1010,1000,825,580,380,1454,1413,2061,1738,678,33,137,-86,2,-9,22,4605,4596,4600,4573,4582,4556,4555,11.1998153,12.00128505,11.6212048,10.82211994,10.21445991,10.81954671,10.54549458,9.31565747,9.020635585,8.958978117,0.380268587,1.455790474,2.305547334,1.801484353,1.255481797,1.371683119,1.810751732,4.722366257,4.021406391,0.428701101,5.210585048,4.53811228,4.450863579,3.633800956,2.537210599,6.582268166,6.348864012,9.173229836,7.655207347,2.965911701
050,4,8,35,015,New Mexico,Eddy County,62317,62344,60880,60244,60753,61799,62509,27,-1464,-636,509,1046,710,204,791,769,804,822,791,131,707,773,604,596,602,73,84,-4,200,226,189,1,28,64,295,489,184,-62,-1499,-715,26,330,334,-61,-1471,-651,321,819,518,15,-77,19,-12,1,3,946,945,946,946,944,949,947,12.8384081,12.69773125,13.28958569,13.41471375,12.72645365,11.47503733,12.76377927,9.983718605,9.726483452,9.68561959,1.363370772,-0.066048017,3.305867088,3.688230302,3.040834057,0.454456924,1.056768271,4.876153954,7.980285919,2.960388712,-24.32967604,-11.80608302,0.429762721,5.385469025,5.373749075,-23.87521911,-10.74931475,5.305916676,13.36575495,8.334137787
050,4,8,35,017,New Mexico,Grant County,28189,28203,27891,27667,27476,27491,27252,14,-312,-224,-191,15,-239,60,241,209,238,249,244,103,449,429,426,395,395,-43,-208,-220,-188,-146,-151,0,16,29,64,10,-2,57,-128,-14,-57,154,-85,57,-112,15,7,164,-87,0,8,-19,-10,-3,-1,657,657,658,657,657,657,657,8.592719364,7.523668959,8.632101989,9.059981443,8.914381747,16.0088423,15.44332049,15.45073717,14.37225972,14.43106881,-7.416122936,-7.919651535,-6.818635185,-5.312278276,-5.516687065,0.570470995,1.043954066,2.32123751,0.363854676,-0.073068703,-4.563767961,-0.503977825,-2.067352157,5.603362017,-3.105419871,-3.993296966,0.539976241,0.253885353,5.967216694,-3.178488574
