SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,RBIRTH2021,RBIRTH2022,RBIRTH2023,RDEATH2021,RDEATH2022,RDEATH2023,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RNETMIG2021,RNETMIG2022,RNETMIG2023
050,1,2,36,001,New York,Albany County,314851,314018,316178,315921,316659,-833,2160,-257,738,765,2813,2862,2861,861,3192,3112,2943,-96,-379,-250,-82,18,479,1182,1140,-729,1988,-1026,-328,-711,2467,156,812,-26,72,-163,8,16738,16235,18590,19098,19426,8.9273813226,9.0555435145,9.0454962218,10.130181721,9.846558846,9.3047519681,-1.202800399,-0.791015331,-0.259255746,1.5201619814,3.7399204871,3.6042872048,6.309148265,-3.24632692,-1.037022985,7.8293102463,0.4935935668,2.5672642195
050,1,2,36,003,New York,Allegany County,46450,47328,46938,46726,46651,878,-390,-212,-75,127,453,496,496,124,539,557,540,3,-86,-61,-44,0,6,27,22,1049,-321,-168,-54,1049,-315,-141,-32,-174,11,-10,1,4502,5437,5244,5179,5221,9.6111005028,10.591048855,10.623601101,11.435724439,11.893577041,11.566017328,-1.824623937,-1.302528186,-0.942416227,0.1272993444,0.5765288691,0.4712081133,-6.810514926,-3.587290741,-1.156601733,-6.683215581,-3.010761872,-0.685393619
050,1,2,36,005,New York,Bronx County,1472653,1461151,1424084,1381808,1356476,-11502,-37067,-42276,-25332,4391,16929,16893,16614,7099,11382,11243,10648,-2708,5547,5650,5966,294,4168,10618,10224,-8289,-44747,-61394,-41473,-7995,-40579,-50776,-31249,-799,-2035,2850,-49,52840,51113,53647,53512,53988,11.734919339,12.041090676,12.134606929,7.8898252655,8.0138508538,7.7771334164,3.8450940738,4.0272398225,4.3574735126,2.8891927347,7.568359723,7.4674504179,-31.01792402,-43.76077198,-30.29123349,-28.12873128,-36.19241225,-22.82378307
050,1,2,36,007,New York,Broome County,198683,198156,198562,197258,196077,-527,406,-1304,-1181,424,1833,1869,1873,570,2561,2450,2326,-146,-728,-581,-453,6,191,482,455,-392,886,-1157,-1189,-386,1077,-675,-734,5,57,-48,6,11717,11551,12880,13083,13152,9.2408209358,9.4436865242,9.5236884589,12.910934215,12.379364358,11.827068529,-3.670113279,-2.935677833,-2.30338007,0.9629005994,2.4354504573,2.3135495189,4.4666488538,-5.846091658,-6.045737094,5.4295494533,-3.410641201,-3.732187575
050,1,2,36,009,New York,Cattaraugus County,77034,76974,76539,76050,75600,-60,-435,-489,-450,220,818,789,791,218,1034,1152,1102,2,-216,-363,-311,0,5,25,27,-62,-268,-107,-170,-62,-263,-82,-143,0,44,-44,4,2742,2724,2741,2746,2754,10.657077902,10.341505613,10.431915595,13.471171823,15.099384621,14.533465216,-2.81409392,-4.757879008,-4.101549621,0.065141063,0.3276776177,0.3560830861,-3.491560975,-1.402460204,-2.242004616,-3.426419912,-1.074782586,-1.88592153
050,1,2,36,011,New York,Cayuga County,76253,76147,75451,74679,74485,-106,-696,-772,-194,186,690,669,669,214,964,931,877,-28,-274,-262,-208,0,11,27,27,-85,-450,-524,-13,-85,-439,-497,14,7,17,-13,0,3633,3623,3228,3136,3305,9.1030224673,8.9122760274,8.9699927596,12.717845882,12.402584427,11.758869432,-3.614823415,-3.490308399,-2.788876673,0.145120648,0.3596882702,0.362017645,-5.936753783,-6.980616799,-0.174304792,-5.791633135,-6.620928529,0.187712853
050,1,2,36,013,New York,Chautauqua County,127657,127376,126183,125344,124891,-281,-1193,-839,-453,323,1230,1273,1273,361,1776,1863,1765,-38,-546,-590,-492,1,25,70,70,-225,-710,-251,-29,-224,-685,-181,41,-19,38,-68,-2,5027,4850,4312,4681,4653,9.7018839797,10.122173763,10.17443603,14.008573941,14.813519026,14.106739665,-4.306689962,-4.691345263,-3.932303635,0.1971927638,0.5566002855,0.5594740944,-5.600274492,-1.995809595,-0.231782125,-5.403081729,-1.43920931,0.3276919695
050,1,2,36,015,New York,Chemung County,84142,83668,83039,81641,81325,-474,-629,-1398,-316,206,829,818,820,237,1155,1129,1073,-31,-326,-311,-253,0,17,97,87,-389,-367,-1233,-150,-389,-350,-1136,-63,-54,47,49,0,3845,3533,3657,3075,3240,9.9455931665,9.9344182657,10.063448818,13.856646692,13.711440369,13.168390953,-3.911053525,-3.777022103,-3.104942135,0.2039506439,1.1780422638,1.0677073745,-4.40293449,-14.97449599,-1.840874784,-4.198983846,-13.79645373,-0.773167409
050,1,2,36,017,New York,Chenango County,47220,47064,46569,46331,45920,-156,-495,-238,-411,119,447,474,473,164,653,697,650,-45,-206,-223,-177,0,0,2,2,-103,-300,14,-239,-103,-300,16,-237,-8,11,-31,3,831,801,788,790,796,9.5479157989,10.20452099,10.254631386,13.948073863,15.005382131,14.091988163,-4.400158064,-4.800861141,-3.837356777,0,0.0430570506,0.0433599636,-6.40799718,0.3013993541,-5.181515648,-6.40799718,0.3444564047,-5.138155684
050,1,2,36,019,New York,Clinton County,79838,79699,78993,78037,78115,-139,-706,-956,78,150,649,679,676,192,847,861,813,-42,-198,-182,-137,0,24,73,74,-104,-545,-874,139,-104,-521,-801,213,7,13,27,2,5624,5548,4891,4359,4682,8.1793663197,8.648029039,8.6582304421,10.674766214,10.966057441,10.41293099,-2.495399894,-2.318028402,-1.754700548,0.3024727144,0.9297586448,0.9477944567,-6.868651224,-11.1316309,1.7803166146,-6.566178509,-10.20187225,2.7281110713
050,1,2,36,021,New York,Columbia County,61560,61414,61961,61108,60470,-146,547,-853,-638,115,432,463,463,216,717,758,721,-101,-285,-295,-258,0,23,44,51,-48,821,-603,-430,-48,844,-559,-379,3,-12,1,-1,1746,1637,1802,1855,1860,7.0030395137,7.5242343726,7.6165095659,11.623100304,12.31829299,11.860698482,-4.62006079,-4.794058618,-4.244188916,0.3728470111,0.7150460311,0.8389675764,13.309017224,-9.799380835,-7.073648193,13.681864235,-9.084334804,-6.234680617
050,1,2,36,023,New York,Cortland County,46800,46741,46413,46081,45752,-59,-328,-332,-329,137,435,419,419,125,546,557,536,12,-111,-138,-117,1,5,14,17,-78,-249,-185,-229,-77,-244,-171,-212,6,27,-23,0,3857,3827,3889,4029,4080,9.3393735105,9.0600471382,9.1252599828,11.722523993,12.044024477,11.673363606,-2.383150482,-2.983977339,-2.548103623,0.1073491208,0.3027223387,0.3702372785,-5.345986216,-4.000259476,-4.987313929,-5.238637096,-3.697537138,-4.61707665
050,1,2,36,025,New York,Delaware County,44311,44231,44718,44774,44410,-80,487,56,-364,109,362,354,354,143,626,666,634,-34,-264,-312,-280,0,9,18,18,-51,765,344,-100,-51,774,362,-82,5,-23,6,-2,2083,2072,2266,2465,2474,8.1394956661,7.9113216824,7.9386437029,14.075481456,14.884011979,14.217796914,-5.93598579,-6.972690296,-6.279153211,0.2023631519,0.402270594,0.4036598493,17.200867913,7.687838019,-2.242554718,17.403231065,8.0901086131,-1.838894869
050,1,2,36,027,New York,Dutchess County,297021,295901,298776,297609,297150,-1120,2875,-1167,-459,669,2616,2726,2726,810,3090,3059,2896,-141,-474,-333,-170,0,209,502,504,-858,3122,-1266,-800,-858,3331,-764,-296,-121,18,-70,7,18475,17475,18562,18060,18231,8.7980533971,9.1417456844,9.1667381242,10.3921961,10.258473972000001,9.738398242,-1.594142703,-1.116728288,-0.571660118,0.7029025841,1.6834762779,1.6948041139,10.499817548,-4.245579617,-2.69016526,11.202720132,-2.562103339,-0.995361146
050,1,2,36,029,New York,Erie County,954231,952342,952912,948423,946147,-1889,570,-4489,-2276,2416,9436,9588,9592,3042,10955,10636,9885,-626,-1519,-1048,-293,55,879,2210,2074,-1401,526,-5441,-4097,-1346,1405,-3231,-2023,83,684,-210,40,27279,26125,27665,26947,27135,9.905240981,10.085545156,10.12578052,11.499779032,11.187928482,10.435085534,-1.594538051,-1.102383325,-0.309305014,0.9227116175,2.3246823942,2.1894150124,0.5521573501,-5.723347017,-4.324991951,1.4748689676,-3.398664622,-2.135576938
050,1,2,36,031,New York,Essex County,37374,37275,37233,36763,36775,-99,-42,-470,12,65,248,267,267,118,473,488,467,-53,-225,-221,-200,0,14,38,39,-44,158,-280,175,-44,172,-242,214,-2,11,-7,-2,1789,1717,1708,1661,1676,6.6570032748,7.216606303,7.2615518507,12.696623181,13.189902157,12.700916533,-6.039619907,-5.973295854,-5.439364682,0.375798572,1.027082545,1.060676113,4.2411553122,-7.567976647,4.7594440969,4.6169538841,-6.540894102,5.82012021
050,1,2,36,033,New York,Franklin County,47573,47477,47106,46393,46502,-96,-371,-713,109,122,419,451,451,121,500,552,540,1,-81,-101,-89,0,7,26,29,-92,-306,-665,167,-92,-299,-639,196,-5,9,27,2,3961,3854,3390,2969,3120,8.8599431187,9.6471620017,9.7098875074,10.572724485,11.807612916,11.626029388,-1.712781367,-2.160450914,-1.916141881,0.1480181428,0.5561556808,0.6243608375,-6.470507385,-14.22475107,3.5954572367,-6.322489242,-13.66859539,4.2198180742
050,1,2,36,035,New York,Fulton County,53333,53100,52747,52256,52234,-233,-353,-491,-22,113,440,481,481,181,739,791,757,-68,-299,-310,-276,0,6,16,16,-151,-87,-180,237,-151,-81,-164,253,-14,27,-17,1,1509,1428,1159,1021,1056,8.3138870256,9.1616430007,9.2066226433,13.963551163,15.066236203,14.489424825,-5.649664138,-5.904593202,-5.282802182,0.1133711867,0.3047531975,0.3062494019,-1.643882207,-3.428473472,4.536319265,-1.530511021,-3.123720275,4.8425686669
