SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,NPOPCHG2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
050,3,5,37,001,North Carolina,Alamance County,171475,171624,173666,176470,179369,183361,186177,149,2042,2804,2899,3992,2816,440,1866,1985,1885,1894,1922,479,2060,2071,2009,1864,1854,-39,-194,-86,-124,30,68,0,122,417,736,1431,730,144,2071,2413,2249,2514,2024,144,2193,2830,2985,3945,2754,44,43,60,38,17,-6,6145,5742,5391,5529,5665,5658,5663,10.80830606,11.33845135,10.59467905,10.44302925,10.40217786,11.93199919,11.82968904,11.29162346,10.27761696,10.03415075,-1.123693128,-0.49123769,-0.696944405,0.16541229,0.368027104,0.706652379,2.381931592,4.136702273,7.890166239,3.950879206,11.99571375,13.78321567,12.64054811,13.86154991,10.95421851,12.70236613,16.16514726,16.77725039,21.75171615,14.90509772
050,3,5,37,003,North Carolina,Alexander County,36440,36406,36279,36213,36387,36749,36958,-34,-127,-66,174,362,209,85,353,340,353,354,361,91,620,551,495,503,512,-6,-267,-211,-142,-149,-151,0,0,-2,4,73,45,-30,116,157,311,430,315,-30,116,155,315,503,360,2,24,-10,1,8,0,1490,1411,1150,1125,1140,1185,1187,9.713145766,9.380345417,9.724517906,9.680595056,9.795541807,17.05991608,15.20167743,13.63636364,13.7551958,13.892846,-7.34677031,-5.821332009,-3.91184573,-4.074600744,-4.097304191,0,-0.055178502,0.110192838,1.996280901,1.221050918,3.191855266,4.331512443,8.567493113,11.7589149,8.547356425,3.191855266,4.27633394,8.67768595,13.7551958,9.768407343
050,3,5,37,005,North Carolina,Alleghany County,10879,10891,11084,11200,11332,11402,11479,12,193,116,132,70,77,19,105,96,106,104,107,39,164,166,183,177,177,-20,-59,-70,-77,-73,-70,0,0,6,12,38,16,34,263,175,191,104,131,34,263,181,203,142,147,-2,-11,5,6,1,0,245,245,254,257,245,260,259,9.556313993,8.616047388,9.40884076,9.14929181,9.35273808,14.92605233,14.89858194,16.24356471,15.57139087,15.471351780000001,-5.369738339,-6.282534554,-6.834723948,-6.422099059,-6.118613697,0,0.538502962,1.065151784,3.343010469,1.398540274,23.93629124,15.70633639,16.9536659,9.14929181,11.45054849,23.93629124,16.24483935,18.01881768,12.49230228,12.84908876
050,3,5,37,007,North Carolina,Anson County,22058,22233,21650,21739,21778,21524,21758,175,-583,89,39,-254,234,53,284,265,258,271,276,71,403,382,341,326,327,-18,-119,-117,-83,-55,-51,0,0,9,40,57,38,226,-435,192,85,-260,249,226,-435,201,125,-203,287,-33,-29,5,-3,4,-2,1660,1853,1271,1426,1485,1125,1122,12.94350888,12.21507755,11.85743503,12.51674288,12.75356961,18.3670214,17.60814953,15.67203622,15.05704125,15.11020748,-5.423512522,-5.393071977,-3.81460119,-2.54029837,-2.356637863,0,0.414851691,1.838362019,2.632672856,1.755926251,-19.82544493,8.850169398,3.906519291,-12.0086832,11.5059378,-19.82544493,9.265021088,5.744881311,-9.376010346,13.26186405
050,3,5,37,009,North Carolina,Ashe County,26584,26585,26757,27047,27096,27378,27514,1,172,290,49,282,136,54,213,201,208,199,200,94,426,463,389,386,391,-40,-213,-262,-181,-187,-191,0,5,20,20,89,55,41,387,509,208,377,275,41,392,529,228,466,330,0,-7,23,2,3,-3,442,442,413,430,436,449,449,7.986202242,7.471563453,7.683357036,7.306237838,7.287036362,15.97240448,17.21061631,14.36935523,14.17189852,14.24615609,-7.986202242,-9.739052859,-6.68599819,-6.865660682,-6.959119726,0.187469536,0.74343915,0.73878433,3.267613908,2.003935,14.5101421,18.92052636,7.683357036,13.84146565,10.019675,14.69761164,19.6639655,8.422141366,17.10907956,12.02361
050,3,5,37,011,North Carolina,Avery County,17809,17918,17603,17636,17765,18103,18110,109,-315,33,129,338,7,34,135,133,141,149,154,45,243,234,233,243,241,-11,-108,-101,-92,-94,-87,0,5,39,45,115,77,117,-204,102,174,313,17,117,-199,141,219,428,94,3,-8,-7,2,4,0,2519,2586,2176,2111,2214,2407,2408,7.601137355,7.548454837,7.96587667,8.308241329,8.505232927,13.68204724,13.28074009,13.16346996,13.54968217,13.31013724,-6.080909884,-5.732285252,-5.197593288,-5.241440839,-4.804904316,0.281523606,2.213456682,2.542301065,6.412401026,4.252616464,-11.48616311,5.789040552,9.830230784,17.45288279,0.938889349,-11.20463951,8.002497233,12.37253185,23.86528382,5.191505813
050,3,5,37,013,North Carolina,Beaufort County,44655,44694,44497,44358,44508,44730,44670,39,-197,-139,150,222,-60,121,457,419,444,435,440,137,723,750,624,654,654,-16,-266,-331,-180,-219,-214,0,4,27,31,56,-17,52,43,192,301,378,172,52,47,219,332,434,155,3,22,-27,-2,7,-1,428,428,320,378,402,418,417,10.24767073,9.431095605,9.992573088,9.749209978,9.843400447,16.21239811,16.88143605,14.04361623,14.65743293,14.63087248,-5.964727383,-7.450340442,-4.051043144,-4.908222954,-4.787472036,0.089695149,0.607731698,0.697679653,1.25507071,-0.380313199,0.964222848,4.321647628,6.774244368,8.471727291,3.84787472,1.053917996,4.929379326,7.47192402,9.726798001,3.467561521
050,3,5,37,015,North Carolina,Bertie County,17933,17722,17237,16951,17013,17184,17086,-211,-485,-286,62,171,-98,46,135,177,153,161,161,69,340,310,268,276,280,-23,-205,-133,-115,-115,-119,0,0,-1,24,65,55,-155,-273,-154,151,217,-32,-155,-273,-155,175,282,23,-33,-7,2,2,4,-2,1548,1407,1310,1205,1354,1578,1578,7.723333047,10.35451036,9.009539512,9.416030646,9.395973154,19.4513573,18.13501814,15.78141562,16.14176682,16.34082288,-11.72802426,-7.780507781,-6.771876104,-6.725736176,-6.944849723,0,-0.058500059,1.4132611,3.801503056,3.209804494,-15.61829572,-9.009009009,8.891767754,12.69117174,-1.867522615,-15.61829572,-9.067509068,10.30502885,16.4926748,1.342281879
050,3,5,37,017,North Carolina,Bladen County,29613,29628,29531,29360,29586,29967,30007,15,-97,-171,226,381,40,78,345,358,393,388,389,117,530,594,450,437,449,-39,-185,-236,-57,-49,-60,1,-1,7,36,102,63,49,64,72,251,327,36,50,63,79,287,429,99,4,25,-14,-4,1,1,321,321,299,316,316,321,321,11.66348316,12.15805471,13.33423812,13.03040989,12.97228799,17.9178147,20.17286173,15.26821158,14.67600289,14.97315503,-6.254331547,-8.014807016,-1.933973467,-1.645593001,-2.000867042,-0.033807198,0.237727327,1.221456927,3.425520125,2.100910395,2.163660643,2.445195361,8.516269128,10.98181452,1.200520225,2.129853446,2.682922688,9.737726054,14.40733464,3.30143062
050,3,5,37,019,North Carolina,Brunswick County,136695,138135,144719,152519,159425,166889,174702,1440,6584,7800,6906,7464,7813,220,1084,1086,1202,1205,1227,424,1894,2165,2010,2003,1981,-204,-810,-1079,-808,-798,-754,0,26,52,70,324,49,1909,7989,8175,7362,7748,8582,1909,8015,8227,7432,8072,8631,-265,-621,652,282,190,-64,959,959,905,932,954,992,995,7.664731628,7.307275651,7.706511425,7.385524372,7.184030024,13.39206799,14.567451,12.88692842,12.27651894,11.59866624,-5.727336364,-7.260175348,-5.180416998,-4.890994564,-4.414636217,0.183840427,0.349887969,0.448798502,1.985817342,0.286892805,56.48850644,55.00642583,47.20077963,47.48800235,50.24722548,56.67234686,55.3563138,47.64957813,49.4738197,50.53411829
