SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,NPOPCHG2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
050,2,4,38,001,North Dakota,Adams County,2207,2194,2169,2121,2188,2220,2275,-13,-25,-48,67,32,55,7,25,15,20,12,13,11,29,37,22,29,29,-4,-4,-22,-2,-17,-16,0,0,3,32,55,10,-8,-20,-28,37,-6,63,-8,-20,-25,69,49,73,-1,-1,-1,0,0,-2,65,65,65,65,65,65,65,11.46000458,6.993006993,9.282896264,5.444646098,5.784204672,13.29360532,17.24941725,10.21118589,13.15789474,12.90322581,-1.833600733,-10.256410259999999,-0.928289626,-7.713248639,-7.119021135,0,1.398601399,14.85263402,24.95462795,4.449388209,-9.168003667,-13.05361305,17.17335809,-2.722323049,28.03114572,-9.168003667,-11.65501166,32.02599211,22.2323049,32.48053393
050,2,4,38,003,North Dakota,Barnes County,10862,10863,10731,10741,10730,10673,10573,1,-132,10,-11,-57,-100,23,99,87,89,83,82,34,173,160,136,155,163,-11,-74,-73,-47,-72,-81,0,7,48,46,36,33,9,-65,43,-7,-21,-51,9,-58,91,39,15,-18,3,0,-8,-3,0,-1,523,523,425,465,484,499,499,9.169213671,8.103576751,8.290251968,7.755922067,7.719100066,16.02296934,14.90312966,12.6682502,14.48395085,15.34406477,-6.853755673,-6.799552906,-4.37799823,-6.728028781,-7.624964699,0.648328239,4.470938897,4.284849332,3.364014391,3.1064671,-6.020190794,4.005216095,-0.65204229,-1.962341728,-4.8009037,-5.371862554,8.476154993,3.632807042,1.401672663,-1.6944366
050,2,4,38,005,North Dakota,Benson County,5959,5940,5771,5786,5766,5731,5759,-19,-169,15,-20,-35,28,29,115,111,99,84,85,20,121,90,81,74,72,9,-6,21,18,10,13,0,0,7,14,13,12,-26,-159,-10,-51,-56,2,-26,-159,-3,-37,-43,14,-2,-4,-3,-1,-2,1,48,48,46,48,48,48,48,19.63965503,19.20913732,17.1398892,14.61250761,14.79547433,20.66433268,15.57497621,14.02354571,12.87292337,12.53263708,-1.024677653,3.634161115,3.11634349,1.739584239,2.26283725,0,1.211387038,2.423822715,2.261459511,2.088772846,-27.15395782,-1.730552912,-8.829639889,-9.74167174,0.348128808,-27.15395782,-0.51916587300000006,-6.405817175,-7.480212229,2.436901654
050,2,4,38,007,North Dakota,Billings County,943,930,959,1023,1036,1052,1071,-13,29,64,13,16,19,0,11,13,16,10,11,0,6,7,4,8,8,0,5,6,12,2,3,0,0,0,0,0,0,-11,24,54,1,14,16,-11,24,54,1,14,16,-2,0,4,0,0,0,7,7,7,7,7,7,7,11.64637374,13.11806256,15.54152501,9.578544061,10.3626943,6.352567496,7.063572149,3.885381253,7.662835249,7.536504946,5.293806247,6.054490414,11.65614376,1.915708812,2.826189355,0,0,0,0,0,25.41026998,54.49041372,0.971345313,13.40996169,15.07300989,25.41026998,54.49041372,0.971345313,13.40996169,15.07300989
050,2,4,38,009,North Dakota,Bottineau County,6379,6385,6424,6372,6312,6342,6284,6,39,-52,-60,30,-58,13,76,77,56,56,56,13,77,75,72,77,83,0,-1,2,-16,-21,-27,0,2,8,9,26,24,5,35,-60,-54,25,-54,5,37,-52,-45,51,-30,1,3,-2,1,0,-1,185,185,181,182,180,191,192,11.86665626,12.03501094,8.830022075,8.850956219,8.870584508,12.02279647,11.72241325,11.35288553,12.1700648,13.14747347,-0.156140214,0.312597687,-2.52286345,-3.319108582,-4.276888959,0.312280428,1.250390747,1.419110691,4.10937253,3.801679075,5.464907487,-9.377930603,-8.514664144,3.951319741,-8.553777919,5.777187915,-8.127539856,-7.095553453,8.060692271,-4.752098844
050,2,4,38,011,North Dakota,Bowman County,2985,2973,2893,2883,2854,2840,2762,-12,-80,-10,-29,-14,-78,10,33,29,31,15,15,11,45,40,40,45,45,-1,-12,-11,-9,-30,-30,0,0,1,8,9,0,-9,-64,1,-29,7,-46,-9,-64,2,-21,16,-46,-2,-4,-1,1,0,-2,47,47,47,47,47,47,47,11.25127855,10.04155125,10.80704201,5.268703899,5.355230275,15.34265257,13.85041551,13.94457033,15.8061117,16.06569083,-4.09137402,-3.808864266,-3.137528325,-10.5374078,-10.71046055,0,0.346260388,2.788914067,3.161222339,0,-21.82066144,0.346260388,-10.10981349,2.458728486,-16.42270618,-21.82066144,0.692520776,-7.320899425,5.619950825,-16.42270618
050,2,4,38,013,North Dakota,Burke County,2193,2191,2151,2133,2141,2134,2132,-2,-40,-18,8,-7,-2,4,25,21,26,24,25,1,30,14,22,27,29,3,-5,7,4,-3,-4,0,0,0,5,4,4,-5,-35,-26,-1,-8,-2,-5,-35,-26,4,-4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,11.51543068,9.803921569,12.16658868,11.22807018,11.72058134,13.81851681,6.535947712,10.2948058,12.63157895,13.59587436,-2.303086135,3.267973856,1.871782873,-1.403508772,-1.875293015,0,0,2.339728592,1.871345029,1.875293015,-16.12160295,-12.13818861,-0.467945718,-3.742690058,-0.937646507,-16.12160295,-12.13818861,1.871782873,-1.871345029,0.937646507
050,2,4,38,015,North Dakota,Burleigh County,98459,98593,99370,100302,101082,102447,103251,134,777,932,780,1365,804,307,1167,1199,1115,1108,1119,211,996,868,864,866,893,96,171,331,251,242,226,1,36,340,445,545,399,13,508,314,97,573,170,14,544,654,542,1118,569,24,62,-53,-13,5,9,4193,4191,4389,4667,4814,5272,5274,11.79008199,12.0096959,11.07337226,10.8878833,10.880028,10.06248642,8.694258584,8.580622095,8.509843806,8.68263182,1.727595561,3.315437317,2.492750169,2.378039493,2.197396183,0.363704329,3.4055851599999998,4.41941763,5.355502164,3.879473792,5.132272192,3.145158059,0.963333731,5.63064723,1.652908633,5.495976521,6.550743219,5.382751361,10.98614939,5.532382425
050,2,4,38,017,North Dakota,Cass County,184533,184897,189328,193289,197325,199271,201794,364,4431,3961,4036,1946,2523,593,2427,2403,2401,2370,2411,385,1333,1399,1272,1325,1346,208,1094,1004,1129,1045,1065,17,231,1227,1284,1481,1099,77,3224,1691,1602,-565,345,94,3455,2918,2886,916,1444,62,-118,39,21,-15,14,5762,5756,7982,8371,8634,8685,8684,12.97080633,12.56086374,12.29346618,11.95170904,12.02298879,7.124056383,7.312795825,6.512823401,6.681862651,6.712128957,5.84674995,5.248067911,5.780642783,5.269846393,5.310859836,1.234551406,6.413724429,6.574265131,7.468557424,5.480408413,17.2302759,8.839126333,8.202470982,-2.849247093,1.720419383,18.46482731,15.25285076,14.77673611,4.619310331,7.200827796
050,2,4,38,019,North Dakota,Cavalier County,3703,3697,3678,3615,3589,3546,3497,-6,-19,-63,-26,-43,-49,11,42,39,35,43,45,12,48,43,55,68,69,-1,-6,-4,-20,-25,-24,0,0,1,1,1,1,-6,-15,-63,-5,-20,-26,-6,-15,-62,-4,-19,-25,1,2,3,-2,1,0,51,51,52,53,52,51,51,11.38983051,10.69518717,9.716823987,12.05325858,12.77864546,13.01694915,11.79212944,15.26929484,19.06096706,19.59392304,-1.627118644,-1.096942273,-5.55247085,-7.007708479,-6.815277581,0,0.274235568,0.277623543,0.280308339,0.283969899,-4.06779661,-17.27684081,-1.388117712,-5.606166783,-7.383217379,-4.06779661,-17.00260524,-1.11049417,-5.325858444,-7.09924748
050,2,4,38,021,North Dakota,Dickey County,5000,4972,4910,4943,4935,4915,4895,-28,-62,33,-8,-20,-20,16,59,76,72,53,59,16,89,79,72,73,73,0,-30,-3,0,-20,-14,0,1,16,13,26,20,-27,-34,24,-20,-27,-25,-27,-33,40,-7,-1,-5,-1,1,-4,-1,1,-1,353,353,353,352,362,353,353,11.94090265,15.42677357,14.57784977,10.76142132,12.0285423,18.01254807,16.03572516,14.57784977,14.82233503,14.88277268,-6.071645416,-0.608951588,0,-4.060913706,-2.854230377,0.202388181,3.247741805,2.632111764,5.279187817,4.077471967,-6.881198138,4.871612707,-4.049402713,-5.482233503,-5.096839959,-6.678809957,8.119354511,-1.41729095,-0.203045685,-1.019367992
