SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,NPOPCHG2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
050,2,3,39,001,Ohio,Adams County,27481,27451,27581,27412,27512,27642,27865,-30,130,-169,100,130,223,68,362,306,322,323,326,89,442,525,377,373,378,-21,-80,-219,-55,-50,-52,0,7,35,40,35,30,-12,186,29,122,146,246,-12,193,64,162,181,276,3,17,-14,-7,-1,-1,285,285,271,246,242,277,266,13.15598197,11.12868911,11.72529313,11.7126591,11.74626624,16.06338131,19.09333915,13.72806059,13.52576422,13.6199038,-2.907399331,-7.964650046,-2.00276746,-1.813105124,-1.873637559,0.254397442,1.272889277,1.456558153,1.269173587,1.080944746,6.759703445,1.054679687,4.442502367,5.294266962,8.863746915,7.014100887,2.327568963,5.89906052,6.563440548,9.944691661
050,2,3,39,003,Ohio,Allen County,102204,102116,101705,100974,100810,100952,100881,-88,-411,-731,-164,142,-71,293,1174,1188,1219,1222,1223,285,1388,1451,1223,1185,1182,8,-214,-263,-4,37,41,0,26,93,188,241,92,-104,-284,-529,-336,-125,-209,-104,-258,-436,-148,116,-117,8,61,-32,-12,-11,5,3528,3526,3427,3471,3441,3436,3429,11.51991208,11.72297081,12.08222654,12.11328199,12.11893001,13.61979384,14.31820761,12.12187289,11.74651322,11.71265353,-2.099881759,-2.595236803,-0.039646355,0.366768767,0.406276476,0.255125821,0.917707311,1.863378662,2.388953321,0.911644776,-2.78675897,-5.220077068,-3.330293779,-1.239083673,-2.07101911,-2.531633149,-4.302369757,-1.466915117,1.149869648,-1.159374334
050,2,3,39,005,Ohio,Ashland County,52446,52485,52169,51927,52125,52435,52523,39,-316,-242,198,310,88,137,554,588,572,602,603,133,703,788,643,616,618,4,-149,-200,-71,-14,-15,0,14,21,9,37,24,19,-205,-26,272,297,75,19,-191,-5,281,334,99,16,24,-37,-12,-10,4,1556,1560,1318,1276,1094,1104,1110,10.58726852,11.29726406,10.99450275,11.51491966,11.49031041,13.43474688,15.13987089,12.35920501,11.78270849,11.77613903,-2.847478357,-3.842606824,-1.364702264,-0.267788829,-0.285828617,0.267548302,0.403473717,0.172990428,0.707727621,0.457325788,-3.917671565,-0.499538887,5.228155153,5.680948738,1.429143086,-3.650123263,-0.096065171,5.401145581,6.388676358,1.886468873
050,2,3,39,007,Ohio,Ashtabula County,97571,97497,97427,96915,96845,96748,96713,-74,-70,-512,-70,-97,-35,260,990,1064,1022,935,939,314,1399,1544,1345,1290,1279,-54,-409,-480,-323,-355,-340,0,9,27,70,91,31,-41,264,12,210,182,276,-41,273,39,280,273,307,21,66,-71,-27,-15,-2,3343,3343,3397,3468,3486,3485,3543,10.15780509,10.94976896,10.54913295,9.659440166,9.707382883,14.35431245,15.88951436,13.88315442,13.32692814,13.2223032,-4.196507357,-4.939745397,-3.33402147,-3.667487977,-3.51492032,0.092343683,0.277860679,0.722543353,0.940116636,0.320478029,2.708748025,0.123493635,2.167630058,1.880233273,2.85328826,2.801091708,0.401354314,2.89017341,2.820349909,3.173766289
050,2,3,39,009,Ohio,Athens County,62428,62386,59057,60907,62745,63080,63197,-42,-3329,1850,1838,335,117,116,464,452,468,451,450,125,637,656,585,578,579,-9,-173,-204,-117,-127,-129,3,88,315,294,235,209,-51,-2951,1580,1608,228,33,-48,-2863,1895,1902,463,242,15,-293,159,53,-1,4,8020,8011,4908,6861,8745,9132,9505,7.641444958,7.535594012,7.5696309,7.168686668,7.127188641,10.49051819,10.93661432,9.462038625,9.187363402,9.170316051,-2.849073228,-3.401020306,-1.892407725,-2.018676734,-2.04312741,1.449239561,5.251575473,4.75528095,3.735346712,3.310183169,-48.59893119,26.3412357,26.0084754,3.624081065,0.5226605,-47.14969162,31.592811180000002,30.76375635,7.359427777,3.832843669
050,2,3,39,011,Ohio,Auglaize County,46421,46466,46245,45896,45980,45936,45909,45,-221,-349,84,-44,-27,140,530,528,494,491,492,129,624,626,528,518,521,11,-94,-98,-34,-27,-29,0,4,7,6,26,8,21,-162,-247,120,-45,-8,21,-158,-240,126,-19,0,13,31,-11,-8,2,2,463,463,449,413,415,440,428,11.433379,11.46069611,10.75362445,10.6836677,10.71370243,13.46118584,13.58787076,11.49375245,11.27116063,11.34520115,-2.027806841,-2.127174656,-0.740127999,-0.587492928,-0.631498721,0.086289653,0.151941047,0.130610823,0.565733931,0.174206544,-3.494730938,-5.361348368,2.612216466,-0.979154881,-0.174206544,-3.408441285,-5.209407321,2.742827289,-0.41342095,0
050,2,3,39,013,Ohio,Belmont County,66495,66285,65878,65382,65003,64764,64434,-210,-407,-496,-379,-239,-330,148,594,581,566,440,380,247,1091,1119,880,870,864,-99,-497,-538,-314,-430,-484,0,1,-2,14,25,-2,-110,24,91,-63,176,154,-110,25,89,-49,201,152,-1,65,-47,-16,-10,2,3756,3756,3779,3718,3763,3792,3761,8.98890007,8.852658845,8.681980289,6.781385098,5.882444001,16.50991579,17.05012951,13.49848526,13.40864781,13.37482004,-7.521015715,-8.197470669,-4.816504966,-6.627262709,-7.492376043,0.015132828,-0.030473869,0.214748629,0.385305972,-0.030960232,0.363187882,1.386561024,-0.966368831,2.712554039,2.383937832,0.37832071,1.356087155,-0.751620202,3.097860011,2.3529776
050,2,3,39,015,Ohio,Brown County,43681,43684,43685,43655,43771,44163,44397,3,1,-30,116,392,234,133,451,460,511,477,482,145,656,680,587,603,603,-12,-205,-220,-76,-126,-121,0,2,5,23,19,12,1,165,211,182,505,346,1,167,216,205,524,358,14,39,-26,-13,-6,-3,508,508,471,449,441,444,460,10.32402797,10.53354706,11.6898863,10.84904588,10.88527552,15.01676796,15.57133043,13.42849953,13.71483158,13.61788618,-4.692739988,-5.037783375,-1.738613227,-2.865785703,-2.732610659,0.045782829,0.114495077,0.526159266,0.432142289,0.27100271,3.777083405,4.831692237,4.163521149,11.48588714,7.813911472,3.822866234,4.946187314,4.689680415,11.91802943,8.084914183
050,2,3,39,017,Ohio,Butler County,390345,390845,387409,390108,394636,397781,400128,500,-3436,2699,4528,3145,2347,1169,4226,4279,4318,4223,4217,984,4382,4270,3759,3700,3690,185,-156,9,559,523,527,24,473,2071,2908,3476,1711,144,-3670,868,1129,-824,82,168,-3197,2939,4037,2652,1793,147,-83,-249,-68,-30,27,12636,12629,9096,10451,11865,11818,11812,10.86020759,11.00683329,11.00486273,10.65852954,10.57012767,11.26110499,10.98368267,9.580194305,9.338517473,9.249175031,-0.400897393,0.023150619,1.424668427,1.320012064,1.32095264,1.215541456,5.32721471,7.411334142,8.773158577,4.288709615,-9.431368165,2.232748609,2.877371474,-2.07971308,0.205537223,-8.21582671,7.559963319,10.28870562,6.693445497,4.494246838
050,2,3,39,019,Ohio,Carroll County,26775,26761,26750,26711,26811,26567,26475,-14,-11,-39,100,-244,-92,73,232,217,258,257,259,92,377,411,387,369,371,-19,-145,-194,-129,-112,-112,0,0,1,3,1,-1,-1,114,166,233,-130,23,-1,114,167,236,-129,22,6,20,-12,-7,-3,-2,338,338,321,318,326,324,334,8.67111435,8.118067376,9.640895333,9.629435348,9.765845933,14.09056082,15.37569443,14.461343,13.82592079,13.98891445,-5.419446469,-7.257627055,-4.820447666,-4.196485443,-4.223068512,0,0.037410449,0.112103434,0.03746862,-0.037705969,4.260806189,6.210134491,8.706700049,-4.870920604,0.867237284,4.260806189,6.247544939,8.818803483,-4.833451984,0.829531315
