SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,NPOPCHG2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
050,4,9,41,001,Oregon,Baker County,16667,16728,16882,16925,16886,16757,16658,61,154,43,-39,-129,-99,45,157,152,119,136,146,47,258,286,254,240,245,-2,-101,-134,-135,-104,-99,0,5,4,4,12,6,68,256,171,92,-34,-6,68,261,175,96,-22,0,-5,-6,2,0,-3,0,425,425,425,425,425,425,425,9.342457602,8.992220546,7.039129278,8.084891359,8.738590453,15.35257364,16.91957287,15.02469611,14.26745534,14.66407302,-6.010116037,-7.927352323,-7.985566827,-6.182563981,-5.925482568,0.297530497,0.236637383,0.236609388,0.713372767,0.359120156,15.23356144,10.11624811,5.442015912,-2.02122284,-0.359120156,15.53109194,10.3528855,5.6786253,-1.307850073,0
050,4,9,41,003,Oregon,Benton County,95178,93602,93012,97281,97964,97590,97728,-1576,-590,4269,683,-374,138,153,608,639,578,580,581,136,654,727,716,771,766,17,-46,-88,-138,-191,-185,9,209,356,738,739,558,-1283,-708,3636,104,-941,-244,-1274,-499,3992,842,-202,314,-319,-45,365,-21,19,9,6483,4869,3225,6257,6584,6661,7057,6.516124192,6.715959074,5.920766217,5.931865367,5.949272469,7.00912043,7.640848586,7.33437476,7.885289997,7.843619124,-0.492996238,-0.924889512,-1.413608543,-1.95342463,-1.894346655,2.239917691,3.741598482,7.559732644,7.558014666,5.713759101,-7.587855145,38.21475304,1.065328177,-9.62394019,-2.498489643,-5.347937454,41.95635152,8.625060821,-2.065925524,3.215269458
050,4,9,41,005,Oregon,Clackamas County,421429,422483,423877,423098,424076,425245,426280,1054,1394,-779,978,1169,1035,999,3653,3729,3692,3782,3732,944,3810,4204,4027,3946,3912,55,-157,-475,-335,-164,-180,7,200,365,976,1111,578,924,909,-409,426,278,629,931,1109,-44,1402,1389,1207,68,442,-260,-89,-56,8,3944,3944,3932,4004,4396,4448,4344,8.632260504,8.805454707,8.716037083,8.905937802,8.765450222,9.003261024,9.92709348,9.50690177,9.292128653,9.188221133,-0.37100052,-1.121638773,-0.790864687,-0.386190851,-0.422770911,0.472612127,0.861890847,2.304131147,2.616207535,1.35756437,2.148022118,-0.965790017,1.005696587,0.654640589,1.477349461,2.620634246,-0.103899171,3.309827733,3.270848125,2.834913831
050,4,9,41,007,Oregon,Clatsop County,41073,41156,41932,41597,41135,41206,40926,83,776,-335,-462,71,-280,97,361,312,298,298,279,97,476,577,483,451,449,0,-115,-265,-185,-153,-170,0,13,54,69,174,67,86,921,-93,-338,56,-173,86,934,-39,-269,230,-106,-3,-43,-31,-8,-6,-4,501,502,500,471,478,470,471,8.68958213,7.470459361,7.203983948,7.238192395,6.79394146,11.45773156,13.81556106,11.67625586,10.95444554,10.93361905,-2.768149432,-6.345101701,-4.472271914,-3.716253142,-4.139677592,0.31292124,1.29296412,1.668036552,4.226327103,1.631519992,22.16926632,-2.22677154,-8.170961659,1.360197229,-4.212730726,22.48218756,-0.93380742,-6.502925108,5.586524332,-2.581210734
050,4,9,41,009,Oregon,Columbia County,52594,52715,53175,53543,53845,53965,54091,121,460,368,302,120,126,142,455,503,456,462,444,111,573,645,583,601,588,31,-118,-142,-127,-139,-144,0,-4,-3,44,41,7,83,575,525,392,228,266,83,571,522,436,269,273,7,7,-12,-7,-10,-3,502,490,467,496,502,552,579,8.593823779,9.426713394,8.492569002,8.570633522,8.217961057,10.82255171,12.08793268,10.85782397,11.14924404,10.88324572,-2.228727925,-2.661219288,-2.365254963,-2.578610519,-2.665284667,-0.075550099,-0.056222943,0.819458413,0.760597347,0.129562449,10.86032675,9.839014974,7.300629493,4.229663297,4.923373066,10.78477666,9.782792031,8.120087906,4.990260644,5.052935515
050,4,9,41,011,Oregon,Coos County,64926,64982,65166,65150,64578,64242,63992,56,184,-16,-572,-336,-250,131,560,505,513,527,523,211,1038,1172,1135,1151,1116,-80,-478,-667,-622,-624,-593,0,5,22,103,83,50,142,652,616,-40,209,294,142,657,638,63,292,344,-6,5,13,-13,-4,-1,1309,1312,1318,1527,1613,1614,1604,8.605587485,7.750391356,7.908855451,8.181959323,8.156963052,15.95107109,17.98704687,17.49814998,17.86989598,17.40568024,-7.345483603,-10.23665551,-9.589294524,-9.687936656,-9.248717189,0.076835603,0.337640812,1.587937839,1.28861978,0.779824384,10.01936257,9.453942724,-0.616674889,3.244837758,4.585367375,10.09619817,9.791583535,0.97126295,4.533457538,5.365191759
050,4,9,41,013,Oregon,Crook County,24739,24933,25772,26393,26940,27320,27564,194,839,621,547,380,244,54,231,262,233,249,248,59,280,327,327,326,328,-5,-49,-65,-94,-77,-80,0,0,1,-2,4,-12,220,943,643,630,451,339,220,943,644,628,455,327,-21,-55,42,13,2,-3,156,156,156,156,156,156,156,9.111527463,10.04504936,8.73755461,9.178031699,9.037242184,11.04427571,12.53714176,12.26257664,12.01621821,11.9524816,-1.93274825,-2.492092399,-3.5250220309999998,-2.838186509,-2.915239414,0,0.038339883,-0.075000469,0.14743826,-0.437285912,37.19554285,24.65254481,23.62514766,16.62366384,12.35332702,37.19554285,24.69088469,23.55014719,16.7711021,11.91604111
050,4,9,41,015,Oregon,Curry County,23446,23519,23730,23613,23282,22820,22621,73,211,-117,-331,-462,-199,37,155,147,163,155,166,114,485,503,473,453,448,-77,-330,-356,-310,-298,-282,0,-3,-9,-11,0,-12,174,577,239,-5,-158,99,174,574,230,-16,-158,87,-24,-33,9,-5,-6,-4,174,174,174,174,155,155,155,6.560985418,6.209999366,6.951700608,6.724220207,7.306177241,20.52953502,21.24918151,20.1727263,19.65207583,19.71787593,-13.9685496,-15.03918214,-13.2210257,-12.92785562,-12.41169869,-0.126986815,-0.380204043,-0.46913317,0,-0.528157391,24.42379733,10.09652958,-0.21324235,-6.854366405,4.357298475,24.29681052,9.716325539,-0.68237552,-6.854366405,3.829141084
050,4,9,41,017,Oregon,Deschutes County,198261,199461,205280,206421,208648,211202,213072,1200,5819,1141,2227,2554,1870,465,1810,1858,1868,1851,1876,379,1704,1810,1816,1817,1780,86,106,48,52,34,96,0,18,124,390,520,138,1222,6012,960,1768,1987,1646,1222,6030,1084,2158,2507,1784,-108,-317,9,17,13,-10,1705,1705,1704,1678,1704,1699,1695,8.943991343,9.025967875,9.000913101,8.817434798,8.843341803,8.420199584,8.792788942,8.750352351,8.655472192,8.390804056,0.523791758,0.233178933,0.25056075,0.161962606,0.452537747,0.08894577,0.602378911,1.879205626,2.477075146,0.650523011,29.70788727,4.663578665,8.519065505,9.465285221,7.759136784,29.79683304,5.265957576,10.39827113,11.94236037,8.409659795
050,4,9,41,019,Oregon,Douglas County,111202,111294,112185,112247,112442,112351,111951,92,891,62,195,-91,-400,235,1060,936,950,973,964,417,1809,2060,1837,1753,1715,-182,-749,-1124,-887,-780,-751,0,8,11,32,58,-6,285,1660,1155,1046,642,360,285,1668,1166,1078,700,354,-11,-28,20,4,-11,-3,1655,1654,1650,1654,1669,1694,1676,9.486349948,8.341056534,8.456132699,8.656853194,8.595554208,16.18944062,18.35745348,16.35149028,15.59657107,15.29188327,-6.703090671,-10.01639695,-7.895357583,-6.939717874,-6.696329056,0.071595094,0.098025237,0.284838154,0.516030303,-0.0534993,14.85598199,10.29264989,9.310647161,5.711921635,3.209958003,14.92757709,10.39067513,9.595485315,6.227951938,3.156458703
050,4,9,41,021,Oregon,Gilliam County,1992,2014,2010,2012,2033,1984,1971,22,-4,2,21,-49,-13,7,17,21,17,18,18,5,24,32,34,29,29,2,-7,-11,-17,-11,-11,0,0,-1,0,-1,-3,20,1,14,37,-37,1,20,1,13,37,-38,-2,0,2,0,1,0,0,24,24,24,26,26,29,30,8.449304175,10.44256589,8.405438813,8.961911875,9.102402023,11.92842942,15.91248135,16.81087763,14.4386358,14.66498104,-3.479125249,-5.469915465,-8.405438813,-5.476723923,-5.562579014,0,-0.497265042,0,-0.497883993,-1.517067004,0.497017893,6.961710592,18.29419036,-18.42170774,0.505689001,0.497017893,6.46444555,18.29419036,-18.91959174,-1.011378003
