SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,NPOPCHG2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
050,3,5,45,001,South Carolina,Abbeville County,24293,24267,24276,24413,24582,24679,24836,-26,9,137,169,97,157,64,207,232,232,244,246,72,395,399,333,321,328,-8,-188,-167,-101,-77,-82,0,4,11,17,16,5,-21,180,285,256,155,235,-21,184,296,273,171,240,3,13,8,-3,3,-1,840,840,833,868,855,885,886,8.528521105,9.529873277,9.470354118,9.906416841,9.936382914,16.27423109,16.38973896,13.5932238,13.03262216,13.24851055,-7.745709989,-6.859865678,-4.122869681,-3.126205315,-3.312127638,0.16480234,0.45184744,0.693948362,0.649601104,0.201959002,7.416105309,11.7069564,10.45004592,6.293010698,9.492073109,7.580907649,12.15880384,11.14399429,6.942611802,9.694032112
050,3,5,45,003,South Carolina,Aiken County,168810,169170,171026,173545,176336,178363,181515,360,1856,2519,2791,2027,3152,429,1839,1985,1966,2125,2558,520,2413,2486,2166,2136,2143,-91,-574,-501,-200,-11,415,6,101,233,321,462,81,450,2348,2717,2627,1560,2671,456,2449,2950,2948,2022,2752,-5,-19,70,43,16,-15,2709,2709,2692,2705,2729,2331,2325,10.8114146,11.5215732,11.23810667,11.98199036,14.21592873,14.18593987,14.42953702,12.38135252,12.04401478,11.90959158,-3.374525274,-2.907963816,-1.143245846,-0.062024421,2.306337148,0.593775353,1.352406326,1.834909584,2.60502567,0.450152552,13.80380722,15.77033471,15.01653419,8.796190573,14.84391933,14.39758257,17.12274103,16.85144378,11.40121624,15.29407188
050,3,5,45,005,South Carolina,Allendale County,8037,7940,7710,7510,7588,7531,7355,-97,-230,-200,78,-57,-176,18,63,67,76,69,71,31,152,138,110,120,123,-13,-89,-71,-34,-51,-52,0,1,3,8,7,7,-70,-138,-133,103,-14,-129,-70,-137,-130,111,-7,-122,-14,-4,1,1,1,-2,1003,949,852,931,1003,1003,1003,8.051118211,8.804204993,10.06755862,9.127587803,9.539164316,19.42492013,18.13403417,14.57146642,15.87406575,16.52559452,-11.37380192,-9.329829172,-4.503907802,-6.746477942,-6.986430203,0.127795527,0.394218134,1.059743012,0.925987169,0.940480989,-17.63578275,-17.47700394,13.64419128,-1.851974337,-17.33172108,-17.50798722,-17.08278581,14.7039343,-0.925987168,-16.39124009
050,3,5,45,007,South Carolina,Anderson County,203721,204181,206965,210142,214149,217390,219930,460,2784,3177,4007,3241,2540,501,2202,2383,2421,2346,2342,641,3059,2986,2662,2652,2676,-140,-857,-603,-241,-306,-334,5,84,320,458,670,197,597,3635,3354,3722,2848,2687,602,3719,3674,4180,3518,2884,-2,-78,106,68,29,-10,3190,3192,3207,3402,3615,3954,3956,10.7115234,11.42632466,11.41197904,10.87271371,10.7106924,14.8803588,14.31766909,12.54799183,12.29089376,12.23817799,-4.168835402,-2.891344427,-1.136012784,-1.418180049,-1.527485594,0.408613972,1.534378469,2.158895664,3.105165466,0.900942102,17.68228318,16.08220433,17.54456258,13.19927052,12.28848441,18.09089715,17.6165828,19.70345824,16.30443598,13.18942651
050,3,5,45,009,South Carolina,Bamberg County,13311,13259,13124,12947,12964,12836,12796,-52,-135,-177,17,-128,-40,29,136,130,125,128,131,46,269,237,224,223,228,-17,-133,-107,-99,-95,-97,0,6,28,31,38,26,-33,-21,-99,86,-66,30,-33,-15,-71,117,-28,56,-2,13,1,-1,-5,1,850,848,834,846,840,839,847,10.30966911,9.9727666760000009,9.648411871,9.92248062,10.221598,20.39191904,18.18112079,17.28995407,17.28682171,17.79026217,-10.08224993,-8.20835411,-7.641542202,-7.364341085,-7.56866417,0.454838343,2.147980515,2.392806144,2.945736434,2.028714107,-1.5919342,-7.594645391,6.638107368,-5.11627907,2.34082397,-1.137095857,-5.446664877,9.030913512,-2.170542636,4.369538077
050,3,5,45,011,South Carolina,Barnwell County,20583,20580,20592,20445,20430,20512,20653,-3,12,-147,-15,82,141,75,278,239,230,263,283,71,351,318,284,277,283,4,-73,-79,-54,-14,0,0,1,32,38,49,30,-9,65,-91,3,50,112,-9,66,-59,41,99,142,2,19,-9,-2,-3,-1,472,472,473,474,480,481,481,13.50432333,11.64802495,11.25382263,12.84744272,13.74954452,17.05042262,15.49820893,13.89602447,13.53133701,13.74954452,-3.546099291,-3.85018398,-2.642201835,-0.683894289,0,0.048576703,1.559568195,1.859327217,2.393630013,1.457548889,3.15748567,-4.435022053,0.146788991,2.442479605,5.441515851,3.206062373,-2.875453859,2.006116208,4.836109619,6.89906474
050,3,5,45,013,South Carolina,Beaufort County,187093,187814,191945,196266,199700,203006,204433,721,4131,4321,3434,3306,1427,474,1803,1861,1877,1917,2001,466,2032,2189,2100,2063,2077,8,-229,-328,-223,-146,-76,24,162,830,1281,1512,371,780,4450,3595,2312,1914,1140,804,4612,4425,3593,3426,1511,-91,-252,224,64,26,-8,8284,8289,8111,7954,7946,7833,7830,9.495495828,9.587569646,9.480611972,9.520593187,9.822329232,10.70152386,11.27737236,10.60697131,10.24568792,10.19539121,-1.206028034,-1.68980271,-1.126359334,-0.725094734,-0.37306198,0.85317267,4.276025151,6.470252496,7.50920026,1.821131507,23.43591594,18.52085593,11.67777031,9.50569398,5.595929698,24.28908861,22.79688108,18.14802281,17.01489424,7.417061204
050,3,5,45,015,South Carolina,Berkeley County,229779,231478,236898,245656,256711,265992,274666,1699,5420,8758,11055,9281,8674,672,2767,2920,3124,3114,3138,424,2088,2138,2039,2028,2037,248,679,782,1085,1086,1101,32,245,1131,1182,2282,788,1508,4617,6514,8562,5821,6830,1540,4862,7645,9744,8103,7618,-89,-121,331,226,92,-45,4333,4206,4268,4326,4360,4346,4349,11.8152937,12.10227249,12.43712266,11.91498805,11.60807757,8.91591371,8.861184448,8.117571417,7.759664666,7.535262587,2.899379985,3.241088044,4.319551244,4.155323386,4.072814977,1.046168036,4.687558284,4.705723107,8.731535882,2.914966578,19.71492989,26.99801473,34.08663388,22.2726864,25.26550981,20.76109792,31.68557301,38.79235698,31.00422228,28.180476380000002
050,3,5,45,017,South Carolina,Calhoun County,14120,14111,14141,14197,14189,14186,14188,-9,30,56,-8,-3,2,20,120,120,129,118,122,60,240,233,231,236,240,-40,-120,-113,-102,-118,-118,0,0,0,3,6,-1,30,148,165,94,108,122,30,148,165,97,114,121,1,2,4,-3,1,-1,163,163,163,163,163,162,163,8.494973807,8.469193309,9.088987529,8.317180617,8.599422006,16.98994761,16.44435034,16.27562883,16.63436123,16.91689575,-8.494973807,-7.975157033,-7.186641302,-8.317180617,-8.317473744,0,0,0.211371803,0.422907489,-0.070487066,10.47713436,11.6451408,6.622983161,7.612334802,8.599422006,10.47713436,11.6451408,6.834354964,8.035242291,8.52893494
050,3,5,45,019,South Carolina,Charleston County,408522,409934,414662,420325,426447,433257,436200,1412,4728,5663,6122,6810,2943,1185,4870,5123,4930,4840,4868,914,3982,3820,3754,3628,3653,271,888,1303,1176,1212,1215,37,471,1816,2712,4395,1567,1160,3298,2461,2225,1233,175,1197,3769,4277,4937,5628,1742,-56,71,83,9,-30,-14,9109,9104,9123,9291,9205,9286,9288,11.81184483,12.27084973,11.64422064,11.25968938,11.19779357,9.6580628569999991,9.149843051,8.866613445,8.440114272,8.402945747,2.153781973,3.121006674,2.777607195,2.81957511,2.794847819,1.142377601,4.34976832,6.405502308,10.22444935,3.604548586,7.999068635,5.894702552,5.255251709,2.868429134,0.402550097,9.141446236,10.24447087,11.66075402,13.09287848,4.007098683
050,3,5,45,021,South Carolina,Cherokee County,56225,56225,56138,56235,56966,57874,58275,0,-87,97,731,908,401,144,683,624,627,634,654,178,875,865,750,753,766,-34,-192,-241,-123,-119,-112,2,35,92,123,218,61,14,10,283,721,800,447,16,45,375,844,1018,508,18,60,-37,10,9,5,1201,1201,1174,1148,1169,1124,1124,12.15702678,11.10587063,11.07764066,11.04144897,11.261397,15.57452186,15.3951572,13.25076634,13.1138976,13.18995428,-3.417495083,-4.289286572,-2.173125679,-2.072448624,-1.928557284,0.622980875,1.637404003,2.173125679,3.796586555,1.050374949,0.177994536,5.036797095,12.73840337,13.93242773,7.697009875,0.80097541,6.674201098,14.91152905,17.72901428,8.747384825
050,3,5,45,023,South Carolina,Chester County,32298,32287,32169,31986,32227,32547,33001,-11,-118,-183,241,320,454,77,351,321,343,357,391,140,547,572,510,444,449,-63,-196,-251,-167,-87,-58,0,5,26,18,33,2,48,47,57,383,372,515,48,52,83,401,405,517,4,26,-15,7,2,-5,206,206,206,206,206,208,206,10.89115055,10.00701426,10.68319499,11.0229413,11.93018856,16.97281867,17.83181358,15.88463395,13.70920431,13.69988405,-6.081668115,-7.824799314,-5.201438961,-2.686263007,-1.76969549,0.155144595,0.810536981,0.56063414,1.018927347,0.061023982,1.458359191,1.776946458,11.92904864,11.4860901,15.71367547,1.613503786,2.587483439,12.48968278,12.50501745,15.77469946
050,3,5,45,025,South Carolina,Chesterfield County,43268,43256,43315,43645,44126,44440,44740,-12,59,330,481,314,300,110,497,521,516,510,549,158,728,721,557,596,604,-48,-231,-200,-41,-86,-55,0,24,90,177,200,90,22,237,444,347,207,265,22,261,534,524,407,355,14,29,-4,-2,-7,0,751,751,745,728,742,743,743,11.48190503,11.9825207,11.75786991,11.5168349,12.31217762,16.81856511,16.58233671,12.69211927,13.45888942,13.54563804,-5.336660082,-4.599816007,-0.934249353,-1.942054513,-1.233460417,0.55445819,2.069917203,4.033222819,4.516405844,2.018389774,5.47527463,10.21159154,7.90693965,4.674480049,5.943036555,6.029732821,12.28150874,11.94016247,9.190885893,7.961426329
