SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,NPOPCHG2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
050,2,4,46,003,South Dakota,Aurora County,2744,2730,2730,2758,2780,2791,2801,-14,0,28,22,11,10,6,45,36,43,41,39,10,51,34,45,33,34,-4,-6,2,-2,8,5,0,2,5,4,36,10,-9,2,21,17,-31,-6,-9,4,26,21,5,4,-1,2,0,3,-2,1,99,99,98,99,99,99,99,16.48351648,13.11953353,15.52907187,14.71908096,13.94849785,18.68131868,12.39067055,16.25135428,11.84706516,12.1602289,-2.197802198,0.728862974,-0.722282412,2.872015796,1.788268956,0.732600733,1.822157434,1.444564825,12.92407108,3.576537911,0.732600733,7.653061225,6.139400506,-11.12906121,-2.145922747,1.465201465,9.475218659,7.58396533,1.795009873,1.430615165
050,2,4,46,005,South Dakota,Beadle County,19149,19162,19177,19276,19294,19522,19624,13,15,99,18,228,102,77,267,263,275,307,309,49,212,203,179,226,230,28,55,60,96,81,79,6,152,304,176,391,290,-22,-192,-265,-255,-243,-265,-16,-40,39,-79,148,25,1,0,0,1,-1,-2,528,528,528,528,529,531,528,13.92837581,13.67903675,14.2597874,15.81821929,15.78705359,11.05923472,10.55834395,9.281825253,11.64468261,11.75088132,2.869141084,3.120692794,4.977962147,4.173536686,4.036172278,7.929262631,15.81151016,9.126263936,20.14633141,14.81632862,-10.01591069,-13.78305984,-13.22271195,-12.52061006,-13.53905891,-2.086648061,2.028450316,-4.096448017,7.625721352,1.277269708
050,2,4,46,007,South Dakota,Bennett County,3383,3397,3398,3337,3314,3306,3307,14,1,-61,-23,-8,1,14,37,51,51,62,62,7,44,48,36,34,35,7,-7,3,15,28,27,0,5,5,3,5,5,4,4,-72,-43,-41,-31,4,9,-67,-40,-36,-26,3,-1,3,2,0,0,49,49,49,49,49,49,49,10.89036056,15.14476615,15.33603969,18.73111783,18.75094511,12.95069904,14.25389755,10.82543978,10.27190332,10.58521095,-2.060338484,0.890868597,4.51059991,8.459214502,8.16573416,1.471670346,1.484780995,0.902119982,1.510574018,1.512172993,1.177336277,-21.38084633,-12.93038641,-12.38670695,-9.375472554,2.649006623,-19.89606533,-12.02826643,-10.87613293,-7.863299561
050,2,4,46,009,South Dakota,Bon Homme County,7002,6981,7014,7089,7105,7151,7244,-21,33,75,16,46,93,13,69,81,78,81,81,21,116,88,84,58,60,-8,-47,-7,-6,23,21,0,1,4,1,0,0,-14,76,78,21,25,71,-14,77,82,22,25,71,1,3,0,0,-2,1,1377,1377,1370,1371,1375,1374,1376,9.860664523,11.48691768,10.99055939,11.36363636,11.25390761,16.57734905,12.47961427,11.83598704,8.136924804,8.336227857,-6.71668453,-0.992696589,-0.845427645,3.22671156,2.91767975,0.142908182,0.567255194,0.140904608,0,0,10.86102179,11.06147628,2.958996759,3.507295174,9.864536297,11.00392998,11.62873148,3.099901367,3.507295174,9.864536297
050,2,4,46,011,South Dakota,Brookings County,34364,34338,34676,35385,35827,36814,37635,-26,338,709,442,987,821,89,361,383,351,397,401,57,248,225,210,204,207,32,113,158,141,193,194,5,117,245,184,745,592,-63,85,313,121,46,30,-58,202,558,305,791,622,0,23,-7,-4,3,5,3195,3190,3169,3201,3205,3201,3202,10.46164546,10.93332953,9.85788912,10.93046627,10.77247512,7.186947576,6.422974265,5.897882379,5.616662766,5.560853739,3.274697887,4.510355262,3.96000674,5.313803499,5.211621378,3.390616397,6.993905311,5.167668371,20.51183216,15.90350441,2.463268322,8.935070867,3.398303657,1.266502389,0.805920832,5.853884719,15.92897618,8.565972027,21.77833455,16.70942524
050,2,4,46,013,South Dakota,Brown County,38302,38230,38133,37945,37679,37621,37561,-72,-97,-188,-266,-58,-60,100,412,388,375,407,411,95,425,373,402,400,396,5,-13,15,-27,7,15,4,59,78,45,92,37,-76,-168,-275,-282,-157,-116,-72,-109,-197,-237,-65,-79,-5,25,-6,-2,0,4,1153,1154,1148,1154,1155,1155,1154,10.79056611,10.20005784,9.917486512,10.81009296,10.93346812,11.13104514,9.805725703,10.63154554,10.62416999,10.53443643,-0.340479028,0.394332133,-0.714059029,0.185922975,0.399031683,1.545250972,2.050527091,1.190098382,2.443559097,0.984278152,-4.400036667,-7.229422435,-7.457949857,-4.16998672,-3.085845016,-2.854785695,-5.178895344,-6.267851476,-1.726427623,-2.101566864
050,2,4,46,015,South Dakota,Brule County,5253,5254,5255,5326,5323,5297,5278,1,1,71,-3,-26,-19,10,66,71,65,79,79,15,49,44,55,55,57,-5,17,27,10,24,22,0,6,7,1,10,2,4,-26,39,-14,-60,-42,4,-20,46,-13,-50,-40,2,4,-2,0,0,-1,421,421,421,421,421,424,421,12.56066229,13.42028164,12.20771904,14.87758945,14.94089835,9.325340185,8.316794254,10.32960841,10.35781544,10.78014184,3.235322105,5.103487383,1.878110621,4.519774011,4.160756501,1.14187839,1.323126359,0.187811062,1.883239171,0.378250591,-4.94813969,7.371703998,-2.629354869,-11.29943503,-7.943262411,-3.8062613,8.694830356,-2.441543807,-9.416195857,-7.56501182
050,2,4,46,017,South Dakota,Buffalo County,1943,1933,1882,1830,1870,1809,1802,-10,-51,-52,40,-61,-7,7,30,39,36,30,32,11,62,43,29,27,26,-4,-32,-4,7,3,6,0,0,0,0,0,0,-5,-18,-48,32,-65,-12,-5,-18,-48,32,-65,-12,-1,-1,0,1,1,-1,0,0,0,0,0,0,0,15.72739187,21.01293103,19.45945946,16.30877956,17.72362227,32.50327654,23.16810345,15.67567568,14.6779016,14.40044309,-16.77588467,-2.155172414,3.783783784,1.630877956,3.323179175,0,0,0,0,0,-9.436435125,-25.86206897,17.2972973,-35.33568905,-6.646358349,-9.436435125,-25.86206897,17.2972973,-35.33568905,-6.646358349
050,2,4,46,019,South Dakota,Butte County,10243,10292,10544,10789,10850,10885,10856,49,252,245,61,35,-29,44,127,136,120,132,130,24,115,133,107,99,105,20,12,3,13,33,25,0,-1,-2,-2,2,1,27,251,233,52,1,-55,27,250,231,50,3,-54,2,-10,11,-2,-1,0,102,102,102,102,102,102,102,12.19043962,12.75019922,11.09108554,12.1463078,11.95897153,11.03858706,12.46894483,9.889551273,9.109730849,9.659169311,1.151852563,0.281254395,1.201534267,3.03657695,2.299802217,-0.095987714,-0.18750293,-0.184851426,0.184034967,0.091992089,24.09291611,21.84409131,4.806137067,0.092017483,-5.059564877,23.99692839,21.65658838,4.621285642,0.27605245,-4.967572789
050,2,4,46,021,South Dakota,Campbell County,1376,1378,1379,1366,1346,1343,1377,2,1,-13,-20,-3,34,5,13,24,12,17,18,2,22,25,20,19,20,3,-9,-1,-8,-2,-2,0,0,4,1,15,12,-1,9,-17,-13,-16,24,-1,9,-13,-12,-1,36,0,1,1,0,0,0,0,0,0,0,0,0,0,9.430540443,17.4863388,8.849557522,12.64410562,13.23529412,15.95937613,18.21493625,14.74926254,14.131647450000001,14.70588235,-6.528835691,-0.72859745,-5.899705015,-1.487541837,-1.470588235,0,2.9143898,0.737463127,11.15656378,8.823529412,6.528835691,-12.38615665,-9.587020649,-11.9003347,17.64705882,6.528835691,-9.471766849,-8.849557522,-0.743770919,26.47058824
