SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,NPOPCHG2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
050,3,6,47,001,Tennessee,Anderson County,77170,77347,77678,79042,80369,81574,82066,177,331,1364,1327,1205,492,206,754,872,825,889,897,251,1180,1321,1138,1115,1126,-45,-426,-449,-313,-226,-229,0,25,97,102,174,7,224,709,1632,1515,1256,713,224,734,1729,1617,1430,720,-2,23,84,23,1,1,1115,1115,1114,1095,1099,1166,1173,9.727463312,11.1281266,10.35060316,10.97917168,10.96308971,15.22335107,16.85809086,14.27755927,13.7702772,13.7619164,-5.49588776,-5.729964267,-3.926956107,-2.791105512,-2.798826693,0.322528624,1.237876468,1.279710936,2.148904244,0.085553654,9.146911788,20.82695253,19.00747125,15.51163064,8.714250794,9.469440413,22.06482899,20.28718219,17.66053488,8.799804449
050,3,6,47,003,Tennessee,Bedford County,50237,50381,51168,52045,53249,54458,55273,144,787,877,1204,1209,815,173,733,683,725,745,751,123,680,649,557,568,570,50,53,34,168,177,181,0,21,168,192,461,130,87,717,659,831,574,502,87,738,827,1023,1035,632,7,-4,16,13,-3,2,1028,1027,1015,1022,1099,1025,1085,14.43638047,13.23476694,13.77096511,13.83382696,13.68801888,13.39254941,12.5759352,10.57990009,10.5471325,10.38904229,1.043831057,0.658831736,3.191065018,3.286694458,3.298976588,0.413593438,3.255403874,3.646931449,8.560260707,2.369430699,14.12126166,12.76970924,15.78437518,10.65854587,9.149647775,14.5348551,16.02511312,19.43130663,19.21880658,11.51907847
050,3,6,47,005,Tennessee,Benton County,15858,15847,15825,15982,16160,16105,16183,-11,-22,157,178,-55,78,34,145,163,165,153,155,60,326,338,252,284,287,-26,-181,-175,-87,-131,-132,0,0,-1,-2,1,-2,15,154,325,259,76,214,15,154,324,257,77,212,0,5,8,8,-1,-2,185,185,117,112,120,124,129,9.156352614,10.24931619,10.26694045,9.483960948,9.601090188,20.58600657,21.25318326,15.68041814,17.60421509,17.77750248,-11.42965395,-11.00386707,-5.413477693,-8.120254145,-8.176412289,0,-0.06287924,-0.124447763,0.061986673,-0.123885035,9.724677949,20.43575314,16.11598532,4.710987138,13.25569871,9.724677949,20.3728739,15.99153755,4.772973811,13.13181368
050,3,6,47,007,Tennessee,Bledsoe County,14907,14945,14837,14755,14996,15573,15920,38,-108,-82,241,577,347,35,121,124,125,135,135,37,178,187,161,192,192,-2,-57,-63,-36,-57,-57,0,11,11,11,11,1,40,-55,-35,261,612,403,40,-44,-24,272,623,404,0,-7,5,5,11,0,2618,2618,2190,1906,1883,2275,2473,8.125713518,8.380643417,8.403078888,8.832477346,8.573333757,11.95352898,12.63855096,10.82316561,12.56174556,12.19318579,-3.827815459,-4.257907543,-2.42008672,-3.729268213,-3.619852031,0.738701229,0.743444174,0.739470942,0.719683339,0.063506176,-3.693506145,-2.36550419,17.54562872,40.04056397,25.59298892,-2.954804916,-1.622060016,18.28509966,40.76024731,25.65649509
050,3,6,47,009,Tennessee,Blount County,135290,135666,137641,139838,141407,142272,143820,376,1975,2197,1569,865,1548,320,1238,1327,1346,1297,1310,407,1828,2023,1891,1837,1861,-87,-590,-696,-545,-540,-551,0,35,102,160,278,79,478,2587,2698,1940,1128,2039,478,2622,2800,2100,1406,2118,-15,-57,93,14,-1,-19,2165,2166,2038,2074,1934,1915,1989,9.059409382,9.564687778,9.57172572,9.144138269,9.157893265,13.37689851,14.58128363,13.44735018,12.95125829,13.00980104,-4.317489124,-5.01659585,-3.875624456,-3.807120019,-3.851907778,0.256122236,0.735190771,1.137798005,1.959961788,0.552269899,18.93109214,19.44651667,13.79580081,7.952650707,14.25415601,19.18721438,20.18170745,14.93359882,9.912612495,14.80642591
050,3,6,47,011,Tennessee,Bradley County,108620,108832,109783,110790,112196,114114,115465,212,951,1007,1406,1918,1351,270,1131,1266,1178,1234,1256,308,1511,1592,1312,1354,1368,-38,-380,-326,-134,-120,-112,0,49,282,493,842,264,237,1252,1057,1041,1185,1200,237,1301,1339,1534,2027,1464,13,30,-6,6,11,-1,2564,2564,2127,2218,2048,1981,1972,10.34695698,11.47919283,10.56568574,10.90539525,10.94176732,13.82338815,14.43513032,11.76755491,11.9658875,11.91746632,-3.476431169,-2.95593749,-1.201869176,-1.060492245,-0.975698997,0.448276651,2.556976602,4.421802266,7.441120587,2.299861921,11.45392585,9.584128611,9.336909044,10.47236092,10.45391782,11.9022025,12.14110521,13.75871131,17.91348151,12.75377975
050,3,6,47,013,Tennessee,Campbell County,39280,39310,39483,39576,40228,40325,40290,30,173,93,652,97,-35,108,459,405,410,421,432,142,724,768,704,665,676,-34,-265,-363,-294,-244,-244,0,5,15,19,42,5,59,424,422,910,298,203,59,429,437,929,340,208,5,9,19,17,1,1,477,477,352,409,463,412,399,11.65078116,10.24551285,10.27517418,10.4527454,10.71760839,18.37726702,19.42852806,17.6432259,16.51086862,16.77107238,-6.726485855,-9.183015216,-7.368051727,-6.058123223,-6.053463996,0.126914828,0.379463439,0.476166608,1.042791702,0.124046393,10.76237737,10.67557141,22.80587439,7.398855412,5.03628357,10.8892922,11.05503485,23.282041,8.441647114,5.160329963
050,3,6,47,015,Tennessee,Cannon County,14508,14564,14550,14781,15038,15157,15296,56,-14,231,257,119,139,37,177,173,170,190,189,49,215,216,195,206,208,-12,-38,-43,-25,-16,-19,0,2,1,4,10,-2,74,10,260,273,124,160,74,12,261,277,134,158,-6,12,13,5,1,0,108,108,74,81,102,116,104,12.15909872,11.7963929,11.40212616,12.58486504,12.41257019,14.76952669,14.72844431,13.07890942,13.64464315,13.66039471,-2.610427973,-2.932051413,-1.676783259,-1.059778109,-1.247824516,0.137390946,0.068187242,0.268285321,0.662361318,-0.131349949,0.68695473,17.72868296,18.31047319,8.213280344,10.50799593,0.824345676,17.79687021,18.57875851,8.875641663,10.37664598
050,3,6,47,017,Tennessee,Carroll County,28432,28427,28298,28428,29007,29203,29200,-5,-129,130,579,196,-3,71,303,298,347,346,356,130,521,508,406,418,423,-59,-218,-210,-59,-72,-67,0,1,3,22,38,14,49,62,325,606,231,47,49,63,328,628,269,61,5,26,12,10,-1,3,1327,1329,1223,1263,1346,1317,1249,10.68312032,10.50664598,12.08322452,11.88799175,12.19115456,18.36932569,17.91065825,14.1377209,14.36179351,14.48555725,-7.686205377,-7.40401227,-2.054496387,-2.473801752,-2.294402685,0.035257823,0.105771604,0.766083399,1.305617592,0.479427427,2.185985015,11.45859042,21.10211544,7.936780622,1.609506361,2.221242838,11.56436202,21.86819883,9.242398213,2.088933788
050,3,6,47,019,Tennessee,Carter County,56365,56391,56128,56528,57047,57368,57361,26,-263,400,519,321,-7,120,455,453,474,469,482,205,930,1012,915,869,881,-85,-475,-559,-441,-400,-399,0,6,48,68,102,40,106,155,872,874,614,352,106,161,920,942,716,392,5,51,39,18,5,0,1461,1461,1301,1421,1376,1524,1461,8.087522996,8.042181508,8.34690733,8.198225757,8.402409156,16.53054151,17.96619798,16.11270086,15.19031596,15.35793043,-8.443018512,-9.924016475,-7.765793529,-6.992090198,-6.955521272,0.106648655,0.852151683,1.197446621,1.782983001,0.697295366,2.755090251,15.48075557,15.39071098,10.73285845,6.136199217,2.861738906,16.33290726,16.58815761,12.51584145,6.833494583
