SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,NPOPCHG2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
050,3,7,48,001,Texas,Anderson County,57922,57941,58348,57318,59061,59573,59805,19,407,-1030,1743,512,232,135,571,541,527,587,594,163,807,836,699,731,736,-28,-236,-295,-172,-144,-142,1,33,113,153,136,75,24,608,-906,1713,517,296,25,641,-793,1866,653,371,22,2,58,49,3,3,13908,13910,13740,12913,14102,14408,14423,9.820361341,9.354520775,9.056616744,9.895982602,9.951582369,13.87921472,14.45541473,12.01247648,12.32361718,12.33058017,-4.058853374,-5.100893953,-2.955859734,-2.427634574,-2.378997805,0.567551531,1.953901752,2.629340345,2.292765986,1.256512925,10.456707,-15.66579634,29.43830072,8.715882462,4.959037679,11.024258529999999,-13.71189459,32.06764107,11.00864845,6.215550604
050,3,7,48,003,Texas,Andrews County,18611,18616,18422,18343,18632,18798,18914,5,-194,-79,289,166,116,66,266,311,280,258,263,28,157,172,138,142,144,38,109,139,142,116,119,0,34,72,26,88,12,-36,-321,-298,124,-39,-17,-36,-287,-226,150,49,-5,3,-16,8,-3,1,2,68,68,63,61,60,69,69,14.36362655,16.91826465,15.14536849,13.78573337,13.94781502,8.477779578,9.356725146,7.464503043,7.58749666,7.636826474,5.885846968,7.561539508,7.68086545,6.198236709,6.310988545,1.835952265,3.916768666,1.406355646,4.702110607,0.636402206,-17.33354933,-16.21107031,6.707234618,-2.083889928,-0.901569792,-15.49759706,-12.29430165,8.113590264,2.618220679,-0.265167586
050,3,7,48,005,Texas,Angelina County,86511,86496,86862,87209,87626,87958,88154,-15,366,347,417,332,196,264,1140,1070,1087,1070,1073,296,1201,1193,1034,1037,1042,-32,-61,-123,53,33,31,0,-2,22,160,226,70,-3,365,482,210,77,89,-3,363,504,370,303,159,20,64,-34,-6,-4,6,2635,2635,2778,2746,2867,2908,2909,13.15197453,12.29383413,12.43458118,12.18789867,12.18542746,13.85572053,13.70705057,11.82829525,11.81201021,11.83337876,-0.703746005,-1.413216446,0.606285927,0.375888464,0.352048696,-0.02307364,0.252770421,1.830297137,2.574266448,0.794948669,4.210939213,5.537970139,2.402264993,0.877073082,1.010720451,4.187865573,5.79074056,4.23256213,3.45133953,1.80566912
050,3,7,48,007,Texas,Aransas County,23828,23930,24508,24963,25360,25686,26146,102,578,455,397,326,460,39,191,208,215,214,221,99,461,415,410,394,401,-60,-270,-207,-195,-180,-180,0,-2,-1,6,46,28,183,897,628,569,447,614,183,895,627,575,493,642,-21,-47,35,17,13,-2,431,431,436,449,454,452,452,7.886370205,8.40896687,8.544800588,8.384594288,8.527550548,19.03464222,16.77750601,16.29473601,15.43705677,15.47306683,-11.14827202,-8.368539144,-7.749935417,-7.052462485,-6.945516283,-0.082579793,-0.040427725,0.238459551,1.802295968,1.080413644,37.03703704,25.38861151,22.61391412,17.51361517,23.69192777,36.954457240000004,25.34818378,22.85237367,19.31591114,24.77234141
050,3,7,48,009,Texas,Archer County,8552,8553,8707,8866,9046,9140,9129,1,154,159,180,94,-11,15,76,95,82,94,95,23,87,117,95,84,85,-8,-11,-22,-13,10,10,0,4,11,2,17,2,8,161,169,190,69,-23,8,165,180,192,86,-21,1,0,1,1,-2,0,57,57,57,57,57,57,57,8.806488992,10.8120412,9.155873158,10.33762235,10.40013137,10.0811124,13.31588232,10.60741402,9.237875289,9.3053807,-1.274623407,-2.50384112,-1.451540866,1.099747058,1.094750671,0.463499421,1.25192056,0.22331398,1.869569999,0.218950134,18.65585168,19.23405224,21.21482805,7.588254701,-2.517926542,19.1193511,20.4859728,21.43814203,9.4578247,-2.298976408
050,3,7,48,011,Texas,Armstrong County,1847,1851,1839,1855,1829,1814,1843,4,-12,16,-26,-15,29,3,22,20,20,23,23,7,39,29,31,27,27,-4,-17,-9,-11,-4,-4,0,0,0,2,3,2,10,5,24,-18,-15,33,10,5,24,-16,-12,35,-2,0,1,1,1,-2,39,39,39,38,40,40,40,11.92411924,10.82837033,10.8577633,12.62695581,12.57861635,21.13821138,15.70113698,16.82953312,14.82294812,14.76620181,-9.214092141,-4.872766649,-5.971769815,-2.195992314,-2.187585453,0,0,1.08577633,1.646994236,1.093792726,2.7100271,12.9940444,-9.771986971,-8.234971178,18.04757998,2.7100271,12.9940444,-8.686210641,-6.587976942,19.14137271
050,3,7,48,013,Texas,Atascosa County,49137,49286,49979,50916,52116,52937,53590,149,693,937,1200,821,653,168,608,605,693,674,680,121,635,590,502,492,497,47,-27,15,191,182,183,0,1,-9,52,57,-50,93,715,906,950,586,522,93,716,897,1002,643,472,9,4,25,7,-4,-2,499,499,438,457,440,438,439,12.25003778,11.99266564,13.45213138,12.83161833,12.76671642,12.79403617,11.69532683,9.744545384,9.366700618,9.330967736,-0.543998388,0.297338818,3.707585993,3.464917708,3.435748683,0.020148089,-0.178403291,1.009395139,1.085166535,-0.938729148,14.40588324,17.95926458,18.44087274,11.1562735,9.80033231,14.42603133,17.78086129,19.45026788,12.24144004,8.861603162
050,3,7,48,015,Texas,Austin County,30168,30133,30435,31110,31772,32878,33625,-35,302,675,662,1106,747,89,342,368,371,397,400,96,349,377,353,322,329,-7,-7,-9,18,75,71,0,8,64,107,233,70,-31,297,607,535,795,612,-31,305,671,642,1028,682,3,4,13,2,3,-6,269,269,247,234,228,236,236,11.29309206,11.95872939,11.79987914,12.28151586,12.0295325,11.52423722,12.25119831,11.22737826,9.96133024,9.894290483,-0.231145159,-0.292468925,0.572500875,2.320185615,2.135242019,0.264165896,2.079779024,3.403199644,7.20804331,2.105168188,9.807158896,19.72540418,17.01599822,24.59396752,18.40518473,10.07132479,21.8051832,20.41919786,31.80201083,20.51035292
050,3,7,48,017,Texas,Bailey County,6905,6869,6805,6835,6804,6891,6963,-36,-64,30,-31,87,72,30,115,112,144,124,125,10,88,73,60,65,66,20,27,39,84,59,59,0,15,98,126,143,69,-53,-103,-109,-246,-116,-57,-53,-88,-11,-120,27,12,-3,-3,2,5,1,1,120,120,118,111,120,109,109,16.8202428,16.42228739,21.11591759,18.10879883,18.04532987,12.87114231,10.70381232,8.798298996,9.492515517,9.527934171,3.949100483,5.718475073,12.31761859,8.616283315,8.517395698,2.193944713,14.36950147,18.47642789,20.88353414,9.961022088,-15.06508703,-15.98240469,-36.07302588,-16.94048923,-8.22867042,-12.87114231,-1.612903226,-17.59659799,3.943044907,1.732351667
050,3,7,48,019,Texas,Bandera County,20836,20987,21532,22128,22608,22790,22876,151,545,596,480,182,86,40,155,195,175,158,152,64,342,332,325,320,321,-24,-187,-137,-150,-162,-169,0,6,35,19,39,11,195,766,662,597,303,247,195,772,697,616,342,258,-20,-40,36,14,2,-3,215,215,203,217,218,226,225,7.290858205,8.932661475,7.823676681,6.96065906,6.65703149,16.08692585,15.20842877,14.52968527,14.09753734,14.0585994,-8.79606764,-6.275767293,-6.706008584,-7.136878277,-7.401567906,0.282226769,1.603298214,0.849427754,1.718137363,0.481758858,36.03095087,30.3252405,26.68991416,13.34860567,10.81767617,36.31317764,31.92853871,27.53934192,15.06674303,11.29943503
