SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,NPOPCHG2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
050,4,8,49,001,Utah,Beaver County,7075,7089,7213,7334,7271,7362,7301,14,124,121,-63,91,-61,23,92,113,107,102,103,10,72,85,68,71,72,13,20,28,39,31,31,0,6,10,12,26,19,-1,98,84,-117,34,-111,-1,104,94,-105,60,-92,2,0,-1,3,0,0,383,383,353,376,385,372,379,12.86533352,15.53584932,14.65251626,13.94109205,14.04896679,10.06852189,11.68625834,9.311879493,9.704093487,9.820636977,2.796811635,3.849590981,5.340636768,4.236998565,4.22832981,0.83904349,1.374853922,1.643272852,3.5536117,2.59155698,13.70437701,11.54877294,-16.0219103,4.647030684,-15.14014867,14.5434205,12.92362687,-14.37863745,8.200642384,-12.54859169
050,4,8,49,003,Utah,Box Elder County,57668,57944,59686,61548,62817,63985,65320,276,1742,1862,1269,1168,1335,222,776,867,795,830,849,129,487,530,447,460,468,93,289,337,348,370,381,0,4,58,171,167,69,175,1489,1422,748,632,893,175,1493,1480,919,799,962,8,-40,45,2,-1,-8,340,340,289,311,317,318,321,13.19391312,14.30291832,12.78494753,13.09127616,13.13174278,8.280200629,8.743421812,7.18851767,7.255406066,7.2386992,4.913712488,5.559496511,5.596429864,5.835870097,5.893043579,0.068009861,0.956827293,2.749969847,2.634027855,1.067244113,25.31667092,23.45876569,12.02910787,9.96829703,13.81230424,25.38468078,24.41559299,14.77907772,12.60232488,14.87954836
050,4,8,49,005,Utah,Cache County,133158,133636,137495,140419,143021,144667,145000,478,3859,2924,2602,1646,333,545,2070,2098,2075,2036,2141,129,678,782,748,769,777,416,1392,1316,1327,1267,1364,-1,73,443,841,504,127,18,2412,1177,454,-119,-1164,17,2485,1620,1295,385,-1037,45,-18,-12,-20,-6,6,4153,4146,3951,4191,4563,5022,4040,15.26937163,15.09819585,14.64154671,14.15422263,14.78249162,5.001272448,5.627640205,5.278012983,5.346069353,5.364780938,10.26809919,9.47055564,9.363533729,8.808153277,9.417710682,0.538485087,3.188036587,5.934236523,3.503795779,0.876868956,17.79213738,8.470246191,3.203499859,-0.827285114,-8.036814687,18.33062247,11.65828278,9.137736382,2.676510664,-7.159945731
050,4,8,49,007,Utah,Carbon County,20413,20485,20361,20517,20622,20600,20680,72,-124,156,105,-22,80,62,227,225,218,220,224,55,275,310,263,281,284,7,-48,-85,-45,-61,-60,0,1,3,4,-1,-4,64,-94,237,148,43,142,64,-93,240,152,42,138,1,17,1,-2,-3,2,301,301,299,266,259,273,334,11.11491945,11.00836636,10.59821581,10.67391199,10.85271318,13.46521079,15.16708254,12.7859209,13.63349668,13.75968992,-2.350291338,-4.15871618,-2.187705097,-2.959584688,-2.906976744,0.048964403,0.146778218,0.194462675,-0.048517782,-0.19379845,-4.602653871,11.59547923,7.195118987,2.086264616,6.879844961,-4.553689468,11.74225745,7.389581662,2.037746834,6.686046512
050,4,8,49,009,Utah,Daggett County,936,951,983,1014,985,952,934,15,32,31,-29,-33,-18,1,17,7,5,5,5,1,6,9,7,13,13,0,11,-2,-2,-8,-8,0,0,0,0,0,0,18,22,31,-28,-26,-10,18,22,31,-28,-26,-10,-3,-1,2,1,1,0,0,0,0,0,0,0,0,17.58014478,7.010515774,5.002501251,5.162622612,5.302226935,6.20475698,9.01352028,7.003501751,13.422818790000001,13.78579003,11.3753878,-2.003004507,-2.0010005,-8.26019618,-8.483563097,0,0,0,0,0,22.7507756,31.04656986,-28.014007,-26.845637580000002,-10.60445387,22.7507756,31.04656986,-28.014007,-26.845637580000002,-10.60445387
050,4,8,49,011,Utah,Davis County,362676,363766,367590,370527,374645,378462,381227,1090,3824,2937,4118,3817,2765,1293,4790,4854,4620,4760,4919,514,2229,2343,2135,2206,2250,779,2561,2511,2485,2554,2669,7,103,794,1554,1375,341,160,801,-126,149,-93,-296,167,904,668,1703,1282,45,144,359,-242,-70,-19,51,2320,2319,1999,2155,2173,2287,2169,13.09895591,13.15238641,12.39982179,12.64096603,12.95003613,6.095526666,6.348587013,5.730220674,5.85839728,5.923476581,7.003429247,6.803799398,6.669601112,6.782568745,7.026559553,0.281668572,2.151420439,4.170849146,3.651539556,0.897735784,2.190451709,-0.341409289,0.399907672,-0.246976857,-0.779266252,2.472120281,1.81001115,4.570756819,3.404562698,0.118469532
050,4,8,49,013,Utah,Duchesne County,19604,19617,19798,20156,20484,20676,20856,13,181,358,328,192,180,89,246,287,278,267,285,33,167,185,188,221,228,56,79,102,90,46,57,0,0,2,14,32,13,-42,86,249,224,115,109,-42,86,251,238,147,122,-1,16,5,0,-1,1,182,182,182,186,188,179,193,12.4825574,14.3665215,13.68110236,12.97376093,13.72435712,8.473931245,9.260649747,9.251968504,10.73858115,10.9794857,4.008626158,5.105871753,4.429133858,2.235179786,2.744871424,0,0.100115132,0.688976378,1.554907677,0.626023307,4.36382088,12.46433398,11.02362205,5.587949466,5.248964654,4.36382088,12.56444912,11.71259843,7.142857143,5.874987961
050,4,8,49,015,Utah,Emery County,9824,9844,9962,10093,10134,10142,10177,20,118,131,41,8,35,25,107,126,129,114,119,24,116,135,124,118,120,1,-9,-9,5,-4,-1,0,4,11,0,0,-2,18,120,128,40,11,37,18,124,139,40,11,35,1,3,1,-4,1,1,60,60,60,60,60,60,60,10.80480662,12.56544503,12.75522816,11.24482146,11.71317486,11.71362214,13.46297681,12.26083947,11.6393766,11.8116049,-0.90881551,-0.897531788,0.494388688,-0.394555139,-0.098430041,0.403918005,1.096983296,0,0,-0.196860082,12.11754014,12.76489654,3.955109507,1.085026633,3.641911511,12.52145814,13.86187983,3.955109507,1.085026633,3.44505143
050,4,8,49,017,Utah,Garfield County,5087,5105,5125,5268,5329,5321,5256,18,20,143,61,-8,-65,21,58,56,54,58,60,11,77,48,55,65,66,10,-19,8,-1,-7,-6,0,0,0,3,19,11,6,40,132,59,-20,-69,6,40,132,62,-1,-58,2,-1,3,0,0,-1,270,270,270,267,267,268,267,11.33919844,10.77648417,10.19156365,10.89201878,11.34537203,15.05376344,9.236986433,10.38029631,12.20657277,12.47990924,-3.714565005,1.539497739,-0.18873266,-1.314553991,-1.134537203,0,0,0.566197981,3.568075117,2.079984873,7.820136852,25.40171269,11.13522695,-3.755868545,-13.04717784,7.820136852,25.40171269,11.70142493,-0.187793427,-10.96719297
050,4,8,49,019,Utah,Grand County,9671,9683,9686,9807,9779,9700,9790,12,3,121,-28,-79,90,24,102,99,95,92,100,18,76,84,85,77,77,6,26,15,10,15,23,0,5,30,69,54,21,6,-33,70,-110,-149,44,6,-28,100,-41,-95,65,0,5,6,3,1,2,159,159,159,160,160,163,164,10.53229387,10.15749243,9.700806699,9.446070127,10.26167265,7.847591512,8.618478428,8.679669151,7.905949997,7.901487943,2.684702359,1.539014005,1.021137547,1.540120129,2.36018471,0.516288915,3.07802801,7.045849076,5.544432466,2.154951257,-3.407506841,7.182065357,-11.23251302,-15.29852662,4.515135967,-2.891217926,10.26009337,-4.186663944,-9.754094153,6.670087224
