SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,NPOPCHG2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
050,3,5,51,001,Virginia,Accomack County,33423,33400,33435,33221,33510,33747,33859,-23,35,-214,289,237,112,90,342,333,335,373,373,128,497,598,447,479,486,-38,-155,-265,-112,-106,-113,5,49,155,288,376,207,2,121,-78,116,-28,19,7,170,77,404,348,226,8,20,-26,-3,-5,-1,385,385,385,385,385,385,385,10.23415875,9.991598656,10.0403111,11.09178227,11.03452356,14.87244707,17.94287086,13.39707183,14.24387053,14.37742212,-4.638288322,-7.951272204,-3.356760726,-3.152088258,-3.342898559,1.466297599,4.650744119,8.631670438,11.18099231,6.12371683,3.620857335,-2.34037446,3.476645038,-0.832627087,0.562080289,5.087154934,2.310369659,12.10831548,10.34836523,6.685797119
050,3,5,51,003,Virginia,Albemarle County,112435,112578,113988,114871,115664,117312,118356,143,1410,883,793,1648,1044,205,1034,1045,1039,1007,968,237,985,1003,1075,1037,1037,-32,49,42,-36,-30,-69,1,213,538,572,988,486,147,1122,384,266,693,623,148,1335,922,838,1681,1109,27,26,-81,-9,-3,4,7542,7567,7642,7544,7540,7536,7533,9.127583133,9.132260475,9.01381569,8.644667262,8.21494645,8.69503809,8.765222255,9.326132691,8.902204519,8.80051598,0.432545042,0.36703822,-0.312317002,-0.257537257,-0.58556953,1.880246816,4.701584819,4.962370139,8.481560332,4.124446255,9.904398718,3.355778012,2.307675624,5.949110638,5.2870988,11.78464553,8.05736283,7.270045763,14.43067097,9.411545055
050,3,5,51,005,Virginia,Alleghany County,15216,15187,15003,14757,14733,14674,14546,-29,-184,-246,-24,-59,-128,43,107,79,96,107,101,60,296,288,229,250,254,-17,-189,-209,-133,-143,-153,0,0,2,14,15,2,-11,-8,-31,98,69,23,-11,-8,-29,112,84,25,-1,13,-8,-3,0,0,289,289,289,289,289,289,289,7.088439881,5.309139785,6.510681587,7.277178903,6.913073238,19.6091421,19.35483871,15.53068837,17.00275445,17.3853525,-12.52070222,-14.04569892,-9.020006782,-9.725575543,-10.47227926,0,0.134408602,0.949474398,1.020165267,0.136892539,-0.529976814,-2.083333333,6.646320787,4.692760227,1.574264203,-0.529976814,-1.948924731,7.595795185,5.712925494,1.711156742
050,3,5,51,007,Virginia,Amelia County,13262,13268,13313,13418,13583,13707,13632,6,45,105,165,124,-75,42,130,140,137,133,132,41,205,203,180,181,183,1,-75,-63,-43,-48,-51,0,1,9,12,37,17,4,112,163,197,135,-41,4,113,172,209,172,-24,1,7,-4,-1,0,0,93,93,93,93,93,93,93,9.781422821,10.47472972,10.14777231,9.747160132,9.656534621,15.42455137,15.18835809,13.33283952,13.26493221,13.38746845,-5.64312855,-4.713628372,-3.18506722,-3.517772078,-3.730933831,0.075241714,0.673375482,0.888855968,2.711615977,1.24364461,8.427071969,12.19557817,14.59205215,9.893733969,-2.999378178,8.502313683,12.86895365,15.48090812,12.60534995,-1.755733567
050,3,5,51,009,Virginia,Amherst County,31313,31312,31403,31525,31557,31653,31962,-1,91,122,32,96,309,61,314,315,342,349,345,92,430,459,433,442,446,-31,-116,-144,-91,-93,-101,0,14,24,33,44,21,25,169,241,96,146,393,25,183,265,129,190,414,5,24,1,-6,-1,-4,734,732,731,735,735,731,734,10.01355338,10.01144165,10.84302971,11.04255656,10.84649847,13.71282787,14.58810069,13.72816334,13.98512894,14.02185019,-3.699274496,-4.576659039,-2.885133636,-2.942572378,-3.175351725,0.446464163,0.762776507,1.046257253,1.392184781,0.660221646,5.389460257,7.659547419,3.043657462,4.619522228,12.35557652,5.83592442,8.422323926,4.089914714,6.011707008,13.01579816
050,3,5,51,011,Virginia,Appomattox County,16116,16155,16406,16695,16846,17003,17172,39,251,289,151,157,169,42,203,186,192,183,180,41,184,203,204,197,199,1,19,-17,-12,-14,-19,0,7,1,4,0,-2,35,226,298,158,170,190,35,233,299,162,170,188,3,-1,7,1,1,0,80,80,80,80,80,81,80,12.46890452,11.23833117,11.44867476,10.81272711,10.53401609,11.30186419,12.26549047,12.16421693,11.63993028,11.64594002,1.167040324,-1.0271593,-0.715542172,-0.827203167,-1.111923921,0.429962225,0.060421135,0.238514057,0,-0.117044623,13.88163754,18.00549832,9.421305268,10.04460989,11.11923921,14.31159977,18.06591946,9.659819326,10.04460989,11.00219459
050,3,5,51,013,Virginia,Arlington County,238647,238825,233485,233476,234369,239687,243931,178,-5340,-9,893,5318,4244,695,2394,2550,2322,2431,2451,360,1104,1066,1033,1036,1036,335,1290,1484,1289,1395,1415,50,957,2191,2590,4315,2745,-315,-7168,-3714,-3013,-386,65,-265,-6211,-1523,-423,3929,2810,108,-419,30,27,-6,19,2985,2984,2971,2848,2901,2820,2820,10.13740975,10.92168297,9.926364501,10.25617227,10.13609915,4.674895725,4.565691782,4.4159924760000004,4.370791636,4.284373204,5.462514027,6.355991186,5.510372025,5.88538063,5.851725949,4.052423197,9.384081326,11.07204309,18.2046003,11.35193479,-30.35294616,-15.90711002,-12.8803343,-1.628499587,0.268807199,-26.30052296,-6.52302869,-1.808291208,16.57610071,11.62074199
050,3,5,51,015,Virginia,Augusta County,77490,77586,77804,77931,78325,78764,78940,96,218,127,394,439,176,111,504,504,526,481,461,208,893,987,890,884,879,-97,-389,-483,-364,-403,-418,0,30,65,134,208,45,187,529,565,625,646,551,187,559,630,759,854,596,6,48,-20,-1,-12,-2,3000,3003,2999,2987,2993,2985,2982,6.486903919,6.47253347,6.73254147,6.123917015,5.846395779,11.49366111,12.67537805,11.39156256,11.25476641,11.14746614,-5.006757192,-6.202844576,-4.659021094,-5.130849391,-5.30107036,0.386125233,0.83475134,1.715134139,2.648180331,0.570689393,6.808674947,7.255915498,7.999692812,8.224636989,6.987774565,7.19480018,8.090666838,9.714826951,10.87281732,7.558463958
050,3,5,51,017,Virginia,Bath County,4205,4185,4093,4074,4062,4058,4076,-20,-92,-19,-12,-4,18,9,39,51,44,46,44,19,77,73,79,79,81,-10,-38,-22,-35,-33,-37,0,2,1,1,1,1,-8,-55,4,22,29,56,-8,-53,5,23,30,57,-2,-1,-2,0,-1,-2,58,58,58,58,58,58,58,9.422565837,12.48928615,10.81612586,11.33004926,10.81878535,18.60352742,17.87682135,19.41986234,19.45812808,19.9164003,-9.180961585,-5.387535203,-8.60373648,-8.128078818,-9.09761495,0.483208505,0.244887964,0.245821042,0.246305419,0.245881485,-13.28823387,0.979551855,5.40806293,7.142857143,13.76936317,-12.80502537,1.224439819,5.653883973,7.389162562,14.01524465
050,3,5,51,019,Virginia,Bedford County,79496,79590,80311,80832,81765,82467,83059,94,721,521,933,702,592,147,633,677,729,710,697,217,1038,1060,915,870,864,-70,-405,-383,-186,-160,-167,0,21,56,71,138,51,154,1098,866,1051,734,715,154,1119,922,1122,872,766,10,7,-18,-3,-10,-7,512,512,512,512,512,512,512,7.917398891,8.402474821,8.96695511,8.646305227,8.421637688,12.98303325,13.15601671,11.2548202,10.59476838,10.43944758,-5.065634361,-4.753541885,-2.28786509,-1.94846315,-2.017809891,0.262662522,0.695034845,0.873324846,1.680549467,0.616217392,13.7334976,10.74821742,12.92766779,8.938574699,8.63912618,13.99616012,11.44325227,13.80099264,10.61912417,9.255343571
