SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,NPOPCHG2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
050,4,9,53,001,Washington,Adams County,20610,20610,20644,20849,20903,21322,21488,0,34,205,54,419,166,85,369,323,356,382,388,29,149,155,155,117,117,56,220,168,201,265,271,3,48,49,140,283,83,-59,-228,2,-289,-130,-190,-56,-180,51,-149,153,-107,0,-6,-14,2,1,2,334,334,333,334,335,335,334,17.88917438,15.56889114,17.0530753,18.09354648,18.12660593,7.22354196,7.47113971,7.424794022,5.541740675,5.466012614,10.66563242,8.097751428,9.62828128,12.5518058,12.66059332,2.327047074,2.361844167,6.706265568,13.40438129,3.877598692,-11.0534736,0.096401803,-13.84364821,-6.157489639,-8.87643074,-8.726426528,2.458245969,-7.13738264,7.246891652,-4.998832049
050,4,9,53,003,Washington,Asotin County,22292,22327,22473,22489,22492,22538,22545,35,146,16,3,46,7,53,214,206,208,272,335,73,300,322,311,312,319,-20,-86,-116,-103,-40,16,0,5,5,18,21,8,56,221,131,90,68,-17,56,226,136,108,89,-9,-1,6,-4,-2,-3,0,236,236,236,236,236,236,236,9.553571429,9.163293448,9.248349303,12.080835,14.86147772,13.39285714,14.32320626,13.82806074,13.85742838,14.1516758,-3.839285714,-5.159912815,-4.579711434,-1.776593382,0.709801921,0.223214286,0.222410035,0.800337921,0.932711526,0.354900961,9.866071429,5.827142921,4.001689602,3.02020875,-0.754164541,10.08928571,6.049552956,4.802027523,3.952920275,-0.399263581
050,4,9,53,005,Washington,Benton County,206863,207408,210612,212818,215705,218931,221722,545,3204,2206,2887,3226,2791,634,2475,2526,2428,2467,2467,445,1806,1990,1871,1732,1752,189,669,536,557,735,715,6,191,600,957,1356,648,310,2293,1170,1391,1150,1435,316,2484,1770,2348,2506,2083,40,51,-100,-18,-15,-7,1241,1241,1239,1239,1244,1246,1243,11.84153868,11.93113384,11.33194718,11.3520279,11.19701897,8.640734893,9.399428477,8.732320086,7.969887446,7.951835117,3.200803789,2.531705359,2.599627091,3.382140458,3.245183852,0.913831874,2.833998536,4.466504715,6.239704028,2.941089701,10.97076695,5.526297145,6.492066937,5.29178439,6.513061298,11.88459882,8.360295681,10.95857165,11.53148842,9.454150999
050,4,9,53,007,Washington,Chelan County,79146,79302,79856,80011,80341,81382,81941,156,554,155,330,1041,559,206,777,777,792,794,804,177,780,873,886,786,788,29,-3,-96,-94,8,16,1,24,146,517,846,463,114,505,154,-73,192,74,115,529,300,444,1038,537,12,28,-49,-20,-5,6,1709,1709,1707,1708,1713,1716,1749,9.763882431,9.720580232,9.878267811,9.819258856,9.845520839,9.801580819,10.92157856,11.05068849,9.720324258,9.649590076,-0.037698388,-1.20099833,-1.172420675,0.098934598,0.195930763,0.301587102,1.826518293,6.44831371,10.46233374,5.669746453,6.345895274,1.926601488,-0.910496907,2.374430353,0.906179779,6.647482376,3.753119781,5.537816803,12.8367641,6.575926232
050,4,9,53,009,Washington,Clallam County,77158,77356,78448,77638,77543,77930,78202,198,1092,-810,-95,387,272,169,605,548,539,526,527,263,1148,1310,1255,1206,1203,-94,-543,-762,-716,-680,-676,0,42,62,86,125,65,326,1672,-55,539,936,895,326,1714,7,625,1061,960,-34,-79,-55,-4,6,-12,1775,1775,1775,1371,1370,1405,1449,7.766167749,7.02177005,6.946726726,6.766448194,6.750698127,14.73646376,16.78561819,16.17466056,15.51394776,15.41003766,-6.970296013,-9.763848135,-9.227933832,-8.747499566,-8.659339533,0.539138918,0.794433838,1.108383114,1.607996244,0.832628801,21.4628636,-0.704739695,6.946726726,12.04067587,11.46465811,22.00200252,0.089694143,8.05510984,13.64867212,12.29728691
050,4,9,53,011,Washington,Clark County,503308,505325,512654,516807,521954,526241,532119,2017,7329,4153,5147,4287,5878,1354,5361,5689,5386,5781,6143,1054,4313,4736,4563,4379,4449,300,1048,953,823,1402,1694,14,448,1071,1807,1670,765,1729,5810,2237,2525,1234,3400,1743,6258,3308,4332,2904,4165,-26,23,-108,-8,-19,19,3781,3778,3622,3493,3559,3361,3323,10.53263378,11.05238567,10.37004662,11.03039034,11.6085264,8.473652207,9.200931361,8.785466532,8.355315566,8.407347216,2.05898157,1.851454305,1.584580091,2.675074771,3.201179183,0.880175328,2.080700483,3.479144866,3.186430006,1.445632866,11.41477378,4.345963567,4.861561033,2.354523729,6.42503496,12.29494911,6.42666405,8.340705899,5.540953735,7.870667826
050,4,9,53,013,Washington,Columbia County,3956,3954,4021,4021,4064,4046,4141,-2,67,0,43,-18,95,4,37,28,35,39,40,14,68,75,53,54,56,-10,-31,-47,-18,-15,-16,0,1,1,6,17,16,9,103,43,54,-20,96,9,104,44,60,-3,112,-1,-6,3,1,0,-1,62,62,62,62,62,62,62,9.278996865,6.96344193,8.658008658,9.617755857,9.771589105,17.05329154,18.6520766,13.11069883,13.31689273,13.68022475,-7.774294671,-11.68863467,-4.452690167,-3.699136868,-3.908635642,0.250783699,0.248694355,1.484230056,4.192355117,3.908635642,25.830721,10.69385725,13.3580705,-4.932182491,23.45181385,26.0815047,10.9425516,14.84230056,-0.739827374,27.36044949
050,4,9,53,015,Washington,Cowlitz County,110728,111014,111703,112021,112866,113764,114885,286,689,318,845,898,1121,295,1192,1259,1194,1236,1302,294,1413,1556,1359,1344,1346,1,-221,-297,-165,-108,-44,2,39,87,109,234,94,285,819,552,905,779,1080,287,858,639,1014,1013,1174,-2,52,-24,-4,-7,-9,936,936,935,936,938,939,937,10.70416717,11.25493912,10.61866626,10.90764683,11.38863498,12.6887485,13.90999625,12.08606989,11.86074218,11.77350437,-1.98458133,-2.655057124,-1.467403629,-0.953095354,-0.384869385,0.350220235,0.777744006,0.969375731,2.065039933,0.822220959,7.354624928,4.934651624,8.048486573,6.874641486,9.446793994,7.704845162,5.71239563,9.017862304,8.939681419,10.26901495
050,4,9,53,017,Washington,Douglas County,42935,43033,43850,44116,44843,45517,46473,98,817,266,727,674,956,138,463,516,468,475,478,80,339,423,364,363,374,58,124,93,104,112,104,0,73,114,281,370,171,31,626,74,346,193,688,31,699,188,627,563,859,9,-6,-15,-4,-1,-7,572,572,572,572,570,575,573,10.65801135,11.73180547,10.52170101,10.51350155,10.39243396,7.803597942,9.617352159,8.183545229,8.034528553,8.131318622,2.854413407,2.114453312,2.33815578,2.478972997,2.261115339,1.680420796,2.591910511,6.317517058,8.189464365,3.717795413,14.41018381,1.682468226,7.778864421,4.271801682,14.95814763,16.09060461,4.274378737,14.09638148,12.46126605,18.67594304
050,4,9,53,019,Washington,Ferry County,7182,7199,7292,7440,7495,7547,7517,17,93,148,55,52,-30,14,65,67,67,67,67,22,99,161,107,134,135,-8,-34,-94,-40,-67,-68,0,1,6,11,15,13,28,129,222,83,104,25,28,130,228,94,119,38,-3,-3,14,1,0,0,86,86,85,86,86,86,86,8.971085501,9.095845778,8.972212923,8.908389842,8.895379713,13.6636533,21.85718165,14.32875795,17.81677968,17.92352629,-4.692567801,-12.76133587,-5.356545028,-8.908389842,-9.028146575,0.1380167,0.814553353,1.473049883,1.994415636,1.725969198,17.8041543,30.13847407,11.11483093,13.82794841,3.319171535,17.942171,30.95302742,12.58788082,15.82236405,5.045140733
