SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,NPOPCHG2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
050,3,5,54,001,West Virginia,Barbour County,15461,15463,15446,15397,15448,15336,15414,2,-17,-49,51,-112,78,45,143,153,167,157,157,57,249,284,221,227,233,-12,-106,-131,-54,-70,-76,0,6,3,14,7,3,10,72,91,94,-49,154,10,78,94,108,-42,157,4,11,-12,-3,0,-3,713,712,705,713,712,712,713,9.252968391,9.92121389,10.82833523,10.20010395,10.21138211,16.11181209,18.415848,14.32971308,14.747921,15.15447155,-6.858843702,-8.494634115,-3.501377857,-4.547817048,-4.943089431,0.388236436,0.194533606,0.90776463,0.454781705,0.195121951,4.658837232,5.900852706,6.094991085,-3.183471933,10.01626016,5.047073668,6.095386311,7.002755714,-2.728690229,10.21138211
050,3,5,54,003,West Virginia,Berkeley County,122073,122693,126208,129515,132742,135990,139522,620,3515,3307,3227,3248,3532,366,1504,1588,1577,1592,1632,351,1447,1518,1347,1248,1243,15,57,70,230,344,389,3,52,70,164,143,-16,637,3566,3022,2784,2722,3186,640,3618,3092,2948,2865,3170,-35,-160,145,49,39,-27,921,921,941,949,1005,1004,1006,12.08512622,12.41968849,12.02637108,11.84823542,11.84703389,11.62711279,11.87222111,10.272366420000001,9.288063945,9.023200441,0.458013427,0.547467377,1.75400466,2.560171472,2.823833445,0.417836811,0.547467377,1.250681583,1.064257327,-0.116147391,28.65396282,23.63494875,21.23108249,20.25810101,23.12784924,29.07179963,24.18241613,22.48176407,21.32235834,23.01170185
050,3,5,54,005,West Virginia,Boone County,21811,21746,21365,20927,20609,20448,20251,-65,-381,-438,-318,-161,-197,57,206,186,195,172,170,89,373,401,357,359,354,-32,-167,-215,-162,-187,-184,0,0,1,6,3,1,-33,-213,-226,-163,26,-16,-33,-213,-225,-157,29,-15,0,-1,2,1,-3,2,149,149,149,149,149,149,149,9.556725662,8.795989785,9.389445301,8.378595611,8.354013612,17.30416831,18.96339733,17.18990755,17.4878827,17.39600482,-7.747442648,-10.16740755,-7.80046225,-9.109287089,-9.041991204,0,0.047290268,0.288906009,0.146138296,0.049141257,-9.881468767,-10.68760049,-7.848613251,1.266531895,-0.786260105,-9.881468767,-10.64031022,-7.559707242,1.41267019,-0.737118848
050,3,5,54,007,West Virginia,Braxton County,12450,12400,12303,12163,12144,12054,11885,-50,-97,-140,-19,-90,-169,16,105,107,97,92,91,43,185,232,195,182,186,-27,-80,-125,-98,-90,-95,0,2,0,0,0,0,-24,-29,-6,80,3,-73,-24,-27,-6,80,3,-73,1,10,-9,-1,-3,-1,434,434,434,434,434,434,433,8.500991782,8.746832339,7.981239972,7.603934209,7.602656753,14.9779379,18.96509442,16.04476077,15.0425655,15.53949622,-6.47694612,-10.21826208,-8.063520796,-7.438631292,-7.936839467,0.161923653,0,0,0,0,-2.347892968,-0.49047658,6.582465956,0.247954376,-6.098834538,-2.185969315,-0.49047658,6.582465956,0.247954376,-6.098834538
050,3,5,54,009,West Virginia,Brooke County,22557,22481,22079,21731,21423,21294,21142,-76,-402,-348,-308,-129,-152,32,142,174,132,171,172,87,438,417,339,324,324,-55,-296,-243,-207,-153,-152,0,0,14,14,17,14,-20,-120,-111,-113,12,-12,-20,-120,-97,-99,29,2,-1,14,-8,-2,-5,-2,698,698,692,698,698,698,698,6.373429084,7.94339192,6.117625249,8.006180209,8.106324819,19.65888689,19.0367496,15.71117394,15.16960461,15.27005373,-13.28545781,-11.09335768,-9.593548686,-7.163424398,-7.163728909,0,0.639123488,0.648839042,0.795936044,0.659817136,-5.385996409,-5.067336225,-5.237057978,0.561837208,-0.565557545,-5.385996409,-4.428212737,-4.588218937,1.357773252,0.094259591
050,3,5,54,011,West Virginia,Cabell County,94345,94245,93439,92492,92017,91455,91183,-100,-806,-947,-475,-562,-272,252,926,897,889,881,882,337,1503,1597,1411,1301,1295,-85,-577,-700,-522,-420,-413,0,32,38,52,42,19,-48,-332,-224,20,-170,119,-48,-300,-186,72,-128,138,33,71,-61,-25,-14,3,4493,4492,4473,4497,4504,4502,4500,9.86764988,9.648740662,9.636386301,9.603645243,9.658450049,16.01628269,17.17841565,15.29464687,14.18200052,14.18105761,-6.148632808,-7.529674987,-5.658260573,-4.57835528,-4.522607563,0.3409987,0.408753785,0.563658141,0.457835528,0.208061849,-3.537861512,-2.409495996,0.216791593,-1.853143804,1.303124213,-3.196862812,-2.000742211,0.780449734,-1.395308276,1.511186062
050,3,5,54,013,West Virginia,Calhoun County,6230,6203,6180,6061,5975,5931,5978,-27,-23,-119,-86,-44,47,13,56,56,63,68,68,24,97,138,102,107,108,-11,-41,-82,-39,-39,-40,0,-1,-3,-2,0,-2,-16,16,-29,-46,-3,90,-16,15,-32,-48,-3,88,0,3,-5,1,-2,-1,23,23,23,23,23,23,23,9.044657999,9.149579283,10.46859422,11.42281203,11.4199345,15.66663975,22.54717752,16.94915254,17.97413069,18.13754304,-6.621981749,-13.39759824,-6.480558325,-6.551318663,-6.717608531,-0.16151175,-0.490156033,-0.332336324,0,-0.335880427,2.584188,-4.738174986,-7.64373546,-0.503947589,15.1146192,2.42267625,-5.228331019,-7.976071785,-0.503947589,14.77873877
050,3,5,54,015,West Virginia,Clay County,8051,8009,7914,7817,7758,7693,7538,-42,-95,-97,-59,-65,-155,18,92,79,80,67,65,30,138,169,136,148,152,-12,-46,-90,-56,-81,-87,0,0,0,0,-1,-3,-28,-51,-3,-1,16,-64,-28,-51,-3,-1,15,-67,-2,2,-4,-2,1,-1,54,54,54,54,54,54,54,11.55561138,10.04386244,10.27287319,8.672577827,8.535224214,17.33341707,21.48623737,17.46388443,19.1573361,19.95929355,-5.77780569,-11.44237493,-7.191011236,-10.48475827,-11.42406933,0,0,0,-0.12944146,-0.393933425,-6.405828047,-0.381412498,-0.128410915,2.071063362,-8.403913072,-6.405828047,-0.381412498,-0.128410915,1.941621902,-8.797846497
050,3,5,54,017,West Virginia,Doddridge County,7805,7785,7741,7720,7694,7642,7634,-20,-44,-21,-26,-52,-8,13,57,66,63,63,63,26,92,92,91,82,83,-13,-35,-26,-28,-19,-20,0,0,-2,4,3,1,-7,-13,13,0,-37,11,-7,-13,11,4,-34,12,0,4,-6,-2,1,0,1120,1120,1120,1108,1113,1107,1103,7.342522221,8.537610763,8.174386921,8.215962441,8.248232522,11.8510885,11.90091197,11.80744778,10.69379238,10.86671904,-4.508566276,-3.363301209,-3.633060854,-2.477829943,-2.618486515,0,-0.258715478,0.519008693,0.391236307,0.130924326,-1.674610331,1.681650605,0,-4.825247783,1.440167583,-1.674610331,1.422935127,0.519008693,-4.434011476,1.571091909
050,3,5,54,019,West Virginia,Fayette County,40497,40442,40064,39408,39060,38554,38165,-55,-378,-656,-348,-506,-389,107,362,398,360,335,334,140,726,836,731,680,671,-33,-364,-438,-371,-345,-337,0,3,4,19,11,3,-27,-56,-214,16,-167,-58,-27,-53,-210,35,-156,-55,5,39,-8,-12,-5,3,1489,1489,1489,1486,1487,1486,1486,8.993118525,10.0161063,9.175714941,8.632463215,8.707099936,18.03592279,21.03885645,18.63179895,17.5226119,17.49240736,-9.042804263,-11.02275015,-9.456084009,-8.890148685,-8.785307421,0.074528607,0.100664385,0.484273844,0.283454016,0.078207485,-1.391200656,-5.385544594,0.407809553,-4.303347334,-1.512011366,-1.316672049,-5.284880209,0.892083397,-4.019893318,-1.433803882
050,3,5,54,021,West Virginia,Gilmer County,7412,7393,7391,7304,7222,7117,7085,-19,-2,-87,-82,-105,-32,13,52,42,46,47,46,22,92,114,104,90,91,-9,-40,-72,-58,-43,-45,0,3,4,17,4,1,-12,29,-16,-42,-65,11,-12,32,-12,-25,-61,12,2,6,-3,1,-1,1,1646,1646,1645,1648,1648,1648,1648,7.034632035,5.71623001,6.333471018,6.555547807,6.477960851,12.44588745,15.51548146,14.31915187,12.55317665,12.81509647,-5.411255411,-9.799251446,-7.985680848,-5.997628844,-6.337135615,0.405844156,0.544402858,2.340630593,0.557918962,0.140825236,3.923160173,-2.177611432,-5.782734407,-9.066183137,1.549077595,4.329004329,-1.633208574,-3.442103814,-8.508264175,1.689902831
