SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,NPOPCHG2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
050,2,3,55,001,Wisconsin,Adams County,20651,20687,20847,21276,21722,21565,21752,36,160,429,446,-157,187,36,109,116,109,107,106,77,265,372,273,293,298,-41,-156,-256,-164,-186,-192,0,2,42,92,56,14,89,324,595,506,-25,370,89,326,637,598,31,384,-12,-10,48,12,-2,-5,1196,1196,1101,1306,1438,1210,1211,5.248711899,5.50767989,5.070003256,4.943747546,4.894152411,12.76062985,17.66255965,12.69826504,13.53755169,13.75903225,-7.511917947,-12.15487976,-7.62826178,-8.593804144,-8.864879839,0.09630664,1.99415996,4.279268803,2.587381893,0.646397488,15.60167574,28.25059944,23.53597842,-1.155081202,17.08336219,15.69798238,30.2447594,27.81524722,1.432300691,17.72975968
050,2,3,55,003,Wisconsin,Ashland County,16034,16028,16069,16076,16134,16201,16203,-6,41,7,58,67,2,40,137,166,157,156,156,34,197,216,199,192,191,6,-60,-50,-42,-36,-35,0,2,29,43,31,11,-14,86,32,60,73,26,-14,88,61,103,104,37,2,13,-4,-3,-1,0,622,622,549,562,555,545,545,8.53662336,10.32820034,9.748525303,9.648987166,9.628440933,12.27529053,13.43910406,12.35641105,11.87567651,11.78866807,-3.738667165,-3.110903718,-2.60788575,-2.226689346,-2.160227132,0.124622239,1.804324156,2.669978268,1.917426937,0.678928527,5.35875627,1.990978379,3.725551071,4.515231174,1.604740156,5.483378509,3.795302535,6.395529339,6.43265811,2.283668683
050,2,3,55,005,Wisconsin,Barron County,46707,46719,46686,46776,46886,46711,46484,12,-33,90,110,-175,-227,128,419,462,420,445,441,121,623,624,560,583,592,7,-204,-162,-140,-138,-151,2,30,109,89,70,27,-6,115,168,172,-100,-103,-4,145,277,261,-30,-76,9,26,-25,-11,-7,0,836,836,757,783,777,763,764,8.971682458,9.886370932,8.968418355,9.508851779,9.46402704,13.33975697,13.35302048,11.95789114,12.45766424,12.70454424,-4.368074514,-3.466649547,-2.989472785,-2.948812462,-3.240517195,0.642363899,2.33249877,1.900450556,1.495774437,0.579430227,2.462394947,3.595043975,3.67278085,-2.136820625,-2.210419014,3.104758846,5.927542745,5.573231407,-0.641046187,-1.630988787
050,2,3,55,007,Wisconsin,Bayfield County,16220,16240,16341,16672,16792,16785,16787,20,101,331,120,-7,2,21,99,117,120,113,115,41,180,192,180,193,196,-20,-81,-75,-60,-80,-81,0,1,2,4,12,7,44,189,382,178,63,76,44,190,384,182,75,83,-4,-8,22,-2,-2,0,103,103,57,52,52,67,69,6.077161536,7.088116803,7.171886206,6.730797868,6.850947218,11.04938461,11.63178142,10.75782931,11.4959645,11.676397,-4.972223075,-4.543664617,-3.585943103,-4.765166632,-4.82544978,0.06138547,0.12116439,0.239062874,0.714774995,0.417014179,11.60185384,23.14239845,10.63829787,3.752568723,4.527582509,11.66323931,23.26356284,10.87736075,4.467343717,4.944596688
050,2,3,55,009,Wisconsin,Brown County,268736,268952,268971,270667,272238,274251,275803,216,19,1696,1571,2013,1552,739,2963,3030,3018,2969,2953,551,2401,2494,2376,2276,2293,188,562,536,642,693,660,7,140,880,782,1077,392,-52,-866,440,203,258,473,-45,-726,1320,985,1335,865,73,183,-160,-56,-15,27,7170,7172,6027,6401,6577,6737,6742,11.01644659,11.22975031,11.11796723,10.86572648,10.73712763,8.926928204,9.243233427,8.752912572,8.329536368,8.337363241,2.089518388,1.986516887,2.36505466,2.536190115,2.399764387,0.520520595,3.261445636,2.880798666,3.941524898,1.425314606,-3.21979168,1.630722818,0.74782881,0.944209307,1.719831144,-2.699271085,4.892168454,3.628627476,4.885734205,3.145145749
050,2,3,55,011,Wisconsin,Buffalo County,13323,13333,13350,13402,13450,13398,13318,10,17,52,48,-52,-80,30,140,113,124,113,114,31,131,145,133,166,169,-1,9,-32,-9,-53,-55,0,0,4,0,6,3,10,-2,85,58,-2,-29,10,-2,89,58,4,-26,1,10,-5,-1,-3,1,152,152,136,111,123,130,132,10.49357269,8.447966507,9.235811113,8.417759237,8.534211708,9.818985871,10.84031101,9.906152242,12.3659118,12.65159455,0.674586816,-2.392344498,-0.670341129,-3.948152563,-4.117382842,0,0.299043062,0,0.446960668,0.224584519,-0.149908181,6.354665072,4.319976166,-0.148986889,-2.17098368,-0.149908181,6.653708134,4.319976166,0.297973778,-1.946399162
050,2,3,55,013,Wisconsin,Burnett County,16528,16580,16756,16972,17106,17188,17223,52,176,216,134,82,35,29,101,93,109,115,115,44,207,251,204,215,222,-15,-106,-158,-95,-100,-107,0,0,7,8,2,0,77,300,351,220,179,146,77,300,358,228,181,146,-10,-18,16,1,1,-4,165,165,163,164,164,164,164,6.059515239,5.514705882,6.397089031,6.706712545,6.683909215,12.41900648,14.88377609,11.9725336,12.5386365,12.90285083,-6.359491241,-9.369070209,-5.575444568,-5.831923952,-6.218941618,0,0.415085389,0.469511122,0.116638479,0,17.99856012,20.81356736,12.91155584,10.43914387,8.485658656,17.99856012,21.22865275,13.38106696,10.55578235,8.485658656
050,2,3,55,015,Wisconsin,Calumet County,52440,52475,52576,52795,53414,53764,53982,35,101,219,619,350,218,112,449,443,473,428,429,90,421,404,370,347,354,22,28,39,103,81,75,0,4,124,123,142,24,2,17,93,407,128,118,2,21,217,530,270,142,11,52,-37,-14,-1,1,185,185,168,159,185,186,186,8.548228956,8.408385609,8.906966453,7.986713691,7.963172647,8.015154544,7.668143987,6.967394477,6.475209465,6.571009597,0.533074412,0.740241623,1.939571976,1.511504227,1.39216305,0.076153487,2.353588748,2.316187894,2.649797533,0.445492176,0.323652321,1.765191561,7.664133925,2.388549889,2.190336532,0.399805809,4.11878031,9.980321818,5.038347422,2.635828708
050,2,3,55,017,Wisconsin,Chippewa County,66295,66334,66580,66774,66949,67294,67614,39,246,194,175,345,320,171,642,653,652,639,637,148,719,689,666,700,705,23,-77,-36,-14,-61,-68,0,3,52,22,30,5,-7,264,213,181,380,384,-7,267,265,203,410,389,23,56,-35,-14,-4,-1,2851,2851,2475,2603,2583,2741,2737,9.660381901,9.79348201,9.751501238,9.520049463,9.443472589,10.81902584,10.33339832,9.960889301,10.42884918,10.45156699,-1.158643935,-0.539916313,-0.209388063,-0.908799714,-1.008094405,0.045141972,0.779879119,0.329038385,0.446950679,0.074124589,3.972493492,3.194504852,2.707088534,5.661375267,5.692768405,4.017635464,3.974383971,3.036126919,6.108325946,5.766892994
050,2,3,55,019,Wisconsin,Clark County,34630,34640,34746,34772,34880,34975,35052,10,106,26,108,95,77,145,579,582,598,636,611,70,390,423,372,382,389,75,189,159,226,254,222,0,7,108,75,96,40,-65,-104,-232,-186,-252,-186,-65,-97,-124,-111,-156,-146,0,14,-9,-7,-3,1,411,411,352,362,369,383,383,16.68924567,16.7438649,17.17107908,18.20914752,17.45041198,11.24146081,12.16951006,10.68167461,10.93694081,11.11000043,5.447784856,4.574354843,6.489404468,7.272206714,6.340411556,0.20176981,3.10710895,2.15356343,2.748550569,1.142416497,-2.997722884,-6.674530337,-5.340837305,-7.214945244,-5.312236709,-2.795953074,-3.567421387,-3.187273876,-4.466394675,-4.169820212
