SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,NPOPCHG2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
050,4,8,56,001,Wyoming,Albany County,37068,37107,37851,38253,38337,38545,38558,39,744,402,84,208,13,85,299,331,302,312,313,53,254,292,231,241,241,32,45,39,71,71,72,6,56,255,374,268,171,-14,659,122,-362,-133,-234,-8,715,377,12,135,-63,15,-16,-14,1,2,4,2624,2618,2833,2969,2845,2819,2817,7.977800902,8.698622937,7.886147017,8.116334122,8.119009637,6.777128525,7.673709661,6.032119076,6.269347832,6.251378027,1.200672377,1.024913277,1.854027941,1.846986291,1.86763161,1.494170069,6.701356039,9.766288027,6.9717229,4.435625073,17.58317991,3.206138968,-9.452931192,-3.459847559,-6.069802731,19.07734998,9.907495007,0.313356835,3.511875341,-1.634177658
050,4,8,56,003,Wyoming,Big Horn County,11519,11480,11644,11870,12034,12014,12024,-39,164,226,164,-20,10,21,117,126,140,115,112,31,165,183,134,134,135,-10,-48,-57,6,-19,-23,0,0,3,6,11,9,-28,216,270,151,-11,24,-28,216,273,157,0,33,-1,-4,10,1,-1,0,263,263,263,263,263,263,263,10.11935651,10.71701965,11.71352075,9.564204924,9.318578917,14.27088739,15.5651952,11.21151272,11.14437791,11.23221566,-4.151530877,-4.848175555,0.502008032,-1.580172987,-1.913636742,0,0.255167135,0.502008032,0.914836993,0.748814377,18.68188895,22.9650421,12.63386881,-0.914836993,1.996838339,18.68188895,23.22020924,13.13587684,0,2.745652717
050,4,8,56,005,Wyoming,Campbell County,47028,47146,46556,47058,47580,48092,48145,118,-590,502,522,512,53,152,617,576,609,606,602,68,352,382,335,329,328,84,265,194,274,277,274,0,10,14,31,70,0,14,-831,312,226,171,-223,14,-821,326,257,241,-223,20,-34,-18,-9,-6,2,527,527,536,580,604,631,629,13.1694094,12.30585169,12.87009447,12.6682833,12.51078068,7.513180082,8.161172474,7.079608614,6.877665357,6.816505086,5.656229323,4.144679215,5.790485851,5.790617945,5.694275591,0.213442616,0.299100562,0.655127961,1.463333055,0,-17.73708139,6.665669665,4.776094169,3.574713605,-4.634392178,-17.52363877,6.964770227,5.431222131,5.038046659,-4.634392178
050,4,8,56,007,Wyoming,Carbon County,14533,14508,14720,14509,14293,14084,14013,-25,212,-211,-216,-209,-71,38,161,135,153,149,150,30,154,171,153,149,153,8,7,-36,0,0,-3,0,3,20,5,7,-9,-34,205,-197,-222,-219,-59,-34,208,-177,-217,-212,-68,1,-3,2,1,3,0,620,620,641,570,563,412,413,11.01683317,9.237401211,10.6242622,10.50146245,10.67729651,10.53784043,11.7007082,10.6242622,10.50146245,10.89084244,0.478992747,-2.46330699,0,0,-0.21354593,0.205282606,1.368503883,0.347198111,0.493357296,-0.640637791,14.02764472,-13.47976325,-15.41559614,-15.43503542,-4.199736627,14.23292733,-12.11125937,-15.068398030000001,-14.94167812,-4.840374417
050,4,8,56,009,Wyoming,Converse County,13753,13748,13671,13773,13873,13790,13824,-5,-77,102,100,-83,34,44,132,146,163,154,153,29,158,161,124,133,137,15,-26,-15,39,21,16,0,4,3,4,6,-3,-22,-61,118,59,-110,21,-22,-57,121,63,-104,18,2,6,-4,-2,0,0,85,85,85,85,85,85,85,9.628359896,10.63984842,11.79194097,11.13400571,11.08133555,11.52485503,11.73298353,8.970556319,9.615732206,9.922503078,-1.896495131,-1.093135111,2.821384649,1.518273506,1.158832476,0.291768482,0.218627022,0.289372785,0.43379243,-0.217281089,-4.449469346,8.599329544,4.268248571,-7.952861223,1.520967625,-4.157700864,8.817956566,4.557621356,-7.519068792,1.303686536
050,4,8,56,011,Wyoming,Crook County,7182,7183,7311,7418,7591,7791,7852,1,128,107,173,200,61,19,115,87,87,81,86,17,112,79,79,65,68,2,3,8,8,16,18,1,10,-2,-1,-1,-3,-3,117,99,166,183,47,-2,127,97,165,182,44,1,-2,2,0,2,-1,30,30,30,30,30,30,30,15.8686353,11.81342929,11.59304417,10.5317904,10.99533338,15.4546709,10.72713694,10.52701712,8.451436744,8.69398453,0.413964399,1.086292348,1.06602705,2.08035366,2.301348846,1.37988133,-0.271573087,-0.133253381,-0.130022104,-0.383558141,16.14461156,13.44286781,22.1200613,23.79404499,6.009077543,17.52449289,13.17129473,21.98680792,23.66402288,5.625519402
050,4,8,56,013,Wyoming,Fremont County,39234,39192,39401,39519,39754,39664,39464,-42,209,118,235,-90,-200,107,448,474,404,393,393,134,574,636,519,513,507,-27,-126,-162,-115,-120,-114,0,0,5,-11,4,-15,-23,321,269,366,29,-72,-23,321,274,355,33,-87,8,14,6,-5,-3,1,1267,1268,1304,1397,1460,1491,1489,11.40050641,12.01216422,10.19262548,9.89700068,9.933272672,14.60689883,16.11758743,13.09399165,12.91898562,12.81468001,-3.206392427,-4.105423213,-2.901366165,-3.02198494,-2.88140734,0,0.126710593,-0.277521981,0.100732831,-0.379132545,8.168666421,6.817029904,9.233913186,0.730313027,-1.819836215,8.168666421,6.943740497,8.956391205,0.831045859,-2.198968759
050,4,8,56,015,Wyoming,Goshen County,12508,12520,12571,12633,12664,12639,12640,12,51,62,31,-25,1,38,121,120,117,122,117,40,189,197,163,176,180,-2,-68,-77,-46,-54,-63,0,4,2,4,30,16,11,115,139,74,1,49,11,119,141,78,31,65,3,0,-2,-1,-2,-1,1074,1073,1063,1124,1129,1120,1119,9.644892591,9.522298048,9.250108709,9.643125321,9.256695281,15.06516281,15.6324393,12.88690359,13.91139391,14.24106966,-5.420270216,-6.110141247,-3.636794877,-4.268268585,-4.984374382,0.318839425,0.158704968,0.316243033,2.371260325,1.265872859,9.166633454,11.02999524,5.850496106,0.079042011,3.87673563,9.485472879,11.18870021,6.166739139,2.450302336,5.142608489
050,4,8,56,017,Wyoming,Hot Springs County,4619,4621,4600,4612,4651,4606,4600,2,-21,12,39,-45,-6,10,42,28,47,47,47,23,84,98,93,105,110,-13,-42,-70,-46,-58,-63,0,0,0,0,0,-2,15,20,76,84,12,59,15,20,76,84,12,57,0,1,6,1,1,0,97,97,97,97,97,97,97,9.109641037,6.079027356,10.14790025,10.15447769,10.21073213,18.21928207,21.27659575,20.07988773,22.68553527,23.89745818,-9.109641037,-15.19756839,-9.931987477,-12.53105758,-13.68672605,0,0,0,0,-0.43449924,4.337924303,16.50021711,18.13667278,2.592632602,12.81772757,4.337924303,16.50021711,18.13667278,2.592632602,12.38322833
050,4,8,56,019,Wyoming,Johnson County,8452,8469,8631,8736,8799,8829,8908,17,162,105,63,30,79,19,81,83,90,92,90,18,112,102,97,105,110,1,-31,-19,-7,-13,-20,0,-2,-8,-1,12,-8,15,204,123,71,29,107,15,202,115,70,41,99,1,-9,9,0,2,0,145,145,145,145,145,145,145,9.473684211,9.558357805,10.26518392,10.43793964,10.14827761,13.09941521,11.74641562,11.06358711,11.9128659,12.40345041,-3.625730994,-2.188057811,-0.798403194,-1.474926254,-2.255172803,-0.233918129,-0.921287499,-0.114057599,1.361470388,-0.902069121,23.85964912,14.1647953,8.098089535,3.290220104,12.06517449,23.62573099,13.2435078,7.984031936,4.651690492,11.16310537
