INSTNM,STABBR,UGDS,COSTT4_A,C150_4,ACCREDAGENCY,SCHTYPE
Alabama A & M University,AL,6124,27153,0.2403,Southern Association of Colleges and Schools Commission on Colleges,1
University of Alabama at Birmingham,AL,11635,28145,0.6423,Southern Association of Colleges and Schools Commission on Colleges,1
Amridge University,AL,241,NA,1,Southern Association of Colleges and Schools Commission on Colleges,2
University of Alabama in Huntsville,AL,6591,27392,0.6429,Southern Association of Colleges and Schools Commission on Colleges,1
Alabama State University,AL,3477,23586,0.3034,Southern Association of Colleges and Schools Commission on Colleges,1
The University of Alabama,AL,33227,33382,0.7337,Southern Association of Colleges and Schools Commission on Colleges,1
Auburn University at Montgomery,AL,2542,21353,0.326,Southern Association of Colleges and Schools Commission on Colleges,1
Auburn University,AL,26816,34919,0.8195,Southern Association of Colleges and Schools Commission on Colleges,1
Faulkner University,AL,1549,37626,0.374,Southern Association of Colleges and Schools Commission on Colleges,2
Huntingdon College,AL,879,40908,0.4798,Southern Association of Colleges and Schools Commission on Colleges,2
Jacksonville State University,AL,7036,24257,0.5472,Southern Association of Colleges and Schools Commission on Colleges,1
University of West Alabama,AL,2974,22758,0.347,Southern Association of Colleges and Schools Commission on Colleges,1
Miles College,AL,1155,21154,0.158,Southern Association of Colleges and Schools Commission on Colleges,2
University of Mobile,AL,1307,41115,0.5685,Southern Association of Colleges and Schools Commission on Colleges,2
University of Montevallo,AL,2151,27398,0.541,Southern Association of Colleges and Schools Commission on Colleges,1
University of North Alabama,AL,5811,23786,0.5491,Southern Association of Colleges and Schools Commission on Colleges,1
Oakwood University,AL,1153,40176,0.4462,Southern Association of Colleges and Schools Commission on Colleges,2
Samford University,AL,4206,57456,0.7704,Southern Association of Colleges and Schools Commission on Colleges,2
University of South Alabama,AL,8879,25476,0.5267,Southern Association of Colleges and Schools Commission on Colleges,1
Spring Hill College,AL,782,39936,0.521,Southern Association of Colleges and Schools Commission on Colleges,2
Stillman College,AL,706,26107,0.25,Southern Association of Colleges and Schools Commission on Colleges,2
Talladega College,AL,701,25185,0.3091,Southern Association of Colleges and Schools Commission on Colleges,2
Troy University,AL,9805,23165,0.503,Southern Association of Colleges and Schools Commission on Colleges,1
Tuskegee University,AL,2630,43454,0.5498,Southern Association of Colleges and Schools Commission on Colleges,2
