INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
Alabama A & M University,6124,10024,18634,27153,0.2403
University of Alabama at Birmingham,11635,9098,22562,28145,0.6423
University of Alabama in Huntsville,6591,12132,26408,27392,0.6429
Alabama State University,3477,11248,19576,23586,0.3034
The University of Alabama,33227,12180,34172,33382,0.7337
Auburn University at Montgomery,2542,9700,20668,21353,0.326
Auburn University,26816,12890,34922,34919,0.8195
Faulkner University,1549,23920,23920,37626,0.374
Jacksonville State University,7036,12894,23334,24257,0.5472
University of West Alabama,2974,10990,20090,22758,0.347
Miles College,1155,13314,13314,21154,0.158
University of Mobile,1307,26910,26910,41115,0.5685
University of Montevallo,2151,13948,26968,27398,0.541
University of North Alabama,5811,12120,22320,23786,0.5491
Oakwood University,1153,22512,22512,40176,0.4462
Samford University,4206,40150,40150,57456,0.7704
University of South Alabama,8879,10116,19092,25476,0.5267
Troy University,9805,10176,20352,23165,0.503
Tuskegee University,2630,25386,25386,43454,0.5498
Columbia Southern University,12176,6760,6760,18226,0.3328
