INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
Arizona State University Campus Immersion,64778,11618,30592,26937,0.669
University of Arizona,37979,13275,39577,27682,0.6793
Embry-Riddle Aeronautical University-Prescott,3114,40464,40464,58036,0.7062
Grand Canyon University,65147,17800,17800,31440,0.4505
Dine College,1361,1410,1410,14048,0.181
Northern Arizona University,23090,12274,27536,28648,0.5912
Prescott College,313,35450,35450,45439,0.5532
Arizona Christian University,1028,31650,31650,47865,0.4531
University of Advancing Technology,802,18794,18794,30202,0.4487
Arizona College of Nursing-Tempe,1177,24000,24000,35080,0.6
International Baptist College and Seminary,55,13200,13200,27737,0.5455
American InterContinental University,10317,12422,12422,20088,0.2284
Chamberlain University-Arizona,818,20142,20142,43266,0
DeVry University-Arizona,60,17488,17488,40652,0.2222
University of Phoenix-Arizona,66792,9552,9552,18985,0.1808
