INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
University of Arkansas at Little Rock,4949,9748,22158,22519,0.4165
Arkansas Baptist College,342,8760,8760,23060,0.0739
Lyon College,648,31000,31000,44978,0.4676
University of Arkansas,28677,10104,29966,27767,0.7052
University of Arkansas at Pine Bluff,1807,9412,17992,21129,0.4043
Arkansas State University,9110,8090,14522,25082,0.554
University of Central Arkansas,7762,10523,18023,25029,0.5353
Central Baptist College,484,21330,21330,30605,0.3411
Crowley's Ridge College,165,16670,16670,27340,0.3585
Harding University,3382,26262,26262,39534,0.6879
Henderson State University,1456,8244,10620,27385,0.3734
Hendrix College,1100,38200,38200,55013,0.7235
John Brown University,1471,31756,31756,44710,0.7179
Ouachita Baptist University,1602,34500,34500,47321,0.614
University of the Ozarks,767,25950,25950,38666,0.5148
Philander Smith University,751,13014,13014,28136,0.3038
Williams Baptist University,478,21070,21070,33597,0.2564
Southern Arkansas University Main Campus,2708,9960,15690,24951,0.4882
University of Arkansas Grantham,2833,8520,8520,15318,0.4304
Champion Christian College,144,11510,11510,20970,0
