INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
Arapahoe Community College,5369,4080,15502,16667,0.2667
University of Colorado Denver/Anschutz Medical Campus,10922,9562,26818,23895,0.4385
University of Colorado Colorado Springs,9102,9129,22041,23180,0.4251
University of Colorado Boulder,30598,13106,40356,32351,0.7474
Colorado Christian University,5399,37432,37432,48130,0.6057
Colorado College,2174,65028,65028,79229,0.8609
Colorado School of Mines,5662,20040,42120,37114,0.8181
Colorado State University-Fort Collins,25150,12874,32734,28277,0.6662
Colorado Technical University-Colorado Springs,22315,12696,12696,22634,0.1962
Community College of Denver,5019,4586,16235,17536,0.1814
University of Denver,5986,56439,56439,72540,0.7745
Fort Lewis College,3113,9212,19724,24017,0.3877
Colorado Mesa University,7654,9297,23019,22346,0.3915
Metropolitan State University of Denver,14947,10260,28092,22428,0.2898
University of Northern Colorado,6024,11332,24722,26352,0.5191
Pikes Peak State College,9153,4055,15714,17283,0.2293
Regis University,2239,42220,42220,52045,0.668
Rocky Mountain College of Art and Design,2041,22607,22607,30447,0.4091
Colorado State University Pueblo,3008,9245,16324,22545,0.3505
Western Colorado University,1673,10813,22837,24833,0.4698
