INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
American University,7669,53889,53889,68494,0.7943
The Catholic University of America,2958,54186,54186,70559,0.7635
University of the District of Columbia,2912,6152,13004,19905,0.3515
Gallaudet University,910,17712,17712,39402,0.4367
George Washington University,10798,62200,62200,77900,0.848
Georgetown University,7343,62052,62052,81515,0.9561
Howard University,9243,31050,31050,48214,0.7
Trinity Washington University,1369,25610,25610,32886,0.3801
University of the Potomac-Washington DC Campus,228,6660,6660,20087,0.5
Strayer University-Global Region,8358,13515,13515,23985,0.3158
