INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
University of Central Florida,57874,6368,22467,22662,0.7558
Florida SouthWestern State College,10623,3401,12979,14008,0.4095
Florida Atlantic University,23074,4879,17324,20118,0.6214
Florida State College at Jacksonville,16775,2878,9992,8642,0.3741
Florida International University,39277,6565,18963,19666,0.6918
Florida State University,32691,5656,18786,23308,0.8479
University of Florida,33673,6381,28659,21359,0.9001
Full Sail University,25526,26307,26307,37873,0.4105
Hillsborough Community College,19474,2506,9111,9940,0.332
Indian River State College,11481,2764,10201,11316,0.4609
Keiser University-Ft Lauderdale,16649,23248,23248,43353,0.5754
Miami Dade College,40538,2838,9661,11892,0.4456
University of Miami,12215,57194,57194,73776,0.8411
University of North Florida,13866,6389,20793,18984,0.6767
Palm Beach State College,20378,3050,10910,16700,0.4168
St Petersburg College,18984,2682,9286,11527,0.3826
Santa Fe College,11038,2563,9189,13803,0.5065
University of South Florida,36763,6410,17324,21383,0.7412
Valencia College,35867,2474,9383,14496,0.4486
Florida Gulf Coast University,13788,6118,25162,17054,0.5853
