INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
Albany State University,5645,5934,16656,21402,0.2794
Clayton  State University,4540,5068,15790,17613,0.3449
Columbus State University,5637,5751,16805,20838,0.434
Emory University,7017,57948,57948,75594,0.8999
Georgia Highlands College,4419,3344,9696,11832,0.1851
Georgia Institute of Technology-Main Campus,17379,11764,32876,29148,0.926
Georgia College & State University,5185,8974,28154,28118,0.6237
Georgia Southern University,20996,6485,17539,22652,0.5274
Georgia State University,28439,8478,23709,27149,0.549
University of Georgia,30566,11180,30220,27821,0.8811
Mercer University,4568,39708,39708,55068,0.7351
Savannah College of Art and Design,13352,39605,39605,58970,0.7253
Valdosta State University,7277,6007,17062,20694,0.4031
University of West Georgia,7939,5941,16996,23870,0.4324
Georgia Gwinnett College,10451,4458,13244,17493,0.1966
South University-Savannah Online,5738,15394,15394,29901,0.0604
Augusta University,5098,8122,23500,21924,0.5013
Middle Georgia State University,6589,3958,12430,19127,0.2382
University of North Georgia,15815,4995,15391,17892,0.3856
Kennesaw State University,38051,5786,17040,24808,0.4642
