INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
Aurora University,3987,27420,27420,38012,0.5975
Bradley University,4133,37800,37800,50881,0.761
University of Chicago,7511,64260,64260,84126,0.9558
Columbia College Chicago,6378,31026,31026,45611,0.4723
DePaul University,13968,42840,42840,57824,0.6935
Eastern Illinois University,4586,13101,15528,25334,0.5464
University of Illinois Chicago,21567,14046,28654,24375,0.6162
University of Illinois Urbana-Champaign,34031,15714,33686,31636,0.8469
Illinois State University,18019,15170,27011,32151,0.6698
Lewis University,3650,36530,36530,44513,0.6231
Loyola University Chicago,11626,49498,49498,62997,0.7087
National Louis University,3791,11580,11580,23734,0.3067
Northern Illinois University,11408,12662,12662,26534,0.5308
Northwestern University,8837,63468,63468,83803,0.9652
Northeastern Illinois University,4058,12101,22192,24517,0.1867
Saint Xavier University,2963,35770,35770,41127,0.5276
Southern Illinois University-Carbondale,7922,15416,15416,28970,0.4934
Southern Illinois University-Edwardsville,9283,12558,12558,24429,0.5352
Western Illinois University,5196,14406,14406,27039,0.473
Chamberlain University-Illinois,11535,20410,20410,34822,0.375
