INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
Ball State University,13466,10440,27924,24478,0.6387
Butler University,4304,44460,44460,62673,0.8078
Purdue University Fort Wayne,5482,8985,21573,19050,0.3569
Indiana University-Purdue University-Indianapolis,17278,10144,32582,21624,0.5634
University of Indianapolis,3444,34972,34972,47597,0.5992
University of Southern Indiana,5491,10210,22255,20435,0.5106
Indiana State University,6926,9732,21160,23136,0.4413
Indiana University-Kokomo,2419,7941,21301,13332,0.416
Indiana University-South Bend,3666,7941,21301,15251,0.3616
Indiana University-Bloomington,35401,11447,39120,27131,0.8113
Indiana University-Northwest,2711,7941,21301,13597,0.3732
Indiana University-Southeast,3133,7941,21301,14752,0.3456
Indiana University-East,2472,7941,21301,15899,0.4249
Marian University,2347,37600,37600,51522,0.6359
University of Notre Dame,8917,60301,60301,78347,0.9633
Vincennes University,3646,6654,15739,18809,0.3346
Purdue University-Main Campus,38438,9992,28794,22508,0.8304
Indiana Wesleyan University-National & Global,5451,8120,8120,21901,0.4042
Purdue University Global,33339,10134,14445,13945,0.2
Purdue University Northwest,6083,8174,15165,15746,0.4435
