INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
Buena Vista University,1366,41798,41798,54222,0.6169
Coe College,1164,54666,54666,67372,0.659
Dordt University,1597,37050,37050,51733,0.7014
Drake University,2543,52130,52130,64835,0.7403
University of Dubuque,1440,42095,42095,53806,0.4008
Grand View University,1486,34762,34762,48522,0.5399
Grinnell College,1729,68106,68106,83440,0.8812
Iowa State University,25367,10787,28881,24018,0.7532
University of Iowa,22264,11283,33371,28596,0.7463
Luther College,1379,52120,52120,65461,0.7112
Morningside University,1163,39660,39660,52577,0.5014
Mount Mercy University,1107,40878,40878,55054,0.5774
University of Northern Iowa,7529,9936,21712,22278,0.6792
Northwestern College,1175,36710,36710,49783,0.6605
Saint Ambrose University,1916,36658,36658,51141,0.6103
Simpson College,1227,47656,47656,61227,0.6333
Upper Iowa University,1994,19475,19475,34022,0.3389
Waldorf University,1827,25978,25978,39675,0.2114
Wartburg College,1452,26250,26250,64359,0.643
William Penn University,1301,29750,29750,42874,0.3262
