INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
Baker University,1115,32320,32320,47258,0.479
Benedictine College,2155,33720,33720,51009,0.6764
Bethany College,684,31305,31305,50636,0.2947
Emporia State University,2663,7001,14918,19376,0.5189
Fort Hays State University,10066,5430,15870,18598,0.5054
Friends University,993,31812,31812,43844,0.454
Haskell Indian Nations University,727,480,480,9390,0.452
University of Kansas,18539,11167,28035,24888,0.6728
Newman University,883,34400,34400,44536,0.5196
Kansas State University,14762,10448,26519,24923,0.6857
Kansas Wesleyan University,787,32470,32470,44048,0.323
McPherson College,812,33536,33536,47059,0.4948
MidAmerica Nazarene University,975,34832,34832,51534,0.419
Ottawa University-Ottawa,851,33380,33380,50165,0.2849
Pittsburg State University,4221,7970,19654,19841,0.5553
University of Saint Mary,798,32540,32540,43809,0.3852
Southwestern College,1050,36650,36650,51374,0.3846
Washburn University,3872,9154,20438,20321,0.5418
Wichita State University,10304,8866,18226,20964,0.5159
Rasmussen University-Kansas,568,10571,10571,24304,0.5
