INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
Asbury University,1420,33640,33640,47459,0.6498
Bellarmine University,2161,48770,48770,61691,0.6436
Berea College,1513,51658,51658,60718,0.5822
Campbellsville University,2840,27998,27998,42603,0.4201
Centre College,1400,52820,52820,67787,0.8067
University of the Cumberlands,6941,9875,9875,25567,0.5043
Eastern Kentucky University,12318,10320,21230,23735,0.5004
Georgetown College,1097,42840,42840,56886,0.4885
Kentucky State University,1309,9387,13658,21727,0.319
University of Kentucky,24763,13502,34140,34391,0.7142
Lindsey Wilson University,1585,27808,27808,40879,0.4406
University of Louisville,14727,13136,29482,32941,0.6123
Midway University,1262,27220,27220,48805,0.4069
Morehead State University,4578,10024,14980,21961,0.5219
Murray State University,6688,9900,19836,23485,0.6132
Northern Kentucky University,8246,11088,21912,19725,0.5224
University of Pikeville,1135,24850,24850,33420,0.4167
Thomas More University,1293,39800,39800,49452,0.405
Transylvania University,1005,46870,46870,60993,0.7148
Western Kentucky University,12155,11652,27000,24188,0.5556
