INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
Dillard University,1063,23918,23918,39202,0.4328
Grambling State University,4164,7683,16706,25367,0.3616
Louisiana State University at Alexandria,5632,7050,14650,15550,0.3422
Louisiana State University and Agricultural & Mechanical College,30594,11954,28631,34705,0.6881
Louisiana State University-Shreveport,2153,7518,7518,19461,0.3754
Louisiana Tech University,8312,10125,16866,24280,0.6382
Loyola University New Orleans,2812,49440,49440,64157,0.5903
McNeese State University,5005,8489,9989,22810,0.4704
University of New Orleans,4638,9172,14008,23431,0.3799
New Orleans Baptist Theological Seminary,865,12468,12468,21660,0.7391
Nicholls State University,4737,8149,9242,23481,0.538
University of Louisiana at Monroe,5022,9190,21290,24932,0.542
Northwestern State University of Louisiana,5519,8864,19652,25431,0.432
Franciscan Missionaries of Our Lady University,821,18310,18310,28490,0.4545
Southeastern Louisiana University,9514,8373,20851,23604,0.4541
Southern University and A & M College,5519,9922,17272,26341,0.2709
Southern University at New Orleans,1055,8054,16954,23905,0.1311
University of Louisiana at Lafayette,12428,10418,24146,24884,0.5263
Tulane University of Louisiana,7767,68678,68678,87004,0.8614
Xavier University of Louisiana,2628,28733,28733,40434,0.4855
