INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
College of the Atlantic,372,44829,44829,54969,0.5823
Bates College,1790,61066,61066,77870,0.9256
Bowdoin College,1909,61528,61528,76310,0.9404
Maine College of Health Professions,237,16238,16238,24311,0.8333
Colby College,2299,63520,63520,78665,0.8804
University of Maine at Augusta,2870,8378,19778,18446,0.233
University of Maine at Farmington,1217,9890,21650,23772,0.5333
University of Maine at Fort Kent,650,8805,13575,18231,0.3659
University of Maine,8720,12136,33736,25586,0.5527
Maine Maritime Academy,874,14562,30042,29140,0.6612
University of Maine at Presque Isle,1100,8750,13160,16717,0.2945
University of New England,2272,40950,40950,59327,0.5939
Maine College of Art & Design,380,39830,39830,55612,0.4833
Saint Joseph's College of Maine,963,41586,41586,56612,0.6955
University of Southern Maine,4322,10120,24736,21010,0.4172
Thomas College,673,29996,29996,42804,0.5
Unity College,3679,12640,12640,21676,0.5263
Husson University,2338,21090,21090,33378,0.599
