INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
University of Baltimore,1133,9992,23984,26406,0.3816
Bowie State University,5043,9218,19938,25220,0.382
Coppin State University,1844,7100,14024,23748,0.2622
Frostburg State University,2909,10220,25814,27056,0.4966
Goucher College,964,53350,53350,70544,0.5734
Hood College,1194,47700,47700,61219,0.569
Johns Hopkins University,5693,65230,65230,85947,0.9378
Loyola University Maryland,3869,57150,57150,74055,0.7919
University of Maryland Global Campus,49664,8136,12336,25400,0.3333
University of Maryland-Baltimore County,10701,13256,31275,28576,0.7001
University of Maryland-College Park,30760,11809,41186,29299,0.8859
Maryland Institute College of Art,1189,56800,56800,76860,0.7224
University of Maryland Eastern Shore,2391,9076,20122,25941,0.3533
Morgan State University,9019,8229,19124,25413,0.4087
Mount St. Mary's University,1768,48630,48630,63731,0.6539
Salisbury University,6057,11084,22174,28310,0.6815
St. Mary's College of Maryland,1603,15298,31374,31865,0.6995
Towson University,16136,11728,29820,28535,0.6946
Stevenson University,3102,40560,40560,58394,0.6849
McDaniel College,1617,52081,52081,65294,0.6329
