INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
Bentley University,4474,61000,61000,79548,0.8679
Berklee College of Music,7468,52040,52040,72700,0.6731
Boston College,10085,70702,70702,89493,0.9083
Boston University,18248,68102,68102,86285,0.8866
Bridgewater State University,7829,11808,17948,26160,0.5341
Emerson College,3870,57056,57056,80399,0.7711
Harvard University,7601,61676,61676,85540,0.9758
University of Massachusetts-Lowell,11434,16966,36264,30786,0.6482
University of Massachusetts-Amherst,23671,17772,40449,34549,0.8326
University of Massachusetts-Boston,11512,15908,38125,30544,0.4941
Massachusetts Institute of Technology,4535,62396,62396,82730,0.9641
Merrimack College,3916,53962,53962,70038,0.7005
Northeastern University,17326,66162,66162,84641,0.9054
Salem State University,4291,12338,19531,28291,0.4977
University of Massachusetts-Dartmouth,5221,15612,32567,33485,0.5207
Suffolk University,4268,47550,47550,65281,0.6088
Tufts University,7061,70704,70704,88300,0.9351
Wentworth Institute of Technology,3747,42884,42884,61096,0.6824
Worcester Polytechnic Institute,5447,60965,60965,78679,0.8971
Worcester State University,3930,11786,17866,22874,0.6145
