INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
Baker College,3026,13000,13000,24526,0.3583
Calvin University,3193,39350,39350,54222,0.7406
Central Michigan University,10035,14760,14760,30681,0.5872
Davenport University,3134,24466,24466,37319,0.5659
University of Detroit Mercy,2438,32946,32946,42211,0.672
Eastern Michigan University,10055,16240,16240,29640,0.4644
Ferris State University,8106,14778,14778,27048,0.4687
Grand Valley State University,18854,15140,21548,28367,0.6701
Hope College,3288,41970,41970,55646,0.7995
University of Michigan-Ann Arbor,34177,17736,60946,34654,0.932
Michigan State University,40922,16458,43842,32198,0.8072
Michigan Technological University,5955,19123,42988,34152,0.6806
University of Michigan-Dearborn,5952,15640,32896,24040,0.5798
University of Michigan-Flint,4411,14704,28320,20915,0.4031
Northern Michigan University,6556,14277,19773,27841,0.5214
Northwood University,1974,34400,34400,48780,0.6332
Oakland University,12351,15262,23188,25182,0.5756
Saginaw Valley State University,5989,12930,30450,24936,0.4825
Wayne State University,15587,15190,32037,27350,0.5844
Western Michigan University,12568,15252,19034,29237,0.5757
