INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
Augsburg University,2494,45452,45452,62303,0.5167
Bemidji State University,3139,10237,10237,22744,0.4787
Bethel University,1871,44226,44226,58569,0.7138
Carleton College,2086,68892,68892,84893,0.896
Concordia College at Moorhead,1829,31170,31170,45942,0.6107
Concordia University-Saint Paul,3018,25600,25600,37239,0.459
Gustavus Adolphus College,1878,56076,56076,67613,0.7665
Macalester College,2131,68104,68104,82991,0.871
Minnesota State University-Mankato,11703,9572,18942,23995,0.5395
Metropolitan State University,5616,9840,9840,25172,0.4357
University of Minnesota-Twin Cities,31855,17214,38362,30061,0.8528
University of Minnesota-Duluth,7336,14610,20130,27680,0.6472
Minnesota State University Moorhead,3072,10428,10428,25197,0.5732
Saint Cloud State University,5088,10245,10245,21116,0.4032
St Olaf College,3093,59760,59760,71843,0.84
University of St Thomas,6245,54398,54398,66116,0.7638
St Catherine University,2473,51454,51454,60476,0.6125
Southwest Minnesota State University,2315,10361,10361,24757,0.451
Winona State University,5144,10576,17308,23683,0.5694
Capella University,18364,14400,14400,22820,0.2
