INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
Alcorn State University,2363,8785,8785,23751,0.5736
Belhaven University,1471,30250,30250,39793,0.4854
Blue Mountain Christian University,498,20180,20180,33197,0.5476
Delta State University,1620,8605,8605,22445,0.4806
Jackson State University,4600,8965,11965,32415,0.5091
Millsaps College,549,44680,44680,60061,0.5714
University of Mississippi,21473,9772,28600,28660,0.7174
Mississippi University for Women,1605,8492,8492,22225,0.4677
Mississippi Valley State University,1439,7692,7692,21154,0.2676
Mississippi Christian University,2518,23500,23500,41214,0.5934
Mississippi State University,18397,10202,27637,29267,0.6667
Rust College,467,13265,13265,23107,0.1179
University of Southern Mississippi,10075,9998,11998,26566,0.4906
Tougaloo College,639,12407,12407,24239,0.3311
William Carey University,2201,15480,15480,29651,0.5978
