INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
University of Central Missouri,5920,9413,17453,21179,0.5273
Columbia College,5486,24326,24326,36284,0.4283
Ozarks Technical Community College,7937,4040,6368,12414,0.3037
Lindenwood University,4627,19300,19300,32719,0.5423
Maryville University of Saint Louis,5781,27166,27166,44826,0.6679
Missouri Southern State University,3245,8026,16052,16972,0.3561
Missouri Western State University,2628,9090,16100,19570,0.413
University of Missouri-Columbia,23206,11981,31970,28417,0.753
University of Missouri-Kansas City,6479,11287,27760,23450,0.5538
Missouri University of Science and Technology,5453,11365,29809,24736,0.6167
University of Missouri-St Louis,5378,11693,29960,24160,0.5158
Truman State University,2920,9014,17036,22335,0.7102
Northwest Missouri State University,4679,9502,15569,21375,0.5394
Park University,6061,12671,12671,22835,0.2323
Rockhurst University,1732,41701,41701,54739,0.7711
Saint Louis University,7332,50644,50644,65627,0.8123
Southeast Missouri State University,7010,9015,15585,22420,0.5633
Missouri State University-Springfield,13332,8604,17144,23168,0.5822
Washington University in St Louis,7801,60590,60590,81620,0.9369
Webster University,2174,29840,29840,44148,0.5866
