INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
Blackfeet Community College,337,3610,3610,11405,0.0106
Carroll College,1108,39028,39028,52132,0.7012
Montana State University Billings,2742,6198,19924,17285,0.2855
Aaniiih Nakoda College,115,2410,2410,13987,0.2857
University of Providence,593,27606,27606,41079,0.4105
Montana Technological University,1424,7580,23210,21971,0.5659
Montana State University,14343,7727,29604,22506,0.5682
The University of Montana,6937,7719,29634,21814,0.4644
Montana State University-Northern,816,5955,18665,16450,0.292
Rocky Mountain College,834,32252,32252,42532,0.4583
Salish Kootenai College,514,4311,11583,12466,0.616
The University of Montana-Western,1202,5874,17698,18668,0.4526
Stone Child College,231,2645,2645,15748,0.1463
